 Atomic Number | Ionization State | Wavelength (Ang.) |  g_i*f_ik | E_i(cm^-1) |     i |     j |
          25.0 |             14.0 |           457.448 |       0.0 |        0.0 |   1.0 |   2.0 |
          25.0 |             14.0 |           447.551 |  0.002808 |        0.0 |   1.0 |   3.0 |
          25.0 |             14.0 |           425.704 | 3.432e-10 |        0.0 |   1.0 |   4.0 |
          25.0 |             14.0 |          8720.677 | 1.153e-06 |   223438.0 |   3.0 |   4.0 |
          25.0 |             14.0 |          6134.593 |  1.17e-10 |   218604.0 |   2.0 |   4.0 |
          25.0 |             14.0 |           304.839 |    0.8066 |        0.0 |   1.0 |   5.0 |
          25.0 |             14.0 |           525.854 |  0.002024 |   328042.0 |   5.0 |   6.0 |
          25.0 |             14.0 |           339.246 |    0.2702 |   223438.0 |   3.0 |   6.0 |
          25.0 |             14.0 |           191.911 | 3.621e-06 |        0.0 |   1.0 |   7.0 |
          25.0 |             14.0 |           518.049 |    0.2798 |   328042.0 |   5.0 |   7.0 |
          25.0 |             14.0 |           335.981 |   0.07725 |   223438.0 |   3.0 |   7.0 |
          25.0 |             14.0 |           349.444 |    0.1513 |   234905.0 |   4.0 |   7.0 |
          25.0 |             14.0 |           504.931 | 0.0007164 |   328042.0 |   5.0 |   8.0 |
          25.0 |             14.0 |           330.414 |    0.2094 |   223438.0 |   3.0 |   8.0 |
          25.0 |             14.0 |           325.219 |    0.2852 |   218604.0 |   2.0 |   8.0 |
          25.0 |             14.0 |           343.425 |    0.3343 |   234905.0 |   4.0 |   8.0 |
          25.0 |             14.0 |           471.972 |   0.06576 |   328042.0 |   5.0 |   9.0 |
          25.0 |             14.0 |           315.975 |    0.2882 |   223438.0 |   3.0 |   9.0 |
          25.0 |             14.0 |           327.854 |     0.896 |   234905.0 |   4.0 |   9.0 |
          25.0 |             14.0 |           349.672 |    0.3153 |   328042.0 |   5.0 |  10.0 |
          25.0 |             14.0 |           256.026 |  0.002346 |   223438.0 |   3.0 |  10.0 |
          25.0 |             14.0 |           327.505 |   0.00099 |   328042.0 |   5.0 |  11.0 |
          25.0 |             14.0 |           243.936 |    0.2368 |   223438.0 |   3.0 |  11.0 |
          25.0 |             14.0 |           241.093 |    0.3222 |   218604.0 |   2.0 |  11.0 |
          25.0 |             14.0 |           250.956 |   0.01536 |   234905.0 |   4.0 |  11.0 |
          25.0 |             14.0 |           326.645 |  0.001548 |   328042.0 |   5.0 |  12.0 |
          25.0 |             14.0 |           243.459 |    0.7152 |   223438.0 |   3.0 |  12.0 |
          25.0 |             14.0 |           250.451 |    0.2323 |   234905.0 |   4.0 |  12.0 |
          25.0 |             14.0 |           249.662 |     1.306 |   234905.0 |   4.0 |  13.0 |
          25.0 |             14.0 |           140.452 | 2.291e-05 |        0.0 |   1.0 |  14.0 |
          25.0 |             14.0 |           260.455 |     1.899 |   328042.0 |   5.0 |  14.0 |
          25.0 |             14.0 |           204.688 |  0.008763 |   223438.0 |   3.0 |  14.0 |
          25.0 |             14.0 |           209.608 | 0.0003618 |   234905.0 |   4.0 |  14.0 |
          25.0 |             14.0 |           185.744 | 1.019e-06 |   328042.0 |   5.0 |  15.0 |
          25.0 |             14.0 |           306.281 |   0.00793 |   539919.0 |   9.0 |  15.0 |
          25.0 |             14.0 |           430.604 |    0.0988 |   634185.0 |  12.0 |  15.0 |
