 Atomic Number | Ionization State | Wavelength (Ang.) |  g_i*f_ik | E_i(cm^-1) |    i |     j |
          25.0 |             15.0 |           384.743 |    0.2613 |        0.0 |  1.0 |   2.0 |
          25.0 |             15.0 |           360.987 |    0.5579 |        0.0 |  1.0 |   3.0 |
          25.0 |             15.0 |           282.183 |    0.1194 |   277018.0 |  3.0 |   4.0 |
          25.0 |             15.0 |           158.379 |       0.0 |        0.0 |  1.0 |   4.0 |
          25.0 |             15.0 |           269.191 |    0.6207 |   259914.0 |  2.0 |   4.0 |
          25.0 |             15.0 |           280.411 |      1.08 |   277018.0 |  3.0 |   5.0 |
          25.0 |             15.0 |           157.819 |       0.0 |        0.0 |  1.0 |   5.0 |
          25.0 |             15.0 |            96.725 |       0.0 |   633637.0 |  5.0 |   6.0 |
          25.0 |             15.0 |            71.918 |    0.2664 |   277018.0 |  3.0 |   6.0 |
          25.0 |             15.0 |            96.516 |       0.0 |   631398.0 |  4.0 |   6.0 |
          25.0 |             15.0 |            71.044 |    0.1253 |   259914.0 |  2.0 |   6.0 |
          25.0 |             15.0 |            66.962 |       0.0 |   277018.0 |  3.0 |   7.0 |
          25.0 |             15.0 |            87.796 |    0.1429 |   631398.0 |  4.0 |   7.0 |
          25.0 |             15.0 |            56.484 |    0.1427 |        0.0 |  1.0 |   7.0 |
          25.0 |             15.0 |           971.817 |    0.3804 |  1667500.0 |  6.0 |   7.0 |
          25.0 |             15.0 |            87.454 |    0.2483 |   633637.0 |  5.0 |   8.0 |
          25.0 |             15.0 |            66.663 |       0.0 |   277018.0 |  3.0 |   8.0 |
          25.0 |             15.0 |            87.283 |   0.02734 |   631398.0 |  4.0 |   8.0 |
          25.0 |             15.0 |            56.271 |    0.2705 |        0.0 |  1.0 |   8.0 |
          25.0 |             15.0 |            65.911 |       0.0 |   259914.0 |  2.0 |   8.0 |
          25.0 |             15.0 |           912.409 |     0.809 |  1667500.0 |  6.0 |   8.0 |
          25.0 |             15.0 |            78.545 |       0.0 |   633637.0 |  5.0 |   9.0 |
          25.0 |             15.0 |            61.358 |    0.1188 |   277018.0 |  3.0 |   9.0 |
          25.0 |             15.0 |            78.407 |       0.0 |   631398.0 |  4.0 |   9.0 |
          25.0 |             15.0 |            771.01 |    0.1882 |  1777100.0 |  8.0 |   9.0 |
          25.0 |             15.0 |            52.444 |       0.0 |        0.0 |  1.0 |   9.0 |
          25.0 |             15.0 |            60.721 |      0.57 |   259914.0 |  2.0 |   9.0 |
          25.0 |             15.0 |           733.138 |    0.9839 |  1770400.0 |  7.0 |   9.0 |
          25.0 |             15.0 |            78.483 |       0.0 |   633637.0 |  5.0 |  10.0 |
          25.0 |             15.0 |             61.32 |     1.063 |   277018.0 |  3.0 |  10.0 |
          25.0 |             15.0 |           765.111 |     1.709 |  1777100.0 |  8.0 |  10.0 |
          25.0 |             15.0 |            52.416 |       0.0 |        0.0 |  1.0 |  10.0 |
          25.0 |             15.0 |            75.303 |    0.2636 |   633637.0 |  5.0 |  11.0 |
          25.0 |             15.0 |          1858.736 |   0.03271 |  1907800.0 | 10.0 |  11.0 |
          25.0 |             15.0 |            59.362 |       0.0 |   277018.0 |  3.0 |  11.0 |
          25.0 |             15.0 |            75.177 |     3.691 |   631398.0 |  4.0 |  11.0 |
          25.0 |             15.0 |          1824.818 |     0.469 |  1906800.0 |  9.0 |  11.0 |
          25.0 |             15.0 |            58.765 |       0.0 |   259914.0 |  2.0 |  11.0 |
          25.0 |             15.0 |            75.281 |     5.256 |   633637.0 |  5.0 |  12.0 |
          25.0 |             15.0 |          1845.018 |    0.6602 |  1907800.0 | 10.0 |  12.0 |
          25.0 |             15.0 |            59.348 |       0.0 |   277018.0 |  3.0 |  12.0 |
          25.0 |             15.0 |             57.42 |       0.0 |   633637.0 |  5.0 |  13.0 |
          25.0 |             15.0 |            213.95 |       0.0 |  1907800.0 | 10.0 |  13.0 |
          25.0 |             15.0 |           47.6603 |   0.05017 |   277018.0 |  3.0 |  13.0 |
          25.0 |             15.0 |            57.346 |       0.0 |   631398.0 |  4.0 |  13.0 |
          25.0 |             15.0 |           213.493 |       0.0 |  1906800.0 |  9.0 |  13.0 |
          25.0 |             15.0 |           167.196 |     0.451 |  1777100.0 |  8.0 |  13.0 |
          25.0 |             15.0 |           47.2749 |   0.02321 |   259914.0 |  2.0 |  13.0 |
          25.0 |             15.0 |           165.344 |    0.2134 |  1770400.0 |  7.0 |  13.0 |
          25.0 |             15.0 |            46.564 |       0.0 |   277018.0 |  3.0 |  14.0 |
          25.0 |             15.0 |            55.766 |   0.02179 |   631398.0 |  4.0 |  14.0 |
          25.0 |             15.0 |           193.125 |    0.3174 |  1906800.0 |  9.0 |  14.0 |
          25.0 |             15.0 |            154.44 |       0.0 |  1777100.0 |  8.0 |  14.0 |
          25.0 |             15.0 |           41.2439 |   0.04185 |        0.0 |  1.0 |  14.0 |
          25.0 |             15.0 |          2024.291 |    0.4947 |  2375200.0 | 13.0 |  14.0 |
          25.0 |             15.0 |           132.083 |    0.1492 |  1667500.0 |  6.0 |  14.0 |
          25.0 |             15.0 |            55.727 |   0.03849 |   633637.0 |  5.0 |  15.0 |
          25.0 |             15.0 |           192.197 |    0.5566 |  1907800.0 | 10.0 |  15.0 |
          25.0 |             15.0 |           46.4882 |       0.0 |   277018.0 |  3.0 |  15.0 |
          25.0 |             15.0 |            55.658 |  0.004169 |   631398.0 |  4.0 |  15.0 |
          25.0 |             15.0 |           191.828 |   0.06112 |  1906800.0 |  9.0 |  15.0 |
          25.0 |             15.0 |            153.61 |       0.0 |  1777100.0 |  8.0 |  15.0 |
          25.0 |             15.0 |           41.1845 |   0.08126 |        0.0 |  1.0 |  15.0 |
          25.0 |             15.0 |           46.1215 |       0.0 |   259914.0 |  2.0 |  15.0 |
          25.0 |             15.0 |          1890.359 |     1.047 |  2375200.0 | 13.0 |  15.0 |
          25.0 |             15.0 |           152.045 |       0.0 |  1770400.0 |  7.0 |  15.0 |
          25.0 |             15.0 |           131.475 |    0.2822 |  1667500.0 |  6.0 |  15.0 |
          25.0 |             15.0 |            53.837 |       0.0 |   633637.0 |  5.0 |  16.0 |
          25.0 |             15.0 |           188.857 |    0.1092 |  1961600.0 | 11.0 |  16.0 |
          25.0 |             15.0 |           45.1654 |   0.03772 |   277018.0 |  3.0 |  16.0 |
          25.0 |             15.0 |            53.772 |       0.0 |   631398.0 |  4.0 |  16.0 |
          25.0 |             15.0 |          1587.302 |    0.2493 |  2428100.0 | 15.0 |  16.0 |
          25.0 |             15.0 |           171.145 |       0.0 |  1906800.0 |  9.0 |  16.0 |
          25.0 |             15.0 |           140.056 |    0.1011 |  1777100.0 |  8.0 |  16.0 |
          25.0 |             15.0 |           40.1429 |       0.0 |        0.0 |  1.0 |  16.0 |
          25.0 |             15.0 |           44.8192 |    0.1824 |   259914.0 |  2.0 |  16.0 |
          25.0 |             15.0 |          1503.759 |     1.307 |  2424600.0 | 14.0 |  16.0 |
          25.0 |             15.0 |           138.754 |    0.4777 |  1770400.0 |  7.0 |  16.0 |
          25.0 |             15.0 |           121.418 |       0.0 |  1667500.0 |  6.0 |  16.0 |
          25.0 |             15.0 |            53.819 |       0.0 |   633637.0 |  5.0 |  17.0 |
          25.0 |             15.0 |           188.786 |    0.1555 |  1962000.0 | 12.0 |  17.0 |
          25.0 |             15.0 |           188.644 |  0.007696 |  1961600.0 | 11.0 |  17.0 |
          25.0 |             15.0 |           171.262 |       0.0 |  1907800.0 | 10.0 |  17.0 |
          25.0 |             15.0 |           45.1532 |     0.339 |   277018.0 |  3.0 |  17.0 |
          25.0 |             15.0 |          1572.327 |      2.27 |  2428100.0 | 15.0 |  17.0 |
          25.0 |             15.0 |           139.938 |    0.9023 |  1777100.0 |  8.0 |  17.0 |
          25.0 |             15.0 |           40.1332 |       0.0 |        0.0 |  1.0 |  17.0 |
          25.0 |             15.0 |            121.33 |       0.0 |  1667500.0 |  6.0 |  17.0 |
          25.0 |             15.0 |             53.04 |   0.04845 |   633637.0 |  5.0 |  18.0 |
          25.0 |             15.0 |          3663.004 |    0.0582 |  2491700.0 | 17.0 |  18.0 |
          25.0 |             15.0 |           163.613 |    0.2044 |  1907800.0 | 10.0 |  18.0 |
          25.0 |             15.0 |           44.6034 |       0.0 |   277018.0 |  3.0 |  18.0 |
          25.0 |             15.0 |            52.977 |    0.6827 |   631398.0 |  4.0 |  18.0 |
          25.0 |             15.0 |          3584.229 |    0.8337 |  2491100.0 | 16.0 |  18.0 |
          25.0 |             15.0 |           163.345 |     2.856 |  1906800.0 |  9.0 |  18.0 |
          25.0 |             15.0 |           134.789 |       0.0 |  1777100.0 |  8.0 |  18.0 |
          25.0 |             15.0 |           44.2657 |       0.0 |   259914.0 |  2.0 |  18.0 |
          25.0 |             15.0 |           133.583 |       0.0 |  1770400.0 |  7.0 |  18.0 |
          25.0 |             15.0 |            53.032 |    0.9735 |   633637.0 |  5.0 |  19.0 |
          25.0 |             15.0 |          3623.188 |     1.171 |  2491700.0 | 17.0 |  19.0 |
          25.0 |             15.0 |           163.532 |      4.09 |  1907800.0 | 10.0 |  19.0 |
          25.0 |             15.0 |           44.5974 |       0.0 |   277018.0 |  3.0 |  19.0 |
