 Atomic Number | Ionization State | Wavelength (Ang.) |  g_i*f_ik | E_i(cm^-1) |     i |     j |
          25.0 |             22.0 |           277.801 |  0.001321 |        1.0 |   1.0 |   3.0 |
          25.0 |             22.0 |          3756.574 | 2.117e-06 |        1.0 |   2.0 |   3.0 |
          25.0 |             22.0 |           228.676 | 2.255e-10 |        1.0 |   1.0 |   4.0 |
          25.0 |             22.0 |          1293.159 | 7.614e-06 |        3.0 |   3.0 |   4.0 |
          25.0 |             22.0 |           962.001 | 2.485e-10 |        1.0 |   2.0 |   4.0 |
          25.0 |             22.0 |           141.089 |    0.1573 |        1.0 |   1.0 |   5.0 |
          25.0 |             22.0 |           496.056 | 0.0007401 |        3.0 |   5.0 |   6.0 |
          25.0 |             22.0 |           181.689 |    0.0561 |        3.0 |   3.0 |   6.0 |
          25.0 |             22.0 |           385.832 | 0.0003894 |        3.0 |   5.0 |   7.0 |
          25.0 |             22.0 |           164.479 |   0.04491 |        3.0 |   3.0 |   7.0 |
          25.0 |             22.0 |            157.58 |    0.0641 |        1.0 |   2.0 |   7.0 |
          25.0 |             22.0 |           188.448 |     0.066 |        5.0 |   4.0 |   7.0 |
          25.0 |             22.0 |           334.035 |   0.02491 |        3.0 |   5.0 |   8.0 |
          25.0 |             22.0 |           154.281 |   0.08307 |        3.0 |   3.0 |   8.0 |
          25.0 |             22.0 |            175.18 |    0.1643 |        5.0 |   4.0 |   8.0 |
          25.0 |             22.0 |           239.871 |    0.1667 |        3.0 |   5.0 |   9.0 |
          25.0 |             22.0 |           130.601 |  0.004893 |        3.0 |   3.0 |   9.0 |
          25.0 |             22.0 |           145.273 |    0.0611 |        5.0 |   4.0 |   9.0 |
          25.0 |             22.0 |            159.33 |    0.1058 |        3.0 |   5.0 |  10.0 |
          25.0 |             22.0 |           102.414 | 0.0002407 |        3.0 |   3.0 |  10.0 |
          25.0 |             22.0 |            13.406 |  0.001571 |        3.0 |   5.0 |  11.0 |
          25.0 |             22.0 |            12.807 |   0.07833 |        3.0 |   3.0 |  11.0 |
          25.0 |             22.0 |            12.764 |   0.02612 |        1.0 |   2.0 |  11.0 |
          25.0 |             22.0 |            12.935 |    0.1355 |        5.0 |   4.0 |  11.0 |
          25.0 |             22.0 |            13.288 |   0.02959 |        3.0 |   5.0 |  12.0 |
          25.0 |             22.0 |            14.075 | 4.231e-06 |        5.0 |   9.0 |  12.0 |
          25.0 |             22.0 |            12.686 | 0.0002082 |        3.0 |   3.0 |  12.0 |
          25.0 |             22.0 |            13.839 | 1.593e-06 |        5.0 |   8.0 |  12.0 |
          25.0 |             22.0 |            13.871 |  0.004821 |        5.0 |   9.0 |  13.0 |
          25.0 |             22.0 |           598.802 |   0.08091 |        3.0 |  11.0 |  13.0 |
          25.0 |             22.0 |            13.113 | 7.749e-05 |        3.0 |   5.0 |  13.0 |
          25.0 |             22.0 |            11.998 |    0.2795 |        1.0 |   1.0 |  13.0 |
          25.0 |             22.0 |            14.289 | 0.0009077 |        1.0 |  10.0 |  13.0 |
          25.0 |             22.0 |            12.539 | 3.174e-05 |        3.0 |   3.0 |  13.0 |
          25.0 |             22.0 |            13.574 | 0.0005637 |        3.0 |   7.0 |  13.0 |
          25.0 |             22.0 |            13.469 |  0.000569 |        1.0 |   6.0 |  13.0 |
          25.0 |             22.0 |            13.648 |  0.006375 |        5.0 |   8.0 |  13.0 |
          25.0 |             22.0 |            12.662 | 0.0001324 |        5.0 |   4.0 |  13.0 |
          25.0 |             22.0 |           1059.35 |   0.02489 |        1.0 |  12.0 |  13.0 |
          25.0 |             22.0 |           622.737 |   0.04443 |        3.0 |  11.0 |  14.0 |
          25.0 |             22.0 |            13.578 |  0.001015 |        3.0 |   7.0 |  14.0 |
          25.0 |             22.0 |            13.834 |   0.01493 |        5.0 |   9.0 |  15.0 |
          25.0 |             22.0 |           537.634 |   0.06024 |        3.0 |  11.0 |  15.0 |
          25.0 |             22.0 |             13.08 | 7.489e-05 |        3.0 |   5.0 |  15.0 |
          25.0 |             22.0 |             11.97 |    0.3897 |        1.0 |   1.0 |  15.0 |
          25.0 |             22.0 |             14.25 |  0.000378 |        1.0 |  10.0 |  15.0 |
          25.0 |             22.0 |            12.509 | 4.335e-05 |        3.0 |   3.0 |  15.0 |
          25.0 |             22.0 |            13.539 | 0.0001119 |        3.0 |   7.0 |  15.0 |
          25.0 |             22.0 |            13.434 | 0.0007807 |        1.0 |   6.0 |  15.0 |
          25.0 |             22.0 |            13.613 |  0.002722 |        5.0 |   8.0 |  15.0 |
          25.0 |             22.0 |            12.632 | 8.675e-05 |        5.0 |   4.0 |  15.0 |
          25.0 |             22.0 |           829.635 |   0.04636 |        1.0 |  12.0 |  15.0 |
          25.0 |             22.0 |           525.138 |    0.2669 |        3.0 |  11.0 |  16.0 |
          25.0 |             22.0 |            13.072 |  4.06e-06 |        3.0 |   5.0 |  16.0 |
          25.0 |             22.0 |            13.833 | 0.0009005 |        5.0 |   9.0 |  16.0 |
          25.0 |             22.0 |            11.949 | 3.609e-07 |        1.0 |   1.0 |  16.0 |
          25.0 |             22.0 |            12.489 | 0.0002196 |        3.0 |   3.0 |  16.0 |
          25.0 |             22.0 |            13.523 |  0.003075 |        3.0 |   7.0 |  16.0 |
          25.0 |             22.0 |            13.605 |  0.004681 |        5.0 |   8.0 |  16.0 |
          25.0 |             22.0 |            12.445 | 0.0001004 |        1.0 |   2.0 |  16.0 |
          25.0 |             22.0 |            12.614 | 0.0001703 |        5.0 |   4.0 |  16.0 |
          25.0 |             22.0 |            12.946 |  0.009789 |        3.0 |   5.0 |  17.0 |
          25.0 |             22.0 |            12.387 |    0.5496 |        3.0 |   3.0 |  17.0 |
          25.0 |             22.0 |            12.346 |     0.747 |        1.0 |   2.0 |  17.0 |
          25.0 |             22.0 |            12.507 |   0.03688 |        5.0 |   4.0 |  17.0 |
          25.0 |             22.0 |           867.457 |   0.03873 |        1.0 |  14.0 |  17.0 |
          25.0 |             22.0 |            12.926 |  0.009501 |        3.0 |   5.0 |  18.0 |
          25.0 |             22.0 |            12.369 |     1.649 |        3.0 |   3.0 |  18.0 |
          25.0 |             22.0 |            12.488 |    0.5475 |        5.0 |   4.0 |  18.0 |
          25.0 |             22.0 |            11.748 |  0.001694 |        1.0 |   1.0 |  20.0 |
          25.0 |             22.0 |            12.815 |      1.65 |        3.0 |   5.0 |  20.0 |
          25.0 |             22.0 |           564.972 |   0.06726 |        3.0 |  13.0 |  20.0 |
          25.0 |             22.0 |            13.936 | 2.899e-05 |        1.0 |  10.0 |  20.0 |
          25.0 |             22.0 |            12.267 |  0.007734 |        3.0 |   3.0 |  20.0 |
          25.0 |             22.0 |           632.911 |    0.1056 |        3.0 |  15.0 |  20.0 |
          25.0 |             22.0 |            12.384 |  0.001796 |        5.0 |   4.0 |  20.0 |
          25.0 |             22.0 |           265.745 |   0.01819 |        3.0 |  11.0 |  21.0 |
          25.0 |             22.0 |            13.199 |   0.05772 |        3.0 |   7.0 |  21.0 |
          25.0 |             22.0 |            12.335 | 2.131e-06 |        5.0 |   4.0 |  21.0 |
          25.0 |             22.0 |            13.373 | 0.0002784 |        5.0 |   9.0 |  22.0 |
          25.0 |             22.0 |           227.734 |    0.0498 |        3.0 |  11.0 |  22.0 |
