 Atomic Number | Ionization State |  Wavelength (Ang.) |             g_i*f_ik | E_i(cm^-1) |   i |   j |
          25.0 |             25.0 |         1.48758692 | 0.005040457996497281 |        0.0 | 1.0 | 2.0 |
          25.0 |             25.0 | 1.5063039200000001 | 0.018208744413875294 |        0.0 | 1.0 | 2.0 |
          25.0 |             25.0 |         1.50651576 | 0.009022564595513479 |        0.0 | 1.0 | 2.0 |
          25.0 |             25.0 |         1.54226415 |  0.03786517776148931 |        0.0 | 1.0 | 2.0 |
          25.0 |             25.0 |         1.54269831 | 0.018815683536480644 |        0.0 | 1.0 | 2.0 |
          25.0 |             25.0 |         1.62612906 |  0.10319056729156728 |        0.0 | 1.0 | 2.0 |
          25.0 |             25.0 |         1.62727445 |  0.05157509065291089 |        0.0 | 1.0 | 2.0 |
          25.0 |             25.0 | 1.9247212599999999 |   0.5391132428157849 |        0.0 | 1.0 | 2.0 |
          25.0 |             25.0 |         1.93014546 |   0.2742773848818497 |        0.0 | 1.0 | 2.0 |
%NIST
