 Atomic Number | Ionization State |  Wavelength (Ang.) |               g_i*f_ik |      E_i(cm^-1) |     i |     j |
           7.0 |              1.0 |       5200.2578125 | 1.7694400361156076e-13 |             0.0 |   1.0 |   2.0 |
           7.0 |              1.0 |   5197.90087890625 |  4.912000168590114e-13 |             0.0 |   1.0 |   3.0 |
           7.0 |              1.0 |      3466.54296875 |  9.769999913256111e-12 |             0.0 |   1.0 |   4.0 |
           7.0 |              1.0 |    3466.4970703125 |  4.744400011746919e-11 |             0.0 |   1.0 |   5.0 |
           7.0 |              1.0 |    1200.7099609375 |     0.2199999988079071 |             0.0 |   1.0 |   6.0 |
           7.0 |              1.0 | 1200.2230224609375 |     0.4399999976158142 |             0.0 |   1.0 |   7.0 |
           7.0 |              1.0 |  1199.550048828125 |     0.6600000262260437 |             0.0 |   1.0 |   8.0 |
           7.0 |              1.0 |   1134.98095703125 |    0.01543319970369339 |             0.0 |   1.0 |  11.0 |
           7.0 |              1.0 |    1134.4150390625 |   0.030866799876093864 |             0.0 |   1.0 |  12.0 |
           7.0 |              1.0 |     1134.166015625 |   0.046300001442432404 |             0.0 |   1.0 |  13.0 |
           7.0 |              1.0 |  965.0460205078125 |    0.02108680084347725 |             0.0 |   1.0 |  29.0 |
           7.0 |              1.0 |     964.6259765625 |    0.04217199981212616 |             0.0 |   1.0 |  30.0 |
           7.0 |              1.0 |  963.9910278320312 |    0.06325999647378922 |             0.0 |   1.0 |  31.0 |
           7.0 |              1.0 |   953.969970703125 |    0.14059999585151672 |             0.0 |   1.0 |  41.0 |
           7.0 |              1.0 |  953.6610107421875 |    0.09373199939727783 |             0.0 |   1.0 |  42.0 |
           7.0 |              1.0 |  953.4149780273438 |    0.04686800017952919 |             0.0 |   1.0 |  44.0 |
           7.0 |              1.0 |  910.0490112304688 |    0.05400000140070915 |             0.0 |   1.0 |  64.0 |
           7.0 |              1.0 |  906.4879760742188 |    0.13492000102996826 |             0.0 |   1.0 |  68.0 |
           7.0 |              1.0 |  887.7990112304688 |    0.02659199945628643 |             0.0 |   1.0 |  87.0 |
           7.0 |              1.0 |  886.2369995117188 |    0.07264000177383423 |             0.0 |   1.0 |  91.0 |
           7.0 |              1.0 |   10398.1513671875 |  1.119059955811963e-09 |   19224.4609375 |   2.0 |   4.0 |
           7.0 |              1.0 |    10397.728515625 |  3.982919771772231e-09 |   19224.4609375 |   2.0 |   5.0 |
           7.0 |              1.0 |           1492.625 |    0.42347997426986694 |   19224.4609375 |   2.0 |  10.0 |
           7.0 |              1.0 |  1243.178955078125 |    0.43456196784973145 |   19224.4609375 |   2.0 |  27.0 |
           7.0 |              1.0 | 1243.1710205078125 |   0.031039800494909286 |   19224.4609375 |   2.0 |  28.0 |
           7.0 |              1.0 |  1176.510009765625 |    0.07493999600410461 |   19224.4609375 |   2.0 |  33.0 |
           7.0 |              1.0 |     1171.083984375 |   0.002291399985551834 |   19224.4609375 |   2.0 |  34.0 |
