 Atomic Number | Ionization State |  Wavelength (Ang.) |               g_i*f_ik | E_i(cm^-1) |    i |    j |
           7.0 |              7.0 |   24.7810001373291 |      0.832539975643158 |        0.0 |  1.0 |  3.0 |
           7.0 |              7.0 |  20.90999984741211 |     0.1580979973077774 |        0.0 |  1.0 |  5.0 |
           7.0 |              7.0 | 19.826000213623047 |    0.05803599953651428 |        0.0 |  1.0 |  8.0 |
           7.0 |              7.0 | 19.361000061035156 |    0.02791599929332733 |        0.0 |  1.0 | 12.0 |
           7.0 |              7.0 | 19.118000030517578 |    0.01560940034687519 |        0.0 |  1.0 | 17.0 |
           7.0 |              7.0 | 18.974000930786133 |   0.009635799564421177 |        0.0 |  1.0 | 23.0 |
           7.0 |              7.0 | 18.881999969482422 |   0.006373799871653318 |        0.0 |  1.0 | 30.0 |
           7.0 |              7.0 | 18.819000244140625 |   0.004432599991559982 |        0.0 |  1.0 | 38.0 |
           7.0 |              7.0 | 18.774999618530273 |  0.0032118000090122223 |        0.0 |  1.0 | 52.0 |
           7.0 |              7.0 | 18.742000579833984 |  0.0024023998994380236 |        0.0 |  1.0 | 56.0 |
           7.0 |              7.0 | 18.716999053955078 |  0.0018439600244164467 |        0.0 |  1.0 | 57.0 |
           7.0 |              7.0 | 18.697999954223633 |   0.001446340000256896 |        0.0 |  1.0 | 58.0 |
           7.0 |              7.0 |  18.68199920654297 |  0.0011554999509826303 |        0.0 |  1.0 | 59.0 |
           7.0 |              7.0 | 18.670000076293945 |  0.0009377999813295901 |        0.0 |  1.0 | 60.0 |
           7.0 |              7.0 |  18.65999984741211 |  0.0007716200198046863 |        0.0 |  1.0 | 61.0 |
           7.0 |              7.0 | 18.652000427246094 |  0.0006425399915315211 |        0.0 |  1.0 | 62.0 |
           7.0 |              7.0 | 18.645000457763672 |  0.0005407399730756879 |        0.0 |  1.0 | 63.0 |
           7.0 |              7.0 | 18.638999938964844 |  0.0004593800113070756 |        0.0 |  1.0 | 64.0 |
           7.0 |              7.0 | 18.634000778198242 | 0.00039358000503852963 |        0.0 |  1.0 | 65.0 |
           7.0 |              7.0 | 18.628999710083008 |  0.0003397800028324127 |        0.0 |  1.0 | 66.0 |
           7.0 |              7.0 | 18.625999450683594 | 0.00029535999055951834 |        0.0 |  1.0 | 67.0 |
           7.0 |              7.0 | 18.621999740600586 |  0.0002583599998615682 |        0.0 |  1.0 | 68.0 |
           7.0 |              7.0 | 18.618999481201172 | 0.00022729999909643084 |        0.0 |  1.0 | 69.0 |
           7.0 |              7.0 | 18.617000579833984 | 0.00020104000577703118 |        0.0 |  1.0 | 70.0 |
           7.0 |              7.0 | 18.614999771118164 |  0.0001786579960025847 |        0.0 |  1.0 | 71.0 |
           7.0 |              7.0 | 18.613000869750977 | 0.00015948800137266517 |        0.0 |  1.0 | 72.0 |
           7.0 |              7.0 | 18.611000061035156 | 0.00014296600420493633 |        0.0 |  1.0 | 73.0 |
           7.0 |              7.0 | 18.608999252319336 | 0.00012865000462625176 |        0.0 |  1.0 | 74.0 |
           7.0 |              7.0 | 18.607999801635742 | 0.00011618599819485098 |        0.0 |  1.0 | 75.0 |
           7.0 |              7.0 | 133.75599670410156 |     0.8709800243377686 | 4034807.25 |  2.0 |  5.0 |
           7.0 |              7.0 |  99.09600067138672 |     0.2062000036239624 | 4034807.25 |  2.0 |  8.0 |
           7.0 |              7.0 |  88.48400115966797 |    0.08397399634122849 | 4034807.25 |  2.0 | 12.0 |
           7.0 |              7.0 |  83.62000274658203 |    0.04333600029349327 | 4034807.25 |  2.0 | 17.0 |
           7.0 |              7.0 |  80.93699645996094 |    0.02552199922502041 | 4034807.25 |  2.0 | 23.0 |
           7.0 |              7.0 |  79.28600311279297 |   0.016413599252700806 | 4034807.25 |  2.0 | 30.0 |
           7.0 |              7.0 |  78.19300079345703 |   0.011209200136363506 | 4034807.25 |  2.0 | 38.0 |
           7.0 |              7.0 |  77.43000030517578 |     0.0079864002764225 | 4034807.25 |  2.0 | 52.0 |
           7.0 |              7.0 |  76.87300109863281 |   0.005911599844694138 | 4034807.25 |  2.0 | 56.0 |
           7.0 |              7.0 |  76.45600128173828 |  0.0045022000558674335 | 4034807.25 |  2.0 | 57.0 |
           7.0 |              7.0 |  76.13400268554688 |   0.003510399954393506 | 4034807.25 |  2.0 | 58.0 |
           7.0 |              7.0 |  75.88099670410156 |   0.002791200065985322 | 4034807.25 |  2.0 | 59.0 |
           7.0 |              7.0 |   75.6780014038086 |   0.002256799954921007 | 4034807.25 |  2.0 | 60.0 |
           7.0 |              7.0 |  75.51300048828125 |  0.0018510200316086411 | 4034807.25 |  2.0 | 61.0 |
           7.0 |              7.0 |   75.3759994506836 |  0.0015374199720099568 | 4034807.25 |  2.0 | 62.0 |
           7.0 |              7.0 |  75.26200103759766 |  0.0012910800287500024 | 4034807.25 |  2.0 | 63.0 |
