 Atomic Number | Ionization State |  Wavelength (Ang.) |               g_i*f_ik |        E_i(cm^-1) |     i |     j |
          11.0 |              4.0 |    3241.6279296875 |  4.807700015874161e-09 |               0.0 |   1.0 |   4.0 |
          11.0 |              4.0 | 1503.8499755859375 |  3.560049824380407e-12 |               0.0 |   1.0 |   5.0 |
          11.0 |              4.0 |  410.3710021972656 |     0.6274499893188477 |               0.0 |   1.0 |   6.0 |
          11.0 |              4.0 |  408.6839904785156 |     0.2100200057029724 |               0.0 |   1.0 |   7.0 |
          11.0 |              4.0 | 205.48599243164062 |     0.2635650038719177 |               0.0 |   1.0 |  11.0 |
          11.0 |              4.0 | 190.44500732421875 |     0.3097350001335144 |               0.0 |   1.0 |  15.0 |
          11.0 |              4.0 |  190.4340057373047 |    0.05531500279903412 |               0.0 |   1.0 |  16.0 |
          11.0 |              4.0 | 190.42599487304688 |  0.0036877000238746405 |               0.0 |   1.0 |  17.0 |
          11.0 |              4.0 | 181.76600646972656 |    0.05210000276565552 |               0.0 |   1.0 |  22.0 |
          11.0 |              4.0 |  181.7570037841797 |    0.15630999207496643 |               0.0 |   1.0 |  24.0 |
          11.0 |              4.0 |  168.0989990234375 |   0.011491999961435795 |               0.0 |   1.0 |  41.0 |
          11.0 |              4.0 |  168.0959930419922 |    0.17238499224185944 |               0.0 |   1.0 |  42.0 |
          11.0 |              4.0 | 168.08599853515625 |      0.965399980545044 |               0.0 |   1.0 |  43.0 |
          11.0 |              4.0 | 156.53700256347656 |     0.7046499848365784 |               0.0 |   1.0 |  61.0 |
          11.0 |              4.0 | 156.50799560546875 |     0.1258549988269806 |               0.0 |   1.0 |  62.0 |
          11.0 |              4.0 |  156.4929962158203 |    0.00839100033044815 |               0.0 |   1.0 |  63.0 |
          11.0 |              4.0 | 155.50799560546875 |      0.841450035572052 |               0.0 |   1.0 |  66.0 |
          11.0 |              4.0 |  155.4459991455078 |    0.28059500455856323 |               0.0 |   1.0 |  67.0 |
