 Atomic Number | Ionization State | Wavelength (Ang.) |  g_i*f_ik | E_i(cm^-1) |     i |     j |
          11.0 |              9.0 |           694.261 |   0.09179 |        0.0 |   1.0 |   2.0 |
          11.0 |              9.0 |           681.719 |    0.1869 |        0.0 |   1.0 |   3.0 |
          11.0 |              9.0 |             81.35 |   0.09343 |   146688.0 |   3.0 |   4.0 |
          11.0 |              9.0 |            81.175 |   0.04597 |   144038.0 |   2.0 |   4.0 |
          11.0 |              9.0 |            78.822 |       0.0 |   146688.0 |   3.0 |   5.0 |
          11.0 |              9.0 |            70.653 |    0.2073 |        0.0 |   1.0 |   5.0 |
          11.0 |              9.0 |          2536.526 |    0.1534 |  1375944.0 |   4.0 |   5.0 |
          11.0 |              9.0 |            78.775 |       0.0 |   146688.0 |   3.0 |   6.0 |
          11.0 |              9.0 |            70.615 |    0.4129 |        0.0 |   1.0 |   6.0 |
          11.0 |              9.0 |            78.611 |       0.0 |   144038.0 |   2.0 |   6.0 |
          11.0 |              9.0 |          2488.429 |    0.3126 |  1375944.0 |   4.0 |   6.0 |
          11.0 |              9.0 |            77.925 |    0.2672 |   146688.0 |   3.0 |   7.0 |
          11.0 |              9.0 |            69.931 |       0.0 |        0.0 |   1.0 |   7.0 |
          11.0 |              9.0 |            77.764 |     1.334 |   144038.0 |   2.0 |   7.0 |
          11.0 |              9.0 |            77.911 |     2.404 |   146688.0 |   3.0 |   8.0 |
          11.0 |              9.0 |             69.92 |       0.0 |        0.0 |   1.0 |   8.0 |
          11.0 |              9.0 |           243.824 |       0.0 |  1430204.0 |   8.0 |   9.0 |
          11.0 |              9.0 |            59.044 |   0.01877 |   146688.0 |   3.0 |   9.0 |
          11.0 |              9.0 |           235.735 |    0.2115 |  1416130.0 |   6.0 |   9.0 |
          11.0 |              9.0 |           243.691 |       0.0 |  1429980.0 |   7.0 |   9.0 |
          11.0 |              9.0 |            58.952 |  0.009151 |   144038.0 |   2.0 |   9.0 |
          11.0 |              9.0 |           235.312 |    0.1045 |  1415368.0 |   5.0 |   9.0 |
          11.0 |              9.0 |            58.535 |       0.0 |   146688.0 |   3.0 |  10.0 |
          11.0 |              9.0 |           227.213 |       0.0 |  1416130.0 |   6.0 |  10.0 |
          11.0 |              9.0 |           234.501 |   0.04722 |  1429980.0 |   7.0 |  10.0 |
          11.0 |              9.0 |            53.882 |   0.05454 |        0.0 |   1.0 |  10.0 |
          11.0 |              9.0 |           6168.27 |    0.2116 |  1840336.0 |   9.0 |  10.0 |
          11.0 |              9.0 |           208.127 |    0.2222 |  1375944.0 |   4.0 |  10.0 |
          11.0 |              9.0 |           234.488 |   0.08454 |  1430204.0 |   8.0 |  11.0 |
          11.0 |              9.0 |             58.48 |       0.0 |   146688.0 |   3.0 |  11.0 |
          11.0 |              9.0 |           234.365 |  0.009333 |  1429980.0 |   7.0 |  11.0 |
          11.0 |              9.0 |           226.997 |       0.0 |  1416130.0 |   6.0 |  11.0 |
          11.0 |              9.0 |             53.86 |    0.1087 |        0.0 |   1.0 |  11.0 |
          11.0 |              9.0 |             58.39 |       0.0 |   144038.0 |   2.0 |  11.0 |
          11.0 |              9.0 |          6124.074 |    0.4331 |  1840336.0 |   9.0 |  11.0 |
          11.0 |              9.0 |           226.605 |       0.0 |  1415368.0 |   5.0 |  11.0 |
          11.0 |              9.0 |           208.021 |    0.4414 |  1375944.0 |   4.0 |  11.0 |
          11.0 |              9.0 |            58.291 |   0.04921 |   146688.0 |   3.0 |  12.0 |
          11.0 |              9.0 |            224.17 |    0.2287 |  1416130.0 |   6.0 |  12.0 |
          11.0 |              9.0 |            53.699 |       0.0 |        0.0 |   1.0 |  12.0 |
          11.0 |              9.0 |            58.201 |    0.2449 |   144038.0 |   2.0 |  12.0 |
          11.0 |              9.0 |           205.645 |       0.0 |  1375944.0 |   4.0 |  12.0 |
          11.0 |              9.0 |           223.788 |      1.14 |  1415368.0 |   5.0 |  12.0 |
          11.0 |              9.0 |            58.279 |    0.4414 |   146688.0 |   3.0 |  13.0 |
          11.0 |              9.0 |           223.994 |     2.054 |  1416130.0 |   6.0 |  13.0 |
          11.0 |              9.0 |            53.689 |       0.0 |        0.0 |   1.0 |  13.0 |
          11.0 |              9.0 |           205.497 |       0.0 |  1375944.0 |   4.0 |  13.0 |
          11.0 |              9.0 |           231.178 |    0.2907 |  1430204.0 |   8.0 |  14.0 |
