 Atomic Number | Ionization State |  Wavelength (Ang.) |               g_i*f_ik |   E_i(cm^-1) |     i |     j |
          11.0 |              5.0 |  2068.447998046875 |  5.622400114924098e-12 |          0.0 |   1.0 |   2.0 |
          11.0 |              5.0 |  2066.907958984375 |  6.895999743461445e-11 |          0.0 |   1.0 |   3.0 |
          11.0 |              5.0 | 1365.7840576171875 |  9.844000059544555e-10 |          0.0 |   1.0 |   4.0 |
          11.0 |              5.0 |  1365.094970703125 |   4.77160000400545e-09 |          0.0 |   1.0 |   5.0 |
          11.0 |              5.0 | 463.26300048828125 |     0.4341999888420105 |          0.0 |   1.0 |   6.0 |
          11.0 |              5.0 | 461.04998779296875 |    0.29086801409721375 |          0.0 |   1.0 |   7.0 |
          11.0 |              5.0 |  459.8970031738281 |      0.145796000957489 |          0.0 |   1.0 |   8.0 |
          11.0 |              5.0 | 149.00100708007812 |     0.0857200026512146 |          0.0 |   1.0 |  16.0 |
          11.0 |              5.0 |  148.8560028076172 |     0.1716119945049286 |          0.0 |   1.0 |  17.0 |
          11.0 |              5.0 | 148.64199829101562 |     0.2577880024909973 |          0.0 |   1.0 |  18.0 |
          11.0 |              5.0 | 125.28600311279297 |      2.228480100631714 |          0.0 |   1.0 |  42.0 |
          11.0 |              5.0 | 125.21600341796875 |     1.4864799976348877 |          0.0 |   1.0 |  43.0 |
          11.0 |              5.0 |  125.1780014038086 |     0.7434800267219543 |          0.0 |   1.0 |  45.0 |
          11.0 |              5.0 | 117.98899841308594 |    0.09793999791145325 |          0.0 |   1.0 |  60.0 |
          11.0 |              5.0 |  112.0770034790039 |   0.018089599907398224 |          0.0 |   1.0 |  70.0 |
          11.0 |              5.0 | 111.99500274658203 |    0.03620599955320358 |          0.0 |   1.0 |  71.0 |
          11.0 |              5.0 | 111.87899780273438 |   0.054363999515771866 |          0.0 |   1.0 |  72.0 |
          11.0 |              5.0 |   106.302001953125 |     0.6531999707221985 |          0.0 |   1.0 | 102.0 |
          11.0 |              5.0 | 106.27799987792969 |     0.4355599880218506 |          0.0 |   1.0 | 103.0 |
          11.0 |              5.0 | 106.26699829101562 |    0.21780399978160858 |          0.0 |   1.0 | 104.0 |
          11.0 |              5.0 | 105.32499694824219 |   0.009389200247824192 |          0.0 |   1.0 | 115.0 |
          11.0 |              5.0 | 102.25599670410156 |   0.034649599343538284 |          0.0 |   1.0 | 133.0 |
          11.0 |              5.0 | 101.55999755859375 |   0.007726400159299374 |          0.0 |   1.0 | 139.0 |
          11.0 |              5.0 |  99.62200164794922 |     0.6203200221061707 |          0.0 |   1.0 | 158.0 |
          11.0 |              5.0 |  97.76100158691406 |     0.2309959977865219 |          0.0 |   1.0 | 189.0 |
          11.0 |              5.0 |  97.43800354003906 |    0.04878799989819527 |          0.0 |   1.0 | 192.0 |
          11.0 |              5.0 |  96.29399871826172 |    0.32260000705718994 |          0.0 |   1.0 | 211.0 |
          11.0 |              5.0 |  95.44300079345703 |    0.10753200203180313 |          0.0 |   1.0 | 243.0 |
          11.0 |              5.0 |  95.03800201416016 | 0.00011151599755976349 |          0.0 |   1.0 | 246.0 |
          11.0 |              5.0 |  94.39399719238281 |    0.16826799511909485 |          0.0 |   1.0 | 258.0 |
          11.0 |              5.0 |  93.64199829101562 |  0.0030766399577260017 |          0.0 |   1.0 | 279.0 |
          11.0 |              5.0 |  93.21199798583984 |     0.1164959967136383 |          0.0 |   1.0 | 292.0 |
          11.0 |              5.0 |  92.71399688720703 |    0.00236972002312541 |          0.0 |   1.0 | 320.0 |
          11.0 |              5.0 |   92.4209976196289 |    0.08154399693012238 |          0.0 |   1.0 | 333.0 |
          11.0 |              5.0 |    92.072998046875 |   0.001642880029976368 |          0.0 |   1.0 | 350.0 |
          11.0 |              5.0 |  91.86299896240234 |    0.05984000116586685 |          0.0 |   1.0 | 364.0 |
          11.0 |              5.0 |  4016.864990234375 |   6.82560008513633e-10 |      48330.0 |   2.0 |   4.0 |
          11.0 |              5.0 |  4010.902099609375 |  8.861400502269134e-09 |      48330.0 |   2.0 |   5.0 |
          11.0 |              5.0 | 400.72100830078125 |     0.7134000062942505 |      48330.0 |   2.0 |   9.0 |
          11.0 |              5.0 |  400.6629943847656 |   0.050963401794433594 |      48330.0 |   2.0 |  10.0 |
          11.0 |              5.0 |   308.260009765625 |     1.1095199584960938 |      48330.0 |   2.0 |  12.0 |
          11.0 |              5.0 | 157.20700073242188 |     0.2803559899330139 |      48330.0 |   2.0 |  20.0 |
          11.0 |              5.0 | 151.12399291992188 |      0.332364022731781 |      48330.0 |   2.0 |  21.0 |
          11.0 |              5.0 |  134.2689971923828 |    0.12430800497531891 |      48330.0 |   2.0 |  35.0 |
          11.0 |              5.0 |  133.3820037841797 |    0.05519220232963562 |      48330.0 |   2.0 |  41.0 |
          11.0 |              5.0 | 133.25599670410156 |      1.160099983215332 |      48330.0 |   2.0 |  44.0 |
          11.0 |              5.0 | 133.16200256347656 |      1.105679988861084 |      48330.0 |   2.0 |  46.0 |
          11.0 |              5.0 | 131.40899658203125 |   0.038989800959825516 |      48330.0 |   2.0 |  48.0 |
          11.0 |              5.0 | 131.34500122070312 |     0.5461200475692749 |      48330.0 |   2.0 |  49.0 |
          11.0 |              5.0 | 128.05099487304688 |      2.659019947052002 |      48330.0 |   2.0 |  52.0 |
          11.0 |              5.0 |  128.0189971923828 |       0.13298399746418 |      48330.0 |   2.0 |  53.0 |
          11.0 |              5.0 | 127.46700286865234 |    0.07648800313472748 |      48330.0 |   2.0 |  55.0 |
          11.0 |              5.0 | 127.44400024414062 |     1.0710599422454834 |      48330.0 |   2.0 |  56.0 |
          11.0 |              5.0 | 126.55699920654297 |     0.2603999972343445 |      48330.0 |   2.0 |  58.0 |
          11.0 |              5.0 | 122.06999969482422 |  0.0006661799852736294 |      48330.0 |   2.0 |  63.0 |
          11.0 |              5.0 | 117.70500183105469 |    0.06292200088500977 |      48330.0 |   2.0 |  76.0 |
          11.0 |              5.0 |  113.5719985961914 |     0.0031778400298208 |      48330.0 |   2.0 |  90.0 |
          11.0 |              5.0 | 113.06099700927734 |    0.22073999047279358 |      48330.0 |   2.0 |  94.0 |
          11.0 |              5.0 | 112.34700012207031 |  0.0023508600424975157 |      48330.0 |   2.0 |  97.0 |
          11.0 |              5.0 | 111.55000305175781 |   0.013930799439549446 |      48330.0 |   2.0 | 110.0 |
