 Atomic Number | Ionization State |  Wavelength (Ang.) |               g_i*f_ik |  E_i(cm^-1) |     i |     j |
          11.0 |              8.0 |  789.8150024414062 | 1.2849999620812014e-05 |         0.0 |   1.0 |   3.0 |
          11.0 |              8.0 |  779.9219970703125 |  3.998799902316108e-11 |         0.0 |   1.0 |   4.0 |
          11.0 |              8.0 |  411.1709899902344 |    0.34779998660087585 |         0.0 |   1.0 |   5.0 |
          11.0 |              8.0 |  77.26599884033203 |     0.5173100233078003 |         0.0 |   1.0 |  13.0 |
          11.0 |              8.0 |  70.12000274658203 |   0.009823200292885303 |         0.0 |   1.0 |  22.0 |
          11.0 |              8.0 |  66.06199645996094 |   0.034995000809431076 |         0.0 |   1.0 |  42.0 |
          11.0 |              8.0 |  59.75899887084961 |     0.1362999975681305 |         0.0 |   1.0 |  46.0 |
          11.0 |              8.0 |  55.46099853515625 |    0.00259719998575747 |         0.0 |   1.0 |  54.0 |
          11.0 |              8.0 | 54.380001068115234 |   0.059050001204013824 |         0.0 |   1.0 |  75.0 |
          11.0 |              8.0 |  54.25600051879883 |   0.008622599765658379 |         0.0 |   1.0 |  78.0 |
          11.0 |              8.0 |  51.78900146484375 |   0.031571999192237854 |         0.0 |   1.0 |  92.0 |
          11.0 |              8.0 |   50.5890007019043 |  0.0035182000137865543 |         0.0 |   1.0 | 102.0 |
          11.0 |              8.0 | 50.347999572753906 |   0.017340000718832016 |         0.0 |   1.0 | 108.0 |
          11.0 |              8.0 | 50.058998107910156 |  0.0032675000838935375 |         0.0 |   1.0 | 133.0 |
          11.0 |              8.0 | 49.507999420166016 |   0.011025000363588333 |         0.0 |   1.0 | 138.0 |
          11.0 |              8.0 |  48.94200134277344 |   0.008258200250566006 |         0.0 |   1.0 | 148.0 |
          11.0 |              8.0 |  48.54499816894531 |   0.006183399818837643 |         0.0 |   1.0 | 157.0 |
          11.0 |              8.0 | 48.233001708984375 |   0.004573400132358074 |         0.0 |   1.0 | 166.0 |
          11.0 |              8.0 |  48.01900100708008 |   0.003479700069874525 |         0.0 |   1.0 | 174.0 |
