 Atomic Number | Ionization State | Wavelength (Ang.) | g_i*f_ik | E_i(cm^-1) |    i |    j |
          11.0 |              1.0 |  5892.93505859375 |      0.0 |        0.0 |  1.0 |  2.0 |
          11.0 |              1.0 | 3302.673095703125 |      0.0 |        0.0 |  1.0 |  5.0 |
          11.0 |              1.0 |    2852.912109375 |      0.0 |        0.0 |  1.0 |  9.0 |
          11.0 |              1.0 | 2680.386962890625 |      0.0 |        0.0 |  1.0 | 14.0 |
          11.0 |              1.0 |  2593.89404296875 |      0.0 |        0.0 |  1.0 | 19.0 |
          11.0 |              1.0 |  2543.85595703125 |      0.0 |        0.0 |  1.0 | 24.0 |
          11.0 |              1.0 |  2512.14404296875 |      0.0 |        0.0 |  1.0 | 29.0 |
          11.0 |              1.0 | 2490.719970703125 |      0.0 |        0.0 |  1.0 | 34.0 |
          11.0 |              1.0 |   2475.5400390625 |      0.0 |        0.0 |  1.0 | 39.0 |
          11.0 |              1.0 | 2464.382080078125 |      0.0 |        0.0 |  1.0 | 44.0 |
          11.0 |              1.0 |  2450.23095703125 |      0.0 |        0.0 |  1.0 | 48.0 |
          11.0 |              1.0 |     2444.87109375 |      0.0 |        0.0 |  1.0 | 49.0 |
          11.0 |              1.0 |  2440.56298828125 |      0.0 |        0.0 |  1.0 | 50.0 |
          11.0 |              1.0 | 2437.049072265625 |      0.0 |        0.0 |  1.0 | 51.0 |
          11.0 |              1.0 |  2434.14501953125 |      0.0 |        0.0 |  1.0 | 52.0 |
          11.0 |              1.0 | 2431.716064453125 |      0.0 |        0.0 |  1.0 | 53.0 |
          11.0 |              1.0 |      2429.6640625 |      0.0 |        0.0 |  1.0 | 54.0 |
          11.0 |              1.0 |   2427.9150390625 |      0.0 |        0.0 |  1.0 | 55.0 |
          11.0 |              1.0 |    2426.412109375 |      0.0 |        0.0 |  1.0 | 56.0 |
          11.0 |              1.0 | 2425.111083984375 |      0.0 |        0.0 |  1.0 | 57.0 |
          11.0 |              1.0 |  2423.97607421875 |      0.0 |        0.0 |  1.0 | 58.0 |
          11.0 |              1.0 |  2422.98193359375 |      0.0 |        0.0 |  1.0 | 59.0 |
          11.0 |              1.0 |  2422.10498046875 |      0.0 |        0.0 |  1.0 | 60.0 |
          11.0 |              1.0 | 2421.327880859375 |      0.0 |        0.0 |  1.0 | 61.0 |
          11.0 |              1.0 | 2420.635986328125 |      0.0 |        0.0 |  1.0 | 62.0 |
          11.0 |              1.0 |  2420.01708984375 |      0.0 |        0.0 |  1.0 | 63.0 |
          11.0 |              1.0 |      2419.4609375 |      0.0 |        0.0 |  1.0 | 64.0 |
          11.0 |              1.0 |      2418.9609375 |      0.0 |        0.0 |  1.0 | 65.0 |
          11.0 |              1.0 |    11392.60546875 |      0.0 |        0.0 |  2.0 |  3.0 |
          11.0 |              1.0 |     8189.03515625 |      0.0 |        0.0 |  2.0 |  4.0 |
          11.0 |              1.0 |  6157.48388671875 |      0.0 |        0.0 |  2.0 |  6.0 |
          11.0 |              1.0 |   5685.4169921875 |      0.0 |        0.0 |  2.0 |  7.0 |
          11.0 |              1.0 |    5151.119140625 |      0.0 |        0.0 |  2.0 | 10.0 |
          11.0 |              1.0 |     4980.67578125 |      0.0 |        0.0 |  2.0 | 11.0 |
          11.0 |              1.0 |    4749.880859375 |      0.0 |        0.0 |  2.0 | 15.0 |
          11.0 |              1.0 |  4666.68408203125 |      0.0 |        0.0 |  2.0 | 16.0 |
          11.0 |              1.0 |    4543.408203125 |      0.0 |        0.0 |  2.0 | 20.0 |
          11.0 |              1.0 |     4495.91796875 |      0.0 |        0.0 |  2.0 | 21.0 |
