 Atomic Number | Ionization State | Wavelength (Ang.) |  g_i*f_ik | E_i(cm^-1) |     i |     j |
          11.0 |              2.0 |           377.466 |       0.0 |        0.0 |   1.0 |   2.0 |
          11.0 |              2.0 |           376.379 |  0.008724 |        0.0 |   1.0 |   3.0 |
          11.0 |              2.0 |         168918.92 |       0.0 |   265689.6 |   3.0 |   4.0 |
          11.0 |              2.0 |           372.075 |    0.2284 |        0.0 |   1.0 |   5.0 |
          11.0 |              2.0 |          4088.741 |  0.003078 |   268762.9 |   5.0 |   6.0 |
          11.0 |              2.0 |          3712.129 |   0.06849 |   266281.6 |   4.0 |   6.0 |
          11.0 |              2.0 |          3534.068 |    0.4938 |   264924.3 |   2.0 |   6.0 |
          11.0 |              2.0 |          3632.306 |    0.2319 |   265689.6 |   3.0 |   6.0 |
          11.0 |              2.0 |          3093.629 |     2.174 |   264924.3 |   2.0 |   7.0 |
          11.0 |              2.0 |          3463.481 |   0.01934 |   268762.9 |   5.0 |   8.0 |
          11.0 |              2.0 |           335.981 |       0.0 |        0.0 |   1.0 |   8.0 |
          11.0 |              2.0 |          3057.049 |     0.528 |   264924.3 |   2.0 |   8.0 |
          11.0 |              2.0 |          3130.282 |     1.001 |   265689.6 |   3.0 |   8.0 |
          11.0 |              2.0 |          3401.071 |  0.001282 |   268762.9 |   5.0 |   9.0 |
          11.0 |              2.0 |          3136.388 |    0.3866 |   266281.6 |   4.0 |   9.0 |
          11.0 |              2.0 |          3008.325 |   0.05875 |   264924.3 |   2.0 |   9.0 |
          11.0 |              2.0 |          3079.215 |    0.4842 |   265689.6 |   3.0 |   9.0 |
          11.0 |              2.0 |          3286.555 |     1.101 |   268762.9 |   5.0 |  10.0 |
          11.0 |              2.0 |           334.236 |       0.0 |        0.0 |   1.0 |  10.0 |
          11.0 |              2.0 |          2918.379 |    0.3834 |   264924.3 |   2.0 |  10.0 |
          11.0 |              2.0 |          2985.047 |   0.08951 |   265689.6 |   3.0 |  10.0 |
          11.0 |              2.0 |          3213.109 |    0.5033 |   268762.9 |   5.0 |  11.0 |
          11.0 |              2.0 |          2975.853 |    0.2459 |   266281.6 |   4.0 |  11.0 |
          11.0 |              2.0 |          2860.322 |    0.1123 |   264924.3 |   2.0 |  11.0 |
          11.0 |              2.0 |          2924.335 |   0.08833 |   265689.6 |   3.0 |  11.0 |
          11.0 |              2.0 |          3190.709 |    0.4361 |   268762.9 |   5.0 |  12.0 |
          11.0 |              2.0 |           333.218 |       0.0 |        0.0 |   1.0 |  12.0 |
          11.0 |              2.0 |          2842.557 |    0.7048 |   264924.3 |   2.0 |  12.0 |
          11.0 |              2.0 |          2905.768 |    0.4798 |   265689.6 |   3.0 |  12.0 |
          11.0 |              2.0 |          2881.992 |    0.3201 |   265689.6 |   3.0 |  13.0 |
          11.0 |              2.0 |          3162.065 |  0.007545 |   268762.9 |   5.0 |  13.0 |
          11.0 |              2.0 |          3150.183 |    0.4261 |   268762.9 |   5.0 |  14.0 |
          11.0 |              2.0 |          2921.798 |    0.2317 |   266281.6 |   4.0 |  14.0 |
          11.0 |              2.0 |          2810.348 |    0.2126 |   264924.3 |   2.0 |  14.0 |
          11.0 |              2.0 |          2872.119 |   0.09558 |   265689.6 |   3.0 |  14.0 |
          11.0 |              2.0 |          2316.358 |   0.01214 |   265689.6 |   3.0 |  15.0 |
          11.0 |              2.0 |          2493.896 |    0.4408 |   268762.9 |   5.0 |  15.0 |
          11.0 |              2.0 |          3087.954 |    0.0127 |   298165.4 |   9.0 |  16.0 |
          11.0 |              2.0 |          2678.882 |    0.3013 |   293220.3 |   6.0 |  16.0 |
          11.0 |              2.0 |          3261.163 |   0.08772 |   299885.4 |  11.0 |  16.0 |
          11.0 |              2.0 |          3328.649 |    0.1453 |   300507.1 |  14.0 |  16.0 |
          11.0 |              2.0 |           1523.81 |       0.0 |   264924.3 |   2.0 |  16.0 |
          11.0 |              2.0 |          3079.633 |   0.01246 |   298165.4 |   9.0 |  17.0 |
          11.0 |              2.0 |          4592.212 |   0.01102 |   308860.8 |  15.0 |  17.0 |
          11.0 |              2.0 |          3318.982 |    0.1918 |   300507.1 |  14.0 |  17.0 |
          11.0 |              2.0 |          3251.884 |   0.05402 |   299885.4 |  11.0 |  17.0 |
