 Atomic Number | Ionization State |  Wavelength (Ang.) |               g_i*f_ik |  E_i(cm^-1) |     i |     j |
          11.0 |              6.0 |   2816.23095703125 | 2.9784998794614437e-13 |        -0.0 |   1.0 |   4.0 |
          11.0 |              6.0 | 489.57000732421875 |     0.0860079973936081 |        -0.0 |   1.0 |   9.0 |
          11.0 |              6.0 | 414.35101318359375 |    0.10005000233650208 |        -0.0 |   1.0 |  11.0 |
          11.0 |              6.0 |  311.9259948730469 |    0.12411999702453613 |        -0.0 |   1.0 |  14.0 |
          11.0 |              6.0 | 123.86699676513672 |     0.0731699988245964 |        -0.0 |   1.0 |  22.0 |
          11.0 |              6.0 |  107.5530014038086 |     0.7360000014305115 |        -0.0 |   1.0 |  38.0 |
          11.0 |              6.0 | 107.01399993896484 |    0.24703000485897064 |        -0.0 |   1.0 |  42.0 |
          11.0 |              6.0 | 103.00399780273438 |   0.030737999826669693 |        -0.0 |   1.0 |  49.0 |
          11.0 |              6.0 |  100.4520034790039 |    0.11939000338315964 |        -0.0 |   1.0 |  53.0 |
          11.0 |              6.0 |  99.49600219726562 |    0.06402400135993958 |        -0.0 |   1.0 |  57.0 |
          11.0 |              6.0 |  96.13400268554688 |   0.006149900145828724 |        -0.0 |   1.0 |  64.0 |
          11.0 |              6.0 |  92.65399932861328 |   0.007507000118494034 |        -0.0 |   1.0 |  85.0 |
          11.0 |              6.0 |   88.2229995727539 |    0.19794000685214996 |        -0.0 |   1.0 | 108.0 |
          11.0 |              6.0 |  87.97699737548828 |    0.02098900079727173 |        -0.0 |   1.0 | 117.0 |
          11.0 |              6.0 |  87.18399810791016 |   0.009550400078296661 |        -0.0 |   1.0 | 128.0 |
          11.0 |              6.0 |  86.71199798583984 |      0.017212999984622 |        -0.0 |   1.0 | 131.0 |
          11.0 |              6.0 |   86.3290023803711 |   0.008706299588084221 |        -0.0 |   1.0 | 132.0 |
          11.0 |              6.0 |   83.4260025024414 |  0.0018212000140920281 |        -0.0 |   1.0 | 138.0 |
          11.0 |              6.0 |  83.01899719238281 |  0.0020210999064147472 |        -0.0 |   1.0 | 141.0 |
          11.0 |              6.0 |  81.74700164794922 |    0.03709099814295769 |        -0.0 |   1.0 | 157.0 |
          11.0 |              6.0 |  81.36799621582031 |   0.006496500223875046 |        -0.0 |   1.0 | 163.0 |
          11.0 |              6.0 |  81.35700225830078 |   0.036090999841690063 |        -0.0 |   1.0 | 164.0 |
          11.0 |              6.0 |              81.25 |   0.008351000025868416 |        -0.0 |   1.0 | 168.0 |
          11.0 |              6.0 |  80.74800109863281 |   0.008117799647152424 |        -0.0 |   1.0 | 180.0 |
          11.0 |              6.0 |  80.08399963378906 |  8.495400152241928e-07 |        -0.0 |   1.0 | 187.0 |
          11.0 |              6.0 |  79.11299896240234 |   0.002554199891164899 |        -0.0 |   1.0 | 201.0 |
          11.0 |              6.0 |  78.22000122070312 |    0.03942200168967247 |        -0.0 |   1.0 | 215.0 |
          11.0 |              6.0 |  78.21199798583984 |    0.01343700010329485 |        -0.0 |   1.0 | 216.0 |
          11.0 |              6.0 |   77.5510025024414 |  1.143799977398885e-06 |        -0.0 |   1.0 | 241.0 |
          11.0 |              6.0 |  77.00299835205078 |  0.0014436000492423773 |        -0.0 |   1.0 | 245.0 |
          11.0 |              6.0 |   76.7030029296875 |   0.002554199891164899 |        -0.0 |   1.0 | 251.0 |
          11.0 |              6.0 |  76.46900177001953 |     0.0268740002065897 |        -0.0 |   1.0 | 257.0 |
          11.0 |              6.0 |  76.46499633789062 |   0.008750800043344498 |        -0.0 |   1.0 | 258.0 |
          11.0 |              6.0 |   76.0739974975586 |   6.30769989129476e-07 |        -0.0 |   1.0 | 284.0 |
          11.0 |              6.0 |  75.91999816894531 |   0.001776800025254488 |        -0.0 |   1.0 | 287.0 |
          11.0 |              6.0 |  75.67400360107422 | 2.7317999411025085e-05 |        -0.0 |   1.0 | 291.0 |
          11.0 |              6.0 |  75.50499725341797 |   0.003675800049677491 |        -0.0 |   1.0 | 299.0 |
          11.0 |              6.0 |  75.37799835205078 |   0.019432999193668365 |        -0.0 |   1.0 | 307.0 |
          11.0 |              6.0 |   75.3740005493164 |   0.006785199977457523 |        -0.0 |   1.0 | 308.0 |
          11.0 |              6.0 |  75.21600341796875 |   0.017324000597000122 |        -0.0 |   1.0 | 334.0 |
          11.0 |              6.0 |  75.10600280761719 |   0.007440300192683935 |        -0.0 |   1.0 | 336.0 |
          11.0 |              6.0 |  74.85299682617188 |   0.001743400003761053 |        -0.0 |   1.0 | 347.0 |
          11.0 |              6.0 |  74.69100189208984 |  0.0010472000576555729 |        -0.0 |   1.0 | 359.0 |
          11.0 |              6.0 |  74.64399719238281 |   0.011215999722480774 |        -0.0 |   1.0 | 364.0 |
          11.0 |              6.0 |  74.64299774169922 |  0.0038978999946266413 |        -0.0 |   1.0 | 365.0 |
          11.0 |              6.0 |  74.47200012207031 | 0.00041089000296778977 |        -0.0 |   1.0 | 406.0 |
          11.0 |              6.0 |  74.35199737548828 | 0.00038312000106088817 |        -0.0 |   1.0 | 412.0 |
          11.0 |              6.0 |  74.28299713134766 |  0.0006396499811671674 |        -0.0 |   1.0 | 416.0 |
          11.0 |              6.0 |  74.12999725341797 |    0.00915060006082058 |        -0.0 |   1.0 | 428.0 |
          11.0 |              6.0 |  74.12799835205078 |   0.003087199991568923 |        -0.0 |   1.0 | 429.0 |
          11.0 |              6.0 |  73.52400207519531 |  0.0013215000508353114 |        -0.0 |   1.0 | 445.0 |
          11.0 |              6.0 |  72.48300170898438 |  0.0016657999949529767 |        -0.0 |   1.0 | 447.0 |
          11.0 |              6.0 |  2872.719970703125 | 2.6677500208904803e-09 |       698.0 |   2.0 |   4.0 |
          11.0 |              6.0 | 1356.5579833984375 |  3.542400150990943e-09 |       698.0 |   2.0 |   5.0 |
          11.0 |              6.0 |   974.051025390625 |  4.338299731898587e-06 |       698.0 |   2.0 |   6.0 |
