 Atomic Number | Ionization State | Wavelength (Ang.) | g_i*f_ik | E_i(cm^-1) |    i |    j |
          11.0 |             11.0 |           10.0284 |      0.0 |        0.0 |  1.0 |  2.0 |
          11.0 |             11.0 |           10.0286 |   0.2772 |        0.0 |  1.0 |  3.0 |
          11.0 |             11.0 |           10.0232 |   0.5552 |        0.0 |  1.0 |  4.0 |
          11.0 |             11.0 |            54.097 |  0.02718 |  9971485.0 |  3.0 |  5.0 |
          11.0 |             11.0 |            54.254 |  0.05436 |  9976866.0 |  4.0 |  5.0 |
          11.0 |             11.0 |            8.4603 |  0.05268 |        0.0 |  1.0 |  6.0 |
          11.0 |             11.0 |            54.105 |   0.2896 |  9971714.0 |  2.0 |  6.0 |
          11.0 |             11.0 |            8.4591 |   0.1055 |        0.0 |  1.0 |  7.0 |
          11.0 |             11.0 |            54.059 |   0.5802 |  9971714.0 |  2.0 |  7.0 |
          11.0 |             11.0 |            54.052 |    1.392 |  9971485.0 |  3.0 |  8.0 |
          11.0 |             11.0 |             54.21 |   0.2783 |  9976866.0 |  4.0 |  8.0 |
          11.0 |             11.0 |            54.194 |    2.505 |  9976866.0 |  4.0 |  9.0 |
          11.0 |             11.0 |            40.076 |  0.00609 |  9971485.0 |  3.0 | 10.0 |
          11.0 |             11.0 |           40.1626 |  0.01218 |  9976866.0 |  4.0 | 10.0 |
          11.0 |             11.0 |           154.613 |   0.0645 | 11819964.0 |  6.0 | 10.0 |
          11.0 |             11.0 |           154.995 |    0.129 | 11821559.0 |  7.0 | 10.0 |
          11.0 |             11.0 |            8.0214 |  0.01931 |        0.0 |  1.0 | 11.0 |
          11.0 |             11.0 |           40.0802 |  0.06846 |  9971714.0 |  2.0 | 11.0 |
          11.0 |             11.0 |           154.636 |   0.3228 | 11820033.0 |  5.0 | 11.0 |
          11.0 |             11.0 |           155.001 |  0.03663 | 11821556.0 |  8.0 | 11.0 |
          11.0 |             11.0 |            8.0209 |  0.03867 |        0.0 |  1.0 | 12.0 |
          11.0 |             11.0 |           40.0694 |   0.1371 |  9971714.0 |  2.0 | 12.0 |
          11.0 |             11.0 |           154.475 |   0.6466 | 11820033.0 |  5.0 | 12.0 |
          11.0 |             11.0 |            154.84 | 0.007328 | 11821556.0 |  8.0 | 12.0 |
          11.0 |             11.0 |           154.967 |  0.06594 | 11822086.0 |  9.0 | 12.0 |
          11.0 |             11.0 |           40.0657 |   0.2436 |  9971485.0 |  3.0 | 13.0 |
          11.0 |             11.0 |           40.1523 |  0.04872 |  9976866.0 |  4.0 | 13.0 |
          11.0 |             11.0 |           154.459 |    1.237 | 11819964.0 |  6.0 | 13.0 |
