 Atomic Number | Ionization State |  Wavelength (Ang.) |               g_i*f_ik |     E_i(cm^-1) |     i |     j |
          10.0 |              4.0 |     2424.412109375 |   3.16227989974327e-12 |            0.0 |   1.0 |   2.0 |
          10.0 |              4.0 |   2421.77392578125 |  1.995279982902609e-11 |            0.0 |   1.0 |   3.0 |
          10.0 |              4.0 |  1601.676025390625 | 4.1688000274042736e-10 |            0.0 |   1.0 |   4.0 |
          10.0 |              4.0 | 1601.5040283203125 | 2.0892800822736035e-09 |            0.0 |   1.0 |   5.0 |
          10.0 |              4.0 |  543.8920288085938 |    0.40455999970436096 |            0.0 |   1.0 |   6.0 |
          10.0 |              4.0 |   542.072998046875 |     0.2679159939289093 |            0.0 |   1.0 |   7.0 |
          10.0 |              4.0 |  541.1279907226562 |    0.13335199654102325 |            0.0 |   1.0 |   8.0 |
          10.0 |              4.0 | 393.57598876953125 | 5.0120001105824485e-05 |            0.0 |   1.0 |   9.0 |
          10.0 |              4.0 |  393.5429992675781 |  5.754399808211019e-06 |            0.0 |   1.0 |  10.0 |
          10.0 |              4.0 | 333.74700927734375 | 2.1379599274951033e-05 |            0.0 |   1.0 |  11.0 |
          10.0 |              4.0 | 312.47100830078125 | 3.3113199151557637e-06 |            0.0 |   1.0 |  12.0 |
          10.0 |              4.0 | 311.77899169921875 |  8.709599796929979e-07 |            0.0 |   1.0 |  13.0 |
          10.0 |              4.0 |  208.8990020751953 |   0.060256000608205795 |            0.0 |   1.0 |  14.0 |
          10.0 |              4.0 | 208.73199462890625 |    0.12022799998521805 |            0.0 |   1.0 |  15.0 |
          10.0 |              4.0 | 208.47999572753906 |    0.18197199702262878 |            0.0 |   1.0 |  16.0 |
          10.0 |              4.0 | 204.70700073242188 | 2.1379599274951033e-05 |            0.0 |   1.0 |  19.0 |
          10.0 |              4.0 |  204.4149932861328 |  8.912399789551273e-05 |            0.0 |   1.0 |  20.0 |
          10.0 |              4.0 |  195.4320068359375 |  4.897599865216762e-05 |            0.0 |   1.0 |  21.0 |
          10.0 |              4.0 |  195.4239959716797 |  5.623599918180844e-06 |            0.0 |   1.0 |  22.0 |
          10.0 |              4.0 | 181.16299438476562 |   9.11999995878432e-06 |            0.0 |   1.0 |  36.0 |
          10.0 |              4.0 | 173.53700256347656 | 1.4125200323178433e-05 |            0.0 |   1.0 |  43.0 |
          10.0 |              4.0 | 173.41799926757812 | 2.7542400857782923e-06 |            0.0 |   1.0 |  44.0 |
          10.0 |              4.0 |  173.2469940185547 |   0.012882400304079056 |            0.0 |   1.0 |  46.0 |
          10.0 |              4.0 |  172.6199951171875 |    0.09332399815320969 |            0.0 |   1.0 |  48.0 |
          10.0 |              4.0 | 172.52499389648438 |    0.01995280012488365 |            0.0 |   1.0 |  49.0 |
          10.0 |              4.0 | 172.50399780273438 |  7.943199875626306e-07 |            0.0 |   1.0 |  50.0 |
          10.0 |              4.0 | 172.49200439453125 |      0.549560010433197 |            0.0 |   1.0 |  51.0 |
          10.0 |              4.0 | 170.36000061035156 | 3.2359199394704774e-05 |            0.0 |   1.0 |  56.0 |
          10.0 |              4.0 |   170.302001953125 | 0.00025703999563120306 |            0.0 |   1.0 |  57.0 |
          10.0 |              4.0 | 165.10000610351562 |  3.715360108458299e-08 |            0.0 |   1.0 |  60.0 |
          10.0 |              4.0 |  164.0970001220703 |  0.0001513559982413426 |            0.0 |   1.0 |  64.0 |
          10.0 |              4.0 |  163.1439971923828 | 6.0255999414948747e-05 |            0.0 |   1.0 |  65.0 |
          10.0 |              4.0 | 163.11700439453125 |  1.698239975667093e-05 |            0.0 |   1.0 |  66.0 |
          10.0 |              4.0 | 162.13800048828125 |  8.709599933354184e-05 |            0.0 |   1.0 |  67.0 |
          10.0 |              4.0 | 159.93299865722656 |     0.4397200047969818 |            0.0 |   1.0 |  68.0 |
          10.0 |              4.0 | 157.86199951171875 |   0.011481599882245064 |            0.0 |   1.0 |  69.0 |
          10.0 |              4.0 |   157.781005859375 |   0.022908799350261688 |            0.0 |   1.0 |  70.0 |
          10.0 |              4.0 | 157.62600708007812 |    0.03311320021748543 |            0.0 |   1.0 |  71.0 |
          10.0 |              4.0 | 157.19500732421875 | 1.2302799632379902e-06 |            0.0 |   1.0 |  72.0 |
          10.0 |              4.0 |  157.0469970703125 |  5.754399808211019e-06 |            0.0 |   1.0 |  73.0 |
          10.0 |              4.0 | 150.51199340820312 | 1.9054799338391604e-07 |            0.0 |   1.0 |  88.0 |
          10.0 |              4.0 |  149.0500030517578 |  9.332399713457562e-06 |            0.0 |   1.0 |  93.0 |
          10.0 |              4.0 | 148.94200134277344 |     0.5128800272941589 |            0.0 |   1.0 |  94.0 |
          10.0 |              4.0 | 148.78700256347656 |     0.3311319947242737 |            0.0 |   1.0 |  96.0 |
          10.0 |              4.0 | 148.66000366210938 |    0.16218000650405884 |            0.0 |   1.0 |  98.0 |
          10.0 |              4.0 | 148.41900634765625 |   0.001023279968649149 |            0.0 |   1.0 | 106.0 |
          10.0 |              4.0 | 148.39100646972656 |  0.0038018799386918545 |            0.0 |   1.0 | 108.0 |
          10.0 |              4.0 |  144.2779998779297 |    0.00309028010815382 |            0.0 |   1.0 | 114.0 |
          10.0 |              4.0 |  144.1510009765625 |   0.007413200102746487 |            0.0 |   1.0 | 115.0 |
          10.0 |              4.0 |  144.0189971923828 |   0.012302800081670284 |            0.0 |   1.0 | 116.0 |
          10.0 |              4.0 | 143.24000549316406 | 1.1748800261557335e-06 |            0.0 |   1.0 | 119.0 |
          10.0 |              4.0 |  142.8769989013672 | 2.1379599274951033e-05 |            0.0 |   1.0 | 123.0 |
          10.0 |              4.0 |  142.5540008544922 | 2.8184000257169828e-05 |            0.0 |   1.0 | 129.0 |
          10.0 |              4.0 | 140.89700317382812 | 1.8197199096903205e-05 |            0.0 |   1.0 | 143.0 |
          10.0 |              4.0 | 140.65199279785156 |    0.46375998854637146 |            0.0 |   1.0 | 147.0 |
          10.0 |              4.0 | 140.34300231933594 |    0.09474799782037735 |            0.0 |   1.0 | 149.0 |
          10.0 |              4.0 | 138.16000366210938 |   0.009743999689817429 |            0.0 |   1.0 | 164.0 |
          10.0 |              4.0 | 136.35299682617188 |    0.31949999928474426 |            0.0 |   1.0 | 182.0 |
          10.0 |              4.0 |   135.406005859375 |   0.004777600057423115 |            0.0 |   1.0 | 200.0 |
          10.0 |              4.0 | 134.80799865722656 |   0.036330800503492355 |            0.0 |   1.0 | 209.0 |
          10.0 |              4.0 | 134.01199340820312 |    0.26576799154281616 |            0.0 |   1.0 | 224.0 |
          10.0 |              4.0 | 133.89199829101562 |    0.06659200042486191 |            0.0 |   1.0 | 229.0 |
          10.0 |              4.0 | 133.03399658203125 |  0.0049772001802921295 |            0.0 |   1.0 | 246.0 |
          10.0 |              4.0 |  132.3780059814453 |    0.11248400062322617 |            0.0 |   1.0 | 262.0 |
          10.0 |              4.0 | 131.80499267578125 |  0.0038523199036717415 |            0.0 |   1.0 | 283.0 |
          10.0 |              4.0 | 131.35299682617188 |    0.07953599840402603 |            0.0 |   1.0 | 302.0 |
          10.0 |              4.0 |  130.9550018310547 |  0.0027474400121718645 |            0.0 |   1.0 | 321.0 |
          10.0 |              4.0 | 130.63099670410156 |    0.05793600156903267 |            0.0 |   1.0 | 343.0 |
          10.0 |              4.0 |     4715.662109375 |  7.413000213674081e-10 |  41234.6015625 |   2.0 |   4.0 |
          10.0 |              4.0 |        4714.171875 |  5.370299760443231e-09 |  41234.6015625 |   2.0 |   5.0 |
          10.0 |              4.0 |  701.1370239257812 |  4.365180211607367e-05 |  41234.6015625 |   2.0 |   6.0 |
          10.0 |              4.0 |  698.1170043945312 |  1.737780053190363e-06 |  41234.6015625 |   2.0 |   7.0 |
          10.0 |              4.0 |   469.822998046875 |      0.955020010471344 |  41234.6015625 |   2.0 |   9.0 |
          10.0 |              4.0 |  469.7760009765625 |    0.06760799884796143 |  41234.6015625 |   2.0 |  10.0 |
          10.0 |              4.0 |  358.6860046386719 |     1.0715399980545044 |  41234.6015625 |   2.0 |  12.0 |
          10.0 |              4.0 | 228.38999938964844 | 0.00016218000382650644 |  41234.6015625 |   2.0 |  15.0 |
          10.0 |              4.0 | 228.08799743652344 |  7.585799903608859e-05 |  41234.6015625 |   2.0 |  16.0 |
