 Atomic Number | Ionization State |  Wavelength (Ang.) |               g_i*f_ik |   E_i(cm^-1) |     i |     j |
          10.0 |              7.0 |  895.1729736328125 |  7.136100066418294e-06 |          0.0 |   1.0 |   3.0 |
          10.0 |              7.0 |  887.2780151367188 |  3.410999954711613e-11 |          0.0 |   1.0 |   4.0 |
          10.0 |              7.0 |   465.218994140625 |     0.3892500102519989 |          0.0 |   1.0 |   5.0 |
          10.0 |              7.0 |  97.49500274658203 |     0.4861299991607666 |          0.0 |   1.0 |  13.0 |
          10.0 |              7.0 |   87.2239990234375 |   0.005921599920839071 |          0.0 |   1.0 |  24.0 |
          10.0 |              7.0 |  82.00800323486328 |    0.03640599921345711 |          0.0 |   1.0 |  44.0 |
          10.0 |              7.0 |  75.76499938964844 |    0.12625999748706818 |          0.0 |   1.0 |  48.0 |
          10.0 |              7.0 |   69.2969970703125 |   0.011707000434398651 |          0.0 |   1.0 |  58.0 |
          10.0 |              7.0 |              69.25 |    0.05125200003385544 |          0.0 |   1.0 |  60.0 |
          10.0 |              7.0 |  67.78700256347656 |   0.005057900212705135 |          0.0 |   1.0 |  92.0 |
          10.0 |              7.0 |   65.8499984741211 |   0.029270000755786896 |          0.0 |   1.0 |  96.0 |
          10.0 |              7.0 |   64.1729965209961 |   0.018533999100327492 |          0.0 |   1.0 | 107.0 |
          10.0 |              7.0 |  63.65800094604492 |  3.917099820682779e-05 |          0.0 |   1.0 | 120.0 |
          10.0 |              7.0 | 63.082000732421875 |    0.01623000018298626 |          0.0 |   1.0 | 140.0 |
          10.0 |              7.0 |  62.96200180053711 | 1.9936000171583146e-05 |          0.0 |   1.0 | 156.0 |
          10.0 |              7.0 |   62.3390007019043 |   0.007233200129121542 |          0.0 |   1.0 | 162.0 |
          10.0 |              7.0 |  61.84299850463867 |   0.005600200034677982 |          0.0 |   1.0 | 174.0 |
          10.0 |              7.0 |  61.44900131225586 |   0.004141800105571747 |          0.0 |   1.0 | 184.0 |
          10.0 |              7.0 |  61.18299865722656 |  0.0031510000117123127 |          0.0 |   1.0 | 186.0 |
          10.0 |              7.0 |  60.97700119018555 |  0.0024546999484300613 |          0.0 |   1.0 | 188.0 |
          10.0 |              7.0 |  60.81399917602539 |  0.0019504999509081244 |          0.0 |   1.0 | 190.0 |
          10.0 |              7.0 | 60.683998107910156 |  0.0015762000111863017 |          0.0 |   1.0 | 193.0 |
          10.0 |              7.0 |  60.57699966430664 |  0.0012922999449074268 |          0.0 |   1.0 | 199.0 |
          10.0 |              7.0 |  60.48899841308594 |  0.0010729000205174088 |          0.0 |   1.0 | 201.0 |
          10.0 |              7.0 |  60.41600036621094 |  0.0009007600019685924 |          0.0 |   1.0 | 203.0 |
          10.0 |              7.0 | 60.354000091552734 |  0.0007636600057594478 |          0.0 |   1.0 | 205.0 |
          10.0 |              7.0 |  60.30099868774414 |  0.0006531199906021357 |          0.0 |   1.0 | 208.0 |
          10.0 |              7.0 |  60.25600051879883 |  0.0005629800143651664 |          0.0 |   1.0 | 210.0 |
          10.0 |              7.0 | 60.215999603271484 |   0.000488739984575659 |          0.0 |   1.0 | 212.0 |
          10.0 |              7.0 |  60.18199920654297 | 0.00042704000952653587 |          0.0 |   1.0 | 214.0 |
          10.0 |              7.0 | 60.152000427246094 |  0.0003753199998755008 |          0.0 |   1.0 | 216.0 |
          10.0 |              7.0 |             60.125 |  0.0003316400106996298 |          0.0 |   1.0 | 217.0 |
          10.0 |              7.0 |  60.10200119018555 |  0.0002945000014733523 |          0.0 |   1.0 | 219.0 |
          10.0 |              7.0 |  60.08100128173828 |  0.0002627199864946306 |          0.0 |   1.0 | 221.0 |
          10.0 |              7.0 |   60.0620002746582 | 0.00023535999935120344 |          0.0 |   1.0 | 223.0 |
          10.0 |              7.0 |  60.04600143432617 | 0.00021167000522837043 |          0.0 |   1.0 | 225.0 |
          10.0 |              7.0 |  60.03099822998047 |  0.0001910699938889593 |          0.0 |   1.0 | 228.0 |
          10.0 |              7.0 |   559.947021484375 |     0.1488499939441681 |  111255.3125 |   2.0 |   7.0 |
          10.0 |              7.0 | 115.33200073242188 |    0.03720499947667122 |  111255.3125 |   2.0 |  11.0 |
          10.0 |              7.0 | 106.04100036621094 |     0.6841800212860107 |  111255.3125 |   2.0 |  17.0 |
