 Atomic Number | Ionization State | Wavelength (Ang.) |               g_i*f_ik |    E_i(cm^-1) |     i |     j |
          10.0 |              1.0 | 746.0360107421875 | 2.4360000128176296e-11 |           0.0 |   1.0 |   2.0 |
          10.0 |              1.0 |  743.719970703125 |     0.0118410000577569 |           0.0 |   1.0 |   3.0 |
          10.0 |              1.0 |   735.89599609375 |    0.14881999790668488 |           0.0 |   1.0 |   5.0 |
          10.0 |              1.0 |  667.448974609375 | 2.6550000598035695e-07 |           0.0 |   1.0 |   8.0 |
          10.0 |              1.0 | 665.2659912109375 | 3.5749999938161636e-07 |           0.0 |   1.0 |  10.0 |
          10.0 |              1.0 | 662.8729858398438 |  6.000000212225132e-07 |           0.0 |   1.0 |  12.0 |
          10.0 |              1.0 |  629.739013671875 |   0.008561300113797188 |           0.0 |   1.0 |  17.0 |
          10.0 |              1.0 |  626.822998046875 |    0.01307700015604496 |           0.0 |   1.0 |  19.0 |
          10.0 |              1.0 | 619.1019897460938 |   0.005688800010830164 |           0.0 |   1.0 |  21.0 |
          10.0 |              1.0 | 618.6719970703125 |   0.016009999439120293 |           0.0 |   1.0 |  25.0 |
          10.0 |              1.0 | 615.6279907226562 |   0.006477400194853544 |           0.0 |   1.0 |  31.0 |
          10.0 |              1.0 | 602.7260131835938 |   0.006025599781423807 |           0.0 |   1.0 |  43.0 |
          10.0 |              1.0 | 600.0369873046875 |    0.00426580011844635 |           0.0 |   1.0 |  45.0 |
          10.0 |              1.0 | 598.8909912109375 |  0.0034674000926315784 |           0.0 |   1.0 |  47.0 |
          10.0 |              1.0 | 598.7059936523438 |   0.010471000336110592 |           0.0 |   1.0 |  51.0 |
          10.0 |              1.0 | 595.9199829101562 |   0.006309600081294775 |           0.0 |   1.0 |  70.0 |
          10.0 |              1.0 | 591.8300170898438 |   0.003019999945536256 |           0.0 |   1.0 |  81.0 |
          10.0 |              1.0 |  590.010986328125 |   0.001819700002670288 |           0.0 |   1.0 |  83.0 |
          10.0 |              1.0 | 589.9110107421875 |   0.005754400044679642 |           0.0 |   1.0 |  87.0 |
          10.0 |              1.0 | 589.1790161132812 |   0.001819700002670288 |           0.0 |   1.0 | 107.0 |
          10.0 |              1.0 | 587.2130126953125 |   0.003630799939855933 |           0.0 |   1.0 | 117.0 |
          10.0 |              1.0 | 586.3140258789062 |  0.0017377999611198902 |           0.0 |   1.0 | 127.0 |
          10.0 |              1.0 | 585.3040161132812 |  0.0010715000098571181 |           0.0 |   1.0 | 133.0 |
          10.0 |              1.0 | 585.2470092773438 |  0.0033883999567478895 |           0.0 |   1.0 | 137.0 |
          10.0 |              1.0 | 583.6890258789062 |  0.0009549899841658771 |           0.0 |   1.0 | 163.0 |
          10.0 |              1.0 |    583.1259765625 |  0.0010471000568941236 |           0.0 |   1.0 | 165.0 |
          10.0 |              1.0 | 582.5980224609375 |   0.002187799895182252 |           0.0 |   1.0 | 169.0 |
          10.0 |              1.0 | 582.5059814453125 |  0.0006309599848464131 |           0.0 |   1.0 | 179.0 |
          10.0 |              1.0 |  582.468994140625 |   0.002187799895182252 |           0.0 |   1.0 | 183.0 |
          10.0 |              1.0 |   7032.4130859375 |     0.3378300070762634 |  134459.28125 |   2.0 |   6.0 |
          10.0 |              1.0 |   6402.2470703125 |     1.3273199796676636 |  134459.28125 |   2.0 |   7.0 |
          10.0 |              1.0 |  6334.42822265625 |      0.290708988904953 |  134459.28125 |   2.0 |   8.0 |
          10.0 |              1.0 |  6217.28076171875 |    0.06648299843072891 |  134459.28125 |   2.0 |   9.0 |
          10.0 |              1.0 |  6143.06298828125 |    0.47889000177383423 |  134459.28125 |   2.0 |  10.0 |
          10.0 |              1.0 |   5975.5341796875 |    0.03384000062942505 |  134459.28125 |   2.0 |  11.0 |
          10.0 |              1.0 |    5944.833984375 |    0.17971199750900269 |  134459.28125 |   2.0 |  12.0 |
          10.0 |              1.0 |  5881.89501953125 |    0.10742400586605072 |  134459.28125 |   2.0 |  14.0 |
          10.0 |              1.0 | 3510.720947265625 |  0.0007321499870158732 |  134459.28125 |   2.0 |  32.0 |
          10.0 |              1.0 | 3472.571044921875 |   0.012915300205349922 |  134459.28125 |   2.0 |  33.0 |
          10.0 |              1.0 |    3464.337890625 |   0.004766100086271763 |  134459.28125 |   2.0 |  34.0 |
          10.0 |              1.0 | 3450.763916015625 |  0.0015422399155795574 |  134459.28125 |   2.0 |  35.0 |
          10.0 |              1.0 | 3447.701904296875 |   0.008475299924612045 |  134459.28125 |   2.0 |  36.0 |
          10.0 |              1.0 |  3375.64794921875 |  4.247700053383596e-05 |  134459.28125 |   2.0 |  38.0 |
          10.0 |              1.0 | 3369.906982421875 |  0.0007729500066488981 |  134459.28125 |   2.0 |  39.0 |
          10.0 |              1.0 |  3369.80810546875 | 0.00011699100286932662 |  134459.28125 |   2.0 |  40.0 |
          10.0 |              1.0 |    2992.455078125 |  0.0010669800685718656 |  134459.28125 |   2.0 |  62.0 |
          10.0 |              1.0 |    2982.669921875 |  0.0030071998480707407 |  134459.28125 |   2.0 |  63.0 |
          10.0 |              1.0 |  2979.81005859375 |  0.0007213499629870057 |  134459.28125 |   2.0 |  64.0 |
          10.0 |              1.0 |  2975.52294921875 |    0.00022811398957856 |  134459.28125 |   2.0 |  65.0 |
          10.0 |              1.0 | 2974.719970703125 |   0.001439310028217733 |  134459.28125 |   2.0 |  66.0 |
          10.0 |              1.0 |  2913.44189453125 | 2.8717800887534395e-05 |  134459.28125 |   2.0 |  76.0 |
          10.0 |              1.0 | 2799.801025390625 | 0.00035331002436578274 |  134459.28125 |   2.0 | 108.0 |
          10.0 |              1.0 |   2795.9599609375 |   0.001018950017169118 |  134459.28125 |   2.0 | 109.0 |
          10.0 |              1.0 | 2794.595947265625 |   0.000250121986027807 |  134459.28125 |   2.0 | 110.0 |
          10.0 |              1.0 | 2792.657958984375 |  6.428999768104404e-05 |  134459.28125 |   2.0 | 111.0 |
          10.0 |              1.0 | 2792.320068359375 |  0.0004657499957829714 |  134459.28125 |   2.0 | 112.0 |
          10.0 |              1.0 | 2704.285888671875 |  0.0001986779971048236 |  134459.28125 |   2.0 | 156.0 |
          10.0 |              1.0 |  2702.56005859375 |  0.0005225699860602617 |  134459.28125 |   2.0 | 157.0 |
          10.0 |              1.0 |  2701.76611328125 | 0.00010426800872664899 |  134459.28125 |   2.0 | 158.0 |
          10.0 |              1.0 | 2700.721923828125 | 4.6574998123105615e-05 |  134459.28125 |   2.0 | 159.0 |
          10.0 |              1.0 |  2700.56201171875 | 0.00028717800159938633 |  134459.28125 |   2.0 | 160.0 |
          10.0 |              1.0 |   7245.1669921875 |    0.22086600959300995 |  134459.28125 |   3.0 |   6.0 |
          10.0 |              1.0 |  6506.52783203125 |     0.9525599479675293 |  134459.28125 |   3.0 |   8.0 |
          10.0 |              1.0 |      6382.9921875 |     0.5885400176048279 |  134459.28125 |   3.0 |   9.0 |
          10.0 |              1.0 |      6304.7890625 |    0.12402299791574478 |  134459.28125 |   3.0 |  10.0 |
          10.0 |              1.0 |   6128.4501953125 |   0.011323800310492516 |  134459.28125 |   3.0 |  11.0 |
          10.0 |              1.0 |   6096.1630859375 |     0.5045100450515747 |  134459.28125 |   3.0 |  12.0 |
          10.0 |              1.0 |    6074.337890625 |    0.33375000953674316 |  134459.28125 |   3.0 |  13.0 |
          10.0 |              1.0 |   6029.9970703125 |    0.09179399907588959 |  134459.28125 |   3.0 |  14.0 |
          10.0 |              1.0 |  5400.56201171875 |   0.003937500063329935 |  134459.28125 |   3.0 |  15.0 |
          10.0 |              1.0 |   3562.9541015625 |   0.001778279896825552 |  134459.28125 |   3.0 |  32.0 |
          10.0 |              1.0 |  3515.18994140625 |  0.0063947997987270355 |  134459.28125 |   3.0 |  34.0 |
          10.0 |              1.0 | 3501.216064453125 |   0.006619799882173538 |  134459.28125 |   3.0 |  35.0 |
          10.0 |              1.0 |  3498.06396484375 |  0.0025704000145196915 |  134459.28125 |   3.0 |  36.0 |
          10.0 |              1.0 | 3454.194091796875 |   0.006622199900448322 |  134459.28125 |   3.0 |  37.0 |
          10.0 |              1.0 |    3423.912109375 |  0.0008709599496796727 |  134459.28125 |   3.0 |  38.0 |
          10.0 |              1.0 | 3418.006103515625 |  0.0020892899483442307 |  134459.28125 |   3.0 |  39.0 |
          10.0 |              1.0 | 3417.903076171875 |    0.00707940012216568 |  134459.28125 |   3.0 |  40.0 |
          10.0 |              1.0 |   3351.7490234375 | 0.00024547200882807374 |  134459.28125 |   3.0 |  41.0 |
          10.0 |              1.0 | 3030.322998046875 |  0.0002344230015296489 |  134459.28125 |   3.0 |  62.0 |
          10.0 |              1.0 |  3017.35595703125 |  0.0013803900219500065 |  134459.28125 |   3.0 |  64.0 |
          10.0 |              1.0 |   3012.9599609375 |   0.000954990042373538 |  134459.28125 |   3.0 |  65.0 |
          10.0 |              1.0 | 3012.136962890625 |  0.0005011800094507635 |  134459.28125 |   3.0 |  66.0 |
          10.0 |              1.0 | 2992.430908203125 |     0.0004897799808532 |  134459.28125 |   3.0 |  75.0 |
          10.0 |              1.0 | 2949.323974609375 | 0.00033885001903399825 |  134459.28125 |   3.0 |  76.0 |
          10.0 |              1.0 | 2949.049072265625 | 0.00017378100892528892 |  134459.28125 |   3.0 |  77.0 |
          10.0 |              1.0 | 2947.302001953125 |  0.0009999900357797742 |  134459.28125 |   3.0 |  78.0 |
          10.0 |              1.0 | 2929.326904296875 | 0.00010232999920845032 |  134459.28125 |   3.0 |  79.0 |
          10.0 |              1.0 | 2832.923095703125 |   7.76250017224811e-05 |  134459.28125 |   3.0 | 108.0 |
          10.0 |              1.0 | 2827.593994140625 | 0.00032357999589294195 |  134459.28125 |   3.0 | 110.0 |
          10.0 |              1.0 | 2825.610107421875 | 0.00026302802143618464 |  134459.28125 |   3.0 | 111.0 |
          10.0 |              1.0 | 2825.263916015625 | 0.00020892900647595525 |  134459.28125 |   3.0 | 112.0 |
          10.0 |              1.0 |  2814.69091796875 | 0.00012022499868180603 |  134459.28125 |   3.0 | 113.0 |
          10.0 |              1.0 | 2767.803955078125 |  4.466700193006545e-05 |  134459.28125 |   3.0 | 128.0 |
          10.0 |              1.0 | 2767.285888671875 | 0.00010232999920845032 |  134459.28125 |   3.0 | 129.0 |
          10.0 |              1.0 | 2766.360107421875 | 0.00026302802143618464 |  134459.28125 |   3.0 | 130.0 |
          10.0 |              1.0 | 2759.322021484375 |   3.38850004482083e-05 |  134459.28125 |   3.0 | 131.0 |
          10.0 |              1.0 | 2735.174072265625 |  2.754239903879352e-05 |  134459.28125 |   3.0 | 156.0 |
          10.0 |              1.0 | 2732.595947265625 |  0.0002884019922930747 |  134459.28125 |   3.0 | 158.0 |
          10.0 |              1.0 | 2731.528076171875 | 0.00018197100143879652 |  134459.28125 |   3.0 | 159.0 |
          10.0 |              1.0 | 2731.364013671875 | 6.0255002608755603e-05 |  134459.28125 |   3.0 | 160.0 |
          10.0 |              1.0 |  2724.77099609375 |  8.128199988277629e-05 |  134459.28125 |   3.0 | 161.0 |
          10.0 |              1.0 |  7438.89794921875 |    0.17257200181484222 |  135888.71875 |   4.0 |   6.0 |
          10.0 |              1.0 |   6532.8818359375 |     0.6222600340843201 |  135888.71875 |   4.0 |   9.0 |
          10.0 |              1.0 |   6266.4951171875 |     1.3200600147247314 |  135888.71875 |   4.0 |  11.0 |
          10.0 |              1.0 |  6163.59423828125 |     0.7487999796867371 |  135888.71875 |   4.0 |  14.0 |
          10.0 |              1.0 | 3609.178955078125 |  0.0005094599910080433 |  135888.71875 |   4.0 |  32.0 |
          10.0 |              1.0 | 3545.843017578125 |  0.0007196399965323508 |  135888.71875 |   4.0 |  35.0 |
          10.0 |              1.0 | 3466.577880859375 |   0.026737499982118607 |  135888.71875 |   4.0 |  38.0 |
          10.0 |              1.0 |  3460.52392578125 |   0.011943299323320389 |  135888.71875 |   4.0 |  39.0 |
          10.0 |              1.0 | 2980.927978515625 |  0.0016486200038343668 |  135888.71875 |   4.0 |  76.0 |
          10.0 |              1.0 |  2980.64697265625 |  0.0034445999190211296 |  135888.71875 |   4.0 |  77.0 |
          10.0 |              1.0 | 2795.618896484375 |  0.0008853600011207163 |  135888.71875 |   4.0 | 128.0 |
          10.0 |              1.0 | 2795.091064453125 | 0.00046464003389701247 |  135888.71875 |   4.0 | 129.0 |
          10.0 |              1.0 |   8082.4580078125 |  0.0035276999697089195 |  135888.71875 |   5.0 |   6.0 |
          10.0 |              1.0 |  7173.93798828125 |     0.1107809990644455 |  135888.71875 |   5.0 |   8.0 |
          10.0 |              1.0 |   7024.0498046875 |    0.04196099936962128 |  135888.71875 |   5.0 |   9.0 |
          10.0 |              1.0 |    6929.466796875 |     0.6266400218009949 |  135888.71875 |   5.0 |  10.0 |
