 Atomic Number | Ionization State |  Wavelength (Ang.) |               g_i*f_ik |        E_i(cm^-1) |     i |     j |
          10.0 |              2.0 |           128100.0 | 4.2296001367958524e-08 |               0.0 |   1.0 |   2.0 |
          10.0 |              2.0 |  460.7279968261719 |     0.6456400156021118 |               0.0 |   1.0 |   3.0 |
          10.0 |              2.0 |  456.3479919433594 | 6.0255999414948747e-05 |               0.0 |   1.0 |   4.0 |
          10.0 |              2.0 | 455.27301025390625 |  0.0009772400371730328 |               0.0 |   1.0 |   5.0 |
          10.0 |              2.0 | 454.65399169921875 | 2.1379599274951033e-05 |               0.0 |   1.0 |   6.0 |
          10.0 |              2.0 |  446.2550048828125 |     0.3388440012931824 |               0.0 |   1.0 |   7.0 |
          10.0 |              2.0 | 445.03900146484375 |    0.06606800109148026 |               0.0 |   1.0 |   8.0 |
          10.0 |              2.0 |    405.85400390625 |    0.26302799582481384 |               0.0 |   1.0 |  10.0 |
          10.0 |              2.0 |  405.8479919433594 |   0.025704000145196915 |               0.0 |   1.0 |  11.0 |
          10.0 |              2.0 |  361.4320068359375 |    0.06309600174427032 |               0.0 |   1.0 |  28.0 |
          10.0 |              2.0 |  358.1419982910156 | 0.00042656000005081296 |               0.0 |   1.0 |  32.0 |
          10.0 |              2.0 |  358.0060119628906 |  0.0007585600251331925 |               0.0 |   1.0 |  33.0 |
          10.0 |              2.0 |  357.8800048828125 | 0.00021379599638748914 |               0.0 |   1.0 |  34.0 |
          10.0 |              2.0 | 356.79998779296875 |    0.12022799998521805 |               0.0 |   1.0 |  37.0 |
          10.0 |              2.0 |  356.5400085449219 |    0.03090279921889305 |               0.0 |   1.0 |  39.0 |
          10.0 |              2.0 |  356.1650085449219 |  0.0005370400031097233 |               0.0 |   1.0 |  41.0 |
          10.0 |              2.0 |  356.1289978027344 |    0.14791199564933777 |               0.0 |   1.0 |  42.0 |
          10.0 |              2.0 |  355.9389953613281 |  0.0026302800979465246 |               0.0 |   1.0 |  43.0 |
          10.0 |              2.0 |   355.885009765625 |    0.07244399935007095 |               0.0 |   1.0 |  44.0 |
          10.0 |              2.0 |  355.8389892578125 |    0.04570800065994263 |               0.0 |   1.0 |  45.0 |
          10.0 |              2.0 |  355.6549987792969 |    0.20417200028896332 |               0.0 |   1.0 |  46.0 |
          10.0 |              2.0 | 355.45098876953125 |   0.021877599880099297 |               0.0 |   1.0 |  47.0 |
          10.0 |              2.0 |  354.9620056152344 |    0.04265600070357323 |               0.0 |   1.0 |  48.0 |
          10.0 |              2.0 | 354.61199951171875 | 1.2882400369562674e-05 |               0.0 |   1.0 |  49.0 |
          10.0 |              2.0 |  354.1390075683594 |  0.0053703999146819115 |               0.0 |   1.0 |  50.0 |
          10.0 |              2.0 |  353.7560119628906 | 0.00017782799841370434 |               0.0 |   1.0 |  51.0 |
          10.0 |              2.0 |  352.9549865722656 |    0.05495600029826164 |               0.0 |   1.0 |  52.0 |
          10.0 |              2.0 |  352.2439880371094 |   0.011219999752938747 |               0.0 |   1.0 |  53.0 |
          10.0 |              2.0 | 331.28399658203125 |  0.0009120000177063048 |               0.0 |   1.0 |  68.0 |
          10.0 |              2.0 |  331.1830139160156 |  0.0018197200261056423 |               0.0 |   1.0 |  69.0 |
          10.0 |              2.0 |    331.06298828125 |   0.000616599980276078 |               0.0 |   1.0 |  70.0 |
          10.0 |              2.0 | 330.78900146484375 |    0.15135599672794342 |               0.0 |   1.0 |  73.0 |
          10.0 |              2.0 |  330.6600036621094 |   0.038904398679733276 |               0.0 |   1.0 |  74.0 |
          10.0 |              2.0 |  330.6050109863281 |  0.0016982400557026267 |               0.0 |   1.0 |  76.0 |
          10.0 |              2.0 | 330.23199462890625 |   0.004786400124430656 |               0.0 |   1.0 |  78.0 |
          10.0 |              2.0 | 330.21600341796875 |   0.008709600195288658 |               0.0 |   1.0 |  79.0 |
