 Atomic Number | Ionization State |  Wavelength (Ang.) |               g_i*f_ik |        E_i(cm^-1) |     i |     j |
          10.0 |              3.0 |           155500.0 |  6.497499782653904e-08 |               0.0 |   1.0 |   2.0 |
          10.0 |              3.0 |           108600.0 |  4.465799949347586e-14 |               0.0 |   1.0 |   3.0 |
          10.0 |              3.0 |     3868.751953125 | 1.9420500763089876e-09 |               0.0 |   1.0 |   4.0 |
          10.0 |              3.0 | 1793.7030029296875 | 1.9245501459846936e-12 |               0.0 |   1.0 |   5.0 |
          10.0 |              3.0 |  489.4949951171875 |     0.6545999646186829 |               0.0 |   1.0 |   6.0 |
          10.0 |              3.0 |  488.0929870605469 |    0.21882501244544983 |               0.0 |   1.0 |   7.0 |
          10.0 |              3.0 |  322.6600036621094 | 2.4738499632803723e-05 |               0.0 |   1.0 |  10.0 |
          10.0 |              3.0 |  313.0429992675781 |     0.2731649875640869 |               0.0 |   1.0 |  11.0 |
          10.0 |              3.0 |     283.1669921875 |    0.30889999866485596 |               0.0 |   1.0 |  15.0 |
          10.0 |              3.0 |  283.1440124511719 |    0.05516500025987625 |               0.0 |   1.0 |  16.0 |
          10.0 |              3.0 | 283.12799072265625 |  0.0036778999492526054 |               0.0 |   1.0 |  17.0 |
          10.0 |              3.0 | 267.07000732421875 |     0.1531900018453598 |               0.0 |   1.0 |  22.0 |
          10.0 |              3.0 |  267.0509948730469 |    0.05106499791145325 |               0.0 |   1.0 |  23.0 |
          10.0 |              3.0 | 251.13499450683594 |   0.008766500279307365 |               0.0 |   1.0 |  38.0 |
          10.0 |              3.0 |  251.1320037841797 |    0.13149499893188477 |               0.0 |   1.0 |  39.0 |
          10.0 |              3.0 |  251.1230010986328 |     0.7363999485969543 |               0.0 |   1.0 |  40.0 |
          10.0 |              3.0 | 238.09500122070312 |    0.05663000047206879 |               0.0 |   1.0 |  54.0 |
          10.0 |              3.0 | 228.91400146484375 |     0.3367000222206116 |               0.0 |   1.0 |  66.0 |
          10.0 |              3.0 |  228.8780059814453 |   0.060134999454021454 |               0.0 |   1.0 |  67.0 |
          10.0 |              3.0 |    228.85400390625 |   0.004009400028735399 |               0.0 |   1.0 |  68.0 |
          10.0 |              3.0 | 225.03599548339844 |     0.5639500021934509 |               0.0 |   1.0 |  73.0 |
          10.0 |              3.0 | 225.02200317382812 |     0.1879899948835373 |               0.0 |   1.0 |  74.0 |
          10.0 |              3.0 | 224.90699768066406 |    0.24903999269008636 |               0.0 |   1.0 |  76.0 |
          10.0 |              3.0 | 222.76499938964844 |     0.4104999899864197 |               0.0 |   1.0 |  78.0 |
          10.0 |              3.0 | 218.43600463867188 |     0.0500199981033802 |               0.0 |   1.0 |  82.0 |
          10.0 |              3.0 | 218.15199279785156 |   0.023584000766277313 |               0.0 |   1.0 |  86.0 |
          10.0 |              3.0 |  217.8280029296875 |      0.439424991607666 |               0.0 |   1.0 |  88.0 |
          10.0 |              3.0 | 217.39100646972656 |  0.0014806999824941158 |               0.0 |   1.0 |  91.0 |
          10.0 |              3.0 | 212.03799438476562 |     0.2274949997663498 |               0.0 |   1.0 |  98.0 |
          10.0 |              3.0 |   209.802001953125 |   0.011514000594615936 |               0.0 |   1.0 | 107.0 |
