 Atomic Number | Ionization State | Wavelength (Ang.) |  g_i*f_ik | E_i(cm^-1) |    i |    j |
          10.0 |              9.0 |           13.6987 |       0.0 |        0.0 |  1.0 |  2.0 |
          10.0 |              9.0 |          1277.702 |   0.02451 |        0.0 |  2.0 |  3.0 |
          10.0 |              9.0 |           13.5529 | 0.0003454 |        0.0 |  1.0 |  4.0 |
          10.0 |              9.0 |          1272.807 |   0.07436 |        0.0 |  2.0 |  4.0 |
          10.0 |              9.0 |             13.55 |       0.0 |        0.0 |  1.0 |  5.0 |
          10.0 |              9.0 |          1248.284 |    0.1271 |        0.0 |  2.0 |  5.0 |
          10.0 |              9.0 |           13.4471 |    0.7356 |        0.0 |  1.0 |  7.0 |
          10.0 |              9.0 |            80.335 |   0.01736 |        0.0 |  3.0 |  8.0 |
          10.0 |              9.0 |            80.354 |   0.05202 |        0.0 |  4.0 |  8.0 |
          10.0 |              9.0 |            80.454 |   0.08659 |        0.0 |  5.0 |  8.0 |
          10.0 |              9.0 |            84.286 | 2.303e-05 |        0.0 |  7.0 |  8.0 |
          10.0 |              9.0 |            74.379 |    0.1192 |        0.0 |  2.0 |  9.0 |
          10.0 |              9.0 |            11.568 | 8.139e-05 |        0.0 |  1.0 | 10.0 |
          10.0 |              9.0 |            74.374 |    0.3575 |        0.0 |  2.0 | 10.0 |
          10.0 |              9.0 |            79.251 | 0.0002009 |        0.0 |  6.0 | 10.0 |
          10.0 |              9.0 |            74.348 |    0.5965 |        0.0 |  2.0 | 11.0 |
          10.0 |              9.0 |            78.966 | 2.813e-05 |        0.0 |  4.0 | 12.0 |
          10.0 |              9.0 |             82.76 |   0.05745 |        0.0 |  7.0 | 12.0 |
          10.0 |              9.0 |            78.199 |    0.6717 |        0.0 |  3.0 | 13.0 |
          10.0 |              9.0 |            78.217 |    0.5032 |        0.0 |  4.0 | 13.0 |
          10.0 |              9.0 |            78.312 |   0.03351 |        0.0 |  5.0 | 13.0 |
          10.0 |              9.0 |            81.938 |  0.000226 |        0.0 |  7.0 | 13.0 |
          10.0 |              9.0 |             78.21 |     1.473 |        0.0 |  4.0 | 14.0 |
          10.0 |              9.0 |            78.304 |    0.4855 |        0.0 |  5.0 | 14.0 |
          10.0 |              9.0 |             81.93 |   0.05878 |        0.0 |  7.0 | 14.0 |
          10.0 |              9.0 |              78.3 |     2.815 |        0.0 |  5.0 | 15.0 |
