 Atomic Number | Ionization State | Wavelength (Ang.) |  g_i*f_ik | E_i(cm^-1) |    i |    j |
          10.0 |             10.0 |           12.1373 |       0.0 |        0.0 |  1.0 |  2.0 |
          10.0 |             10.0 |           12.1375 |    0.2764 |        0.0 |  1.0 |  3.0 |
          10.0 |             10.0 |           12.1321 |    0.5522 |        0.0 |  1.0 |  4.0 |
          10.0 |             10.0 |            65.484 |   0.02689 |  8238933.5 |  3.0 |  5.0 |
          10.0 |             10.0 |            65.642 |   0.05496 |  8242606.0 |  4.0 |  5.0 |
          10.0 |             10.0 |           10.2396 |    0.0521 |        0.0 |  1.0 |  6.0 |
          10.0 |             10.0 |            65.493 |     0.289 |  8239096.5 |  2.0 |  6.0 |
          10.0 |             10.0 |            65.644 |       0.0 |  8242606.0 |  4.0 |  6.0 |
          10.0 |             10.0 |           10.2385 |    0.1046 |        0.0 |  1.0 |  7.0 |
          10.0 |             10.0 |            65.446 |    0.5752 |  8239096.5 |  2.0 |  7.0 |
          10.0 |             10.0 |            65.447 |       0.0 |  8239096.5 |  2.0 |  8.0 |
          10.0 |             10.0 |             65.44 |     1.387 |  8238933.5 |  3.0 |  8.0 |
          10.0 |             10.0 |            65.597 |    0.2781 |  8242606.0 |  4.0 |  8.0 |
          10.0 |             10.0 |           10.2381 |       0.0 |        0.0 |  1.0 |  9.0 |
          10.0 |             10.0 |            65.431 |       0.0 |  8239096.5 |  2.0 |  9.0 |
          10.0 |             10.0 |            65.582 |     2.502 |  8242606.0 |  4.0 |  9.0 |
          10.0 |             10.0 |           48.5113 |  0.005899 |  8238933.5 |  3.0 | 10.0 |
          10.0 |             10.0 |           48.5978 |   0.01219 |  8242606.0 |  4.0 | 10.0 |
          10.0 |             10.0 |           187.148 |   0.06402 |  9765975.0 |  6.0 | 10.0 |
          10.0 |             10.0 |            187.53 |    0.1303 |  9767063.0 |  7.0 | 10.0 |
          10.0 |             10.0 |           187.657 |       0.0 |  9767423.0 |  9.0 | 10.0 |
          10.0 |             10.0 |            9.7085 |   0.01892 |        0.0 |  1.0 | 11.0 |
          10.0 |             10.0 |           48.5156 |   0.06787 |  8239096.5 |  2.0 | 11.0 |
          10.0 |             10.0 |           48.5983 |       0.0 |  8242606.0 |  4.0 | 11.0 |
          10.0 |             10.0 |           187.173 |    0.3222 |  9766023.0 |  5.0 | 11.0 |
          10.0 |             10.0 |           187.537 |   0.03709 |  9767061.0 |  8.0 | 11.0 |
          10.0 |             10.0 |             9.708 |    0.0381 |        0.0 |  1.0 | 12.0 |
          10.0 |             10.0 |           48.5048 |    0.1357 |  8239096.5 |  2.0 | 12.0 |
          10.0 |             10.0 |           187.012 |    0.6403 |  9766023.0 |  5.0 | 12.0 |
          10.0 |             10.0 |           187.376 |  0.007301 |  9767061.0 |  8.0 | 12.0 |
          10.0 |             10.0 |           187.503 |   0.06622 |  9767423.0 |  9.0 | 12.0 |
          10.0 |             10.0 |            48.501 |    0.2429 |  8238933.5 |  3.0 | 13.0 |
          10.0 |             10.0 |           48.5875 |   0.04857 |  8242606.0 |  4.0 | 13.0 |
          10.0 |             10.0 |           186.995 |     1.229 |  9765975.0 |  6.0 | 13.0 |
          10.0 |             10.0 |            9.7079 |       0.0 |        0.0 |  1.0 | 14.0 |
          10.0 |             10.0 |           48.5012 |       0.0 |  8239096.5 |  2.0 | 14.0 |
          10.0 |             10.0 |           48.5839 |    0.4378 |  8242606.0 |  4.0 | 14.0 |
          10.0 |             10.0 |           186.959 |       0.0 |  9766023.0 |  5.0 | 14.0 |
          10.0 |             10.0 |           187.323 |     2.222 |  9767063.0 |  7.0 | 14.0 |
          10.0 |             10.0 |           48.4974 |       0.0 |  8238933.5 |  3.0 | 15.0 |
          10.0 |             10.0 |           186.942 |       0.0 |  9765975.0 |  6.0 | 15.0 |
          10.0 |             10.0 |           187.322 |     4.066 |  9767061.0 |  8.0 | 15.0 |
          10.0 |             10.0 |           187.449 |    0.2906 |  9767423.0 |  9.0 | 15.0 |
          10.0 |             10.0 |           48.5821 |       0.0 |  8242606.0 |  4.0 | 16.0 |
          10.0 |             10.0 |           187.296 |       0.0 |  9767063.0 |  7.0 | 16.0 |
          10.0 |             10.0 |           187.423 |     5.812 |  9767423.0 |  9.0 | 16.0 |
          10.0 |             10.0 |            43.316 |   0.00226 |  8238933.5 |  3.0 | 17.0 |
          10.0 |             10.0 |            43.385 |  0.004784 |  8242606.0 |  4.0 | 17.0 |
          10.0 |             10.0 |           127.947 |   0.01449 |  9765975.0 |  6.0 | 17.0 |
          10.0 |             10.0 |           128.125 |    0.0297 |  9767063.0 |  7.0 | 17.0 |
          10.0 |             10.0 |           128.185 |       0.0 |  9767423.0 |  9.0 | 17.0 |
          10.0 |             10.0 |           404.435 |     0.105 | 10300290.0 | 11.0 | 17.0 |
          10.0 |             10.0 |           405.188 |    0.2135 | 10300749.0 | 12.0 | 17.0 |
          10.0 |             10.0 |            9.4809 |  0.008965 |        0.0 |  1.0 | 18.0 |
          10.0 |             10.0 |           43.3193 |   0.02741 |  8239096.5 |  2.0 | 18.0 |
          10.0 |             10.0 |           43.3852 |       0.0 |  8242606.0 |  4.0 | 18.0 |
          10.0 |             10.0 |           127.957 |   0.07989 |  9766023.0 |  5.0 | 18.0 |
          10.0 |             10.0 |           128.127 |  0.007347 |  9767061.0 |  8.0 | 18.0 |
          10.0 |             10.0 |           404.486 |    0.3614 | 10300310.0 | 10.0 | 18.0 |
          10.0 |             10.0 |           405.204 |   0.09369 | 10300748.0 | 13.0 | 18.0 |
          10.0 |             10.0 |            9.4807 |   0.01811 |        0.0 |  1.0 | 19.0 |
          10.0 |             10.0 |           43.3149 |   0.05497 |  8239096.5 |  2.0 | 19.0 |
          10.0 |             10.0 |           127.918 |    0.1595 |  9766023.0 |  5.0 | 19.0 |
          10.0 |             10.0 |           128.088 |   0.00145 |  9767061.0 |  8.0 | 19.0 |
          10.0 |             10.0 |           128.148 |   0.01323 |  9767423.0 |  9.0 | 19.0 |
          10.0 |             10.0 |           404.102 |    0.7179 | 10300310.0 | 10.0 | 19.0 |
          10.0 |             10.0 |           404.818 |   0.01847 | 10300748.0 | 13.0 | 19.0 |
          10.0 |             10.0 |           405.069 |    0.1674 | 10300901.0 | 14.0 | 19.0 |
          10.0 |             10.0 |           43.3118 |   0.08813 |  8238933.5 |  3.0 | 20.0 |
          10.0 |             10.0 |           43.3808 |   0.01764 |  8242606.0 |  4.0 | 20.0 |
          10.0 |             10.0 |            127.91 |    0.2768 |  9765975.0 |  6.0 | 20.0 |
          10.0 |             10.0 |           128.089 |   0.05553 |  9767063.0 |  7.0 | 20.0 |
          10.0 |             10.0 |           404.069 |     1.209 | 10300290.0 | 11.0 | 20.0 |
          10.0 |             10.0 |            404.82 |    0.2435 | 10300749.0 | 12.0 | 20.0 |
          10.0 |             10.0 |            9.4806 |       0.0 |        0.0 |  1.0 | 21.0 |
          10.0 |             10.0 |           43.3794 |    0.1592 |  8242606.0 |  4.0 | 21.0 |
          10.0 |             10.0 |           128.076 |       0.5 |  9767063.0 |  7.0 | 21.0 |
          10.0 |             10.0 |           404.692 |     2.188 | 10300749.0 | 12.0 | 21.0 |
          10.0 |             10.0 |           404.941 |  0.003539 | 10300900.0 | 15.0 | 21.0 |
          10.0 |             10.0 |           405.066 |   0.07108 | 10300977.0 | 16.0 | 21.0 |
          10.0 |             10.0 |           43.3104 |       0.0 |  8238933.5 |  3.0 | 22.0 |
          10.0 |             10.0 |           128.135 |   0.04468 |  9767423.0 |  9.0 | 22.0 |
