 Atomic Number | Ionization State | Wavelength (Ang.) |  g_i*f_ik | E_i(cm^-1) |     i |     j |
          28.0 |             11.0 |            211.43 | 0.0003823 |        0.0 |   1.0 |   3.0 |
          28.0 |             11.0 |         12531.328 |       0.0 |   472970.0 |   3.0 |   4.0 |
          28.0 |             11.0 |           207.922 |       0.0 |        0.0 |   1.0 |   4.0 |
          28.0 |             11.0 |          8130.081 |       0.0 |   480950.0 |   4.0 |   5.0 |
          28.0 |             11.0 |         24307.244 |       0.0 |   493250.0 |   5.0 |   6.0 |
          28.0 |             11.0 |          4099.369 |       0.0 |   472970.0 |   3.0 |   6.0 |
          28.0 |             11.0 |           6092.36 |       0.0 |   480950.0 |   4.0 |   6.0 |
          28.0 |             11.0 |            201.06 |       0.0 |        0.0 |   1.0 |   6.0 |
          28.0 |             11.0 |         15135.462 |       0.0 |   497364.0 |   6.0 |   7.0 |
          28.0 |             11.0 |           4343.86 |       0.0 |   480950.0 |   4.0 |   7.0 |
          28.0 |             11.0 |          2885.087 |       0.0 |   469310.0 |   2.0 |   7.0 |
          28.0 |             11.0 |          3225.702 |       0.0 |   472970.0 |   3.0 |   7.0 |
          28.0 |             11.0 |           198.424 |       0.0 |        0.0 |   1.0 |   7.0 |
          28.0 |             11.0 |          4284.857 |       0.0 |   503971.0 |   7.0 |   8.0 |
          28.0 |             11.0 |          2936.082 |       0.0 |   493250.0 |   5.0 |   8.0 |
          28.0 |             11.0 |          1840.299 |       0.0 |   472970.0 |   3.0 |   8.0 |
          28.0 |             11.0 |          3339.456 |       0.0 |   497364.0 |   6.0 |   8.0 |
          28.0 |             11.0 |          2157.078 |       0.0 |   480950.0 |   4.0 |   8.0 |
          28.0 |             11.0 |           189.642 |       0.0 |        0.0 |   1.0 |   8.0 |
          28.0 |             11.0 |           3000.93 |       0.0 |   497364.0 |   6.0 |   9.0 |
          28.0 |             11.0 |          3743.075 |       0.0 |   503971.0 |   7.0 |   9.0 |
          28.0 |             11.0 |          2010.576 |       0.0 |   480950.0 |   4.0 |   9.0 |
          28.0 |             11.0 |         29603.316 |       0.0 |   527309.0 |   8.0 |   9.0 |
          28.0 |             11.0 |          1629.275 |       0.0 |   469310.0 |   2.0 |   9.0 |
          28.0 |             11.0 |          2671.154 |       0.0 |   493250.0 |   5.0 |   9.0 |
          28.0 |             11.0 |          1732.592 |       0.0 |   472970.0 |   3.0 |   9.0 |
          28.0 |             11.0 |           188.435 |       0.0 |        0.0 |   1.0 |   9.0 |
          28.0 |             11.0 |           186.975 |  0.008152 |        0.0 |   1.0 |  10.0 |
          28.0 |             11.0 |          2391.429 |       0.0 |   497364.0 |   6.0 |  11.0 |
          28.0 |             11.0 |          2840.183 |       0.0 |   503971.0 |   7.0 |  11.0 |
          28.0 |             11.0 |          1717.328 |       0.0 |   480950.0 |   4.0 |  11.0 |
          28.0 |             11.0 |           8423.89 |       0.0 |   527309.0 |   8.0 |  11.0 |
          28.0 |             11.0 |         22988.506 |       0.0 |   534830.0 |  10.0 |  11.0 |
          28.0 |             11.0 |         11774.402 |       0.0 |   530687.0 |   9.0 |  11.0 |
          28.0 |             11.0 |          1431.229 |       0.0 |   469310.0 |   2.0 |  11.0 |
          28.0 |             11.0 |          2177.226 |       0.0 |   493250.0 |   5.0 |  11.0 |
          28.0 |             11.0 |          1510.346 |       0.0 |   472970.0 |   3.0 |  11.0 |
          28.0 |             11.0 |           185.467 |       0.0 |        0.0 |   1.0 |  11.0 |
          28.0 |             11.0 |          2547.836 |       0.0 |   503971.0 |   7.0 |  12.0 |
          28.0 |             11.0 |           6284.96 |       0.0 |   527309.0 |   8.0 |  12.0 |
          28.0 |             11.0 |          2001.201 |       0.0 |   493250.0 |   5.0 |  12.0 |
          28.0 |             11.0 |          7978.936 |       0.0 |   530687.0 |   9.0 |  12.0 |
          28.0 |             11.0 |         24752.475 |       0.0 |   539180.0 |  11.0 |  12.0 |
          28.0 |             11.0 |          1423.488 |       0.0 |   472970.0 |   3.0 |  12.0 |
          28.0 |             11.0 |           2180.74 |       0.0 |   497364.0 |   6.0 |  12.0 |
          28.0 |             11.0 |           1605.91 |       0.0 |   480950.0 |   4.0 |  12.0 |
          28.0 |             11.0 |           184.087 |       0.0 |        0.0 |   1.0 |  12.0 |
          28.0 |             11.0 |           148.377 |     2.724 |        0.0 |   1.0 |  13.0 |
          28.0 |             11.0 |           288.302 |    0.1841 |   503971.0 |   7.0 |  14.0 |
          28.0 |             11.0 |           268.914 |  0.008895 |   480950.0 |   4.0 |  14.0 |
          28.0 |             11.0 |            317.47 |   0.07463 |   534830.0 |  10.0 |  14.0 |
          28.0 |             11.0 |           313.756 |  0.002462 |   530687.0 |   9.0 |  14.0 |
          28.0 |             11.0 |           322.129 |    0.0116 |   539180.0 |  11.0 |  14.0 |
          28.0 |             11.0 |           260.209 |    0.0703 |   469310.0 |   2.0 |  14.0 |
          28.0 |             11.0 |            593.81 | 8.479e-05 |   673960.0 |  13.0 |  14.0 |
          28.0 |             11.0 |           262.997 |   0.06939 |   472970.0 |   3.0 |  14.0 |
          28.0 |             11.0 |           281.713 |     0.275 |   497364.0 |   6.0 |  15.0 |
          28.0 |             11.0 |           287.055 |  0.005944 |   503971.0 |   7.0 |  15.0 |
          28.0 |             11.0 |           267.829 |   0.08259 |   480950.0 |   4.0 |  15.0 |
          28.0 |             11.0 |           308.736 |   0.01468 |   527309.0 |   8.0 |  15.0 |
          28.0 |             11.0 |            315.96 |   0.04355 |   534830.0 |  10.0 |  15.0 |
          28.0 |             11.0 |            312.28 |   0.07806 |   530687.0 |   9.0 |  15.0 |
          28.0 |             11.0 |           320.573 |   0.05891 |   539180.0 |  11.0 |  15.0 |
          28.0 |             11.0 |           324.631 | 0.0005734 |   543220.0 |  12.0 |  15.0 |
          28.0 |             11.0 |           588.547 | 0.0006813 |   673960.0 |  13.0 |  15.0 |
          28.0 |             11.0 |            261.96 |    0.1426 |   472970.0 |   3.0 |  15.0 |
          28.0 |             11.0 |            279.69 |  0.006622 |   497364.0 |   6.0 |  16.0 |
          28.0 |             11.0 |           284.955 | 0.0007699 |   503971.0 |   7.0 |  16.0 |
          28.0 |             11.0 |             266.0 |    0.2664 |   480950.0 |   4.0 |  16.0 |
          28.0 |             11.0 |           306.308 |    0.1666 |   527309.0 |   8.0 |  16.0 |
          28.0 |             11.0 |           309.796 |   0.01191 |   530687.0 |   9.0 |  16.0 |
          28.0 |             11.0 |           317.956 |   0.05625 |   539180.0 |  11.0 |  16.0 |
          28.0 |             11.0 |           321.947 |    0.1061 |   543220.0 |  12.0 |  16.0 |
          28.0 |             11.0 |           276.508 |    0.3782 |   493250.0 |   5.0 |  16.0 |
          28.0 |             11.0 |           291.873 |  0.004829 |   497364.0 |   6.0 |  17.0 |
          28.0 |             11.0 |           297.612 |   0.01159 |   503971.0 |   7.0 |  17.0 |
          28.0 |             11.0 |           278.529 |  0.003496 |   480950.0 |   4.0 |  17.0 |
          28.0 |             11.0 |           319.826 |   0.07551 |   527309.0 |   8.0 |  17.0 |
          28.0 |             11.0 |           327.709 | 0.0003873 |   534830.0 |  10.0 |  17.0 |
          28.0 |             11.0 |           323.319 |   0.07814 |   530687.0 |   9.0 |  17.0 |
          28.0 |             11.0 |           332.448 |   0.05853 |   539180.0 |  11.0 |  17.0 |
          28.0 |             11.0 |           336.974 |    0.1257 |   543220.0 |  12.0 |  17.0 |
          28.0 |             11.0 |           602.341 |   0.02674 |   673960.0 |  13.0 |  17.0 |
          28.0 |             11.0 |           272.473 |  0.001037 |   472970.0 |   3.0 |  17.0 |
          28.0 |             11.0 |           119.051 |       0.0 |        0.0 |   1.0 |  17.0 |
          28.0 |             11.0 |           219.687 | 6.284e-07 |   497364.0 |   6.0 |  18.0 |
          28.0 |             11.0 |           222.922 | 5.641e-07 |   503971.0 |   7.0 |  18.0 |
          28.0 |             11.0 |           211.151 | 0.0002104 |   480950.0 |   4.0 |  18.0 |
          28.0 |             11.0 |            235.78 | 1.246e-05 |   527309.0 |   8.0 |  18.0 |
          28.0 |             11.0 |            239.97 | 4.614e-07 |   534830.0 |  10.0 |  18.0 |
          28.0 |             11.0 |           237.842 |   1.6e-06 |   530687.0 |   9.0 |  18.0 |
          28.0 |             11.0 |           242.622 | 3.033e-06 |   539180.0 |  11.0 |  18.0 |
          28.0 |             11.0 |           244.939 | 1.879e-06 |   543220.0 |  12.0 |  18.0 |
          28.0 |             11.0 |           370.188 | 1.594e-08 |   673960.0 |  13.0 |  18.0 |
          28.0 |             11.0 |           207.486 | 8.905e-05 |   472970.0 |   3.0 |  18.0 |
          28.0 |             11.0 |            237.87 | 0.0002998 |   534830.0 |  10.0 |  19.0 |
          28.0 |             11.0 |           365.215 | 3.194e-07 |   673960.0 |  13.0 |  19.0 |
          28.0 |             11.0 |           205.914 | 0.0007103 |   472970.0 |   3.0 |  19.0 |
          28.0 |             11.0 |           220.852 | 0.0005581 |   503971.0 |   7.0 |  20.0 |
          28.0 |             11.0 |           209.293 | 0.0007957 |   480950.0 |   4.0 |  20.0 |
          28.0 |             11.0 |           237.574 |  4.67e-06 |   534830.0 |  10.0 |  20.0 |
          28.0 |             11.0 |           235.487 |  0.000177 |   530687.0 |   9.0 |  20.0 |
          28.0 |             11.0 |           240.173 | 0.0003567 |   539180.0 |  11.0 |  20.0 |
          28.0 |             11.0 |           203.982 | 0.0001753 |   469310.0 |   2.0 |  20.0 |
          28.0 |             11.0 |           364.517 | 1.487e-07 |   673960.0 |  13.0 |  20.0 |
          28.0 |             11.0 |           205.692 | 0.0008539 |   472970.0 |   3.0 |  20.0 |
          28.0 |             11.0 |           217.258 |  0.001363 |   497364.0 |   6.0 |  21.0 |
          28.0 |             11.0 |           220.422 | 3.659e-06 |   503971.0 |   7.0 |  21.0 |
