 Atomic Number | Ionization State | Wavelength (Ang.) |  g_i*f_ik | E_i(cm^-1) |    i |    j |
          28.0 |             13.0 |          5117.236 |       0.0 |        0.0 |  1.0 |  2.0 |
          28.0 |             13.0 |          4985.045 |       0.0 |        0.0 |  1.0 |  3.0 |
          28.0 |             13.0 |         192976.06 |       0.0 |    19541.8 |  2.0 |  3.0 |
          28.0 |             13.0 |          2126.171 |       0.0 |        0.0 |  1.0 |  4.0 |
          28.0 |             13.0 |          3637.541 |       0.0 |    19541.8 |  2.0 |  4.0 |
          28.0 |             13.0 |          3707.425 |       0.0 |    20060.0 |  3.0 |  4.0 |
          28.0 |             13.0 |          1022.117 |       0.0 |        0.0 |  1.0 |  5.0 |
          28.0 |             13.0 |          1277.231 |       0.0 |    19541.8 |  2.0 |  5.0 |
          28.0 |             13.0 |          1968.376 |       0.0 |    47032.9 |  4.0 |  5.0 |
          28.0 |             13.0 |           302.833 |    0.2419 |        0.0 |  1.0 |  6.0 |
          28.0 |             13.0 |           321.882 |   0.08512 |    19541.8 |  2.0 |  6.0 |
          28.0 |             13.0 |            353.13 |   0.01287 |    47032.9 |  4.0 |  6.0 |
          28.0 |             13.0 |           290.566 |   0.08937 |        0.0 |  1.0 |  7.0 |
          28.0 |             13.0 |           308.058 |   0.05003 |    19541.8 |  2.0 |  7.0 |
          28.0 |             13.0 |           308.551 |   0.06193 |    20060.0 |  3.0 |  7.0 |
          28.0 |             13.0 |           336.561 | 0.0003491 |    47032.9 |  4.0 |  7.0 |
          28.0 |             13.0 |           405.976 |  0.004284 |    97836.2 |  5.0 |  7.0 |
          28.0 |             13.0 |           308.714 |   0.06679 |    19541.8 |  2.0 |  8.0 |
          28.0 |             13.0 |            237.58 |   0.01051 |        0.0 |  1.0 |  9.0 |
          28.0 |             13.0 |           249.148 | 0.0009424 |    19541.8 |  2.0 |  9.0 |
          28.0 |             13.0 |            249.47 | 0.0006699 |    20060.0 |  3.0 |  9.0 |
          28.0 |             13.0 |           267.468 |    0.3422 |    47032.9 |  4.0 |  9.0 |
          28.0 |             13.0 |           309.527 |  0.004614 |    97836.2 |  5.0 |  9.0 |
