 Atomic Number | Ionization State | Wavelength (Ang.) |  g_i*f_ik | E_i(cm^-1) |    i |     j |
          28.0 |             14.0 |          2185.792 |       0.0 |        0.0 |  1.0 |   2.0 |
          28.0 |             14.0 |          1866.821 |       0.0 |        0.0 |  1.0 |   3.0 |
          28.0 |             14.0 |          12792.62 |       0.0 |  45750.008 |  2.0 |   3.0 |
          28.0 |             14.0 |           1174.66 |       0.0 |        0.0 |  1.0 |   4.0 |
          28.0 |             14.0 |          2539.295 |       0.0 |  45750.008 |  2.0 |   4.0 |
          28.0 |             14.0 |          3168.166 |       0.0 |  53567.016 |  3.0 |   4.0 |
          28.0 |             14.0 |          1034.698 |       0.0 |        0.0 |  1.0 |   5.0 |
          28.0 |             14.0 |          1964.769 |       0.0 |  45750.008 |  2.0 |   5.0 |
          28.0 |             14.0 |          2321.287 |       0.0 |  53567.016 |  3.0 |   5.0 |
          28.0 |             14.0 |          8683.911 |       0.0 |  85131.016 |  4.0 |   5.0 |
          28.0 |             14.0 |           316.254 |    0.1719 |        0.0 |  1.0 |   6.0 |
          28.0 |             14.0 |           369.752 |  0.003856 |  45750.008 |  2.0 |   6.0 |
          28.0 |             14.0 |           380.758 |  0.005296 |  53567.016 |  3.0 |   6.0 |
          28.0 |             14.0 |           455.467 | 0.0005705 |   96646.56 |  5.0 |   6.0 |
          28.0 |             14.0 |           302.271 |    0.1194 |        0.0 |  1.0 |   7.0 |
          28.0 |             14.0 |            350.78 | 3.735e-05 |  45750.008 |  2.0 |   7.0 |
          28.0 |             14.0 |            360.67 | 0.0007596 |  53567.016 |  3.0 |   7.0 |
          28.0 |             14.0 |           407.004 | 2.414e-05 |  85131.016 |  4.0 |   7.0 |
          28.0 |             14.0 |           427.018 |  0.001976 |   96646.56 |  5.0 |   7.0 |
          28.0 |             14.0 |            296.95 |   0.06175 |        0.0 |  1.0 |   8.0 |
          28.0 |             14.0 |           343.634 | 0.0003784 |  45750.008 |  2.0 |   8.0 |
          28.0 |             14.0 |           397.415 |  0.001055 |  85131.016 |  4.0 |   8.0 |
          28.0 |             14.0 |           416.475 | 0.0002342 |   96646.56 |  5.0 |   8.0 |
          28.0 |             14.0 |           255.022 | 0.0007079 |        0.0 |  1.0 |   9.0 |
          28.0 |             14.0 |           288.707 |     0.215 |  45750.008 |  2.0 |   9.0 |
          28.0 |             14.0 |           295.373 |  0.000778 |  53567.016 |  3.0 |   9.0 |
          28.0 |             14.0 |           325.742 |   0.01999 |  85131.016 |  4.0 |   9.0 |
          28.0 |             14.0 |           338.437 |  0.003081 |   96646.56 |  5.0 |   9.0 |
          28.0 |             14.0 |           252.728 |  0.000838 |        0.0 |  1.0 |  10.0 |
          28.0 |             14.0 |            285.77 |  0.001055 |  45750.008 |  2.0 |  10.0 |
          28.0 |             14.0 |             292.3 |    0.2602 |  53567.016 |  3.0 |  10.0 |
          28.0 |             14.0 |           334.409 |   0.06812 |   96646.56 |  5.0 |  10.0 |
          28.0 |             14.0 |           1258.17 |       0.0 |   316201.3 |  6.0 |  10.0 |
          28.0 |             14.0 |           223.329 |  0.002406 |        0.0 |  1.0 |  11.0 |
          28.0 |             14.0 |           248.743 |   0.03328 |  45750.008 |  2.0 |  11.0 |
          28.0 |             14.0 |           253.676 |    0.3459 |  53567.016 |  3.0 |  11.0 |
          28.0 |             14.0 |           275.756 |    0.0214 |  85131.016 |  4.0 |  11.0 |
          28.0 |             14.0 |           284.799 |   0.03143 |   96646.56 |  5.0 |  11.0 |
          28.0 |             14.0 |           220.837 |  0.002029 |        0.0 |  1.0 |  12.0 |
          28.0 |             14.0 |           245.657 |    0.1597 |  45750.008 |  2.0 |  12.0 |
          28.0 |             14.0 |           271.968 |   0.09303 |  85131.016 |  4.0 |  12.0 |
          28.0 |             14.0 |           280.761 | 5.021e-05 |   96646.56 |  5.0 |  12.0 |
          28.0 |             14.0 |           207.926 |  0.001844 |        0.0 |  1.0 |  13.0 |
          28.0 |             14.0 |           231.605 |   0.00411 |  45750.008 |  2.0 |  13.0 |
          28.0 |             14.0 |           254.932 |   0.02148 |  85131.016 |  4.0 |  13.0 |
          28.0 |             14.0 |            262.48 |    0.1815 |   96646.56 |  5.0 |  13.0 |
          28.0 |             14.0 |           663.208 |       0.0 |   330828.6 |  7.0 |  13.0 |
          28.0 |             14.0 |           204.233 |  0.001417 |        0.0 |  1.0 |  14.0 |
          28.0 |             14.0 |           227.031 |   0.01028 |  45750.008 |  2.0 |  14.0 |
          28.0 |             14.0 |           231.115 | 0.0004643 |  53567.016 |  3.0 |  14.0 |
          28.0 |             14.0 |           249.402 |   0.00099 |  85131.016 |  4.0 |  14.0 |
          28.0 |             14.0 |           256.621 |  3.08e-05 |   96646.56 |  5.0 |  14.0 |
          28.0 |             14.0 |           201.881 |  0.003776 |        0.0 |  1.0 |  15.0 |
          28.0 |             14.0 |           224.129 |   0.00176 |  45750.008 |  2.0 |  15.0 |
          28.0 |             14.0 |           228.109 |   0.00391 |  53567.016 |  3.0 |  15.0 |
          28.0 |             14.0 |           252.919 | 0.0009097 |   96646.56 |  5.0 |  15.0 |
          28.0 |             14.0 |           992.063 |       0.0 |  392122.38 |  9.0 |  15.0 |
          28.0 |             14.0 |           219.931 |       0.0 |  45750.008 |  2.0 |  16.0 |
          28.0 |             14.0 |           223.762 |  0.002543 |  53567.016 |  3.0 |  16.0 |
          28.0 |             14.0 |           531.848 |       0.0 |   316201.3 |  6.0 |  16.0 |
          28.0 |             14.0 |           575.705 |       0.0 |   330828.6 |  7.0 |  16.0 |
          28.0 |             14.0 |           945.294 |       0.0 |   395681.8 | 10.0 |  16.0 |
          28.0 |             14.0 |         11741.728 |       0.0 |  495340.22 | 15.0 |  16.0 |
          28.0 |             14.0 |           196.109 |  0.007585 |        0.0 |  1.0 |  17.0 |
          28.0 |             14.0 |           217.037 | 8.336e-05 |  45750.008 |  2.0 |  17.0 |
          28.0 |             14.0 |           220.767 | 3.103e-06 |  53567.016 |  3.0 |  17.0 |
          28.0 |             14.0 |           243.924 | 0.0003414 |   96646.56 |  5.0 |  17.0 |
          28.0 |             14.0 |            218.79 |       0.0 |  53567.016 |  3.0 |  18.0 |
          28.0 |             14.0 |           504.591 |       0.0 |   316201.3 |  6.0 |  18.0 |
          28.0 |             14.0 |           862.487 |       0.0 |   395681.8 | 10.0 |  18.0 |
          28.0 |             14.0 |           9845.79 |       0.0 |  503856.84 | 16.0 |  18.0 |
          28.0 |             14.0 |           193.971 |  0.001459 |        0.0 |  1.0 |  19.0 |
