 Atomic Number | Ionization State | Wavelength (Ang.) |  g_i*f_ik | E_i(cm^-1) |    i |    j |
          28.0 |             21.0 |          1077.342 |       0.0 |        0.0 |  1.0 |  2.0 |
          28.0 |             21.0 |           779.484 |       0.0 |        0.0 |  1.0 |  3.0 |
          28.0 |             21.0 |          2819.363 |       0.0 |    92821.0 |  2.0 |  3.0 |
          28.0 |             21.0 |           471.143 |       0.0 |        0.0 |  1.0 |  4.0 |
          28.0 |             21.0 |          1191.043 |       0.0 |   128290.0 |  3.0 |  4.0 |
          28.0 |             21.0 |           245.821 |       0.0 |        0.0 |  1.0 |  5.0 |
          28.0 |             21.0 |           359.054 |       0.0 |   128290.0 |  3.0 |  5.0 |
          28.0 |             21.0 |           514.007 |       0.0 |   212250.0 |  4.0 |  5.0 |
          28.0 |             21.0 |            95.863 |     0.286 |        0.0 |  1.0 |  6.0 |
          28.0 |             21.0 |           109.306 |   0.09409 |   128290.0 |  3.0 |  6.0 |
          28.0 |             21.0 |           120.351 |   0.03051 |   212250.0 |  4.0 |  6.0 |
          28.0 |             21.0 |            88.822 |    0.1349 |        0.0 |  1.0 |  7.0 |
          28.0 |             21.0 |            96.803 |   0.07319 |    92821.0 |  2.0 |  7.0 |
          28.0 |             21.0 |           100.245 |   0.05873 |   128290.0 |  3.0 |  7.0 |
          28.0 |             21.0 |           109.457 | 0.0007368 |   212250.0 |  4.0 |  7.0 |
          28.0 |             21.0 |           139.072 |  0.007677 |   406800.0 |  5.0 |  7.0 |
          28.0 |             21.0 |            93.926 |   0.08856 |   128290.0 |  3.0 |  8.0 |
          28.0 |             21.0 |            69.618 |   0.03278 |        0.0 |  1.0 |  9.0 |
          28.0 |             21.0 |            74.428 |  0.004754 |    92821.0 |  2.0 |  9.0 |
          28.0 |             21.0 |            76.446 |  0.004269 |   128290.0 |  3.0 |  9.0 |
          28.0 |             21.0 |            81.689 |    0.4681 |   212250.0 |  4.0 |  9.0 |
          28.0 |             21.0 |            97.125 |   0.04662 |   406800.0 |  5.0 |  9.0 |
          28.0 |             21.0 |            78.269 |   0.01822 |  1125850.0 |  7.0 | 10.0 |
          28.0 |             21.0 |           103.402 |    0.2591 |  1436400.0 |  9.0 | 10.0 |
          28.0 |             21.0 |           12.5093 |   0.03067 |        0.0 |  1.0 | 11.0 |
