 Atomic Number | Ionization State | Wavelength (Ang.) |  g_i*f_ik | E_i(cm^-1) |    i |    j |
          28.0 |             22.0 |           634.953 |       0.0 |        0.0 |  1.0 |  2.0 |
          28.0 |             22.0 |           477.678 |       0.0 |        0.0 |  1.0 |  3.0 |
          28.0 |             22.0 |          1928.492 |       0.0 |   157492.0 |  2.0 |  3.0 |
          28.0 |             22.0 |           330.528 |       0.0 |        0.0 |  1.0 |  4.0 |
          28.0 |             22.0 |           689.398 |       0.0 |   157492.0 |  2.0 |  4.0 |
          28.0 |             22.0 |          1072.961 |       0.0 |   209346.0 |  3.0 |  4.0 |
          28.0 |             22.0 |           249.909 |       0.0 |        0.0 |  1.0 |  5.0 |
          28.0 |             22.0 |           412.111 |       0.0 |   157492.0 |  2.0 |  5.0 |
          28.0 |             22.0 |           524.112 |       0.0 |   209346.0 |  3.0 |  5.0 |
          28.0 |             22.0 |          1024.601 |       0.0 |   302546.0 |  4.0 |  5.0 |
          28.0 |             22.0 |           117.917 |    0.1844 |        0.0 |  1.0 |  6.0 |
          28.0 |             22.0 |            144.81 |     0.024 |   157492.0 |  2.0 |  6.0 |
          28.0 |             22.0 |           156.567 |   0.00888 |   209346.0 |  3.0 |  6.0 |
          28.0 |             22.0 |           223.261 |  0.001308 |   400145.0 |  5.0 |  6.0 |
          28.0 |             22.0 |           106.045 |    0.1588 |        0.0 |  1.0 |  7.0 |
          28.0 |             22.0 |           127.307 |  0.002588 |   157492.0 |  2.0 |  7.0 |
          28.0 |             22.0 |           136.305 |  0.001212 |   209346.0 |  3.0 |  7.0 |
          28.0 |             22.0 |            156.14 | 0.0001122 |   302546.0 |  4.0 |  7.0 |
          28.0 |             22.0 |           184.213 |   0.00532 |   400145.0 |  5.0 |  7.0 |
          28.0 |             22.0 |           103.309 |    0.0848 |        0.0 |  1.0 |  8.0 |
          28.0 |             22.0 |           123.384 |  0.003248 |   157492.0 |  2.0 |  8.0 |
          28.0 |             22.0 |           150.281 |   0.00336 |   302546.0 |  4.0 |  8.0 |
          28.0 |             22.0 |           176.112 | 0.0001556 |   400145.0 |  5.0 |  8.0 |
          28.0 |             22.0 |            85.032 |   0.01876 |        0.0 |  1.0 |  9.0 |
          28.0 |             22.0 |             98.18 |    0.2972 |   157492.0 |  2.0 |  9.0 |
          28.0 |             22.0 |           103.447 | 0.0001332 |   209346.0 |  3.0 |  9.0 |
          28.0 |             22.0 |           114.485 |    0.0244 |   302546.0 |  4.0 |  9.0 |
          28.0 |             22.0 |           128.886 |   0.00652 |   400145.0 |  5.0 |  9.0 |
          28.0 |             22.0 |            83.103 | 0.0001012 |        0.0 |  1.0 | 10.0 |
          28.0 |             22.0 |            95.617 |  0.000812 |   157492.0 |  2.0 | 10.0 |
          28.0 |             22.0 |           100.605 |    0.3534 |   209346.0 |  3.0 | 10.0 |
          28.0 |             22.0 |           124.505 |    0.0928 |   400145.0 |  5.0 | 10.0 |
          28.0 |             22.0 |            74.382 |    0.0064 |        0.0 |  1.0 | 11.0 |
          28.0 |             22.0 |            84.251 |    0.1196 |   157492.0 |  2.0 | 11.0 |
          28.0 |             22.0 |            95.981 |     0.121 |   302546.0 |  4.0 | 11.0 |
          28.0 |             22.0 |           105.901 |   0.00528 |   400145.0 |  5.0 | 11.0 |
          28.0 |             22.0 |            71.488 |   0.02276 |        0.0 |  1.0 | 12.0 |
          28.0 |             22.0 |            80.558 |     0.052 |   157492.0 |  2.0 | 12.0 |
          28.0 |             22.0 |             84.07 |     0.504 |   209346.0 |  3.0 | 12.0 |
          28.0 |             22.0 |            91.217 |    0.0582 |   302546.0 |  4.0 | 12.0 |
          28.0 |             22.0 |           100.131 |    0.0612 |   400145.0 |  5.0 | 12.0 |
          28.0 |             22.0 |            65.088 |  8.92e-05 |        0.0 |  1.0 | 13.0 |
          28.0 |             22.0 |            72.522 |    0.0464 |   157492.0 |  2.0 | 13.0 |
          28.0 |             22.0 |            81.048 |   0.00816 |   302546.0 |  4.0 | 13.0 |
          28.0 |             22.0 |            88.009 |    0.2724 |   400145.0 |  5.0 | 13.0 |
          28.0 |             22.0 |            74.494 |   0.01656 |   848052.0 |  6.0 | 14.0 |
          28.0 |             22.0 |            80.164 |   0.01252 |   942995.0 |  7.0 | 14.0 |
          28.0 |             22.0 |            81.801 |   0.00416 |   967967.0 |  8.0 | 14.0 |
          28.0 |             22.0 |           101.306 |    0.2964 |  1203328.0 | 10.0 | 14.0 |
          28.0 |             22.0 |            98.579 |     0.138 |  1176025.0 |  9.0 | 14.0 |
          28.0 |             22.0 |             118.2 |    0.0924 |  1344420.0 | 11.0 | 14.0 |
          28.0 |             22.0 |           126.326 |    0.3208 |  1398836.0 | 12.0 | 14.0 |
          28.0 |             22.0 |           152.893 |   0.02144 |  1536388.0 | 13.0 | 14.0 |
          28.0 |             22.0 |            71.542 |  0.000852 |   942995.0 |  7.0 | 15.0 |
          28.0 |             22.0 |            72.843 |   0.00232 |   967967.0 |  8.0 | 15.0 |
          28.0 |             22.0 |            85.855 |    0.1108 |  1176025.0 |  9.0 | 15.0 |
          28.0 |             22.0 |           100.365 |   0.01402 |  1344420.0 | 11.0 | 15.0 |
          28.0 |             22.0 |           106.163 |    0.1692 |  1398836.0 | 12.0 | 15.0 |
          28.0 |             22.0 |           124.317 |     0.169 |  1536388.0 | 13.0 | 15.0 |
%CHIANTI
