 Atomic Number | Ionization State | Wavelength (Ang.) |  g_i*f_ik | E_i(cm^-1) |     i |     j |
          28.0 |             24.0 |           609.905 |       0.0 |        0.0 |   1.0 |   2.0 |
          28.0 |             24.0 |           218.608 |  0.002271 |        0.0 |   1.0 |   3.0 |
          28.0 |             24.0 |           340.739 |  0.001146 |   163960.0 |   2.0 |   3.0 |
          28.0 |             24.0 |           185.283 | 0.0001689 |        0.0 |   1.0 |   4.0 |
          28.0 |             24.0 |          1215.436 |       0.0 |   457440.0 |   3.0 |   4.0 |
          28.0 |             24.0 |           266.131 |  0.001201 |   163960.0 |   2.0 |   4.0 |
          28.0 |             24.0 |          1443.835 |       0.0 |   539715.0 |   4.0 |   5.0 |
          28.0 |             24.0 |           224.712 |   0.01256 |   163960.0 |   2.0 |   5.0 |
          28.0 |             24.0 |           118.554 |    0.2446 |        0.0 |   1.0 |   6.0 |
          28.0 |             24.0 |           138.862 |    0.2446 |   163960.0 |   2.0 |   7.0 |
          28.0 |             24.0 |           104.625 |    0.1528 |        0.0 |   1.0 |   8.0 |
          28.0 |             24.0 |            126.29 |  0.003946 |   163960.0 |   2.0 |   8.0 |
          28.0 |             24.0 |            88.518 |  0.002823 |        0.0 |   1.0 |   9.0 |
          28.0 |             24.0 |           103.546 |     0.257 |   163960.0 |   2.0 |   9.0 |
          28.0 |             24.0 |             87.47 |   0.06252 |        0.0 |   1.0 |  10.0 |
          28.0 |             24.0 |           102.115 |    0.6668 |   163960.0 |   2.0 |  10.0 |
          28.0 |             24.0 |           113.099 |     0.247 |   539715.0 |   4.0 |  11.0 |
          28.0 |             24.0 |           172.295 |    0.0124 |   843500.0 |   6.0 |  11.0 |
          28.0 |             24.0 |           356.316 |  0.006042 |  1143250.0 |  10.0 |  11.0 |
          28.0 |             24.0 |            103.47 |    0.1627 |   457440.0 |   3.0 |  11.0 |
          28.0 |             24.0 |           213.625 |   0.01859 |   955790.0 |   8.0 |  11.0 |
          28.0 |             24.0 |           339.916 |  0.001943 |  1129710.0 |   9.0 |  11.0 |
          28.0 |             24.0 |           122.711 |     0.382 |   608975.0 |   5.0 |  11.0 |
          28.0 |             24.0 |           185.254 |  0.001513 |   884100.0 |   7.0 |  11.0 |
          28.0 |             24.0 |            95.952 |   0.05306 |   539715.0 |   4.0 |  12.0 |
          28.0 |             24.0 |           135.428 |    0.1717 |   843500.0 |   6.0 |  12.0 |
          28.0 |             24.0 |           227.972 |  0.003332 |  1143250.0 |  10.0 |  12.0 |
          28.0 |             24.0 |            88.932 |  0.001688 |   457440.0 |   3.0 |  12.0 |
          28.0 |             24.0 |           159.716 |    0.2654 |   955790.0 |   8.0 |  12.0 |
          28.0 |             24.0 |           221.146 |   0.02904 |  1129710.0 |   9.0 |  12.0 |
          28.0 |             24.0 |           102.783 |  0.008626 |   608975.0 |   5.0 |  12.0 |
          28.0 |             24.0 |           143.308 |    0.1414 |   884100.0 |   7.0 |  12.0 |
          28.0 |             24.0 |             92.04 |  0.001145 |   539715.0 |   4.0 |  13.0 |
          28.0 |             24.0 |           127.763 |    0.1441 |   843500.0 |   6.0 |  13.0 |
          28.0 |             24.0 |           207.061 |    0.2778 |  1143250.0 |  10.0 |  13.0 |
          28.0 |             24.0 |            98.307 |   0.06114 |   608975.0 |   5.0 |  13.0 |
          28.0 |             24.0 |           134.753 |     0.458 |   884100.0 |   7.0 |  13.0 |
          28.0 |             24.0 |            80.555 | 0.0003614 |   539715.0 |   4.0 |  14.0 |
          28.0 |             24.0 |           106.655 |    0.2376 |   843500.0 |   6.0 |  14.0 |
          28.0 |             24.0 |           156.777 |   0.02904 |  1143250.0 |  10.0 |  14.0 |
          28.0 |             24.0 |            75.548 | 0.0005004 |   457440.0 |   3.0 |  14.0 |
          28.0 |             24.0 |           121.167 |   0.02105 |   955790.0 |   8.0 |  14.0 |
          28.0 |             24.0 |           153.518 |   0.08311 |  1129710.0 |   9.0 |  14.0 |
          28.0 |             24.0 |            75.003 |  0.002814 |   539715.0 |   4.0 |  15.0 |
          28.0 |             24.0 |            97.135 |   0.06472 |   843500.0 |   6.0 |  15.0 |
          28.0 |             24.0 |           137.033 |    0.5544 |  1143250.0 |  10.0 |  15.0 |
          28.0 |             24.0 |            70.643 | 0.0001031 |   457440.0 |   3.0 |  15.0 |
          28.0 |             24.0 |           109.026 |   0.04802 |   955790.0 |   8.0 |  15.0 |
          28.0 |             24.0 |           134.537 |    0.0635 |  1129710.0 |   9.0 |  15.0 |
          28.0 |             24.0 |            79.112 |  0.001307 |   608975.0 |   5.0 |  15.0 |
          28.0 |             24.0 |           101.122 |    0.1943 |   884100.0 |   7.0 |  15.0 |
          28.0 |             24.0 |           11.3832 |       0.0 |   843500.0 |   6.0 |  16.0 |
          28.0 |             24.0 |           12.7436 | 1.436e-06 |  1781100.0 |  14.0 |  16.0 |
          28.0 |             24.0 |           12.4241 | 2.696e-06 |  1581900.0 |  12.0 |  16.0 |
          28.0 |             24.0 |            12.179 | 7.295e-06 |  1423900.0 |  11.0 |  16.0 |
          28.0 |             24.0 |           10.3869 |   0.03531 |        0.0 |   1.0 |  16.0 |
          28.0 |             24.0 |           10.5637 |   0.08238 |   163960.0 |   2.0 |  16.0 |
          28.0 |             24.0 |           11.4353 |       0.0 |   884100.0 |   7.0 |  16.0 |
          28.0 |             24.0 |           12.8939 |  5.53e-06 |  1873000.0 |  15.0 |  16.0 |
          28.0 |             24.0 |           10.7577 | 0.0002541 |   539715.0 |   4.0 |  17.0 |
          28.0 |             24.0 |           11.1326 |  0.008882 |   843500.0 |   6.0 |  17.0 |
          28.0 |             24.0 |            11.518 | 3.659e-07 |  1143250.0 |  10.0 |  17.0 |
          28.0 |             24.0 |           505.582 |   0.08607 |  9627515.0 |  16.0 |  17.0 |
          28.0 |             24.0 |           10.6653 | 4.016e-05 |   457440.0 |   3.0 |  17.0 |
          28.0 |             24.0 |           10.3475 |       0.0 |   163960.0 |   2.0 |  17.0 |
          28.0 |             24.0 |           11.2743 | 5.133e-06 |   955790.0 |   8.0 |  17.0 |
          28.0 |             24.0 |            11.496 |  0.001791 |  1129710.0 |   9.0 |  17.0 |
          28.0 |             24.0 |           10.7061 | 1.038e-05 |   539715.0 |   4.0 |  18.0 |
          28.0 |             24.0 |           11.0773 | 0.0008967 |   843500.0 |   6.0 |  18.0 |
          28.0 |             24.0 |           11.4589 |  0.002644 |  1143250.0 |  10.0 |  18.0 |
          28.0 |             24.0 |           412.155 |    0.2056 |  9627515.0 |  16.0 |  18.0 |
          28.0 |             24.0 |           10.1316 |       0.0 |        0.0 |   1.0 |  18.0 |
          28.0 |             24.0 |           10.6145 | 1.457e-06 |   457440.0 |   3.0 |  18.0 |
          28.0 |             24.0 |           10.2997 |       0.0 |   163960.0 |   2.0 |  18.0 |
          28.0 |             24.0 |           11.2175 |  0.002681 |   955790.0 |   8.0 |  18.0 |
          28.0 |             24.0 |           11.4371 | 0.0003825 |  1129710.0 |   9.0 |  18.0 |
          28.0 |             24.0 |           10.7906 |  0.003251 |   608975.0 |   5.0 |  18.0 |
          28.0 |             24.0 |           11.1266 |   0.01419 |   884100.0 |   7.0 |  18.0 |
          28.0 |             24.0 |           10.5388 |    0.1027 |   539715.0 |   4.0 |  19.0 |
          28.0 |             24.0 |           10.8983 |   0.00198 |   843500.0 |   6.0 |  19.0 |
          28.0 |             24.0 |           11.2674 | 4.468e-05 |  1143250.0 |  10.0 |  19.0 |
          28.0 |             24.0 |           255.814 |  0.001469 |  9627515.0 |  16.0 |  19.0 |
          28.0 |             24.0 |           10.4501 |   0.02145 |   457440.0 |   3.0 |  19.0 |
          28.0 |             24.0 |            11.034 | 8.899e-05 |   955790.0 |   8.0 |  19.0 |
          28.0 |             24.0 |           11.2463 | 0.0001935 |  1129710.0 |   9.0 |  19.0 |
          28.0 |             24.0 |           11.7998 |  0.000122 |  1581900.0 |  12.0 |  20.0 |
          28.0 |             24.0 |           11.5785 | 1.926e-05 |  1423900.0 |  11.0 |  20.0 |
          28.0 |             24.0 |            9.9469 |     1.333 |        0.0 |   1.0 |  20.0 |
          28.0 |             24.0 |           10.1089 |    0.2637 |   163960.0 |   2.0 |  20.0 |
          28.0 |             24.0 |           438.504 |    0.1294 |  9825307.0 |  17.0 |  20.0 |
          28.0 |             24.0 |           10.4949 |   0.02757 |   539715.0 |   4.0 |  21.0 |
          28.0 |             24.0 |           10.8514 |  0.004745 |   843500.0 |   6.0 |  21.0 |
          28.0 |             24.0 |           11.2173 | 4.042e-05 |  1143250.0 |  10.0 |  21.0 |
          28.0 |             24.0 |           232.255 |   0.01236 |  9627515.0 |  16.0 |  21.0 |
          28.0 |             24.0 |            9.9423 |       0.0 |        0.0 |   1.0 |  21.0 |
          28.0 |             24.0 |           10.4069 |    0.1042 |   457440.0 |   3.0 |  21.0 |
          28.0 |             24.0 |           10.1041 |       0.0 |   163960.0 |   2.0 |  21.0 |
          28.0 |             24.0 |           10.9859 | 1.306e-05 |   955790.0 |   8.0 |  21.0 |
          28.0 |             24.0 |           11.1964 | 0.0004721 |  1129710.0 |   9.0 |  21.0 |
          28.0 |             24.0 |           10.5761 |    0.1249 |   608975.0 |   5.0 |  21.0 |
          28.0 |             24.0 |           10.8987 |  0.002153 |   884100.0 |   7.0 |  21.0 |
          28.0 |             24.0 |           11.8473 | 0.0001758 |  1626200.0 |  13.0 |  22.0 |
          28.0 |             24.0 |           505.564 |    0.2059 |  9870142.0 |  18.0 |  22.0 |
          28.0 |             24.0 |            10.094 |      2.37 |   163960.0 |   2.0 |  22.0 |
          28.0 |             24.0 |            12.201 | 3.921e-05 |  1873000.0 |  15.0 |  22.0 |
          28.0 |             24.0 |           11.7621 |       0.0 |  1626200.0 |  13.0 |  23.0 |
          28.0 |             24.0 |           10.4173 |  0.001498 |   539715.0 |   4.0 |  23.0 |
          28.0 |             24.0 |           10.7684 |   0.06516 |   843500.0 |   6.0 |  23.0 |
          28.0 |             24.0 |           11.6953 |       0.0 |  1581900.0 |  12.0 |  23.0 |
          28.0 |             24.0 |           11.1286 | 0.0001048 |  1143250.0 |  10.0 |  23.0 |
          28.0 |             24.0 |            199.37 |   0.00102 |  9627515.0 |  16.0 |  23.0 |
