 Atomic Number | Ionization State | Wavelength (Ang.) |  g_i*f_ik | E_i(cm^-1) |     i |     j |
          28.0 |             25.0 |           238.861 |  0.002215 |        0.0 |   1.0 |   3.0 |
          28.0 |             25.0 |          2502.127 | 3.097e-06 |   378687.0 |   2.0 |   3.0 |
          28.0 |             25.0 |           181.951 | 3.453e-10 |        0.0 |   1.0 |   4.0 |
          28.0 |             25.0 |           763.674 | 1.268e-05 |   418653.0 |   3.0 |   4.0 |
          28.0 |             25.0 |           585.096 | 6.656e-10 |   378687.0 |   2.0 |   4.0 |
          28.0 |             25.0 |           117.939 |     0.147 |        0.0 |   1.0 |   5.0 |
          28.0 |             25.0 |           496.643 | 0.0008406 |   847894.0 |   5.0 |   6.0 |
          28.0 |             25.0 |           158.581 |   0.05094 |   418653.0 |   3.0 |   6.0 |
          28.0 |             25.0 |           325.512 | 0.0006537 |   847894.0 |   5.0 |   7.0 |
          28.0 |             25.0 |           135.787 |   0.04179 |   418653.0 |   3.0 |   7.0 |
          28.0 |             25.0 |           128.797 |    0.0613 |   378687.0 |   2.0 |   7.0 |
          28.0 |             25.0 |           165.152 |    0.0586 |   549599.0 |   4.0 |   7.0 |
          28.0 |             25.0 |           277.607 |   0.03339 |   847894.0 |   5.0 |   8.0 |
          28.0 |             25.0 |           126.669 |   0.08181 |   418653.0 |   3.0 |   8.0 |
          28.0 |             25.0 |           151.857 |    0.1267 |   549599.0 |   4.0 |   8.0 |
          28.0 |             25.0 |           187.769 |    0.1493 |   847894.0 |   5.0 |   9.0 |
          28.0 |             25.0 |           103.971 |  0.006351 |   418653.0 |   3.0 |   9.0 |
          28.0 |             25.0 |           120.356 |    0.0843 |   549599.0 |   4.0 |   9.0 |
          28.0 |             25.0 |           130.928 |   0.09678 |   847894.0 |   5.0 |  10.0 |
          28.0 |             25.0 |            83.821 | 0.0002698 |   418653.0 |   3.0 |  10.0 |
          28.0 |             25.0 |           219.023 | 3.216e-06 |  1155102.0 |   7.0 |  10.0 |
          28.0 |             25.0 |            10.397 |  0.002762 |   847894.0 |   5.0 |  11.0 |
          28.0 |             25.0 |             9.953 |   0.07488 |   418653.0 |   3.0 |  11.0 |
          28.0 |             25.0 |             9.913 |   0.02518 |   378687.0 |   2.0 |  11.0 |
          28.0 |             25.0 |            10.084 |    0.1321 |   549599.0 |   4.0 |  11.0 |
          28.0 |             25.0 |            10.288 |   0.02998 |   847894.0 |   5.0 |  12.0 |
          28.0 |             25.0 |            10.884 | 3.989e-06 |  1380464.0 |   9.0 |  12.0 |
          28.0 |             25.0 |             9.853 | 0.0004041 |   418653.0 |   3.0 |  12.0 |
          28.0 |             25.0 |            10.684 | 2.715e-06 |  1208115.0 |   8.0 |  12.0 |
          28.0 |             25.0 |            10.199 | 2.677e-08 |   847894.0 |   5.0 |  13.0 |
          28.0 |             25.0 |            536.74 |   0.03969 | 10466370.0 |  11.0 |  13.0 |
          28.0 |             25.0 |            10.529 | 0.0008067 |  1155102.0 |   7.0 |  13.0 |
          28.0 |             25.0 |             9.898 | 0.0001239 |   549599.0 |   4.0 |  13.0 |
          28.0 |             25.0 |             9.355 |    0.2594 |        0.0 |   1.0 |  14.0 |
          28.0 |             25.0 |            10.161 | 0.0001005 |   847894.0 |   5.0 |  14.0 |
          28.0 |             25.0 |            10.742 |  0.002464 |  1380464.0 |   9.0 |  14.0 |
          28.0 |             25.0 |           448.227 |    0.0777 | 10466370.0 |  11.0 |  14.0 |
          28.0 |             25.0 |             9.736 | 3.823e-05 |   418653.0 |   3.0 |  14.0 |
          28.0 |             25.0 |            11.016 | 0.0009064 |  1611675.0 |  10.0 |  14.0 |
