 Atomic Number | Ionization State | Wavelength (Ang.) | g_i*f_ik | E_i(cm^-1) |    i |    j |
          28.0 |             28.0 |            1.5356 |      0.0 |        0.0 |  1.0 |  2.0 |
          28.0 |             28.0 |            1.5358 |   0.2772 |        0.0 |  1.0 |  3.0 |
          28.0 |             28.0 |            1.5303 |   0.5552 |        0.0 |  1.0 |  4.0 |
          28.0 |             28.0 |            8.2398 |  0.02718 | 65113950.0 |  3.0 |  5.0 |
          28.0 |             28.0 |            8.3997 |  0.05436 | 65344940.0 |  4.0 |  5.0 |
          28.0 |             28.0 |            1.2945 |  0.05268 |        0.0 |  1.0 |  6.0 |
          28.0 |             28.0 |            8.2451 |   0.2896 | 65119816.0 |  2.0 |  6.0 |
          28.0 |             28.0 |            1.2934 |   0.1055 |        0.0 |  1.0 |  7.0 |
          28.0 |             28.0 |            8.1988 |   0.5802 | 65119816.0 |  2.0 |  7.0 |
          28.0 |             28.0 |            8.1949 |    1.392 | 65113950.0 |  3.0 |  8.0 |
          28.0 |             28.0 |             8.353 |   0.2783 | 65344940.0 |  4.0 |  8.0 |
          28.0 |             28.0 |            8.3374 |    2.505 | 65344940.0 |  4.0 |  9.0 |
          28.0 |             28.0 |            6.1077 |  0.00609 | 65113950.0 |  3.0 | 10.0 |
          28.0 |             28.0 |            6.1951 |  0.01218 | 65344940.0 |  4.0 | 10.0 |
          28.0 |             28.0 |           23.5942 |   0.0645 | 77248280.0 |  6.0 | 10.0 |
          28.0 |             28.0 |           23.9817 |    0.129 | 77316770.0 |  7.0 | 10.0 |
          28.0 |             28.0 |            1.2272 |  0.01931 |        0.0 |  1.0 | 11.0 |
          28.0 |             28.0 |            6.1102 |  0.06846 | 65119816.0 |  2.0 | 11.0 |
          28.0 |             28.0 |           23.6088 |   0.3228 | 77250120.0 |  5.0 | 11.0 |
          28.0 |             28.0 |           23.9855 |  0.03663 | 77316650.0 |  8.0 | 11.0 |
          28.0 |             28.0 |            1.2268 |  0.03867 |        0.0 |  1.0 | 12.0 |
          28.0 |             28.0 |            6.0995 |   0.1371 | 65119816.0 |  2.0 | 12.0 |
          28.0 |             28.0 |            23.449 |   0.6466 | 77250120.0 |  5.0 | 12.0 |
          28.0 |             28.0 |           23.8206 | 0.007328 | 77316650.0 |  8.0 | 12.0 |
          28.0 |             28.0 |           23.9483 |  0.06594 | 77339030.0 |  9.0 | 12.0 |
          28.0 |             28.0 |            6.0973 |   0.2436 | 65113950.0 |  3.0 | 13.0 |
          28.0 |             28.0 |            6.1844 |  0.04872 | 65344940.0 |  4.0 | 13.0 |
          28.0 |             28.0 |           23.4392 |    1.237 | 77248280.0 |  6.0 | 13.0 |
          28.0 |             28.0 |           23.8216 |   0.2473 | 77316770.0 |  7.0 | 13.0 |
          28.0 |             28.0 |            6.1808 |   0.4385 | 65344940.0 |  4.0 | 14.0 |
          28.0 |             28.0 |           23.7681 |    2.226 | 77316770.0 |  7.0 | 14.0 |
          28.0 |             28.0 |           23.7675 |    4.072 | 77316650.0 |  8.0 | 15.0 |
          28.0 |             28.0 |           23.8946 |   0.2909 | 77339030.0 |  9.0 | 15.0 |
          28.0 |             28.0 |           23.8678 |    5.817 | 77339030.0 |  9.0 | 16.0 |
          28.0 |             28.0 |            5.4556 | 0.002426 | 65113950.0 |  3.0 | 17.0 |
          28.0 |             28.0 |            5.5253 | 0.004852 | 65344940.0 |  4.0 | 17.0 |
          28.0 |             28.0 |           16.1413 |  0.01486 | 77248280.0 |  6.0 | 17.0 |
          28.0 |             28.0 |           16.3217 |  0.02971 | 77316770.0 |  7.0 | 17.0 |
          28.0 |             28.0 |            51.079 |   0.1058 | 81485830.0 | 11.0 | 17.0 |
          28.0 |             28.0 |            51.843 |   0.2116 | 81514696.0 | 12.0 | 17.0 |
          28.0 |             28.0 |            1.1984 | 0.009284 |        0.0 |  1.0 | 18.0 |
