 Atomic Number | Ionization State | Wavelength (Ang.) |  g_i*f_ik | E_i(cm^-1) |     i |     j |
          28.0 |             12.0 |          4232.088 |       0.0 |        0.0 |   1.0 |   2.0 |
          28.0 |             12.0 |           295.321 |    0.1336 |        0.0 |   1.0 |   3.0 |
          28.0 |             12.0 |           317.474 |    0.0654 |    23629.0 |   2.0 |   3.0 |
          28.0 |             12.0 |           222.398 | 0.0003688 |        0.0 |   1.0 |   4.0 |
          28.0 |             12.0 |           221.822 |       0.0 |        0.0 |   1.0 |   5.0 |
          28.0 |             12.0 |           92764.0 |       0.0 |   449645.0 |   4.0 |   5.0 |
          28.0 |             12.0 |           221.673 | 0.0003648 |        0.0 |   1.0 |   6.0 |
          28.0 |             12.0 |           234.373 | 1.925e-05 |    23629.0 |   2.0 |   6.0 |
          28.0 |             12.0 |           220.348 | 0.0001778 |        0.0 |   1.0 |   7.0 |
          28.0 |             12.0 |           232.892 | 0.0001966 |    23629.0 |   2.0 |   7.0 |
          28.0 |             12.0 |           207.362 |  0.000323 |        0.0 |   1.0 |   8.0 |
          28.0 |             12.0 |           218.434 |  0.002305 |    23629.0 |   2.0 |   8.0 |
          28.0 |             12.0 |          3167.966 |       0.0 |   450812.0 |   5.0 |   9.0 |
          28.0 |             12.0 |           207.306 |       0.0 |        0.0 |   1.0 |   9.0 |
          28.0 |             12.0 |           13920.0 |       0.0 |   482378.0 |   9.0 |  10.0 |
          28.0 |             12.0 |          2517.306 |       0.0 |   451114.0 |   6.0 |  10.0 |
          28.0 |             12.0 |          2580.645 |       0.0 |   450812.0 |   5.0 |  10.0 |
          28.0 |             12.0 |           204.264 |       0.0 |        0.0 |   1.0 |  10.0 |
          28.0 |             12.0 |          2427.538 |       0.0 |   449645.0 |   4.0 |  10.0 |
          28.0 |             12.0 |           202.674 |  0.008981 |        0.0 |   1.0 |  11.0 |
          28.0 |             12.0 |           213.238 |  0.003002 |    23629.0 |   2.0 |  11.0 |
          28.0 |             12.0 |           201.338 |  0.007819 |        0.0 |   1.0 |  12.0 |
          28.0 |             12.0 |            211.76 |  0.001345 |    23629.0 |   2.0 |  12.0 |
          28.0 |             12.0 |           201.246 |  0.002004 |        0.0 |   1.0 |  13.0 |
          28.0 |             12.0 |           211.658 | 0.0007438 |    23629.0 |   2.0 |  13.0 |
          28.0 |             12.0 |            201.47 |  0.003844 |        0.0 |   1.0 |  14.0 |
          28.0 |             12.0 |            199.49 |  0.006121 |        0.0 |   1.0 |  15.0 |
          28.0 |             12.0 |           209.717 |  0.003726 |    23629.0 |   2.0 |  15.0 |
          28.0 |             12.0 |            195.51 | 0.0009885 |        0.0 |   1.0 |  16.0 |
          28.0 |             12.0 |            204.98 | 0.0003627 |    23629.0 |   2.0 |  16.0 |
          28.0 |             12.0 |           196.558 |   0.00459 |        0.0 |   1.0 |  17.0 |
          28.0 |             12.0 |          3607.504 |       0.0 |   482378.0 |   9.0 |  18.0 |
          28.0 |             12.0 |          4869.497 |       0.0 |   489562.0 |  10.0 |  18.0 |
          28.0 |             12.0 |          7274.844 |       0.0 |   496352.0 |  14.0 |  18.0 |
          28.0 |             12.0 |          1686.739 |       0.0 |   450812.0 |   5.0 |  18.0 |
          28.0 |             12.0 |           196.041 |       0.0 |        0.0 |   1.0 |  18.0 |
          28.0 |             12.0 |           1631.96 |       0.0 |   449645.0 |   4.0 |  18.0 |
          28.0 |             12.0 |           46168.0 |       0.0 |   508755.0 |  17.0 |  18.0 |
          28.0 |             12.0 |           5708.74 |       0.0 |   493404.0 |  11.0 |  18.0 |
          28.0 |             12.0 |           205.563 |       0.0 |    23629.0 |   2.0 |  18.0 |
          28.0 |             12.0 |           193.218 |  0.006095 |        0.0 |   1.0 |  19.0 |
          28.0 |             12.0 |          2415.517 |       0.0 |   482378.0 |   9.0 |  20.0 |
          28.0 |             12.0 |           16059.0 |       0.0 |   517550.0 |  19.0 |  20.0 |
          28.0 |             12.0 |          2922.695 |       0.0 |   489562.0 |  10.0 |  20.0 |
          28.0 |             12.0 |          1321.895 |       0.0 |   451114.0 |   6.0 |  20.0 |
          28.0 |             12.0 |          3646.308 |       0.0 |   496352.0 |  14.0 |  20.0 |
          28.0 |             12.0 |          7310.476 |       0.0 |   510098.0 |  18.0 |  20.0 |
          28.0 |             12.0 |          3349.074 |       0.0 |   496904.0 |  13.0 |  20.0 |
          28.0 |             12.0 |           1370.52 |       0.0 |   450812.0 |   5.0 |  20.0 |
          28.0 |             12.0 |           190.921 |       0.0 |        0.0 |   1.0 |  20.0 |
          28.0 |             12.0 |          1296.714 |       0.0 |   449645.0 |   4.0 |  20.0 |
          28.0 |             12.0 |          5553.088 |       0.0 |   508755.0 |  17.0 |  20.0 |
          28.0 |             12.0 |          2997.692 |       0.0 |   493404.0 |  11.0 |  20.0 |
          28.0 |             12.0 |           199.941 |       0.0 |    23629.0 |   2.0 |  20.0 |
          28.0 |             12.0 |          377358.0 |       0.0 |   523777.0 |  20.0 |  21.0 |
          28.0 |             12.0 |          2400.154 |       0.0 |   482378.0 |   9.0 |  21.0 |
          28.0 |             12.0 |          2900.232 |       0.0 |   489562.0 |  10.0 |  21.0 |
          28.0 |             12.0 |          7171.543 |       0.0 |   510098.0 |  18.0 |  21.0 |
          28.0 |             12.0 |          1365.561 |       0.0 |   450812.0 |   5.0 |  21.0 |
          28.0 |             12.0 |           190.824 |       0.0 |        0.0 |   1.0 |  21.0 |
          28.0 |             12.0 |          1273.366 |       0.0 |   449645.0 |   4.0 |  21.0 |
          28.0 |             12.0 |           189.261 | 0.0009534 |        0.0 |   1.0 |  22.0 |
          28.0 |             12.0 |           179.206 |    0.0118 |        0.0 |   1.0 |  23.0 |
          28.0 |             12.0 |          2485.707 |       0.0 |   523777.0 |  20.0 |  24.0 |
          28.0 |             12.0 |            1572.5 |       0.0 |   501278.0 |  15.0 |  24.0 |
          28.0 |             12.0 |          1225.055 |       0.0 |   482378.0 |   9.0 |  24.0 |
          28.0 |             12.0 |          2152.528 |       0.0 |   517550.0 |  19.0 |  24.0 |
          28.0 |             12.0 |          1343.274 |       0.0 |   489562.0 |  10.0 |  24.0 |
          28.0 |             12.0 |           879.067 |       0.0 |   451114.0 |   6.0 |  24.0 |
          28.0 |             12.0 |          1478.087 |       0.0 |   496352.0 |  14.0 |  24.0 |
          28.0 |             12.0 |          1854.978 |       0.0 |   510098.0 |  18.0 |  24.0 |
          28.0 |             12.0 |          1471.302 |       0.0 |   496904.0 |  13.0 |  24.0 |
          28.0 |             12.0 |          2502.189 |       0.0 |   524042.0 |  21.0 |  24.0 |
          28.0 |             12.0 |           883.431 |       0.0 |   450812.0 |   5.0 |  24.0 |
          28.0 |             12.0 |           177.303 |       0.0 |        0.0 |   1.0 |  24.0 |
          28.0 |             12.0 |            867.86 |       0.0 |   449645.0 |   4.0 |  24.0 |
          28.0 |             12.0 |          1782.023 |       0.0 |   508755.0 |  17.0 |  24.0 |
          28.0 |             12.0 |          1903.855 |       0.0 |   511482.0 |  16.0 |  24.0 |
          28.0 |             12.0 |          1399.247 |       0.0 |   493404.0 |  11.0 |  24.0 |
          28.0 |             12.0 |          2806.072 |       0.0 |   528370.0 |  22.0 |  24.0 |
          28.0 |             12.0 |           14588.0 |       0.0 |   558016.0 |  23.0 |  24.0 |
          28.0 |             12.0 |           185.056 |       0.0 |    23629.0 |   2.0 |  24.0 |
          28.0 |             12.0 |           168.092 |   0.01762 |        0.0 |   1.0 |  25.0 |
          28.0 |             12.0 |           175.295 |   0.02989 |    23629.0 |   2.0 |  25.0 |
          28.0 |             12.0 |           1108.23 |       0.0 |   517550.0 |  19.0 |  26.0 |
          28.0 |             12.0 |           885.622 |       0.0 |   489562.0 |  10.0 |  26.0 |
          28.0 |             12.0 |           655.136 |       0.0 |   451114.0 |   6.0 |  26.0 |
          28.0 |             12.0 |          1077.203 |       0.0 |   510098.0 |  18.0 |  26.0 |
          28.0 |             12.0 |           653.462 |       0.0 |   450812.0 |   5.0 |  26.0 |
          28.0 |             12.0 |            165.63 | 8.322e-05 |        0.0 |   1.0 |  26.0 |
          28.0 |             12.0 |          1052.643 |       0.0 |   508755.0 |  17.0 |  26.0 |
          28.0 |             12.0 |          1032.375 |       0.0 |   511482.0 |  16.0 |  26.0 |
          28.0 |             12.0 |          1338.366 |       0.0 |   528370.0 |  22.0 |  26.0 |
          28.0 |             12.0 |          2186.366 |       0.0 |   558016.0 |  23.0 |  26.0 |
          28.0 |             12.0 |           377.525 |       0.0 |   338615.0 |   3.0 |  26.0 |
          28.0 |             12.0 |           160.556 |     1.171 |        0.0 |   1.0 |  27.0 |
          28.0 |             12.0 |           166.887 |    0.3122 |    23629.0 |   2.0 |  27.0 |
          28.0 |             12.0 |           154.171 |     2.498 |        0.0 |   1.0 |  28.0 |
          28.0 |             12.0 |             160.0 |   0.02574 |    23629.0 |   2.0 |  28.0 |
          28.0 |             12.0 |           152.151 |     4.353 |        0.0 |   1.0 |  29.0 |
          28.0 |             12.0 |           152.124 |    0.2551 |        0.0 |   1.0 |  30.0 |
          28.0 |             12.0 |           157.796 |     1.003 |    23629.0 |   2.0 |  30.0 |
          28.0 |             12.0 |           147.596 |   0.06306 |        0.0 |   1.0 |  31.0 |
          28.0 |             12.0 |           152.929 |     2.786 |    23629.0 |   2.0 |  31.0 |
          28.0 |             12.0 |           380.235 |  0.002492 |   501278.0 |  15.0 |  32.0 |
          28.0 |             12.0 |           947.795 |  7.62e-06 |   657360.0 |  30.0 |  32.0 |
          28.0 |             12.0 |           354.578 |  0.003322 |   482248.0 |   8.0 |  32.0 |
          28.0 |             12.0 |           590.451 | 2.786e-06 |   594911.0 |  25.0 |  32.0 |
          28.0 |             12.0 |           319.327 |    0.0473 |   451114.0 |   6.0 |  32.0 |
          28.0 |             12.0 |           374.015 |  0.002083 |   496904.0 |  13.0 |  32.0 |
          28.0 |             12.0 |           865.576 | 3.764e-06 |   648630.0 |  28.0 |  32.0 |
          28.0 |             12.0 |           322.118 |   0.04541 |   453828.0 |   7.0 |  32.0 |
          28.0 |             12.0 |           707.434 | 4.766e-05 |   622836.0 |  27.0 |  32.0 |
          28.0 |             12.0 |           373.698 |   0.00225 |   496677.0 |  12.0 |  32.0 |
          28.0 |             12.0 |           388.526 |  0.002949 |   511482.0 |  16.0 |  32.0 |
          28.0 |             12.0 |           369.182 | 0.0002351 |   493404.0 |  11.0 |  32.0 |
          28.0 |             12.0 |           235.072 | 2.791e-05 |   338615.0 |   3.0 |  32.0 |
          28.0 |             12.0 |           392.363 | 0.0001481 |   517550.0 |  19.0 |  33.0 |
          28.0 |             12.0 |           349.482 |  0.002471 |   482248.0 |   8.0 |  33.0 |
          28.0 |             12.0 |           576.452 |  3.77e-05 |   594911.0 |  25.0 |  33.0 |
          28.0 |             12.0 |           315.187 |   0.05363 |   451114.0 |   6.0 |  33.0 |
          28.0 |             12.0 |           369.388 | 0.0001523 |   496352.0 |  14.0 |  33.0 |
          28.0 |             12.0 |           368.349 | 0.0009463 |   496904.0 |  13.0 |  33.0 |
          28.0 |             12.0 |            835.82 | 2.944e-05 |   648630.0 |  28.0 |  33.0 |
          28.0 |             12.0 |           317.906 |  0.006371 |   453828.0 |   7.0 |  33.0 |
          28.0 |             12.0 |           687.432 | 0.0002061 |   622836.0 |  27.0 |  33.0 |
          28.0 |             12.0 |           368.041 |   0.02098 |   496677.0 |  12.0 |  33.0 |
          28.0 |             12.0 |           313.734 |    0.1089 |   449645.0 |   4.0 |  33.0 |
          28.0 |             12.0 |           385.162 |  0.006033 |   508755.0 |  17.0 |  33.0 |
          28.0 |             12.0 |           382.415 |  0.003169 |   511482.0 |  16.0 |  33.0 |
