 Atomic Number | Ionization State | Wavelength (Ang.) |  g_i*f_ik | E_i(cm^-1) |     i |     j |
          28.0 |             19.0 |           14.0741 |       0.0 |        0.0 |   1.0 |   2.0 |
          28.0 |             19.0 |           14.0398 |    0.1294 |        0.0 |   1.0 |   3.0 |
          28.0 |             19.0 |            702.05 |       0.0 |  7105259.5 |   2.0 |   4.0 |
          28.0 |             19.0 |           799.364 |       0.0 |  7122600.0 |   3.0 |   4.0 |
          28.0 |             19.0 |           13.7777 |    0.0938 |        0.0 |   1.0 |   5.0 |
          28.0 |             19.0 |           13.5465 |       0.0 |        0.0 |   1.0 |   6.0 |
          28.0 |             19.0 |           744.657 |  0.001157 |  7247699.5 |   4.0 |   6.0 |
          28.0 |             19.0 |           807.168 |  0.001562 |  7258099.5 |   5.0 |   6.0 |
          28.0 |             19.0 |           385.521 |  0.004516 |  7122600.0 |   3.0 |   6.0 |
          28.0 |             19.0 |           361.363 |    0.2458 |  7105259.5 |   2.0 |   6.0 |
          28.0 |             19.0 |           13.4954 |       0.0 |        0.0 |   1.0 |   7.0 |
          28.0 |             19.0 |           658.696 | 1.242e-05 |  7258099.5 |   5.0 |   7.0 |
          28.0 |             19.0 |           348.051 |     0.259 |  7122600.0 |   3.0 |   7.0 |
          28.0 |             19.0 |            328.24 |    0.2369 |  7105259.5 |   2.0 |   7.0 |
          28.0 |             19.0 |           306.302 |    0.7586 |  7105259.5 |   2.0 |   8.0 |
          28.0 |             19.0 |           519.886 | 0.0002128 |  7247699.5 |   4.0 |   9.0 |
          28.0 |             19.0 |           549.602 | 0.0001372 |  7258099.5 |   5.0 |   9.0 |
          28.0 |             19.0 |           315.011 |    0.3072 |  7122600.0 |   3.0 |   9.0 |
          28.0 |             19.0 |           298.695 |  0.009241 |  7105259.5 |   2.0 |   9.0 |
          28.0 |             19.0 |            13.408 |       0.0 |        0.0 |   1.0 |  10.0 |
          28.0 |             19.0 |           499.599 |  0.002154 |  7258099.5 |   5.0 |  10.0 |
          28.0 |             19.0 |           297.921 |    0.2631 |  7122600.0 |   3.0 |  10.0 |
          28.0 |             19.0 |           283.286 |    0.3241 |  7105259.5 |   2.0 |  10.0 |
          28.0 |             19.0 |           388.236 |   0.02435 |  7258099.5 |   5.0 |  11.0 |
          28.0 |             19.0 |           254.404 |    0.1001 |  7122600.0 |   3.0 |  11.0 |
          28.0 |             19.0 |           730.751 |       0.0 |  7409914.5 |   7.0 |  12.0 |
          28.0 |             19.0 |           334.381 |    0.1121 |  7247699.5 |   4.0 |  12.0 |
          28.0 |             19.0 |           346.428 |    0.1779 |  7258099.5 |   5.0 |  12.0 |
          28.0 |             19.0 |            235.76 |  0.001155 |  7122600.0 |   3.0 |  12.0 |
          28.0 |             19.0 |             226.5 | 0.0005578 |  7105259.5 |   2.0 |  12.0 |
          28.0 |             19.0 |           13.1876 |       0.0 |        0.0 |   1.0 |  13.0 |
          28.0 |             19.0 |           298.347 |     0.204 |  7247699.5 |   4.0 |  13.0 |
          28.0 |             19.0 |             307.9 |    0.1135 |  7258099.5 |   5.0 |  13.0 |
          28.0 |             19.0 |           217.259 | 0.0002791 |  7122600.0 |   3.0 |  13.0 |
          28.0 |             19.0 |           209.371 |   0.01874 |  7105259.5 |   2.0 |  13.0 |
          28.0 |             19.0 |             13.18 |       0.0 |        0.0 |   1.0 |  14.0 |
          28.0 |             19.0 |           303.799 |    0.5507 |  7258099.5 |   5.0 |  14.0 |
          28.0 |             19.0 |           215.209 |  0.002275 |  7122600.0 |   3.0 |  14.0 |
          28.0 |             19.0 |           207.467 |  0.003475 |  7105259.5 |   2.0 |  14.0 |
          28.0 |             19.0 |           231.107 |    0.1203 |  7258099.5 |   5.0 |  15.0 |
          28.0 |             19.0 |           175.994 |   0.06878 |  7122600.0 |   3.0 |  15.0 |
          28.0 |             19.0 |           279.395 |  0.001808 |  7440049.5 |   9.0 |  16.0 |
          28.0 |             19.0 |            398.08 |  2.84e-05 |  7546760.0 |  12.0 |  16.0 |
          28.0 |             19.0 |           464.931 |  0.002516 |  7582880.0 |  13.0 |  16.0 |
          28.0 |             19.0 |           144.361 |       0.0 |  7105259.5 |   2.0 |  16.0 |
          28.0 |             19.0 |           240.398 |    0.1151 |  7381989.5 |   6.0 |  16.0 |
          28.0 |             19.0 |           453.648 |  0.001563 |  7587265.0 |  14.0 |  17.0 |
          28.0 |             19.0 |           234.901 |    0.2761 |  7381989.5 |   6.0 |  17.0 |
          28.0 |             19.0 |           251.392 |   0.02847 |  7409914.5 |   7.0 |  17.0 |
          28.0 |             19.0 |           271.997 | 0.0003344 |  7440049.5 |   9.0 |  17.0 |
          28.0 |             19.0 |           286.172 |   0.04444 |  7458260.0 |  10.0 |  17.0 |
          28.0 |             19.0 |           12.8079 |  0.008868 |        0.0 |   1.0 |  17.0 |
          28.0 |             19.0 |             444.8 |  0.002057 |  7582880.0 |  13.0 |  17.0 |
          28.0 |             19.0 |           342.436 |   0.00659 |  7515675.0 |  11.0 |  17.0 |
          28.0 |             19.0 |           419.279 |  0.002652 |  7587265.0 |  14.0 |  18.0 |
          28.0 |             19.0 |           225.337 |    0.2316 |  7381989.5 |   6.0 |  18.0 |
          28.0 |             19.0 |           240.468 |    0.0623 |  7409914.5 |   7.0 |  18.0 |
          28.0 |             19.0 |           259.255 |   0.05224 |  7440049.5 |   9.0 |  18.0 |
          28.0 |             19.0 |           272.102 |    0.2345 |  7458260.0 |  10.0 |  18.0 |
