 Atomic Number | Ionization State | Wavelength (Ang.) |  g_i*f_ik | E_i(cm^-1) |     i |     j |
          28.0 |             17.0 |            378.17 |       0.0 |        0.0 |   1.0 |   2.0 |
          28.0 |             17.0 |           366.792 |  0.005594 |        0.0 |   1.0 |   3.0 |
          28.0 |             17.0 |             340.5 | 4.825e-10 |        0.0 |   1.0 |   4.0 |
          28.0 |             17.0 |          4750.143 | 2.115e-06 |   272634.0 |   3.0 |   4.0 |
          28.0 |             17.0 |          3418.219 | 3.553e-10 |   264431.0 |   2.0 |   4.0 |
          28.0 |             17.0 |           249.189 |    0.7165 |        0.0 |   1.0 |   5.0 |
          28.0 |             17.0 |           441.283 |  0.003144 |   401302.0 |   5.0 |   6.0 |
          28.0 |             17.0 |           281.468 |    0.2381 |   272634.0 |   3.0 |   6.0 |
          28.0 |             17.0 |           156.539 | 3.184e-06 |        0.0 |   1.0 |   7.0 |
          28.0 |             17.0 |           421.021 |    0.2383 |   401302.0 |   5.0 |   7.0 |
          28.0 |             17.0 |           273.085 |   0.09525 |   272634.0 |   3.0 |   7.0 |
          28.0 |             17.0 |           289.743 |    0.1653 |   293686.0 |   4.0 |   7.0 |
          28.0 |             17.0 |           412.363 |  0.001449 |   401302.0 |   5.0 |   8.0 |
          28.0 |             17.0 |           269.416 |    0.1876 |   272634.0 |   3.0 |   8.0 |
          28.0 |             17.0 |           263.591 |    0.2588 |   264431.0 |   2.0 |   8.0 |
          28.0 |             17.0 |           285.616 |    0.2946 |   293686.0 |   4.0 |   8.0 |
          28.0 |             17.0 |            372.81 |   0.07791 |   401302.0 |   5.0 |   9.0 |
          28.0 |             17.0 |           251.952 |    0.2419 |   272634.0 |   3.0 |   9.0 |
          28.0 |             17.0 |           266.064 |    0.7745 |   293686.0 |   4.0 |   9.0 |
          28.0 |             17.0 |           283.117 |    0.2824 |   401302.0 |   5.0 |  10.0 |
          28.0 |             17.0 |           207.521 |  0.003627 |   272634.0 |   3.0 |  10.0 |
          28.0 |             17.0 |           270.295 |  0.001855 |   401302.0 |   5.0 |  11.0 |
          28.0 |             17.0 |           200.548 |    0.2006 |   272634.0 |   3.0 |  11.0 |
          28.0 |             17.0 |           197.302 |    0.2766 |   264431.0 |   2.0 |  11.0 |
          28.0 |             17.0 |           209.388 |   0.01286 |   293686.0 |   4.0 |  11.0 |
          28.0 |             17.0 |            269.07 |  0.002314 |   401302.0 |   5.0 |  12.0 |
          28.0 |             17.0 |           199.872 |    0.6093 |   272634.0 |   3.0 |  12.0 |
          28.0 |             17.0 |           208.652 |    0.1963 |   293686.0 |   4.0 |  12.0 |
          28.0 |             17.0 |            207.52 |     1.103 |   293686.0 |   4.0 |  13.0 |
          28.0 |             17.0 |           115.678 |  2.05e-05 |        0.0 |   1.0 |  14.0 |
          28.0 |             17.0 |           215.907 |     1.635 |   401302.0 |   5.0 |  14.0 |
          28.0 |             17.0 |           168.967 |   0.01559 |   272634.0 |   3.0 |  14.0 |
          28.0 |             17.0 |           175.199 | 0.0007475 |   293686.0 |   4.0 |  14.0 |
          28.0 |             17.0 |           260.144 |   0.01048 |   669535.0 |   9.0 |  15.0 |
          28.0 |             17.0 |           153.225 | 1.098e-06 |   401302.0 |   5.0 |  15.0 |
          28.0 |             17.0 |           355.892 |   0.09315 |   772953.0 |  12.0 |  15.0 |
          28.0 |             17.0 |           527.782 |   0.02462 |   864465.0 |  14.0 |  15.0 |
          28.0 |             17.0 |           127.991 | 6.291e-06 |   272634.0 |   3.0 |  15.0 |
          28.0 |             17.0 |           240.896 |    0.1344 |   638820.0 |   7.0 |  15.0 |
          28.0 |             17.0 |           353.771 |    0.3096 |   771268.0 |  11.0 |  15.0 |
          28.0 |             17.0 |           243.825 |   0.00179 |   643807.0 |   8.0 |  15.0 |
          28.0 |             17.0 |           359.234 | 0.0007315 |   775567.0 |  13.0 |  15.0 |
          28.0 |             17.0 |           126.661 | 5.719e-06 |   264431.0 |   2.0 |  15.0 |
          28.0 |             17.0 |           250.566 |   0.01596 |   669535.0 |   9.0 |  16.0 |
          28.0 |             17.0 |           338.205 |    0.5565 |   772953.0 |  12.0 |  16.0 |
          28.0 |             17.0 |           489.795 |   0.00784 |   864465.0 |  14.0 |  16.0 |
          28.0 |             17.0 |           125.628 | 1.586e-05 |   272634.0 |   3.0 |  16.0 |
          28.0 |             17.0 |            232.66 |   0.02165 |   638820.0 |   7.0 |  16.0 |
          28.0 |             17.0 |           341.221 |    0.1544 |   775567.0 |  13.0 |  16.0 |
          28.0 |             17.0 |           129.041 | 4.181e-06 |   293686.0 |   4.0 |  16.0 |
          28.0 |             17.0 |            242.96 |   0.07825 |   669535.0 |   9.0 |  17.0 |
          28.0 |             17.0 |           147.097 | 7.995e-06 |   401302.0 |   5.0 |  17.0 |
          28.0 |             17.0 |           324.493 |   0.01863 |   772953.0 |  12.0 |  17.0 |
          28.0 |             17.0 |           461.551 |    0.1344 |   864465.0 |  14.0 |  17.0 |
          28.0 |             17.0 |           226.088 |    0.5755 |   638820.0 |   7.0 |  17.0 |
          28.0 |             17.0 |           322.728 |   0.05871 |   771268.0 |  11.0 |  17.0 |
          28.0 |             17.0 |           228.666 |   0.05586 |   643807.0 |   8.0 |  17.0 |
          28.0 |             17.0 |           327.269 |   0.05238 |   775567.0 |  13.0 |  17.0 |
          28.0 |             17.0 |           122.445 | 3.044e-06 |   264431.0 |   2.0 |  17.0 |
          28.0 |             17.0 |            322.02 |    0.9793 |   775567.0 |  13.0 |  18.0 |
          28.0 |             17.0 |           126.196 | 2.637e-05 |   293686.0 |   4.0 |  18.0 |
          28.0 |             17.0 |            89.644 | 1.703e-06 |        0.0 |   1.0 |  19.0 |
          28.0 |             17.0 |           224.222 |   0.00547 |   669535.0 |   9.0 |  19.0 |
          28.0 |             17.0 |           277.002 |  0.002165 |   754513.0 |  10.0 |  19.0 |
          28.0 |             17.0 |           291.913 |    0.2734 |   772953.0 |  12.0 |  19.0 |
          28.0 |             17.0 |           398.318 |  0.006265 |   864465.0 |  14.0 |  19.0 |
          28.0 |             17.0 |            118.64 | 7.707e-06 |   272634.0 |   3.0 |  19.0 |
          28.0 |             17.0 |           209.775 | 0.0004358 |   638820.0 |   7.0 |  19.0 |
          28.0 |             17.0 |           290.484 |   0.09561 |   771268.0 |  11.0 |  19.0 |
          28.0 |             17.0 |           211.993 |    0.1046 |   643807.0 |   8.0 |  19.0 |
          28.0 |             17.0 |           205.083 |    0.5526 |   627914.0 |   6.0 |  19.0 |
          28.0 |             17.0 |           222.788 |   0.04717 |   669535.0 |   9.0 |  20.0 |
          28.0 |             17.0 |           289.487 |   0.03509 |   772953.0 |  12.0 |  20.0 |
          28.0 |             17.0 |           393.814 |   0.01109 |   864465.0 |  14.0 |  20.0 |
          28.0 |             17.0 |           118.237 | 6.657e-06 |   272634.0 |   3.0 |  20.0 |
          28.0 |             17.0 |           208.519 |   0.02464 |   638820.0 |   7.0 |  20.0 |
          28.0 |             17.0 |           288.081 |   0.05826 |   771268.0 |  11.0 |  20.0 |
          28.0 |             17.0 |            210.71 |    0.8631 |   643807.0 |   8.0 |  20.0 |
          28.0 |             17.0 |           291.694 |    0.5128 |   775567.0 |  13.0 |  20.0 |
          28.0 |             17.0 |           117.101 |  4.75e-06 |   264431.0 |   2.0 |  20.0 |
          28.0 |             17.0 |           215.406 |     1.214 |   669535.0 |   9.0 |  21.0 |
          28.0 |             17.0 |           277.145 |    0.2024 |   772953.0 |  12.0 |  21.0 |
          28.0 |             17.0 |           371.319 |   0.00591 |   864465.0 |  14.0 |  21.0 |
          28.0 |             17.0 |           116.125 | 3.534e-06 |   272634.0 |   3.0 |  21.0 |
          28.0 |             17.0 |           202.039 |    0.4134 |   638820.0 |   7.0 |  21.0 |
          28.0 |             17.0 |           279.167 |    0.6921 |   775567.0 |  13.0 |  21.0 |
          28.0 |             17.0 |           119.035 | 1.447e-05 |   293686.0 |   4.0 |  21.0 |
          28.0 |             17.0 |           274.376 |    0.1448 |   771268.0 |  11.0 |  22.0 |
          28.0 |             17.0 |           203.283 |    0.1465 |   643807.0 |   8.0 |  22.0 |
          28.0 |             17.0 |           118.758 | 2.602e-06 |   293686.0 |   4.0 |  22.0 |
          28.0 |             17.0 |           214.322 |    0.1548 |   669535.0 |   9.0 |  23.0 |
          28.0 |             17.0 |           262.048 | 4.238e-05 |   754513.0 |  10.0 |  23.0 |
          28.0 |             17.0 |           275.353 |    0.1245 |   772953.0 |  12.0 |  23.0 |
          28.0 |             17.0 |            368.11 |  1.95e-05 |   864465.0 |  14.0 |  23.0 |
          28.0 |             17.0 |           201.085 |   0.03624 |   638820.0 |   7.0 |  23.0 |
          28.0 |             17.0 |           274.081 |    0.2994 |   771268.0 |  11.0 |  23.0 |
          28.0 |             17.0 |           203.122 |    0.3093 |   643807.0 |   8.0 |  23.0 |
          28.0 |             17.0 |           196.769 |  0.001336 |   627914.0 |   6.0 |  23.0 |
          28.0 |             17.0 |           118.703 |  7.76e-06 |   293686.0 |   4.0 |  23.0 |
          28.0 |             17.0 |           214.083 |    0.6935 |   669535.0 |   9.0 |  24.0 |
          28.0 |             17.0 |           274.959 |    0.4794 |   772953.0 |  12.0 |  24.0 |
          28.0 |             17.0 |           367.407 | 0.0009515 |   864465.0 |  14.0 |  24.0 |
          28.0 |             17.0 |           200.875 |    0.1099 |   638820.0 |   7.0 |  24.0 |
          28.0 |             17.0 |           273.691 |    0.1053 |   771268.0 |  11.0 |  24.0 |
          28.0 |             17.0 |           202.907 |    0.1532 |   643807.0 |   8.0 |  24.0 |
          28.0 |             17.0 |            276.95 |   0.09751 |   775567.0 |  13.0 |  24.0 |
