 Atomic Number | Ionization State | Wavelength (Ang.) |  g_i*f_ik | E_i(cm^-1) |     i |     j |
          28.0 |             18.0 |           320.558 |    0.2282 |        0.0 |   1.0 |   2.0 |
          28.0 |             18.0 |           291.984 |    0.5022 |        0.0 |   1.0 |   3.0 |
          28.0 |             18.0 |           236.331 |   0.09999 |   342484.7 |   3.0 |   4.0 |
          28.0 |             18.0 |           130.613 |       0.0 |        0.0 |   1.0 |   4.0 |
          28.0 |             18.0 |           220.428 |     0.531 |   311955.8 |   2.0 |   4.0 |
          28.0 |             18.0 |           233.757 |    0.9119 |   342484.7 |   3.0 |   5.0 |
          28.0 |             18.0 |           129.823 |       0.0 |        0.0 |   1.0 |   5.0 |
          28.0 |             18.0 |            65.295 |       0.0 |   770280.2 |   5.0 |   6.0 |
          28.0 |             18.0 |            51.038 |    0.2502 |   342484.7 |   3.0 |   6.0 |
          28.0 |             18.0 |            65.097 |       0.0 |   765619.7 |   4.0 |   6.0 |
          28.0 |             18.0 |            50.255 |    0.1152 |   311955.8 |   2.0 |   6.0 |
          28.0 |             18.0 |           47.9935 |       0.0 |   342484.7 |   3.0 |   7.0 |
          28.0 |             18.0 |            60.224 |     0.124 |   765619.7 |   4.0 |   7.0 |
          28.0 |             18.0 |           41.2184 |    0.1608 |        0.0 |   1.0 |   7.0 |
          28.0 |             18.0 |           804.502 |     0.334 |  2301799.5 |   6.0 |   7.0 |
          28.0 |             18.0 |            59.959 |    0.2125 |   770280.2 |   5.0 |   8.0 |
          28.0 |             18.0 |           47.7187 |       0.0 |   342484.7 |   3.0 |   8.0 |
          28.0 |             18.0 |            59.791 |   0.02314 |   765619.7 |   4.0 |   8.0 |
          28.0 |             18.0 |           41.0155 |    0.3026 |        0.0 |   1.0 |   8.0 |
          28.0 |             18.0 |           47.0335 |       0.0 |   311955.8 |   2.0 |   8.0 |
          28.0 |             18.0 |           733.674 |    0.7279 |  2301799.5 |   6.0 |   8.0 |
          28.0 |             18.0 |            54.821 |       0.0 |   770280.2 |   5.0 |   9.0 |
          28.0 |             18.0 |           44.4066 |    0.1361 |   342484.7 |   3.0 |   9.0 |
          28.0 |             18.0 |            54.681 |       0.0 |   765619.7 |   4.0 |   9.0 |
          28.0 |             18.0 |           639.795 |    0.1593 |  2438099.8 |   8.0 |   9.0 |
          28.0 |             18.0 |           38.5446 |       0.0 |        0.0 |   1.0 |   9.0 |
          28.0 |             18.0 |           43.8127 |    0.6502 |   311955.8 |   2.0 |   9.0 |
          28.0 |             18.0 |           594.178 |    0.8508 |  2426100.0 |   7.0 |   9.0 |
          28.0 |             18.0 |            54.758 |       0.0 |   770280.2 |   5.0 |  10.0 |
          28.0 |             18.0 |           44.3653 |     1.213 |   342484.7 |   3.0 |  10.0 |
          28.0 |             18.0 |            54.619 |       0.0 |   765619.7 |   4.0 |  10.0 |
          28.0 |             18.0 |           631.312 |     1.456 |  2438099.8 |   8.0 |  10.0 |
          28.0 |             18.0 |           38.5134 |       0.0 |        0.0 |   1.0 |  10.0 |
          28.0 |             18.0 |            52.744 |    0.2659 |   770280.2 |   5.0 |  11.0 |
          28.0 |             18.0 |          1434.093 |   0.02952 |  2596500.0 |  10.0 |  11.0 |
          28.0 |             18.0 |            43.034 |       0.0 |   342484.7 |   3.0 |  11.0 |
          28.0 |             18.0 |            52.615 |     3.714 |   765619.7 |   4.0 |  11.0 |
          28.0 |             18.0 |          1392.161 |    0.4265 |  2594399.8 |   9.0 |  11.0 |
          28.0 |             18.0 |           42.4759 |       0.0 |   311955.8 |   2.0 |  11.0 |
          28.0 |             18.0 |             52.72 |     5.312 |   770280.2 |   5.0 |  12.0 |
          28.0 |             18.0 |          1416.441 |    0.5972 |  2596500.0 |  10.0 |  12.0 |
