 Atomic Number | Ionization State | Wavelength (Ang.) | g_i*f_ik | E_i(cm^-1) |     i |     j |
          28.0 |             26.0 |           234.152 |   0.0331 |        0.0 |   1.0 |   2.0 |
          28.0 |             26.0 |           165.406 |   0.0938 |        0.0 |   1.0 |   3.0 |
          28.0 |             26.0 |            9.5764 |   0.0364 |        0.0 |   2.0 |   4.0 |
          28.0 |             26.0 |            9.7419 |   0.0716 |        0.0 |   3.0 |   4.0 |
          28.0 |             26.0 |            9.1038 |    0.249 |        0.0 |   1.0 |   5.0 |
          28.0 |             26.0 |             9.056 |    0.501 |        0.0 |   1.0 |   6.0 |
          28.0 |             26.0 |            9.3817 |     1.37 |        0.0 |   2.0 |   7.0 |
          28.0 |             26.0 |            9.5405 |    0.269 |        0.0 |   3.0 |   7.0 |
          28.0 |             26.0 |            9.5242 |     2.42 |        0.0 |   3.0 |   8.0 |
          28.0 |             26.0 |             7.048 |  0.00784 |        0.0 |   2.0 |   9.0 |
          28.0 |             26.0 |            7.1373 |   0.0155 |        0.0 |   3.0 |   9.0 |
          28.0 |             26.0 |           27.5398 |    0.084 |        0.0 |   5.0 |   9.0 |
          28.0 |             26.0 |            27.987 |    0.165 |        0.0 |   6.0 |   9.0 |
          28.0 |             26.0 |              6.82 |   0.0623 |        0.0 |   1.0 |  10.0 |
          28.0 |             26.0 |           26.3621 |    0.272 |        0.0 |   4.0 |  10.0 |
          28.0 |             26.0 |           27.9592 |   0.0432 |        0.0 |   7.0 |  10.0 |
          28.0 |             26.0 |            6.8086 |    0.125 |        0.0 |   1.0 |  11.0 |
          28.0 |             26.0 |           26.1935 |    0.548 |        0.0 |   4.0 |  11.0 |
          28.0 |             26.0 |           27.7696 |   0.0087 |        0.0 |   7.0 |  11.0 |
          28.0 |             26.0 |           27.9091 |   0.0779 |        0.0 |   8.0 |  11.0 |
          28.0 |             26.0 |            7.0036 |    0.246 |        0.0 |   2.0 |  12.0 |
          28.0 |             26.0 |            7.0918 |   0.0485 |        0.0 |   3.0 |  12.0 |
          28.0 |             26.0 |           26.8747 |     1.19 |        0.0 |   5.0 |  12.0 |
          28.0 |             26.0 |           27.3004 |    0.234 |        0.0 |   6.0 |  12.0 |
          28.0 |             26.0 |             7.088 |    0.437 |        0.0 |   3.0 |  13.0 |
          28.0 |             26.0 |           27.2438 |     2.11 |        0.0 |   6.0 |  13.0 |
          28.0 |             26.0 |           27.5677 |     4.06 |        0.0 |   7.0 |  14.0 |
          28.0 |             26.0 |           27.7051 |    0.289 |        0.0 |   8.0 |  14.0 |
          28.0 |             26.0 |           27.6763 |     5.78 |        0.0 |   8.0 |  15.0 |
          28.0 |             26.0 |            6.2861 |  0.00311 |        0.0 |   2.0 |  16.0 |
          28.0 |             26.0 |            6.3571 |  0.00615 |        0.0 |   3.0 |  16.0 |
          28.0 |             26.0 |           18.6892 |   0.0185 |        0.0 |   5.0 |  16.0 |
          28.0 |             26.0 |            18.894 |   0.0367 |        0.0 |   6.0 |  16.0 |
          28.0 |             26.0 |            59.799 |    0.136 |        0.0 |  10.0 |  16.0 |
          28.0 |             26.0 |            60.685 |    0.268 |        0.0 |  11.0 |  16.0 |
          28.0 |             26.0 |            6.1128 |   0.0258 |        0.0 |   1.0 |  17.0 |
