 Atomic Number | Ionization State | Wavelength (Ang.) |  g_i*f_ik | E_i(cm^-1) |     i |     j |
          28.0 |             27.0 |            1.6036 | 4.741e-07 |        0.0 |   1.0 |   2.0 |
          28.0 |             27.0 |           390.506 |   0.00931 |        0.0 |   2.0 |   3.0 |
          28.0 |             27.0 |            1.5966 |     0.082 |        0.0 |   1.0 |   4.0 |
          28.0 |             27.0 |          41911.15 |  4.08e-05 |        0.0 |   4.0 |   5.0 |
          28.0 |             27.0 |            1.5923 |       0.0 |        0.0 |   1.0 |   6.0 |
          28.0 |             27.0 |           226.274 |    0.0804 |        0.0 |   2.0 |   6.0 |
          28.0 |             27.0 |            1.5884 |     0.698 |        0.0 |   1.0 |   7.0 |
          28.0 |             27.0 |            8.8594 |    0.0161 |        0.0 |   3.0 |   8.0 |
          28.0 |             27.0 |            8.8741 |    0.0432 |        0.0 |   4.0 |   8.0 |
          28.0 |             27.0 |            9.0077 |    0.0793 |        0.0 |   6.0 |   8.0 |
          28.0 |             27.0 |             9.135 |   0.00494 |        0.0 |   7.0 |   8.0 |
          28.0 |             27.0 |            8.6099 |     0.131 |        0.0 |   2.0 |   9.0 |
          28.0 |             27.0 |            8.9505 |      10.8 |        0.0 |   6.0 |   9.0 |
          28.0 |             27.0 |             8.817 |   0.00538 |        0.0 |   4.0 |  10.0 |
          28.0 |             27.0 |            9.0745 |    0.0444 |        0.0 |   7.0 |  10.0 |
          28.0 |             27.0 |            1.3517 |    0.0168 |        0.0 |   1.0 |  11.0 |
          28.0 |             27.0 |            8.6062 |      0.35 |        0.0 |   2.0 |  11.0 |
          28.0 |             27.0 |            8.8165 |    0.0439 |        0.0 |   5.0 |  11.0 |
          28.0 |             27.0 |            8.9465 |      21.8 |        0.0 |   6.0 |  11.0 |
          28.0 |             27.0 |            1.3508 |       0.0 |        0.0 |   1.0 |  12.0 |
          28.0 |             27.0 |            8.5702 |     0.658 |        0.0 |   2.0 |  12.0 |
          28.0 |             27.0 |            8.7625 |      11.6 |        0.0 |   3.0 |  12.0 |
          28.0 |             27.0 |            8.7769 |      23.2 |        0.0 |   4.0 |  12.0 |
          28.0 |             27.0 |            8.9075 |      19.3 |        0.0 |   6.0 |  12.0 |
          28.0 |             27.0 |            8.5415 |      74.4 |        0.0 |   2.0 |  13.0 |
          28.0 |             27.0 |            8.7325 |     0.685 |        0.0 |   3.0 |  13.0 |
          28.0 |             27.0 |            8.7468 |     0.459 |        0.0 |   4.0 |  13.0 |
          28.0 |             27.0 |            8.8765 |    0.0337 |        0.0 |   6.0 |  13.0 |
          28.0 |             27.0 |            9.0001 |    0.0526 |        0.0 |   7.0 |  13.0 |
          28.0 |             27.0 |            1.3501 |      21.2 |        0.0 |   1.0 |  14.0 |
          28.0 |             27.0 |            8.5408 |      81.4 |        0.0 |   2.0 |  14.0 |
          28.0 |             27.0 |            8.7461 |      1.51 |        0.0 |   4.0 |  14.0 |
          28.0 |             27.0 |            8.7479 |      41.7 |        0.0 |   5.0 |  14.0 |
          28.0 |             27.0 |            8.8758 |     0.332 |        0.0 |   6.0 |  14.0 |
          28.0 |             27.0 |            8.9994 |     0.225 |        0.0 |   7.0 |  14.0 |
          28.0 |             27.0 |            8.5392 |    0.0432 |        0.0 |   2.0 |  15.0 |
          28.0 |             27.0 |            8.7462 |     0.362 |        0.0 |   5.0 |  15.0 |
          28.0 |             27.0 |            8.8607 |      2.84 |        0.0 |   6.0 |  16.0 |
          28.0 |             27.0 |            1.3497 |      40.5 |        0.0 |   1.0 |  17.0 |
          28.0 |             27.0 |            8.5257 |      42.9 |        0.0 |   2.0 |  17.0 |
          28.0 |             27.0 |            8.7303 |    0.0929 |        0.0 |   4.0 |  17.0 |
          28.0 |             27.0 |            8.7321 |      80.0 |        0.0 |   5.0 |  17.0 |
          28.0 |             27.0 |            8.8595 |     0.174 |        0.0 |   6.0 |  17.0 |
          28.0 |             27.0 |            8.9826 |      1.78 |        0.0 |   7.0 |  17.0 |
          28.0 |             27.0 |            6.5424 |   0.00339 |        0.0 |   3.0 |  18.0 |
          28.0 |             27.0 |            6.5504 |   0.00908 |        0.0 |   4.0 |  18.0 |
          28.0 |             27.0 |            6.6229 |    0.0167 |        0.0 |   6.0 |  18.0 |
          28.0 |             27.0 |            6.6915 |   0.00105 |        0.0 |   7.0 |  18.0 |
          28.0 |             27.0 |           25.4677 |    0.0381 |        0.0 |   9.0 |  18.0 |
          28.0 |             27.0 |           25.5001 |     0.102 |        0.0 |  11.0 |  18.0 |
          28.0 |             27.0 |           25.8218 |     0.187 |        0.0 |  12.0 |  18.0 |
          28.0 |             27.0 |           26.1075 |    0.0121 |        0.0 |  15.0 |  18.0 |
          28.0 |             27.0 |            6.4223 |    0.0317 |        0.0 |   2.0 |  19.0 |
          28.0 |             27.0 |            6.6099 |      2.51 |        0.0 |   6.0 |  19.0 |
