 Atomic Number | Ionization State |  Wavelength (Ang.) |               g_i*f_ik |   E_i(cm^-1) |    i |    j |
           8.0 |              6.0 |  1037.613037109375 |    0.13687600195407867 |          0.0 |  1.0 |  2.0 |
           8.0 |              6.0 | 1031.9119873046875 |    0.27522000670433044 |          0.0 |  1.0 |  3.0 |
           8.0 |              6.0 | 156.24000549316406 |  1.683460012016913e-12 |          0.0 |  1.0 |  4.0 |
           8.0 |              6.0 |            150.125 |     0.1736699938774109 |          0.0 |  1.0 |  5.0 |
           8.0 |              6.0 | 150.08900451660156 |    0.34718000888824463 |          0.0 |  1.0 |  6.0 |
           8.0 |              6.0 | 148.22999572753906 |  5.441800021799281e-05 |          0.0 |  1.0 |  7.0 |
           8.0 |              6.0 |   148.218994140625 |  8.161400182871148e-05 |          0.0 |  1.0 |  8.0 |
           8.0 |              6.0 |  117.2750015258789 |  7.752800137983407e-13 |          0.0 |  1.0 |  9.0 |
           8.0 |              6.0 | 115.83000183105469 |   0.048273999243974686 |          0.0 |  1.0 | 10.0 |
           8.0 |              6.0 | 115.82099914550781 |    0.09653399884700775 |          0.0 |  1.0 | 11.0 |
           8.0 |              6.0 | 115.35600280761719 |  6.431800102291163e-06 |          0.0 |  1.0 | 12.0 |
           8.0 |              6.0 | 115.35299682617188 |  9.659200259193312e-06 |          0.0 |  1.0 | 13.0 |
           8.0 |              6.0 | 115.33000183105469 | 3.2664000393367587e-09 |          0.0 |  1.0 | 14.0 |
           8.0 |              6.0 |  115.3290023803711 |  4.354999916245106e-09 |          0.0 |  1.0 | 15.0 |
           8.0 |              6.0 | 105.40899658203125 | 4.0643999125490604e-13 |          0.0 |  1.0 | 16.0 |
           8.0 |              6.0 | 104.81300354003906 |   0.060871999710798264 |          0.0 |  1.0 | 17.0 |
           8.0 |              6.0 | 104.61799621582031 |  3.734600113602937e-06 |          0.0 |  1.0 | 18.0 |
           8.0 |              6.0 | 104.60399627685547 |  4.684999943549428e-09 |          0.0 |  1.0 | 19.0 |
           8.0 |              6.0 |  99.68800354003906 |    0.03345999866724014 |          0.0 |  1.0 | 21.0 |
           8.0 |              6.0 |  99.58399963378906 | 1.2030800462525804e-06 |          0.0 |  1.0 | 22.0 |
           8.0 |              6.0 |  96.83999633789062 |   0.020099999383091927 |          0.0 |  1.0 | 25.0 |
           8.0 |              6.0 |   96.7750015258789 |  4.738600125619996e-07 |          0.0 |  1.0 | 26.0 |
           8.0 |              6.0 |  95.08200073242188 |   0.013159999623894691 |          0.0 |  1.0 | 29.0 |
           8.0 |              6.0 |  95.02999877929688 | 2.1431999641663424e-07 |          0.0 |  1.0 | 31.0 |
           8.0 |              6.0 |  93.91500091552734 |   0.006785999983549118 |          0.0 |  1.0 | 33.0 |
           8.0 |              6.0 |  93.86799621582031 | 1.0719600140873808e-07 |          0.0 |  1.0 | 35.0 |
           8.0 |              6.0 |  93.08699798583984 |   0.004530000034719706 |          0.0 |  1.0 | 37.0 |
           8.0 |              6.0 |    93.072998046875 |   5.79739989348127e-08 |          0.0 |  1.0 | 38.0 |
           8.0 |              6.0 |  92.49099731445312 |   0.004736000206321478 |          0.0 |  1.0 | 41.0 |
           8.0 |              6.0 |  92.47699737548828 | 3.3334000448803636e-08 |          0.0 |  1.0 | 42.0 |
           8.0 |              6.0 |  92.04399871826172 |  0.0036059999838471413 |          0.0 |  1.0 | 45.0 |
           8.0 |              6.0 |  92.03299713134766 |  2.015199918048438e-08 |          0.0 |  1.0 | 46.0 |
           8.0 |              6.0 |  91.69000244140625 |  0.0035059999208897352 |          0.0 |  1.0 | 48.0 |
           8.0 |              6.0 |  91.41999816894531 |   0.002788000041618943 |          0.0 |  1.0 | 49.0 |
           8.0 |              6.0 |   91.2030029296875 |  0.0022539999336004257 |          0.0 |  1.0 | 50.0 |
           8.0 |              6.0 |   91.0270004272461 |  0.0018487999914214015 |          0.0 |  1.0 | 51.0 |
           8.0 |              6.0 |  90.88099670410156 |  0.0015356000512838364 |          0.0 |  1.0 | 52.0 |
           8.0 |              6.0 |  90.75900268554688 |  0.0012894000392407179 |          0.0 |  1.0 | 53.0 |
           8.0 |              6.0 |  90.65599822998047 |  0.0010933999437838793 |          0.0 |  1.0 | 54.0 |
           8.0 |              6.0 |  90.56900024414062 |  0.0009354000212624669 |          0.0 |  1.0 | 55.0 |
           8.0 |              6.0 |  90.49400329589844 |  0.0008064000285230577 |          0.0 |  1.0 | 56.0 |
           8.0 |              6.0 |  90.42900085449219 |  0.0007001999765634537 |          0.0 |  1.0 | 57.0 |
           8.0 |              6.0 |  90.37200164794922 |  0.0006120000034570694 |          0.0 |  1.0 | 58.0 |
           8.0 |              6.0 |   90.3219985961914 |  0.0005378000205382705 |          0.0 |  1.0 | 59.0 |
           8.0 |              6.0 |  90.27799987792969 |  0.0004754000110551715 |          0.0 |  1.0 | 60.0 |
           8.0 |              6.0 |  90.23899841308594 |  0.0004222000134177506 |          0.0 |  1.0 | 61.0 |
           8.0 |              6.0 |  90.20500183105469 | 0.00037659998633898795 |          0.0 |  1.0 | 62.0 |
           8.0 |              6.0 |  90.17400360107422 | 0.00033740000799298286 |          0.0 |  1.0 | 63.0 |
           8.0 |              6.0 |  90.14600372314453 |  0.0003034000110346824 |          0.0 |  1.0 | 64.0 |
           8.0 |              6.0 |  90.12100219726562 |  0.0002739999908953905 |          0.0 |  1.0 | 65.0 |
           8.0 |              6.0 | 183.93699645996094 |    0.05670800060033798 |      96375.0 |  2.0 |  4.0 |
           8.0 |              6.0 |  175.5189971923828 |  2.881999922998285e-13 |      96375.0 |  2.0 |  5.0 |
           8.0 |              6.0 |  175.4709930419922 | 1.1023000297427643e-05 |      96375.0 |  2.0 |  6.0 |
           8.0 |              6.0 | 172.93499755859375 |     1.3109999895095825 |      96375.0 |  2.0 |  7.0 |
           8.0 |              6.0 |  172.9199981689453 | 2.7433999516546237e-09 |      96375.0 |  2.0 |  8.0 |
           8.0 |              6.0 |   132.218994140625 |   0.010955199599266052 |      96375.0 |  2.0 |  9.0 |
           8.0 |              6.0 | 130.38499450683594 |   9.02239979776176e-14 |      96375.0 |  2.0 | 10.0 |
           8.0 |              6.0 | 130.37399291992188 | 2.5379999897268135e-06 |      96375.0 |  2.0 | 11.0 |
           8.0 |              6.0 | 129.78500366210938 |     0.2444400042295456 |      96375.0 |  2.0 | 12.0 |
           8.0 |              6.0 |   129.781005859375 |  6.833000276706969e-10 |      96375.0 |  2.0 | 13.0 |
           8.0 |              6.0 |  129.7519989013672 |  3.407400072319433e-05 |      96375.0 |  2.0 | 14.0 |
           8.0 |              6.0 |  117.3280029296875 |   0.004015999846160412 |      96375.0 |  2.0 | 16.0 |
           8.0 |              6.0 | 116.58999633789062 |  8.314599995173921e-07 |      96375.0 |  2.0 | 17.0 |
           8.0 |              6.0 |  116.3489990234375 |    0.09010999649763107 |      96375.0 |  2.0 | 18.0 |
           8.0 |              6.0 | 116.33200073242188 | 1.8990200260304846e-05 |      96375.0 |  2.0 | 19.0 |
           8.0 |              6.0 | 110.65599822998047 |  0.0021359999664127827 |      96375.0 |  2.0 | 20.0 |
           8.0 |              6.0 | 110.28299713134766 | 3.5874001014235546e-07 |      96375.0 |  2.0 | 21.0 |
           8.0 |              6.0 | 110.15599822998047 |    0.04521999880671501 |      96375.0 |  2.0 | 22.0 |
           8.0 |              6.0 |  107.0199966430664 |  0.0012296000495553017 |      96375.0 |  2.0 | 24.0 |
           8.0 |              6.0 | 106.80899810791016 |  1.816320036596153e-07 |      96375.0 |  2.0 | 25.0 |
           8.0 |              6.0 | 106.72899627685547 |   0.025939999148249626 |      96375.0 |  2.0 | 26.0 |
           8.0 |              6.0 |  104.8030014038086 |  0.0007808000082150102 |      96375.0 |  2.0 | 28.0 |
           8.0 |              6.0 | 104.67400360107422 |  1.023020033130706e-07 |      96375.0 |  2.0 | 29.0 |
           8.0 |              6.0 | 104.61100006103516 |   0.016513999551534653 |      96375.0 |  2.0 | 31.0 |
           8.0 |              6.0 | 103.34400177001953 |   0.000527600001078099 |      96375.0 |  2.0 | 32.0 |
           8.0 |              6.0 | 103.26100158691406 |  6.213399927901264e-08 |      96375.0 |  2.0 | 33.0 |
           8.0 |              6.0 |  103.2040023803711 |   0.011049999855458736 |      96375.0 |  2.0 | 35.0 |
           8.0 |              6.0 |  102.3290023803711 | 0.00037460000021383166 |      96375.0 |  2.0 | 36.0 |
           8.0 |              6.0 | 102.26100158691406 |  3.997800135380203e-08 |      96375.0 |  2.0 | 37.0 |
           8.0 |              6.0 | 102.24400329589844 |   0.007726000156253576 |      96375.0 |  2.0 | 38.0 |
           8.0 |              6.0 | 101.59300231933594 |  0.0002764000091701746 |      96375.0 |  2.0 | 40.0 |
           8.0 |              6.0 | 101.54299926757812 | 2.6924000806616277e-08 |      96375.0 |  2.0 | 41.0 |
           8.0 |              6.0 |  101.5250015258789 |   0.005991999991238117 |      96375.0 |  2.0 | 42.0 |
           8.0 |              6.0 | 101.04199981689453 | 0.00020920000679325312 |      96375.0 |  2.0 | 44.0 |
           8.0 |              6.0 | 101.00399780273438 | 1.8812199797935136e-08 |      96375.0 |  2.0 | 45.0 |
           8.0 |              6.0 | 100.98999786376953 |   0.004370000213384628 |      96375.0 |  2.0 | 46.0 |
           8.0 |              6.0 |  100.5780029296875 |   0.003289999905973673 |      96375.0 |  2.0 | 48.0 |
           8.0 |              6.0 | 100.25299835205078 |  0.0026080000679939985 |      96375.0 |  2.0 | 49.0 |
           8.0 |              6.0 |  99.99199676513672 |  0.0021019999403506517 |      96375.0 |  2.0 | 50.0 |
           8.0 |              6.0 |  99.77999877929688 |  0.0017209999496117234 |      96375.0 |  2.0 | 51.0 |
           8.0 |              6.0 |   99.6050033569336 |  0.0014268000377342105 |      96375.0 |  2.0 | 52.0 |
           8.0 |              6.0 |  99.45899963378906 |  0.0011964000295847654 |      96375.0 |  2.0 | 53.0 |
           8.0 |              6.0 |  99.33499908447266 |  0.0010134000331163406 |      96375.0 |  2.0 | 54.0 |
           8.0 |              6.0 |   99.2300033569336 |  0.0008660000166855752 |      96375.0 |  2.0 | 55.0 |
           8.0 |              6.0 |  99.13999938964844 |  0.0007457999745383859 |      96375.0 |  2.0 | 56.0 |
           8.0 |              6.0 |  99.06199645996094 |  0.0006471999804489315 |      96375.0 |  2.0 | 57.0 |
           8.0 |              6.0 |  98.99400329589844 |  0.0005649999948218465 |      96375.0 |  2.0 | 58.0 |
           8.0 |              6.0 |  98.93399810791016 |  0.0004963999963365495 |      96375.0 |  2.0 | 59.0 |
           8.0 |              6.0 |  98.88099670410156 |  0.0004383999912533909 |      96375.0 |  2.0 | 60.0 |
           8.0 |              6.0 |  98.83499908447266 | 0.00038919999497011304 |      96375.0 |  2.0 | 61.0 |
           8.0 |              6.0 |  98.79299926757812 | 0.00034699999378062785 |      96375.0 |  2.0 | 62.0 |
           8.0 |              6.0 |  98.75599670410156 |  0.0003108000091742724 |      96375.0 |  2.0 | 63.0 |
           8.0 |              6.0 |   98.7229995727539 | 0.00027940000290982425 |      96375.0 |  2.0 | 64.0 |
           8.0 |              6.0 |  98.69300079345703 |  0.0002521999995224178 |      96375.0 |  2.0 | 65.0 |
           8.0 |              6.0 | 184.11700439453125 |     0.1138399988412857 |      96907.5 |  3.0 |  4.0 |
           8.0 |              6.0 | 175.68299865722656 |  1.101280031434726e-05 |      96907.5 |  3.0 |  5.0 |
           8.0 |              6.0 | 175.63499450683594 |   1.10436003524228e-05 |      96907.5 |  3.0 |  6.0 |
           8.0 |              6.0 | 173.09500122070312 |     0.2623240053653717 |      96907.5 |  3.0 |  7.0 |
           8.0 |              6.0 | 173.07899475097656 |     2.3605198860168457 |      96907.5 |  3.0 |  8.0 |
           8.0 |              6.0 | 132.31199645996094 |   0.022151200100779533 |      96907.5 |  3.0 |  9.0 |
           8.0 |              6.0 |  130.4759979248047 | 2.5471199478488415e-06 |      96907.5 |  3.0 | 10.0 |
           8.0 |              6.0 | 130.46499633789062 | 2.5517999802104896e-06 |      96907.5 |  3.0 | 11.0 |
           8.0 |              6.0 |            129.875 |   0.048955999314785004 |      96907.5 |  3.0 | 12.0 |
           8.0 |              6.0 | 129.87100219726562 |    0.44148001074790955 |      96907.5 |  3.0 | 13.0 |
           8.0 |              6.0 | 129.84100341796875 |  9.735599633131642e-06 |      96907.5 |  3.0 | 14.0 |
           8.0 |              6.0 | 129.83999633789062 | 5.8432000514585525e-05 |      96907.5 |  3.0 | 15.0 |
           8.0 |              6.0 |  117.4010009765625 |   0.008182800374925137 |      96907.5 |  3.0 | 16.0 |
           8.0 |              6.0 | 116.66300201416016 | 1.7629199646762572e-06 |      96907.5 |  3.0 | 17.0 |
           8.0 |              6.0 |  116.4209976196289 |    0.18150000274181366 |      96907.5 |  3.0 | 18.0 |
           8.0 |              6.0 | 116.40399932861328 | 3.7741599953733385e-05 |      96907.5 |  3.0 | 19.0 |
           8.0 |              6.0 | 110.72100067138672 |   0.004271999932825565 |      96907.5 |  3.0 | 20.0 |
           8.0 |              6.0 |  110.3479995727539 |  7.946400160108169e-07 |      96907.5 |  3.0 | 21.0 |
           8.0 |              6.0 | 110.22100067138672 |    0.09043999761343002 |      96907.5 |  3.0 | 22.0 |
           8.0 |              6.0 | 107.08100128173828 |  0.0024592000991106033 |      96907.5 |  3.0 | 24.0 |
           8.0 |              6.0 | 106.86900329589844 |  4.175199990186229e-07 |      96907.5 |  3.0 | 25.0 |
           8.0 |              6.0 | 106.79000091552734 |    0.05187999829649925 |      96907.5 |  3.0 | 26.0 |
           8.0 |              6.0 | 104.86199951171875 |  0.0015616000164300203 |      96907.5 |  3.0 | 28.0 |
           8.0 |              6.0 | 104.73200225830078 | 2.4272000587188813e-07 |      96907.5 |  3.0 | 29.0 |
           8.0 |              6.0 | 104.66999816894531 |   0.033027999103069305 |      96907.5 |  3.0 | 31.0 |
           8.0 |              6.0 |  103.4010009765625 |   0.001055200002156198 |      96907.5 |  3.0 | 32.0 |
           8.0 |              6.0 | 103.31800079345703 |  1.517120011840234e-07 |      96907.5 |  3.0 | 33.0 |
           8.0 |              6.0 | 102.38500213623047 |  0.0007492000004276633 |      96907.5 |  3.0 | 36.0 |
           8.0 |              6.0 | 102.31700134277344 | 1.0010000295324062e-07 |      96907.5 |  3.0 | 37.0 |
           8.0 |              6.0 | 102.30000305175781 |   0.015452000312507153 |      96907.5 |  3.0 | 38.0 |
           8.0 |              6.0 | 101.64800262451172 |  0.0005528000183403492 |      96907.5 |  3.0 | 40.0 |
           8.0 |              6.0 |  101.5979995727539 |  6.896799931155329e-08 |      96907.5 |  3.0 | 41.0 |
           8.0 |              6.0 | 101.58000183105469 |   0.011983999982476234 |      96907.5 |  3.0 | 42.0 |
           8.0 |              6.0 | 101.09600067138672 | 0.00041840001358650625 |      96907.5 |  3.0 | 44.0 |
           8.0 |              6.0 | 101.05799865722656 | 4.9191999806907916e-08 |      96907.5 |  3.0 | 45.0 |
           8.0 |              6.0 | 101.04499816894531 |   0.008740000426769257 |      96907.5 |  3.0 | 46.0 |
           8.0 |              6.0 | 100.63099670410156 |   0.006579999811947346 |      96907.5 |  3.0 | 48.0 |
           8.0 |              6.0 | 100.30599975585938 |   0.005216000135987997 |      96907.5 |  3.0 | 49.0 |
           8.0 |              6.0 |  100.0459976196289 |  0.0042039998807013035 |      96907.5 |  3.0 | 50.0 |
           8.0 |              6.0 |  99.83300018310547 |   0.003441999899223447 |      96907.5 |  3.0 | 51.0 |
           8.0 |              6.0 |  99.65799713134766 |   0.002853600075468421 |      96907.5 |  3.0 | 52.0 |
           8.0 |              6.0 |  99.51200103759766 |   0.002392800059169531 |      96907.5 |  3.0 | 53.0 |
