 Atomic Number | Ionization State |  Wavelength (Ang.) |               g_i*f_ik |        E_i(cm^-1) |     i |     j |
           8.0 |              4.0 |           259100.0 | 2.0899999952916914e-08 |               0.0 |   1.0 |   2.0 |
           8.0 |              4.0 |  1399.780029296875 |  7.168000024648791e-07 |               0.0 |   1.0 |   3.0 |
           8.0 |              4.0 | 1397.2320556640625 |  3.791999958480119e-08 |               0.0 |   1.0 |   4.0 |
           8.0 |              4.0 |  787.7100219726562 |     0.2213599979877472 |               0.0 |   1.0 |   7.0 |
           8.0 |              4.0 |    608.39697265625 |    0.13409599661827087 |               0.0 |   1.0 |   8.0 |
           8.0 |              4.0 |  554.0759887695312 |     0.4469600021839142 |               0.0 |   1.0 |   9.0 |
           8.0 |              4.0 |  553.3289794921875 |    0.22378000617027283 |               0.0 |   1.0 |  10.0 |
           8.0 |              4.0 |  279.6310119628906 |    0.06283999979496002 |               0.0 |   1.0 |  16.0 |
           8.0 |              4.0 | 238.36000061035156 |     1.0094200372695923 |               0.0 |   1.0 |  19.0 |
           8.0 |              4.0 |  214.0279998779297 |    0.10029000043869019 |               0.0 |   1.0 |  26.0 |
           8.0 |              4.0 | 213.97500610351562 |   0.050158001482486725 |               0.0 |   1.0 |  27.0 |
           8.0 |              4.0 | 207.18299865722656 |     0.2524000108242035 |               0.0 |   1.0 |  36.0 |
           8.0 |              4.0 | 205.83700561523438 |   0.004513599909842014 |               0.0 |   1.0 |  38.0 |
           8.0 |              4.0 | 202.88499450683594 |    0.04366999864578247 |               0.0 |   1.0 |  39.0 |
           8.0 |              4.0 | 195.86000061035156 |     0.2296999990940094 |               0.0 |   1.0 |  55.0 |
           8.0 |              4.0 | 185.40199279785156 |   0.010930400341749191 |               0.0 |   1.0 |  65.0 |
           8.0 |              4.0 | 182.70599365234375 |    0.03497999906539917 |               0.0 |   1.0 |  68.0 |
           8.0 |              4.0 | 181.88699340820312 |    0.02079799957573414 |               0.0 |   1.0 |  70.0 |
           8.0 |              4.0 | 181.86599731445312 |   0.010400599800050259 |               0.0 |   1.0 |  71.0 |
           8.0 |              4.0 | 181.14999389648438 |    0.09829399734735489 |               0.0 |   1.0 |  72.0 |
           8.0 |              4.0 |    180.35400390625 |   0.013790399767458439 |               0.0 |   1.0 |  78.0 |
           8.0 |              4.0 | 175.98399353027344 | 0.00015857200196478516 |               0.0 |   1.0 |  79.0 |
           8.0 |              4.0 |    174.10400390625 |    0.05750399827957153 |               0.0 |   1.0 |  88.0 |
           8.0 |              4.0 |  173.8520050048828 |    0.02761399932205677 |               0.0 |   1.0 |  92.0 |
           8.0 |              4.0 |  173.8000030517578 |   0.013811600394546986 |               0.0 |   1.0 |  93.0 |
           8.0 |              4.0 | 171.38299560546875 | 0.00020936000510118902 |               0.0 |   1.0 | 106.0 |
           8.0 |              4.0 | 171.07400512695312 |    0.07216200232505798 |               0.0 |   1.0 | 108.0 |
           8.0 |              4.0 | 170.23699951171875 |   0.023442000150680542 |               0.0 |   1.0 | 111.0 |
           8.0 |              4.0 |  169.4720001220703 |   0.005843800026923418 |               0.0 |   1.0 | 117.0 |
           8.0 |              4.0 | 168.38800048828125 |   0.002073999959975481 |               0.0 |   1.0 | 127.0 |
           8.0 |              4.0 | 168.25399780273438 |  0.0033537999261170626 |               0.0 |   1.0 | 134.0 |
           8.0 |              4.0 |   168.197998046875 |  0.0016774400137364864 |               0.0 |   1.0 | 135.0 |
           8.0 |              4.0 | 167.75399780273438 |   0.018235599622130394 |               0.0 |   1.0 | 137.0 |
           8.0 |              4.0 | 167.56100463867188 |  0.0011299599427729845 |               0.0 |   1.0 | 151.0 |
           8.0 |              4.0 | 166.64100646972656 |   0.004197999835014343 |               0.0 |   1.0 | 158.0 |
           8.0 |              4.0 |  166.5540008544922 |  0.0007548599969595671 |               0.0 |   1.0 | 160.0 |
           8.0 |              4.0 |  166.0749969482422 |   0.010120600461959839 |               0.0 |   1.0 | 162.0 |
           8.0 |              4.0 |  165.2570037841797 | 0.00047766001080162823 |               0.0 |   1.0 | 170.0 |
           8.0 |              4.0 | 164.91600036621094 |   0.009720399975776672 |               0.0 |   1.0 | 172.0 |
           8.0 |              4.0 |   163.968994140625 |   0.008033200167119503 |               0.0 |   1.0 | 179.0 |
           8.0 |              4.0 | 163.34800720214844 |   0.006075600162148476 |               0.0 |   1.0 | 180.0 |
           8.0 |              4.0 |  162.8679962158203 |    0.00471160002052784 |               0.0 |   1.0 | 181.0 |
           8.0 |              4.0 | 162.49000549316406 |   0.003730399999767542 |               0.0 |   1.0 | 182.0 |
           8.0 |              4.0 | 162.18499755859375 |  0.0030058000702410936 |               0.0 |   1.0 | 185.0 |
           8.0 |              4.0 | 161.93699645996094 |  0.0024586000945419073 |               0.0 |   1.0 | 187.0 |
           8.0 |              4.0 | 161.73199462890625 |  0.0020373999141156673 |               0.0 |   1.0 | 188.0 |
           8.0 |              4.0 | 161.56100463867188 |  0.0017075600335374475 |               0.0 |   1.0 | 189.0 |
           8.0 |              4.0 | 161.41600036621094 |   0.001445660018362105 |               0.0 |   1.0 | 190.0 |
           8.0 |              4.0 | 161.29200744628906 |  0.0012349400203675032 |               0.0 |   1.0 | 191.0 |
           8.0 |              4.0 | 161.18600463867188 |  0.0010634399950504303 |               0.0 |   1.0 | 192.0 |
           8.0 |              4.0 |   161.093994140625 |   0.000922399980481714 |               0.0 |   1.0 | 193.0 |
           8.0 |              4.0 | 161.01400756835938 |  0.0008053199853748083 |               0.0 |   1.0 | 194.0 |
           8.0 |              4.0 | 160.94400024414062 |  0.0007073199958540499 |               0.0 |   1.0 | 195.0 |
           8.0 |              4.0 |  160.8820037841797 |  0.0006246399716474116 |               0.0 |   1.0 | 196.0 |
           8.0 |              4.0 | 160.82699584960938 |  0.0005543999723158777 |               0.0 |   1.0 | 197.0 |
           8.0 |              4.0 |  160.7790069580078 |  0.0004943200037814677 |               0.0 |   1.0 | 198.0 |
           8.0 |              4.0 | 160.73500061035156 |  0.0004426600062288344 |               0.0 |   1.0 | 199.0 |
           8.0 |              4.0 |  160.6959991455078 |  0.0003979599860031158 |               0.0 |   1.0 | 200.0 |
           8.0 |              4.0 | 160.66000366210938 | 0.00035909999860450625 |               0.0 |   1.0 | 201.0 |
           8.0 |              4.0 |  159.1479949951172 |   0.021252000704407692 |               0.0 |   1.0 | 205.0 |
           8.0 |              4.0 |  157.8249969482422 |  8.521200243194471e-07 |               0.0 |   1.0 | 212.0 |
           8.0 |              4.0 | 153.00599670410156 |   0.006584799848496914 |               0.0 |   1.0 | 226.0 |
           8.0 |              4.0 | 151.79400634765625 |     0.0175160001963377 |               0.0 |   1.0 | 241.0 |
           8.0 |              4.0 |  150.0760040283203 |  2.557399966462981e-05 |               0.0 |   1.0 | 243.0 |
