 Atomic Number | Ionization State | Wavelength (Ang.) |  g_i*f_ik | E_i(cm^-1) |     i |     j |
           8.0 |              5.0 |          1218.344 | 1.124e-06 |        0.0 |   1.0 |   3.0 |
           8.0 |              5.0 |          1213.809 |       0.0 |        0.0 |   1.0 |   4.0 |
           8.0 |              5.0 |         326051.53 |       0.0 |    82078.6 |   3.0 |   4.0 |
           8.0 |              5.0 |           629.732 |    0.5401 |        0.0 |   1.0 |   5.0 |
           8.0 |              5.0 |           759.442 |    0.2021 |    81942.5 |   2.0 |   6.0 |
           8.0 |              5.0 |           760.227 |    0.1514 |    82078.6 |   3.0 |   6.0 |
           8.0 |              5.0 |           762.004 |    0.2515 |    82385.3 |   4.0 |   6.0 |
           8.0 |              5.0 |           761.128 |    0.2019 |    82078.6 |   3.0 |   7.0 |
           8.0 |              5.0 |           758.677 |     0.253 |    82078.6 |   3.0 |   8.0 |
           8.0 |              5.0 |           760.446 |    0.7567 |    82385.3 |   4.0 |   8.0 |
           8.0 |              5.0 |           431.553 |       0.0 |        0.0 |   1.0 |   9.0 |
           8.0 |              5.0 |            669.63 | 0.0001165 |    82385.3 |   4.0 |   9.0 |
           8.0 |              5.0 |          1371.296 |    0.5044 |   158797.7 |   5.0 |   9.0 |
           8.0 |              5.0 |           774.518 |    0.3795 |   158797.7 |   5.0 |  10.0 |
           8.0 |              5.0 |            215.04 |   0.04094 |    81942.5 |   2.0 |  11.0 |
           8.0 |              5.0 |           215.103 |     0.123 |    82078.6 |   3.0 |  11.0 |
           8.0 |              5.0 |           215.245 |    0.2054 |    82385.3 |   4.0 |  11.0 |
           8.0 |              5.0 |            248.46 |   0.06456 |   158797.7 |   5.0 |  12.0 |
           8.0 |              5.0 |           303.439 |       0.0 |   231721.4 |   9.0 |  12.0 |
           8.0 |              5.0 |           172.169 |    0.3798 |        0.0 |   1.0 |  13.0 |
           8.0 |              5.0 |           236.952 |       0.0 |   158797.7 |   5.0 |  13.0 |
           8.0 |              5.0 |           286.448 |    0.1137 |   231721.4 |   9.0 |  13.0 |
           8.0 |              5.0 |           341.396 |  0.004641 |   287910.3 |  10.0 |  13.0 |
           8.0 |              5.0 |          5115.482 |    0.2082 |   561276.4 |  12.0 |  13.0 |
           8.0 |              5.0 |           199.832 |       0.0 |    82385.3 |   4.0 |  14.0 |
           8.0 |              5.0 |           270.865 | 0.0008005 |   213618.2 |   6.0 |  14.0 |
           8.0 |              5.0 |          2790.669 |    0.1703 |   546972.7 |  11.0 |  14.0 |
           8.0 |              5.0 |           171.573 | 0.0002107 |        0.0 |   1.0 |  15.0 |
           8.0 |              5.0 |           199.695 |       0.0 |    82078.6 |   3.0 |  15.0 |
           8.0 |              5.0 |           199.817 |       0.0 |    82385.3 |   4.0 |  15.0 |
           8.0 |              5.0 |           235.824 |       0.0 |   158797.7 |   5.0 |  15.0 |
