 Atomic Number | Ionization State |  Wavelength (Ang.) |               g_i*f_ik | E_i(cm^-1) |    i |    j |
           8.0 |              8.0 |   18.9689998626709 |     0.8327199816703796 |        0.0 |  1.0 |  3.0 |
           8.0 |              8.0 | 16.006000518798828 |    0.15812799334526062 |        0.0 |  1.0 |  5.0 |
           8.0 |              8.0 | 15.175999641418457 |   0.058045998215675354 |        0.0 |  1.0 |  8.0 |
           8.0 |              8.0 | 14.821000099182129 |   0.027922000735998154 |        0.0 |  1.0 | 12.0 |
           8.0 |              8.0 | 14.633999824523926 |   0.015612400136888027 |        0.0 |  1.0 | 17.0 |
           8.0 |              8.0 |  14.52400016784668 |   0.009637599810957909 |        0.0 |  1.0 | 23.0 |
           8.0 |              8.0 | 14.454000473022461 |  0.0063749998807907104 |        0.0 |  1.0 | 30.0 |
           8.0 |              8.0 | 14.406000137329102 |   0.004433399997651577 |        0.0 |  1.0 | 38.0 |
           8.0 |              8.0 | 14.371999740600586 |   0.003212600015103817 |        0.0 |  1.0 | 47.0 |
           8.0 |              8.0 | 14.345999717712402 |  0.0024029999040067196 |        0.0 |  1.0 | 56.0 |
           8.0 |              8.0 |  14.32699966430664 |  0.0018442999571561813 |        0.0 |  1.0 | 57.0 |
           8.0 |              8.0 | 14.312999725341797 |  0.0014465999556705356 |        0.0 |  1.0 | 58.0 |
           8.0 |              8.0 | 14.300999641418457 |   0.001155699952505529 |        0.0 |  1.0 | 59.0 |
           8.0 |              8.0 | 14.291000366210938 |  0.0009379800176247954 |        0.0 |  1.0 | 60.0 |
           8.0 |              8.0 | 14.284000396728516 |  0.0007717600092291832 |        0.0 |  1.0 | 61.0 |
           8.0 |              8.0 | 14.277000427246094 |  0.0006426600157283247 |        0.0 |  1.0 | 62.0 |
           8.0 |              8.0 | 14.272000312805176 |  0.0005408399738371372 |        0.0 |  1.0 | 63.0 |
           8.0 |              8.0 | 14.267000198364258 | 0.00045948001206852496 |        0.0 |  1.0 | 64.0 |
           8.0 |              8.0 | 14.263999938964844 |  0.0003936600114684552 |        0.0 |  1.0 | 65.0 |
           8.0 |              8.0 | 14.260000228881836 | 0.00033983998582698405 |        0.0 |  1.0 | 66.0 |
           8.0 |              8.0 | 14.256999969482422 |  0.0002954200026579201 |        0.0 |  1.0 | 67.0 |
