 Atomic Number | Ionization State |  Wavelength (Ang.) |              g_i*f_ik |       E_i(cm^-1) |     i |     j |
          15.0 |              1.0 |  1671.679931640625 |   0.03235936537384987 |              0.0 | 333.0 | 666.0 |
          15.0 |              1.0 |  1674.591064453125 |    0.0676083043217659 |              0.0 | 333.0 | 666.0 |
          15.0 |              1.0 | 1679.6949462890625 |   0.10000000149011612 |              0.0 | 333.0 | 666.0 |
          15.0 |              1.0 | 1774.9510498046875 |    0.6151768565177917 |              0.0 | 333.0 | 666.0 |
          15.0 |              1.0 | 1782.8380126953125 |    0.4083193838596344 |              0.0 | 333.0 | 666.0 |
          15.0 |              1.0 |  1787.656005859375 |   0.20417378842830658 |              0.0 | 333.0 | 666.0 |
          15.0 |              1.0 |  1858.885986328125 |   0.07211075723171234 |   11361.01953125 | 333.0 | 666.0 |
          15.0 |              1.0 |   1859.39306640625 |    0.8203515410423279 | 11376.6298828125 | 333.0 | 666.0 |
          15.0 |              1.0 |   2136.13916015625 |   0.05767665058374405 |   11361.01953125 | 333.0 | 666.0 |
          15.0 |              1.0 |   2136.85595703125 |    0.7744618058204651 | 11376.6298828125 | 333.0 | 666.0 |
          15.0 |              1.0 |  2149.821044921875 |    0.4405548572540283 |   11361.01953125 | 333.0 | 666.0 |
          15.0 |              1.0 |  2153.616943359375 |   0.13489629328250885 |    18722.7109375 | 333.0 | 666.0 |
          15.0 |              1.0 |    2154.7568359375 |   0.23988328874111176 |  18748.009765625 | 333.0 | 666.0 |
          15.0 |              1.0 |  2236.426025390625 | 0.0018620870541781187 | 11376.6298828125 | 333.0 | 666.0 |
          15.0 |              1.0 |  2534.738037109375 |   0.07709033787250519 |    18722.7109375 | 333.0 | 666.0 |
          15.0 |              1.0 |  2536.364990234375 |    0.3630780577659607 |  18748.009765625 | 333.0 | 666.0 |
          15.0 |              1.0 |  2554.028076171875 |   0.13803842663764954 |    18722.7109375 | 333.0 | 666.0 |
          15.0 |              1.0 |  2555.680908203125 |  0.058748941868543625 |  18748.009765625 | 333.0 | 666.0 |
          15.0 |              1.0 |        5080.796875 |   0.04466835781931877 |      56339.65625 | 333.0 | 666.0 |
          15.0 |              1.0 |   5099.64208984375 |   0.02238721214234829 |        56090.625 | 333.0 | 666.0 |
          15.0 |              1.0 |   5102.39599609375 |  0.007244357839226723 |        56090.625 | 333.0 | 666.0 |
          15.0 |              1.0 |    5111.0517578125 |   0.07943282276391983 |      56339.65625 | 333.0 | 666.0 |
          15.0 |              1.0 |   5156.27978515625 |   0.03548133373260498 |        56090.625 | 333.0 | 666.0 |
          15.0 |              1.0 |   5295.01220703125 |  0.048977889120578766 |   57876.57421875 | 333.0 | 666.0 |
          15.0 |              1.0 |   5347.33837890625 |    0.1258925497531891 |    58174.3671875 | 333.0 | 666.0 |
          15.0 |              1.0 |   5459.82177734375 |    0.0676083043217659 |   57876.57421875 | 333.0 | 666.0 |
          15.0 |              1.0 |   5479.19384765625 |   0.15488165616989136 |    58174.3671875 | 333.0 | 666.0 |
          15.0 |              1.0 |    9178.3369140625 |   0.25118863582611084 |     55939.421875 | 333.0 | 666.0 |
          15.0 |              1.0 |     9307.490234375 |    0.5011872053146362 |        56090.625 | 333.0 | 666.0 |
          15.0 |              1.0 |      9528.33984375 |    0.7585775852203369 |      56339.65625 | 333.0 | 666.0 |
          15.0 |              1.0 |          9566.0625 |    0.6606934666633606 |        56090.625 | 333.0 | 666.0 |
          15.0 |              1.0 |    9596.1298828125 |    0.6025595664978027 |     55939.421875 | 333.0 | 666.0 |
          15.0 |              1.0 |    9611.6806640625 |   0.12302687019109726 |     55939.421875 | 333.0 | 666.0 |
          15.0 |              1.0 |     9737.419921875 |   0.19952623546123505 |        56090.625 | 333.0 | 666.0 |
          15.0 |              1.0 |     9753.439453125 |    0.6309573650360107 |        56090.625 | 333.0 | 666.0 |
          15.0 |              1.0 |    9792.8896484375 |    0.2570396065711975 |   57876.57421875 | 333.0 | 666.0 |
          15.0 |              1.0 |    9799.5400390625 |    1.5488165616989136 |      56339.65625 | 333.0 | 666.0 |
          15.0 |              1.0 |     9906.400390625 |    0.5248074531555176 |   57876.57421875 | 333.0 | 666.0 |
          15.0 |              1.0 |      9979.41015625 |    0.6606934666633606 |      56339.65625 | 333.0 | 666.0 |
          15.0 |              1.0 |   10087.0302734375 |    1.2882494926452637 |    58174.3671875 | 333.0 | 666.0 |
          15.0 |              1.0 |      10514.4609375 |    0.5888436436653137 |     55939.421875 | 333.0 | 666.0 |
          15.0 |              1.0 |     10532.41015625 |    1.5135612487792969 |        56090.625 | 333.0 | 666.0 |
          15.0 |              1.0 |   10599.7998046875 |    0.5754399299621582 |     55939.421875 | 333.0 | 666.0 |
          15.0 |              1.0 |    10684.330078125 |    0.7585775852203369 |        56090.625 | 333.0 | 666.0 |
          15.0 |              1.0 |     10816.08984375 |    0.6309573650360107 |      56339.65625 | 333.0 | 666.0 |
%NIST
