 Atomic Number | Ionization State | Wavelength (Ang.) |  g_i*f_ik | E_i(cm^-1) |    i |    j |
          15.0 |              9.0 |          1317.592 |       0.0 |        0.0 |  1.0 |  2.0 |
          15.0 |              9.0 |          1307.514 |       0.0 |        0.0 |  1.0 |  3.0 |
          15.0 |              9.0 |         170940.17 |       0.0 |    75896.0 |  2.0 |  3.0 |
          15.0 |              9.0 |           861.252 |       0.0 |        0.0 |  1.0 |  4.0 |
          15.0 |              9.0 |          2486.696 |       0.0 |    75896.0 |  2.0 |  4.0 |
          15.0 |              9.0 |          2523.405 |       0.0 |    76481.0 |  3.0 |  4.0 |
          15.0 |              9.0 |           853.657 |       0.0 |        0.0 |  1.0 |  5.0 |
          15.0 |              9.0 |          2424.419 |       0.0 |    75896.0 |  2.0 |  5.0 |
          15.0 |              9.0 |          2459.299 |       0.0 |    76481.0 |  3.0 |  5.0 |
          15.0 |              9.0 |          96805.42 |       0.0 |   116110.0 |  4.0 |  5.0 |
          15.0 |              9.0 |            289.53 |     0.404 |        0.0 |  1.0 |  6.0 |
          15.0 |              9.0 |            371.07 |  0.000104 |    75896.0 |  2.0 |  6.0 |
          15.0 |              9.0 |           371.877 | 0.0002892 |    76481.0 |  3.0 |  6.0 |
          15.0 |              9.0 |           438.128 | 0.0002572 |   117143.0 |  5.0 |  6.0 |
          15.0 |              9.0 |           285.368 |     0.274 |        0.0 |  1.0 |  7.0 |
          15.0 |              9.0 |            364.26 |  7.52e-06 |    75896.0 |  2.0 |  7.0 |
          15.0 |              9.0 |           365.038 | 1.086e-05 |    76481.0 |  3.0 |  7.0 |
          15.0 |              9.0 |           426.776 |  1.43e-06 |   116110.0 |  4.0 |  7.0 |
          15.0 |              9.0 |           428.666 |  0.000294 |   117143.0 |  5.0 |  7.0 |
          15.0 |              9.0 |            283.26 |    0.1384 |        0.0 |  1.0 |  8.0 |
          15.0 |              9.0 |           360.832 |   1.7e-05 |    75896.0 |  2.0 |  8.0 |
          15.0 |              9.0 |           422.078 |   4.5e-05 |   116110.0 |  4.0 |  8.0 |
          15.0 |              9.0 |           423.926 |  5.84e-06 |   117143.0 |  5.0 |  8.0 |
          15.0 |              9.0 |           210.407 | 1.344e-05 |        0.0 |  1.0 |  9.0 |
          15.0 |              9.0 |           250.392 |      0.46 |    75896.0 |  2.0 |  9.0 |
          15.0 |              9.0 |           250.759 |   0.03768 |    76481.0 |  3.0 |  9.0 |
          15.0 |              9.0 |           278.427 |    0.0704 |   116110.0 |  4.0 |  9.0 |
          15.0 |              9.0 |           279.231 |   0.00062 |   117143.0 |  5.0 |  9.0 |
          15.0 |              9.0 |           210.391 |  1.32e-07 |        0.0 |  1.0 | 10.0 |
          15.0 |              9.0 |           250.369 |   0.02208 |    75896.0 |  2.0 | 10.0 |
          15.0 |              9.0 |           250.737 |     0.666 |    76481.0 |  3.0 | 10.0 |
          15.0 |              9.0 |           279.202 |     0.154 |   117143.0 |  5.0 | 10.0 |
          15.0 |              9.0 |           179.708 | 0.0001988 |        0.0 |  1.0 | 11.0 |
          15.0 |              9.0 |            208.09 |    0.0264 |    75896.0 |  2.0 | 11.0 |
          15.0 |              9.0 |           227.094 |     0.166 |   116110.0 |  4.0 | 11.0 |
          15.0 |              9.0 |           227.628 |    0.2336 |   117143.0 |  5.0 | 11.0 |
          15.0 |              9.0 |           171.398 |  0.000732 |        0.0 |  1.0 | 12.0 |
          15.0 |              9.0 |           197.029 |    0.1516 |    75896.0 |  2.0 | 12.0 |
          15.0 |              9.0 |           197.256 |     0.936 |    76481.0 |  3.0 | 12.0 |
          15.0 |              9.0 |           213.983 |    0.0626 |   116110.0 |  4.0 | 12.0 |
          15.0 |              9.0 |           214.457 |    0.2252 |   117143.0 |  5.0 | 12.0 |
          15.0 |              9.0 |            169.57 |  9.96e-05 |        0.0 |  1.0 | 13.0 |
          15.0 |              9.0 |           194.617 |     0.424 |    75896.0 |  2.0 | 13.0 |
          15.0 |              9.0 |           211.141 |    0.0892 |   116110.0 |  4.0 | 13.0 |
          15.0 |              9.0 |           211.603 |    0.1708 |   117143.0 |  5.0 | 13.0 |
          15.0 |              9.0 |           178.607 |  0.000632 |   345387.0 |  6.0 | 14.0 |
          15.0 |              9.0 |           180.229 | 0.0001964 |   350425.0 |  7.0 | 14.0 |
          15.0 |              9.0 |            181.08 |  6.08e-05 |   353033.0 |  8.0 | 14.0 |
          15.0 |              9.0 |           232.574 |     0.628 |   475306.0 | 10.0 | 14.0 |
          15.0 |              9.0 |           232.555 |    0.0872 |   475270.0 |  9.0 | 14.0 |
          15.0 |              9.0 |           286.682 |    0.0808 |   556457.0 | 11.0 | 14.0 |
          15.0 |              9.0 |           310.713 |     0.764 |   583436.0 | 12.0 | 14.0 |
          15.0 |              9.0 |           316.908 |    0.1328 |   589727.0 | 13.0 | 14.0 |
          15.0 |              9.0 |           177.634 | 1.422e-05 |   350425.0 |  7.0 | 15.0 |
          15.0 |              9.0 |           178.461 | 0.0001162 |   353033.0 |  8.0 | 15.0 |
          15.0 |              9.0 |           228.253 |      0.34 |   475270.0 |  9.0 | 15.0 |
          15.0 |              9.0 |           280.172 |   0.01152 |   556457.0 | 11.0 | 15.0 |
          15.0 |              9.0 |           303.082 |    0.1718 |   583436.0 | 12.0 | 15.0 |
          15.0 |              9.0 |           308.973 |     0.328 |   589727.0 | 13.0 | 15.0 |
%CHIANTI
