 Atomic Number | Ionization State | Wavelength (Ang.) |  g_i*f_ik | E_i(cm^-1) |     i |     j |
          15.0 |             12.0 |           532.793 | 8.292e-05 |        0.0 |   1.0 |   3.0 |
          15.0 |             12.0 |           513.199 | 6.517e-11 |        0.0 |   1.0 |   4.0 |
          15.0 |             12.0 |           13955.0 | 7.239e-07 |   187690.0 |   3.0 |   4.0 |
          15.0 |             12.0 |           278.286 |    0.2459 |        0.0 |   1.0 |   5.0 |
          15.0 |             12.0 |           807.415 | 8.892e-05 |   359343.0 |   5.0 |   6.0 |
          15.0 |             12.0 |           338.404 |   0.09285 |   187690.0 |   3.0 |   6.0 |
          15.0 |             12.0 |           782.105 |  2.41e-05 |   359343.0 |   5.0 |   7.0 |
          15.0 |             12.0 |           333.875 |   0.07062 |   187690.0 |   3.0 |   7.0 |
          15.0 |             12.0 |           330.333 |   0.09537 |   184478.0 |   2.0 |   7.0 |
          15.0 |             12.0 |           342.059 |    0.1146 |   194856.0 |   4.0 |   7.0 |
          15.0 |             12.0 |           746.592 |  0.001599 |   359343.0 |   5.0 |   8.0 |
          15.0 |             12.0 |            327.23 |    0.1205 |   187690.0 |   3.0 |   8.0 |
          15.0 |             12.0 |           335.088 |     0.348 |   194856.0 |   4.0 |   8.0 |
          15.0 |             12.0 |           548.348 |     0.272 |   359343.0 |   5.0 |   9.0 |
          15.0 |             12.0 |           282.471 | 0.0002938 |   187690.0 |   3.0 |   9.0 |
          15.0 |             12.0 |           288.307 |  0.004552 |   194856.0 |   4.0 |   9.0 |
          15.0 |             12.0 |             320.3 |    0.1724 |   359343.0 |   5.0 |  10.0 |
          15.0 |             12.0 |           204.028 | 3.396e-05 |   187690.0 |   3.0 |  10.0 |
          15.0 |             12.0 |            44.718 | 8.292e-05 |   359343.0 |   5.0 |  11.0 |
          15.0 |             12.0 |             41.53 |   0.09306 |   187690.0 |   3.0 |  11.0 |
          15.0 |             12.0 |            41.474 |   0.03086 |   184478.0 |   2.0 |  11.0 |
          15.0 |             12.0 |            41.654 |    0.1566 |   194856.0 |   4.0 |  11.0 |
          15.0 |             12.0 |             44.05 |   0.03321 |   359343.0 |   5.0 |  12.0 |
          15.0 |             12.0 |            47.898 | 2.504e-06 |   541709.0 |   9.0 |  12.0 |
          15.0 |             12.0 |            40.953 | 7.551e-06 |   187690.0 |   3.0 |  12.0 |
          15.0 |             12.0 |          1216.545 |   0.02029 |  2595600.0 |  11.0 |  13.0 |
          15.0 |             12.0 |            43.132 | 4.053e-05 |   359343.0 |   5.0 |  13.0 |
