 Atomic Number | Ionization State | Wavelength (Ang.) |  g_i*f_ik | E_i(cm^-1) |     i |     j |
          15.0 |             13.0 |           480.298 |   0.06428 |        0.0 |   1.0 |   2.0 |
          15.0 |             13.0 |           455.726 |    0.1359 |        0.0 |   1.0 |   3.0 |
          15.0 |             13.0 |           38.9223 |   0.08135 |   219430.0 |   3.0 |   4.0 |
          15.0 |             13.0 |            38.753 |   0.03938 |   208204.0 |   2.0 |   4.0 |
          15.0 |             13.0 |           38.0713 |       0.0 |   219430.0 |   3.0 |   5.0 |
          15.0 |             13.0 |            35.136 |    0.2289 |        0.0 |   1.0 |   5.0 |
          15.0 |             13.0 |           1741.25 |    0.1081 |  2788650.0 |   4.0 |   5.0 |
          15.0 |             13.0 |           38.0231 |       0.0 |   219430.0 |   3.0 |   6.0 |
          15.0 |             13.0 |            35.095 |    0.4538 |        0.0 |   1.0 |   6.0 |
          15.0 |             13.0 |           37.8615 |       0.0 |   208204.0 |   2.0 |   6.0 |
          15.0 |             13.0 |           1645.82 |    0.2286 |  2788650.0 |   4.0 |   6.0 |
          15.0 |             13.0 |             37.72 |      0.27 |   219430.0 |   3.0 |   7.0 |
          15.0 |             13.0 |           34.8367 |       0.0 |        0.0 |   1.0 |   7.0 |
          15.0 |             13.0 |            37.561 |      1.34 |   208204.0 |   2.0 |   7.0 |
          15.0 |             13.0 |            37.706 |     2.429 |   219430.0 |   3.0 |   8.0 |
          15.0 |             13.0 |           34.8246 |       0.0 |        0.0 |   1.0 |   8.0 |
          15.0 |             13.0 |           115.246 |       0.0 |  2871530.0 |   8.0 |   9.0 |
          15.0 |             13.0 |           28.4103 |   0.01668 |   219430.0 |   3.0 |   9.0 |
          15.0 |             13.0 |            112.35 |    0.1866 |  2849410.0 |   6.0 |   9.0 |
          15.0 |             13.0 |            115.11 |       0.0 |  2870540.0 |   7.0 |   9.0 |
          15.0 |             13.0 |           28.3209 |  0.007883 |   208204.0 |   2.0 |   9.0 |
          15.0 |             13.0 |            111.94 |   0.09077 |  2846080.0 |   5.0 |   9.0 |
          15.0 |             13.0 |             28.22 |       0.0 |   219430.0 |   3.0 |  10.0 |
          15.0 |             13.0 |           109.456 |       0.0 |  2849410.0 |   6.0 |  10.0 |
          15.0 |             13.0 |           112.047 |   0.04493 |  2870540.0 |   7.0 |  10.0 |
          15.0 |             13.0 |           26.5744 |    0.0577 |        0.0 |   1.0 |  10.0 |
          15.0 |             13.0 |          4231.013 |    0.1492 |  3739966.0 |   9.0 |  10.0 |
          15.0 |             13.0 |            102.63 |    0.2487 |  2788650.0 |   4.0 |  10.0 |
          15.0 |             13.0 |            111.98 |   0.07972 |  2871530.0 |   8.0 |  11.0 |
          15.0 |             13.0 |           28.2078 |       0.0 |   219430.0 |   3.0 |  11.0 |
          15.0 |             13.0 |           109.273 |       0.0 |  2849410.0 |   6.0 |  11.0 |
          15.0 |             13.0 |           111.856 |  0.008755 |  2870540.0 |   7.0 |  11.0 |
          15.0 |             13.0 |           26.5636 |    0.1149 |        0.0 |   1.0 |  11.0 |
          15.0 |             13.0 |           28.1187 |       0.0 |   208204.0 |   2.0 |  11.0 |
          15.0 |             13.0 |            4000.0 |    0.3161 |  3739966.0 |   9.0 |  11.0 |
          15.0 |             13.0 |           108.877 |       0.0 |  2846080.0 |   5.0 |  11.0 |
          15.0 |             13.0 |            102.47 |    0.4913 |  2788650.0 |   4.0 |  11.0 |
          15.0 |             13.0 |           28.1368 |   0.04882 |   219430.0 |   3.0 |  12.0 |
          15.0 |             13.0 |           108.215 |    0.2336 |  2849410.0 |   6.0 |  12.0 |
          15.0 |             13.0 |           26.5006 |       0.0 |        0.0 |   1.0 |  12.0 |
          15.0 |             13.0 |           28.0482 |    0.2436 |   208204.0 |   2.0 |  12.0 |
          15.0 |             13.0 |           107.826 |     1.155 |  2846080.0 |   5.0 |  12.0 |
          15.0 |             13.0 |           101.538 |       0.0 |  2788650.0 |   4.0 |  12.0 |
          15.0 |             13.0 |           28.1328 |    0.4405 |   219430.0 |   3.0 |  13.0 |
          15.0 |             13.0 |           108.156 |     2.093 |  2849410.0 |   6.0 |  13.0 |
          15.0 |             13.0 |           26.4971 |       0.0 |        0.0 |   1.0 |  13.0 |
          15.0 |             13.0 |           101.487 |       0.0 |  2788650.0 |   4.0 |  13.0 |
          15.0 |             13.0 |           110.778 |    0.2899 |  2871530.0 |   8.0 |  14.0 |
          15.0 |             13.0 |           28.1309 |       0.0 |   219430.0 |   3.0 |  14.0 |
          15.0 |             13.0 |           108.128 |       0.0 |  2849410.0 |   6.0 |  14.0 |
          15.0 |             13.0 |           110.656 |     4.055 |  2870540.0 |   7.0 |  14.0 |
          15.0 |             13.0 |           28.0423 |       0.0 |   208204.0 |   2.0 |  14.0 |
          15.0 |             13.0 |            107.74 |       0.0 |  2846080.0 |   5.0 |  14.0 |
          15.0 |             13.0 |            110.76 |     5.799 |  2871530.0 |   8.0 |  15.0 |
          15.0 |             13.0 |           28.1298 |       0.0 |   219430.0 |   3.0 |  15.0 |
          15.0 |             13.0 |           108.112 |       0.0 |  2849410.0 |   6.0 |  15.0 |
          15.0 |             13.0 |             76.79 |       0.0 |  2871530.0 |   8.0 |  16.0 |
          15.0 |             13.0 |           25.2884 |  0.006099 |   219430.0 |   3.0 |  16.0 |
          15.0 |             13.0 |           249.848 |       0.0 |  3774000.0 |  13.0 |  16.0 |
          15.0 |             13.0 |           244.176 |    0.2986 |  3764550.0 |  11.0 |  16.0 |
          15.0 |             13.0 |           249.579 |       0.0 |  3773500.0 |  12.0 |  16.0 |
          15.0 |             13.0 |            75.494 |   0.03893 |  2849410.0 |   6.0 |  16.0 |
          15.0 |             13.0 |             76.73 |       0.0 |  2870540.0 |   7.0 |  16.0 |
          15.0 |             13.0 |           25.2175 |  0.002692 |   208204.0 |   2.0 |  16.0 |
          15.0 |             13.0 |           243.365 |    0.1451 |  3763020.0 |  10.0 |  16.0 |
          15.0 |             13.0 |            75.308 |   0.01854 |  2846080.0 |   5.0 |  16.0 |
          15.0 |             13.0 |           25.2122 |       0.0 |   219430.0 |   3.0 |  17.0 |
          15.0 |             13.0 |           237.259 |       0.0 |  3764550.0 |  11.0 |  17.0 |
          15.0 |             13.0 |           242.357 |      0.11 |  3773500.0 |  12.0 |  17.0 |
          15.0 |             13.0 |            74.819 |       0.0 |  2849410.0 |   6.0 |  17.0 |
          15.0 |             13.0 |            76.033 |   0.00842 |  2870540.0 |   7.0 |  17.0 |
          15.0 |             13.0 |           23.8866 |   0.02299 |        0.0 |   1.0 |  17.0 |
          15.0 |             13.0 |          8375.911 |    0.1901 |  4174507.0 |  16.0 |  17.0 |
          15.0 |             13.0 |           223.974 |    0.2726 |  3739966.0 |   9.0 |  17.0 |
          15.0 |             13.0 |            71.564 |   0.06526 |  2788650.0 |   4.0 |  17.0 |
          15.0 |             13.0 |            76.053 |   0.01537 |  2871530.0 |   8.0 |  18.0 |
          15.0 |             13.0 |           25.2079 |       0.0 |   219430.0 |   3.0 |  18.0 |
          15.0 |             13.0 |           242.205 |    0.1975 |  3774000.0 |  13.0 |  18.0 |
          15.0 |             13.0 |           241.951 |   0.02156 |  3773500.0 |  12.0 |  18.0 |
          15.0 |             13.0 |            74.781 |       0.0 |  2849410.0 |   6.0 |  18.0 |
          15.0 |             13.0 |            75.993 |  0.001655 |  2870540.0 |   7.0 |  18.0 |
          15.0 |             13.0 |           23.8827 |   0.04626 |        0.0 |   1.0 |  18.0 |
          15.0 |             13.0 |           25.1375 |       0.0 |   208204.0 |   2.0 |  18.0 |
          15.0 |             13.0 |           7917.03 |    0.4029 |  4174507.0 |  16.0 |  18.0 |
          15.0 |             13.0 |           223.628 |    0.5379 |  3739966.0 |   9.0 |  18.0 |
          15.0 |             13.0 |            74.599 |       0.0 |  2846080.0 |   5.0 |  18.0 |
          15.0 |             13.0 |            71.528 |    0.1303 |  2788650.0 |   4.0 |  18.0 |
          15.0 |             13.0 |           25.1707 |   0.01782 |   219430.0 |   3.0 |  19.0 |
