 Atomic Number | Ionization State | Wavelength (Ang.) |  g_i*f_ik | E_i(cm^-1) |    i |    j |
          15.0 |             14.0 |            5.8357 |       0.0 |        0.0 |  1.0 |  2.0 |
          15.0 |             14.0 |           813.154 |   0.01737 | 17135768.0 |  2.0 |  4.0 |
          15.0 |             14.0 |            5.7934 |  0.004717 |        0.0 |  1.0 |  5.0 |
          15.0 |             14.0 |           797.474 |   0.05294 | 17135768.0 |  2.0 |  5.0 |
          15.0 |             14.0 |            5.7901 |       0.0 |        0.0 |  1.0 |  6.0 |
          15.0 |             14.0 |           739.973 |   0.09434 | 17135768.0 |  2.0 |  6.0 |
          15.0 |             14.0 |            5.7602 |    0.7479 |        0.0 |  1.0 |  7.0 |
          15.0 |             14.0 |          1090.299 |       0.0 | 17268828.0 |  3.0 |  7.0 |
          15.0 |             14.0 |           33.1966 |  0.001508 | 17258746.0 |  4.0 |  8.0 |
          15.0 |             14.0 |           33.2233 |   0.01354 | 17261164.0 |  5.0 |  8.0 |
          15.0 |             14.0 |           33.3312 |   0.03777 | 17270908.0 |  6.0 |  8.0 |
          15.0 |             14.0 |           33.9474 |   0.04078 | 17360546.0 |  7.0 |  9.0 |
          15.0 |             14.0 |            31.554 |    0.1191 | 17135768.0 |  2.0 | 10.0 |
          15.0 |             14.0 |            4.9247 |  0.000937 |        0.0 |  1.0 | 11.0 |
          15.0 |             14.0 |           31.5466 |    0.3552 | 17135768.0 |  2.0 | 11.0 |
          15.0 |             14.0 |           32.9288 |  0.002229 | 17268828.0 |  3.0 | 11.0 |
          15.0 |             14.0 |           31.5178 |    0.5967 | 17135768.0 |  2.0 | 12.0 |
          15.0 |             14.0 |            4.9181 |     0.141 |        0.0 |  1.0 | 13.0 |
          15.0 |             14.0 |           31.2775 |  0.002357 | 17135768.0 |  2.0 | 13.0 |
          15.0 |             14.0 |           32.6358 |    0.3424 | 17268828.0 |  3.0 | 13.0 |
          15.0 |             14.0 |           32.5886 |   0.07947 | 17258746.0 |  4.0 | 14.0 |
          15.0 |             14.0 |           32.6143 |    0.1754 | 17261164.0 |  5.0 | 14.0 |
