 Atomic Number | Ionization State | Wavelength (Ang.) | g_i*f_ik | E_i(cm^-1) |    i |    j |
          15.0 |             15.0 |            5.3866 |      0.0 |        0.0 |  1.0 |  2.0 |
          15.0 |             15.0 |            5.3868 |   0.2774 |        0.0 |  1.0 |  3.0 |
          15.0 |             15.0 |            5.3813 |   0.5555 |        0.0 |  1.0 |  4.0 |
          15.0 |             15.0 |           29.0323 |  0.02719 | 18564052.0 |  3.0 |  5.0 |
          15.0 |             15.0 |           29.1905 |  0.05439 | 18582722.0 |  4.0 |  5.0 |
          15.0 |             15.0 |            4.5437 |  0.05273 |        0.0 |  1.0 |  6.0 |
          15.0 |             15.0 |           29.0397 |   0.2899 | 18564728.0 |  2.0 |  6.0 |
          15.0 |             15.0 |            4.5426 |   0.1056 |        0.0 |  1.0 |  7.0 |
          15.0 |             15.0 |           28.9931 |   0.5804 | 18564728.0 |  2.0 |  7.0 |
          15.0 |             15.0 |           28.9875 |    1.392 | 18564052.0 |  3.0 |  8.0 |
          15.0 |             15.0 |           29.1453 |   0.2785 | 18582722.0 |  4.0 |  8.0 |
          15.0 |             15.0 |           29.1297 |    2.506 | 18582722.0 |  4.0 |  9.0 |
          15.0 |             15.0 |           21.5098 | 0.006094 | 18564052.0 |  3.0 | 10.0 |
          15.0 |             15.0 |           21.5965 |  0.01219 | 18582722.0 |  4.0 | 10.0 |
          15.0 |             15.0 |            83.001 |  0.06453 | 22008288.0 |  6.0 | 10.0 |
          15.0 |             15.0 |            83.384 |   0.1291 | 22013822.0 |  7.0 | 10.0 |
          15.0 |             15.0 |            4.3079 |  0.01932 |        0.0 |  1.0 | 11.0 |
          15.0 |             15.0 |           21.5133 |  0.06851 | 18564728.0 |  2.0 | 11.0 |
          15.0 |             15.0 |            83.021 |   0.3231 | 22008492.0 |  5.0 | 11.0 |
          15.0 |             15.0 |            83.389 |  0.03666 | 22013812.0 |  8.0 | 11.0 |
          15.0 |             15.0 |            4.3075 |   0.0387 |        0.0 |  1.0 | 12.0 |
          15.0 |             15.0 |           21.5025 |   0.1372 | 18564728.0 |  2.0 | 12.0 |
          15.0 |             15.0 |             82.86 |   0.6473 | 22008492.0 |  5.0 | 12.0 |
          15.0 |             15.0 |            83.227 | 0.007335 | 22013812.0 |  8.0 | 12.0 |
          15.0 |             15.0 |            83.354 |  0.06598 | 22015648.0 |  9.0 | 12.0 |
          15.0 |             15.0 |           21.4994 |   0.2437 | 18564052.0 |  3.0 | 13.0 |
          15.0 |             15.0 |           21.5861 |  0.04875 | 18582722.0 |  4.0 | 13.0 |
          15.0 |             15.0 |            82.846 |    1.237 | 22008288.0 |  6.0 | 13.0 |
          15.0 |             15.0 |            83.228 |   0.2475 | 22013822.0 |  7.0 | 13.0 |
          15.0 |             15.0 |           21.5825 |   0.4387 | 18582722.0 |  4.0 | 14.0 |
          15.0 |             15.0 |            83.174 |    2.227 | 22013822.0 |  7.0 | 14.0 |
          15.0 |             15.0 |            83.301 |    0.291 | 22015648.0 |  9.0 | 15.0 |
          15.0 |             15.0 |            83.274 |    5.822 | 22015648.0 |  9.0 | 16.0 |
