 Atomic Number | Ionization State |  Wavelength (Ang.) |               g_i*f_ik |        E_i(cm^-1) |     i |     j |
          15.0 |              3.0 |  1756.800048828125 |  2.499999936844688e-05 |               0.0 |   1.0 |   3.0 |
          15.0 |              3.0 | 1750.5169677734375 |  6.651999910900486e-07 |               0.0 |   1.0 |   4.0 |
          15.0 |              3.0 |   1334.81298828125 |    0.06791999936103821 |               0.0 |   1.0 |   6.0 |
          15.0 |              3.0 |              998.0 |     0.2741999924182892 |               0.0 |   1.0 |   8.0 |
          15.0 |              3.0 |  917.1179809570312 |      1.069000005722046 |               0.0 |   1.0 |   9.0 |
          15.0 |              3.0 |   913.968017578125 |     0.5902000069618225 |               0.0 |   1.0 |  10.0 |
          15.0 |              3.0 |  855.6179809570312 |     2.9179999828338623 |               0.0 |   1.0 |  11.0 |
          15.0 |              3.0 |  848.6370239257812 |    0.17377999424934387 |               0.0 |   1.0 |  13.0 |
          15.0 |              3.0 |  579.9439697265625 |    0.02710000053048134 |               0.0 |   1.0 |  26.0 |
          15.0 |              3.0 |  568.0430297851562 |   0.030260000377893448 |               0.0 |   1.0 |  34.0 |
          15.0 |              3.0 | 502.12200927734375 |  0.0003205999964848161 |               0.0 |   1.0 |  49.0 |
          15.0 |              3.0 |  496.7909851074219 |   0.010185999795794487 |               0.0 |   1.0 |  52.0 |
          15.0 |              3.0 |   484.135009765625 |  0.0033499998971819878 |               0.0 |   1.0 |  57.0 |
          15.0 |              3.0 |  483.6929931640625 |  0.0011613999959081411 |               0.0 |   1.0 |  60.0 |
          15.0 |              3.0 |     483.2080078125 |    0.00760400015860796 |               0.0 |   1.0 |  61.0 |
          15.0 |              3.0 | 482.96600341796875 |   0.004592000041157007 |               0.0 |   1.0 |  63.0 |
          15.0 |              3.0 |  476.3280029296875 | 1.0789999578264542e-05 |               0.0 |   1.0 |  65.0 |
          15.0 |              3.0 |  476.0639953613281 |  2.305999942109338e-06 |               0.0 |   1.0 |  67.0 |
          15.0 |              3.0 |  473.1709899902344 | 1.3613999726658221e-05 |               0.0 |   1.0 |  70.0 |
          15.0 |              3.0 |    470.22900390625 |  0.0023880000226199627 |               0.0 |   1.0 |  71.0 |
          15.0 |              3.0 |  467.2969970703125 |   0.011858000420033932 |               0.0 |   1.0 |  73.0 |
          15.0 |              3.0 |  466.0329895019531 |  0.0037499999161809683 |               0.0 |   1.0 |  77.0 |
          15.0 |              3.0 | 456.84600830078125 |   0.006823999807238579 |               0.0 |   1.0 |  84.0 |
          15.0 |              3.0 |   449.760009765625 |  0.0012531999964267015 |               0.0 |   1.0 |  89.0 |
          15.0 |              3.0 |  449.4620056152344 |   0.004027999937534332 |               0.0 |   1.0 |  91.0 |
          15.0 |              3.0 | 439.50799560546875 |   0.002090000081807375 |               0.0 |   1.0 | 104.0 |
          15.0 |              3.0 |   439.364013671875 |  0.0009397999965585768 |               0.0 |   1.0 | 105.0 |
          15.0 |              3.0 |  432.5740051269531 |   0.000754999986384064 |               0.0 |   1.0 | 119.0 |
          15.0 |              3.0 |  431.8420104980469 |  0.0013273999793455005 |               0.0 |   1.0 | 130.0 |
          15.0 |              3.0 |  427.8869934082031 |  0.0006095999851822853 |               0.0 |   1.0 | 137.0 |
          15.0 |              3.0 | 427.34600830078125 |  0.0008931999909691513 |               0.0 |   1.0 | 145.0 |
          15.0 |              3.0 |  424.5060119628906 |  0.0004731999943032861 |               0.0 |   1.0 | 157.0 |
          15.0 |              3.0 |  422.3999938964844 |  0.0010207999730482697 |               0.0 |   1.0 | 161.0 |
          15.0 |              3.0 |  420.5979919433594 |  0.0007802000036463141 |               0.0 |   1.0 | 162.0 |
          15.0 |              3.0 |  419.1789855957031 |  0.0006107999943196774 |               0.0 |   1.0 | 166.0 |
          15.0 |              3.0 |  418.0400085449219 | 0.00048779998905956745 |               0.0 |   1.0 | 172.0 |
          15.0 |              3.0 |   417.114013671875 | 0.00039599998854100704 |               0.0 |   1.0 | 173.0 |
          15.0 |              3.0 |  416.3489990234375 |  0.0003262000100221485 |               0.0 |   1.0 | 174.0 |
          15.0 |              3.0 |  415.7099914550781 | 0.00027200000477023423 |               0.0 |   1.0 | 175.0 |
          15.0 |              3.0 |  415.1700134277344 |  0.0002294000005349517 |               0.0 |   1.0 | 177.0 |
          15.0 |              3.0 | 414.71099853515625 | 0.00019520000205375254 |               0.0 |   1.0 | 180.0 |
          15.0 |              3.0 |  414.3169860839844 | 0.00016758000128902495 |               0.0 |   1.0 | 182.0 |
          15.0 |              3.0 | 413.97601318359375 | 0.00014495999494101852 |               0.0 |   1.0 | 184.0 |
          15.0 |              3.0 |  413.6780090332031 | 0.00012625999806914479 |               0.0 |   1.0 | 185.0 |
          15.0 |              3.0 |  413.4179992675781 | 0.00011067999730585143 |               0.0 |   1.0 | 186.0 |
          15.0 |              3.0 |    413.18798828125 |  9.755999781191349e-05 |               0.0 |   1.0 | 187.0 |
          15.0 |              3.0 |  412.9849853515625 |  8.646000060252845e-05 |               0.0 |   1.0 | 188.0 |
          15.0 |              3.0 |  412.8039855957031 |  7.698000263189897e-05 |               0.0 |   1.0 | 189.0 |
          15.0 |              3.0 |  412.6419982910156 |  6.884000322315842e-05 |               0.0 |   1.0 | 190.0 |
          15.0 |              3.0 |  412.4960021972656 |  6.181999924592674e-05 |               0.0 |   1.0 | 191.0 |
          15.0 |              3.0 |   412.364990234375 |  5.574000169872306e-05 |               0.0 |   1.0 | 192.0 |
          15.0 |              3.0 |  411.2229919433594 |  0.0027920000720769167 |               0.0 |   1.0 | 193.0 |
          15.0 |              3.0 |  411.0400085449219 |  0.0008221999742090702 |               0.0 |   1.0 | 194.0 |
          15.0 |              3.0 |   1774.22802734375 | 1.8324000848224387e-05 | 559.1400146484375 |   2.0 |   3.0 |
          15.0 |              3.0 | 1767.8199462890625 | 1.6480000340379775e-05 | 559.1400146484375 |   2.0 |   4.0 |
          15.0 |              3.0 | 1757.6280517578125 | 5.4200001613935456e-05 | 559.1400146484375 |   2.0 |   5.0 |
          15.0 |              3.0 | 1344.8499755859375 |    0.01101600006222725 | 559.1400146484375 |   2.0 |   6.0 |
          15.0 |              3.0 | 1344.3260498046875 |    0.11723999679088593 | 559.1400146484375 |   2.0 |   7.0 |
          15.0 |              3.0 | 1003.5999755859375 |    0.43560001254081726 | 559.1400146484375 |   2.0 |   8.0 |
          15.0 |              3.0 |   921.844970703125 |     0.5928000211715698 | 559.1400146484375 |   2.0 |   9.0 |
          15.0 |              3.0 |  918.6630249023438 |     2.7416000366210938 | 559.1400146484375 |   2.0 |  10.0 |
          15.0 |              3.0 |  859.7310180664062 |      0.626800000667572 | 559.1400146484375 |   2.0 |  11.0 |
          15.0 |              3.0 |  859.6480102539062 |      5.296000003814697 | 559.1400146484375 |   2.0 |  12.0 |
          15.0 |              3.0 |  852.6829833984375 |     0.3380799889564514 | 559.1400146484375 |   2.0 |  13.0 |
          15.0 |              3.0 |     581.8330078125 |    0.04876000061631203 | 559.1400146484375 |   2.0 |  25.0 |
          15.0 |              3.0 |  581.8309936523438 |   0.005495999939739704 | 559.1400146484375 |   2.0 |  26.0 |
          15.0 |              3.0 |    569.85302734375 |     0.0602400004863739 | 559.1400146484375 |   2.0 |  34.0 |
          15.0 |              3.0 |  503.5360107421875 |  0.0005664000054821372 | 559.1400146484375 |   2.0 |  48.0 |
          15.0 |              3.0 |  503.5350036621094 |  6.456000119214877e-05 | 559.1400146484375 |   2.0 |  49.0 |
          15.0 |              3.0 | 498.17498779296875 |   0.020371999591588974 | 559.1400146484375 |   2.0 |  52.0 |
          15.0 |              3.0 | 485.45001220703125 |  0.0015172000275924802 | 559.1400146484375 |   2.0 |  57.0 |
          15.0 |              3.0 |  485.0050048828125 |   0.005284000188112259 | 559.1400146484375 |   2.0 |  60.0 |
          15.0 |              3.0 |  484.5169982910156 |  0.0034435999114066362 | 559.1400146484375 |   2.0 |  61.0 |
          15.0 |              3.0 | 484.31500244140625 | 2.1628000013151905e-07 | 559.1400146484375 |   2.0 |  62.0 |
