 Atomic Number | Ionization State |  Wavelength (Ang.) |               g_i*f_ik |    E_i(cm^-1) |     i |     j |
          15.0 |              4.0 |   950.656982421875 |      1.559000015258789 |           0.0 |   1.0 |   5.0 |
          15.0 |              4.0 | 388.31500244140625 |     0.0581899993121624 |           0.0 |   1.0 |  20.0 |
          15.0 |              4.0 |  325.6440124511719 |  6.069999926694436e-06 |           0.0 |   1.0 |  39.0 |
          15.0 |              4.0 |  315.5690002441406 |   0.022290000692009926 |           0.0 |   1.0 |  43.0 |
          15.0 |              4.0 |  304.9960021972656 |   0.005708000157028437 |           0.0 |   1.0 |  50.0 |
          15.0 |              4.0 | 282.29901123046875 |   0.012918000109493732 |           0.0 |   1.0 |  77.0 |
          15.0 |              4.0 | 269.11700439453125 |   0.008205399848520756 |           0.0 |   1.0 |  96.0 |
          15.0 |              4.0 | 261.47198486328125 |  0.0053403000347316265 |           0.0 |   1.0 | 125.0 |
          15.0 |              4.0 |  257.3059997558594 |  0.0003821399877779186 |           0.0 |   1.0 | 144.0 |
          15.0 |              4.0 |  256.4530029296875 |   0.003199900034815073 |           0.0 |   1.0 | 148.0 |
          15.0 |              4.0 | 253.26600646972656 |    0.00279600010253489 |           0.0 |   1.0 | 164.0 |
          15.0 |              4.0 |  1028.093994140625 |     0.5245400071144104 |   67918.03125 |   2.0 |   8.0 |
          15.0 |              4.0 |  823.1799926757812 |     0.8178200125694275 |   67918.03125 |   2.0 |  10.0 |
          15.0 |              4.0 |  629.0089721679688 |    0.11202999949455261 |   67918.03125 |   2.0 |  15.0 |
          15.0 |              4.0 |  443.8039855957031 |   0.004377900157123804 |   67918.03125 |   2.0 |  32.0 |
          15.0 |              4.0 |  414.6050109863281 |   0.017934000119566917 |   67918.03125 |   2.0 |  40.0 |
          15.0 |              4.0 |  371.2950134277344 |   0.020666999742388725 |   67918.03125 |   2.0 |  51.0 |
          15.0 |              4.0 |  361.5039978027344 |   0.008644499816000462 |   67918.03125 |   2.0 |  63.0 |
          15.0 |              4.0 | 358.99700927734375 |   0.008425000123679638 |   67918.03125 |   2.0 |  67.0 |
          15.0 |              4.0 |  357.8380126953125 |   0.007348900195211172 |   67918.03125 |   2.0 |  69.0 |
          15.0 |              4.0 |  355.5199890136719 |  6.224300159374252e-05 |   67918.03125 |   2.0 |  72.0 |
          15.0 |              4.0 | 338.84100341796875 |   0.002950600115582347 |   67918.03125 |   2.0 |  79.0 |
          15.0 |              4.0 |  333.7590026855469 |   0.003168300027027726 |   67918.03125 |   2.0 |  91.0 |
          15.0 |              4.0 | 323.50201416015625 |  0.0029021999798715115 |   67918.03125 |   2.0 |  98.0 |
          15.0 |              4.0 | 320.46099853515625 |  0.0019046999514102936 |   67918.03125 |   2.0 | 110.0 |
          15.0 |              4.0 |   314.302001953125 |   0.002352900104597211 |   67918.03125 |   2.0 | 132.0 |
          15.0 |              4.0 |  312.3429870605469 |  0.0012382999993860722 |   67918.03125 |   2.0 | 141.0 |
          15.0 |              4.0 | 308.39801025390625 |  0.0019218999659642577 |   67918.03125 |   2.0 | 150.0 |
          15.0 |              4.0 |  307.2049865722656 | 1.9550000160961645e-06 |   67918.03125 |   2.0 | 158.0 |
          15.0 |              4.0 |   306.989013671875 |  0.0008563799783587456 |   67918.03125 |   2.0 | 160.0 |
          15.0 |              4.0 |  304.6340026855469 | 1.2982999578525778e-05 |   67918.03125 |   2.0 | 167.0 |
          15.0 |              4.0 | 304.15301513671875 |  0.0013267999747768044 |   67918.03125 |   2.0 | 170.0 |
          15.0 |              4.0 | 291.39801025390625 |  0.0036490000784397125 |   67918.03125 |   2.0 | 178.0 |
          15.0 |              4.0 |  1033.112060546875 |     0.5219999551773071 | 68146.4765625 |   3.0 |   7.0 |
          15.0 |              4.0 | 1030.5140380859375 |      0.392490029335022 | 68146.4765625 |   3.0 |   8.0 |
          15.0 |              4.0 |   1025.56103515625 |     0.6572999954223633 | 68146.4765625 |   3.0 |   9.0 |
          15.0 |              4.0 |  824.7310180664062 |     0.6122100353240967 | 68146.4765625 |   3.0 |  10.0 |
          15.0 |              4.0 |  629.9149780273438 |     0.3356100022792816 | 68146.4765625 |   3.0 |  15.0 |
          15.0 |              4.0 |  444.2539978027344 |   0.003280199831351638 | 68146.4765625 |   3.0 |  32.0 |
          15.0 |              4.0 |  444.2449951171875 |   0.009840300306677818 | 68146.4765625 |   3.0 |  33.0 |
          15.0 |              4.0 | 414.99798583984375 |    0.05375099927186966 | 68146.4765625 |   3.0 |  40.0 |
          15.0 |              4.0 |  371.6099853515625 |   0.015486899763345718 | 68146.4765625 |   3.0 |  51.0 |
          15.0 |              4.0 |  371.5010070800781 |    0.04647599905729294 | 68146.4765625 |   3.0 |  52.0 |
          15.0 |              4.0 |  361.8030090332031 |  0.0064778998494148254 | 68146.4765625 |   3.0 |  63.0 |
          15.0 |              4.0 | 361.51800537109375 |   0.019449299201369286 | 68146.4765625 |   3.0 |  64.0 |
          15.0 |              4.0 |  359.2909851074219 |   0.025254299864172935 | 68146.4765625 |   3.0 |  67.0 |
          15.0 |              4.0 |  358.3760070800781 |  0.0073379999957978725 | 68146.4765625 |   3.0 |  68.0 |
          15.0 |              4.0 |  358.1310119628906 |   0.005507099907845259 | 68146.4765625 |   3.0 |  69.0 |
          15.0 |              4.0 |     357.7080078125 |   0.009189600124955177 | 68146.4765625 |   3.0 |  71.0 |
          15.0 |              4.0 |  355.8089904785156 | 0.00018657598411664367 | 68146.4765625 |   3.0 |  72.0 |
          15.0 |              4.0 |    339.10400390625 |  0.0022112401202321053 | 68146.4765625 |   3.0 |  79.0 |
          15.0 |              4.0 | 339.10198974609375 |    0.00663360022008419 | 68146.4765625 |   3.0 |  80.0 |
          15.0 |              4.0 | 334.01300048828125 |    0.00949770025908947 | 68146.4765625 |   3.0 |  91.0 |
          15.0 |              4.0 |  323.7409973144531 |   0.002175030065700412 | 68146.4765625 |   3.0 |  98.0 |
          15.0 |              4.0 |   323.739013671875 |   0.006525000091642141 | 68146.4765625 |   3.0 |  99.0 |
          15.0 |              4.0 | 320.69500732421875 |   0.005709900055080652 | 68146.4765625 |   3.0 | 110.0 |
          15.0 |              4.0 | 314.52801513671875 |  0.0017634299583733082 | 68146.4765625 |   3.0 | 132.0 |
          15.0 |              4.0 |  312.5660095214844 |   0.003712200094014406 | 68146.4765625 |   3.0 | 141.0 |
          15.0 |              4.0 |   308.614990234375 |  0.0014404499670490623 | 68146.4765625 |   3.0 | 150.0 |
          15.0 |              4.0 |  307.4209899902344 |  5.865000275662169e-06 | 68146.4765625 |   3.0 | 158.0 |
          15.0 |              4.0 |  307.2040100097656 |  0.0025673399213701487 | 68146.4765625 |   3.0 | 160.0 |
          15.0 |              4.0 | 304.84698486328125 |  1.297410017286893e-05 | 68146.4765625 |   3.0 | 166.0 |
          15.0 |              4.0 | 304.84600830078125 |  9.730800229590386e-06 | 68146.4765625 |   3.0 | 167.0 |
          15.0 |              4.0 |   304.843994140625 | 1.6218000382650644e-05 | 68146.4765625 |   3.0 | 168.0 |
          15.0 |              4.0 |   304.364990234375 |  0.0009943799814209342 | 68146.4765625 |   3.0 | 170.0 |
          15.0 |              4.0 |  291.5920104980469 |   0.010947000235319138 | 68146.4765625 |   3.0 | 178.0 |
          15.0 |              4.0 | 1035.5159912109375 |     0.6510000228881836 |  68615.171875 |   4.0 |   8.0 |
          15.0 |              4.0 | 1030.5150146484375 |      1.962399959564209 |  68615.171875 |   4.0 |   9.0 |
          15.0 |              4.0 |  827.9310302734375 |   0.040656499564647675 |  68615.171875 |   4.0 |  10.0 |
          15.0 |              4.0 |   631.780029296875 |      0.557699978351593 |  68615.171875 |   4.0 |  15.0 |
          15.0 |              4.0 |  445.1809997558594 | 0.00021821499103680253 |  68615.171875 |   4.0 |  32.0 |
          15.0 |              4.0 |  445.1719970703125 |  0.0032732998952269554 |  68615.171875 |   4.0 |  33.0 |
          15.0 |              4.0 |   445.156005859375 |   0.018331000581383705 |  68615.171875 |   4.0 |  34.0 |
          15.0 |              4.0 |  415.8070068359375 |    0.08941500633955002 |  68615.171875 |   4.0 |  40.0 |
          15.0 |              4.0 |  372.2590026855469 |  0.0010306499898433685 |  68615.171875 |   4.0 |  51.0 |
          15.0 |              4.0 | 372.14898681640625 |   0.015464499592781067 |  68615.171875 |   4.0 |  52.0 |
          15.0 |              4.0 |              372.0 |    0.08663499355316162 |  68615.171875 |   4.0 |  53.0 |
          15.0 |              4.0 |  362.4179992675781 | 0.00043113500578328967 |  68615.171875 |   4.0 |  63.0 |
