 Atomic Number | Ionization State | Wavelength (Ang.) |  g_i*f_ik | E_i(cm^-1) |    i |     j |
          15.0 |              5.0 |          1128.007 |    0.4936 |        0.0 |  1.0 |   2.0 |
          15.0 |              5.0 |          1117.978 |    0.9948 |        0.0 |  1.0 |   3.0 |
          15.0 |              5.0 |           871.446 |    0.2995 |    89447.2 |  3.0 |   4.0 |
          15.0 |              5.0 |           489.718 |       0.0 |        0.0 |  1.0 |   4.0 |
          15.0 |              5.0 |           865.448 |     1.496 |    88651.9 |  2.0 |   4.0 |
          15.0 |              5.0 |           871.393 |     2.683 |    89447.2 |  3.0 |   5.0 |
          15.0 |              5.0 |           489.702 |       0.0 |        0.0 |  1.0 |   5.0 |
          15.0 |              5.0 |           544.924 |    0.4265 |    89447.2 |  3.0 |   6.0 |
          15.0 |              5.0 |           542.572 |    0.2107 |    88651.9 |  2.0 |   6.0 |
          15.0 |              5.0 |           465.736 |       0.0 |    89447.2 |  3.0 |   7.0 |
          15.0 |              5.0 |          1000.381 |    0.4108 |   204199.0 |  4.0 |   7.0 |
          15.0 |              5.0 |          3204.952 |    0.7227 |   272959.2 |  6.0 |   7.0 |
          15.0 |              5.0 |           328.773 |   0.03566 |        0.0 |  1.0 |   7.0 |
          15.0 |              5.0 |           997.613 |    0.7357 |   204206.0 |  5.0 |   8.0 |
          15.0 |              5.0 |            465.12 |       0.0 |    89447.2 |  3.0 |   8.0 |
          15.0 |              5.0 |           997.543 |   0.08147 |   204199.0 |  4.0 |   8.0 |
          15.0 |              5.0 |          3176.002 |     1.449 |   272959.2 |  6.0 |   8.0 |
          15.0 |              5.0 |           328.466 |   0.06946 |        0.0 |  1.0 |   8.0 |
          15.0 |              5.0 |           463.406 |       0.0 |    88651.9 |  2.0 |   8.0 |
          15.0 |              5.0 |          2441.986 |    0.4398 |   304445.3 |  8.0 |   9.0 |
          15.0 |              5.0 |           390.704 |   0.01071 |    89447.2 |  3.0 |   9.0 |
          15.0 |              5.0 |           708.232 |       0.0 |   204199.0 |  4.0 |   9.0 |
          15.0 |              5.0 |          2425.143 |     2.203 |   304160.9 |  7.0 |   9.0 |
          15.0 |              5.0 |          1380.521 |       0.0 |   272959.2 |  6.0 |   9.0 |
          15.0 |              5.0 |           289.523 |       0.0 |        0.0 |  1.0 |   9.0 |
          15.0 |              5.0 |           389.493 |   0.05158 |    88651.9 |  2.0 |   9.0 |
          15.0 |              5.0 |           708.241 |       0.0 |   204206.0 |  5.0 |  10.0 |
          15.0 |              5.0 |          2441.675 |     3.952 |   304445.3 |  8.0 |  10.0 |
          15.0 |              5.0 |           390.696 |   0.09606 |    89447.2 |  3.0 |  10.0 |
          15.0 |              5.0 |          1380.422 |       0.0 |   272959.2 |  6.0 |  10.0 |
