 Atomic Number | Ionization State | Wavelength (Ang.) |  g_i*f_ik | E_i(cm^-1) |     i |     j |
          15.0 |              6.0 |            91.756 |       0.0 |        0.0 |   1.0 |   2.0 |
          15.0 |              6.0 |            91.467 |   0.03086 |        0.0 |   1.0 |   3.0 |
          15.0 |              6.0 |         13855.213 |       0.0 |  1089844.6 |   2.0 |   4.0 |
          15.0 |              6.0 |         26510.256 |       0.0 |  1093290.0 |   3.0 |   4.0 |
          15.0 |              6.0 |            90.652 |    0.2229 |        0.0 |   1.0 |   5.0 |
          15.0 |              6.0 |          1463.912 |  0.006425 |  1103116.1 |   5.0 |   6.0 |
          15.0 |              6.0 |          1344.734 |   0.03285 |  1097062.1 |   4.0 |   6.0 |
          15.0 |              6.0 |          1225.766 |     0.332 |  1089844.6 |   2.0 |   6.0 |
          15.0 |              6.0 |          1279.816 |    0.1198 |  1093290.0 |   3.0 |   6.0 |
          15.0 |              6.0 |          1045.946 |     1.458 |  1089844.6 |   2.0 |   7.0 |
          15.0 |              6.0 |          1197.185 |   0.01199 |  1103116.1 |   5.0 |   8.0 |
          15.0 |              6.0 |            84.271 |       0.0 |        0.0 |   1.0 |   8.0 |
          15.0 |              6.0 |           1033.05 |    0.4018 |  1089844.6 |   2.0 |   8.0 |
          15.0 |              6.0 |          1071.176 |    0.6206 |  1093290.0 |   3.0 |   8.0 |
          15.0 |              6.0 |           1160.12 |  0.001326 |  1103116.1 |   5.0 |   9.0 |
          15.0 |              6.0 |          1083.987 |     0.159 |  1097062.1 |   4.0 |   9.0 |
          15.0 |              6.0 |          1005.333 |   0.06455 |  1089844.6 |   2.0 |   9.0 |
          15.0 |              6.0 |          1041.405 |    0.3984 |  1093290.0 |   3.0 |   9.0 |
          15.0 |              6.0 |          1108.804 |    0.3414 |  1103116.1 |   5.0 |  10.0 |
          15.0 |              6.0 |            83.801 |       0.0 |        0.0 |   1.0 |  10.0 |
          15.0 |              6.0 |           966.569 |    0.5216 |  1089844.6 |   2.0 |  10.0 |
          15.0 |              6.0 |           999.866 |    0.2284 |  1093290.0 |   3.0 |  10.0 |
          15.0 |              6.0 |           1081.08 |    0.2986 |  1103116.1 |   5.0 |  11.0 |
          15.0 |              6.0 |          1014.671 |    0.2452 |  1097062.1 |   4.0 |  11.0 |
          15.0 |              6.0 |           945.433 |   0.04451 |  1089844.6 |   2.0 |  11.0 |
          15.0 |              6.0 |           977.266 |   0.04399 |  1093290.0 |   3.0 |  11.0 |
          15.0 |              6.0 |          1055.552 |    0.6824 |  1103116.1 |   5.0 |  12.0 |
          15.0 |              6.0 |            83.483 |       0.0 |        0.0 |   1.0 |  12.0 |
          15.0 |              6.0 |           925.852 |    0.1947 |  1089844.6 |   2.0 |  12.0 |
          15.0 |              6.0 |           956.359 |    0.2111 |  1093290.0 |   3.0 |  12.0 |
          15.0 |              6.0 |            955.17 |    0.2104 |  1093290.0 |   3.0 |  13.0 |
          15.0 |              6.0 |          1054.105 |   0.01842 |  1103116.1 |   5.0 |  13.0 |
          15.0 |              6.0 |          1042.945 |    0.3045 |  1103116.1 |   5.0 |  14.0 |
          15.0 |              6.0 |           981.004 |    0.1922 |  1097062.1 |   4.0 |  14.0 |
          15.0 |              6.0 |           916.138 |     0.131 |  1089844.6 |   2.0 |  14.0 |
          15.0 |              6.0 |           945.998 |   0.03347 |  1093290.0 |   3.0 |  14.0 |
          15.0 |              6.0 |           669.799 |   0.03725 |  1093290.0 |   3.0 |  15.0 |
          15.0 |              6.0 |           716.988 |    0.3437 |  1103116.1 |   5.0 |  15.0 |
          15.0 |              6.0 |           858.501 |   0.02346 |  1189314.1 |   9.0 |  16.0 |
          15.0 |              6.0 |           907.606 |   0.02454 |  1195616.2 |  11.0 |  16.0 |
          15.0 |              6.0 |           744.214 |    0.2292 |  1171426.2 |   6.0 |  16.0 |
          15.0 |              6.0 |           936.349 |   0.05804 |  1198998.5 |  14.0 |  16.0 |
          15.0 |              6.0 |           463.067 |       0.0 |  1089844.6 |   2.0 |  16.0 |
          15.0 |              6.0 |           928.874 |   0.05583 |  1198998.5 |  14.0 |  17.0 |
          15.0 |              6.0 |           852.213 |  0.006521 |  1189314.1 |   9.0 |  17.0 |
          15.0 |              6.0 |            900.58 |   0.02735 |  1195616.2 |  11.0 |  17.0 |
          15.0 |              6.0 |           1560.86 | 0.0001484 |  1242588.5 |  15.0 |  17.0 |
          15.0 |              6.0 |            76.531 |  0.002888 |        0.0 |   1.0 |  17.0 |
          15.0 |              6.0 |           920.197 |   0.08394 |  1197983.4 |  13.0 |  17.0 |
          15.0 |              6.0 |           739.484 |    0.6344 |  1171426.2 |   6.0 |  17.0 |
