 Atomic Number | Ionization State | Wavelength (Ang.) |  g_i*f_ik | E_i(cm^-1) |    i |    j |
          15.0 |             10.0 |         27159.152 |       0.0 |        0.0 |  1.0 |  2.0 |
          15.0 |             10.0 |         11072.971 |       0.0 |        0.0 |  1.0 |  3.0 |
          15.0 |             10.0 |         18695.082 |       0.0 |     3682.0 |  2.0 |  3.0 |
          15.0 |             10.0 |          1675.575 |       0.0 |        0.0 |  1.0 |  4.0 |
          15.0 |             10.0 |          1785.746 |       0.0 |     3682.0 |  2.0 |  4.0 |
          15.0 |             10.0 |          1974.334 |       0.0 |     9031.0 |  3.0 |  4.0 |
          15.0 |             10.0 |           860.008 |       0.0 |     3682.0 |  2.0 |  5.0 |
          15.0 |             10.0 |           901.478 |       0.0 |     9031.0 |  3.0 |  5.0 |
          15.0 |             10.0 |          1658.953 |       0.0 |    59681.0 |  4.0 |  5.0 |
          15.0 |             10.0 |           609.574 | 3.088e-05 |     3682.0 |  2.0 |  6.0 |
          15.0 |             10.0 |            630.12 | 7.415e-05 |     9031.0 |  3.0 |  6.0 |
          15.0 |             10.0 |           925.497 | 1.893e-07 |    59681.0 |  4.0 |  6.0 |
          15.0 |             10.0 |           312.995 |    0.1933 |     3682.0 |  2.0 |  7.0 |
          15.0 |             10.0 |           318.324 |   0.03486 |     9031.0 |  3.0 |  7.0 |
          15.0 |             10.0 |           379.514 | 0.0002115 |    59681.0 |  4.0 |  7.0 |
          15.0 |             10.0 |           309.235 |   0.08795 |        0.0 |  1.0 |  8.0 |
          15.0 |             10.0 |           312.796 |     0.049 |     3682.0 |  2.0 |  8.0 |
          15.0 |             10.0 |           318.119 |  0.001787 |     9031.0 |  3.0 |  8.0 |
          15.0 |             10.0 |           379.222 | 8.478e-05 |    59681.0 |  4.0 |  8.0 |
          15.0 |             10.0 |           491.596 | 0.0001241 |   119960.0 |  5.0 |  8.0 |
          15.0 |             10.0 |            318.27 |    0.3098 |     9031.0 |  3.0 |  9.0 |
          15.0 |             10.0 |           379.436 |   0.00164 |    59681.0 |  4.0 |  9.0 |
          15.0 |             10.0 |           265.781 |   0.08573 |     3682.0 |  2.0 | 10.0 |
          15.0 |             10.0 |           263.223 |   0.07743 |        0.0 |  1.0 | 11.0 |
          15.0 |             10.0 |           265.799 |   0.08047 |     3682.0 |  2.0 | 11.0 |
          15.0 |             10.0 |           269.633 |   0.09736 |     9031.0 |  3.0 | 11.0 |
          15.0 |             10.0 |            312.28 | 0.0005263 |    59681.0 |  4.0 | 11.0 |
          15.0 |             10.0 |           384.695 | 0.0002989 |   119960.0 |  5.0 | 11.0 |
          15.0 |             10.0 |           265.635 |   0.08007 |     3682.0 |  2.0 | 12.0 |
          15.0 |             10.0 |           269.464 |     0.342 |     9031.0 |  3.0 | 12.0 |
          15.0 |             10.0 |           312.054 |  0.000279 |    59681.0 |  4.0 | 12.0 |
          15.0 |             10.0 |           207.892 | 0.0001684 |     3682.0 |  2.0 | 13.0 |
          15.0 |             10.0 |            210.23 |  0.003987 |     9031.0 |  3.0 | 13.0 |
