 Atomic Number | Ionization State | Wavelength (Ang.) |  g_i*f_ik | E_i(cm^-1) |     i |     j |
          15.0 |             11.0 |         10310.341 |       0.0 |        0.0 |   1.0 |   2.0 |
          15.0 |             11.0 |           564.407 | 5.328e-05 |        0.0 |   1.0 |   3.0 |
          15.0 |             11.0 |           597.093 |  7.38e-05 |     9699.0 |   2.0 |   3.0 |
          15.0 |             11.0 |           553.489 | 5.508e-06 |        0.0 |   1.0 |   4.0 |
          15.0 |             11.0 |           584.888 | 5.212e-05 |     9699.0 |   2.0 |   4.0 |
          15.0 |             11.0 |           568.405 | 0.0002646 |     9699.0 |   2.0 |   5.0 |
          15.0 |             11.0 |            315.65 |    0.2714 |        0.0 |   1.0 |   6.0 |
          15.0 |             11.0 |           325.618 |   0.03652 |     9699.0 |   2.0 |   6.0 |
          15.0 |             11.0 |           325.514 |    0.4424 |     9699.0 |   2.0 |   7.0 |
          15.0 |             11.0 |           247.941 |     0.249 |        0.0 |   1.0 |   8.0 |
          15.0 |             11.0 |            254.05 |    0.0981 |     9699.0 |   2.0 |   8.0 |
          15.0 |             11.0 |            234.26 |   0.02285 |        0.0 |   1.0 |   9.0 |
          15.0 |             11.0 |           239.706 |     0.382 |     9699.0 |   2.0 |   9.0 |
          15.0 |             11.0 |           231.396 |    0.1989 |        0.0 |   1.0 |  10.0 |
          15.0 |             11.0 |           236.708 |     1.082 |     9699.0 |   2.0 |  10.0 |
          15.0 |             11.0 |            264.34 |    0.5034 |   180672.0 |   4.0 |  11.0 |
          15.0 |             11.0 |           788.563 | 0.0003906 |   432160.0 |  10.0 |  11.0 |
          15.0 |             11.0 |            261.92 |     0.254 |   177177.0 |   3.0 |  11.0 |
          15.0 |             11.0 |            267.85 |    0.7434 |   185630.0 |   5.0 |  11.0 |
          15.0 |             11.0 |           757.025 | 2.082e-08 |   426877.0 |   9.0 |  11.0 |
          15.0 |             11.0 |           221.587 |   0.00044 |   180672.0 |   4.0 |  12.0 |
          15.0 |             11.0 |           317.305 |    0.5026 |   316807.0 |   6.0 |  12.0 |
          15.0 |             11.0 |           500.498 |   0.04242 |   432160.0 |  10.0 |  12.0 |
          15.0 |             11.0 |           219.885 | 1.608e-05 |   177177.0 |   3.0 |  12.0 |
          15.0 |             11.0 |           224.049 | 3.274e-05 |   185630.0 |   5.0 |  12.0 |
          15.0 |             11.0 |           487.605 |   0.01121 |   426877.0 |   9.0 |  12.0 |
          15.0 |             11.0 |           317.404 |    0.0959 |   316905.0 |   7.0 |  12.0 |
          15.0 |             11.0 |           437.371 |    0.3834 |   403322.0 |   8.0 |  12.0 |
          15.0 |             11.0 |           221.488 | 4.998e-05 |   180672.0 |   4.0 |  13.0 |
          15.0 |             11.0 |           317.101 |   0.08018 |   316807.0 |   6.0 |  13.0 |
          15.0 |             11.0 |            499.99 |     0.555 |   432160.0 |  10.0 |  13.0 |
          15.0 |             11.0 |           223.947 |  0.001587 |   185630.0 |   5.0 |  13.0 |
          15.0 |             11.0 |             317.2 |    0.8576 |   316905.0 |   7.0 |  13.0 |
          15.0 |             11.0 |           189.038 | 1.757e-05 |   180672.0 |   4.0 |  14.0 |
          15.0 |             11.0 |           254.544 |    0.3436 |   316807.0 |   6.0 |  14.0 |
          15.0 |             11.0 |           360.353 |    0.1208 |   432160.0 |  10.0 |  14.0 |
          15.0 |             11.0 |           187.797 | 2.996e-05 |   177177.0 |   3.0 |  14.0 |
          15.0 |             11.0 |           353.621 |   0.08504 |   426877.0 |   9.0 |  14.0 |
          15.0 |             11.0 |            326.43 |     0.104 |   403322.0 |   8.0 |  14.0 |
          15.0 |             11.0 |           188.652 | 0.0003744 |   180672.0 |   4.0 |  15.0 |
          15.0 |             11.0 |           253.844 |   0.08634 |   316807.0 |   6.0 |  15.0 |
          15.0 |             11.0 |           358.952 |    0.7274 |   432160.0 |  10.0 |  15.0 |
          15.0 |             11.0 |           187.416 | 1.335e-05 |   177177.0 |   3.0 |  15.0 |
          15.0 |             11.0 |           190.433 | 0.0001771 |   185630.0 |   5.0 |  15.0 |
          15.0 |             11.0 |           352.271 |    0.1167 |   426877.0 |   9.0 |  15.0 |
          15.0 |             11.0 |           253.908 |    0.5474 |   316905.0 |   7.0 |  15.0 |
          15.0 |             11.0 |            325.28 |    0.1709 |   403322.0 |   8.0 |  15.0 |
          15.0 |             11.0 |           46.0184 |    0.0454 |        0.0 |   1.0 |  16.0 |
          15.0 |             11.0 |           46.2247 |   0.09414 |     9699.0 |   2.0 |  16.0 |
          15.0 |             11.0 |            53.875 |       0.0 |   316905.0 |   7.0 |  16.0 |
          15.0 |             11.0 |            68.386 | 5.197e-06 |   710749.0 |  15.0 |  16.0 |
          15.0 |             11.0 |           48.0443 | 9.436e-06 |   180672.0 |   4.0 |  17.0 |
          15.0 |             11.0 |            51.407 |   0.01728 |   316807.0 |   6.0 |  17.0 |
          15.0 |             11.0 |            54.647 | 0.0002464 |   432160.0 |  10.0 |  17.0 |
          15.0 |             11.0 |          1123.093 |    0.1653 |  2173044.2 |  16.0 |  17.0 |
          15.0 |             11.0 |           47.9638 | 2.437e-06 |   177177.0 |   3.0 |  17.0 |
          15.0 |             11.0 |           44.3974 |       0.0 |     9699.0 |   2.0 |  17.0 |
          15.0 |             11.0 |             54.49 |   0.00135 |   426877.0 |   9.0 |  17.0 |
          15.0 |             11.0 |            53.799 |  0.001567 |   403322.0 |   8.0 |  17.0 |
          15.0 |             11.0 |            51.337 |  0.003235 |   316807.0 |   6.0 |  18.0 |
          15.0 |             11.0 |           44.1552 |       0.0 |        0.0 |   1.0 |  18.0 |
          15.0 |             11.0 |            54.568 |  0.002125 |   432160.0 |  10.0 |  18.0 |
          15.0 |             11.0 |          1090.592 |    0.3405 |  2173044.2 |  16.0 |  18.0 |
          15.0 |             11.0 |           47.9028 | 7.324e-07 |   177177.0 |   3.0 |  18.0 |
          15.0 |             11.0 |           44.3451 |       0.0 |     9699.0 |   2.0 |  18.0 |
          15.0 |             11.0 |           48.0976 | 6.726e-05 |   185630.0 |   5.0 |  18.0 |
          15.0 |             11.0 |            54.411 | 6.113e-05 |   426877.0 |   9.0 |  18.0 |
          15.0 |             11.0 |            51.339 |   0.03089 |   316905.0 |   7.0 |  18.0 |
          15.0 |             11.0 |            53.723 |  0.004665 |   403322.0 |   8.0 |  18.0 |
          15.0 |             11.0 |           42.5991 |     1.252 |        0.0 |   1.0 |  19.0 |
          15.0 |             11.0 |            58.292 |  0.000142 |   631961.0 |  12.0 |  19.0 |
          15.0 |             11.0 |           42.7758 |     0.251 |     9699.0 |   2.0 |  19.0 |
          15.0 |             11.0 |          1150.741 |    0.2316 |  2262084.0 |  17.0 |  19.0 |
          15.0 |             11.0 |          1186.986 |    0.0451 |  2264737.5 |  18.0 |  19.0 |
          15.0 |             11.0 |            58.277 | 0.0002125 |   632164.0 |  13.0 |  20.0 |
          15.0 |             11.0 |           42.7641 |     2.255 |     9699.0 |   2.0 |  20.0 |
          15.0 |             11.0 |          1176.097 |    0.4107 |  2264737.5 |  18.0 |  20.0 |
          15.0 |             11.0 |           45.8962 |     0.135 |   180672.0 |   4.0 |  21.0 |
          15.0 |             11.0 |           48.9549 | 9.493e-05 |   316807.0 |   6.0 |  21.0 |
          15.0 |             11.0 |            51.885 | 8.957e-06 |   432160.0 |  10.0 |  21.0 |
          15.0 |             11.0 |           45.8227 |   0.02715 |   177177.0 |   3.0 |  21.0 |
          15.0 |             11.0 |            51.743 | 7.793e-06 |   426877.0 |   9.0 |  21.0 |
          15.0 |             11.0 |             51.12 |  5.17e-06 |   403322.0 |   8.0 |  21.0 |
          15.0 |             11.0 |           45.8292 |    0.0426 |   180672.0 |   4.0 |  22.0 |
          15.0 |             11.0 |           48.8787 | 0.0001822 |   316807.0 |   6.0 |  22.0 |
          15.0 |             11.0 |           527.309 | 0.0005185 |  2173044.2 |  16.0 |  22.0 |
          15.0 |             11.0 |           45.7559 |    0.1349 |   177177.0 |   3.0 |  22.0 |
          15.0 |             11.0 |           45.9336 |    0.1478 |   185630.0 |   5.0 |  22.0 |
          15.0 |             11.0 |            51.658 | 7.012e-06 |   426877.0 |   9.0 |  22.0 |
          15.0 |             11.0 |           48.8811 | 0.0003132 |   316905.0 |   7.0 |  22.0 |
          15.0 |             11.0 |            51.037 | 3.727e-05 |   403322.0 |   8.0 |  22.0 |
          15.0 |             11.0 |           45.7085 |     0.148 |   180672.0 |   4.0 |  23.0 |
          15.0 |             11.0 |           48.7415 | 2.739e-05 |   316807.0 |   6.0 |  23.0 |
          15.0 |             11.0 |            51.645 | 1.628e-05 |   432160.0 |  10.0 |  23.0 |
          15.0 |             11.0 |           45.8124 |    0.3441 |   185630.0 |   5.0 |  23.0 |
          15.0 |             11.0 |           48.7438 | 0.0004496 |   316905.0 |   7.0 |  23.0 |
          15.0 |             11.0 |           44.9625 | 8.968e-05 |   180672.0 |   4.0 |  24.0 |
          15.0 |             11.0 |           47.8941 |   0.09704 |   316807.0 |   6.0 |  24.0 |
          15.0 |             11.0 |            50.695 |  0.002499 |   432160.0 |  10.0 |  24.0 |
          15.0 |             11.0 |           431.584 |   0.01304 |  2173044.2 |  16.0 |  24.0 |
          15.0 |             11.0 |           44.8919 | 2.888e-06 |   177177.0 |   3.0 |  24.0 |
          15.0 |             11.0 |          1793.256 |  0.006708 |  2347470.0 |  19.0 |  24.0 |
          15.0 |             11.0 |            50.559 |  0.002303 |   426877.0 |   9.0 |  24.0 |
          15.0 |             11.0 |           49.9643 |   0.03643 |   403322.0 |   8.0 |  24.0 |
          15.0 |             11.0 |           44.8328 | 0.0001463 |   180672.0 |   4.0 |  25.0 |
          15.0 |             11.0 |            47.747 |   0.01928 |   316807.0 |   6.0 |  25.0 |
          15.0 |             11.0 |             50.53 |   0.01623 |   432160.0 |  10.0 |  25.0 |
          15.0 |             11.0 |           419.927 |   0.03244 |  2173044.2 |  16.0 |  25.0 |
          15.0 |             11.0 |          1628.232 |   0.01251 |  2348110.0 |  20.0 |  25.0 |
          15.0 |             11.0 |           44.7627 | 0.0001965 |   177177.0 |   3.0 |  25.0 |
          15.0 |             11.0 |           44.9327 | 0.0001009 |   185630.0 |   5.0 |  25.0 |
          15.0 |             11.0 |            50.396 |   0.01162 |   426877.0 |   9.0 |  25.0 |
          15.0 |             11.0 |           47.7492 |    0.1827 |   316905.0 |   7.0 |  25.0 |
          15.0 |             11.0 |           49.8043 |   0.05855 |   403322.0 |   8.0 |  25.0 |
          15.0 |             11.0 |             44.28 |       0.0 |   180672.0 |   4.0 |  26.0 |
          15.0 |             11.0 |           47.1205 |       0.0 |   316807.0 |   6.0 |  26.0 |
          15.0 |             11.0 |           40.9999 |    0.1028 |        0.0 |   1.0 |  26.0 |
          15.0 |             11.0 |          1309.907 |   0.01334 |  2362686.2 |  22.0 |  26.0 |
          15.0 |             11.0 |            55.338 |  0.006669 |   631961.0 |  12.0 |  26.0 |
          15.0 |             11.0 |            57.825 | 2.293e-05 |   709666.0 |  14.0 |  26.0 |
          15.0 |             11.0 |          1257.458 |   0.07084 |  2359502.0 |  21.0 |  26.0 |
          15.0 |             11.0 |          2917.281 |   0.01843 |  2404749.0 |  24.0 |  26.0 |
          15.0 |             11.0 |           41.1636 |   0.04046 |     9699.0 |   2.0 |  26.0 |
          15.0 |             11.0 |           565.152 |  0.006127 |  2262084.0 |  17.0 |  26.0 |
          15.0 |             11.0 |           44.3774 |       0.0 |   185630.0 |   5.0 |  26.0 |
          15.0 |             11.0 |           47.1226 |       0.0 |   316905.0 |   7.0 |  26.0 |
          15.0 |             11.0 |            57.861 | 5.473e-06 |   710749.0 |  15.0 |  26.0 |
          15.0 |             11.0 |           573.756 |  0.002164 |  2264737.5 |  18.0 |  26.0 |
