 Atomic Number | Ionization State |  Wavelength (Ang.) |               g_i*f_ik |         E_i(cm^-1) |     i |     j |
          16.0 |              3.0 |           334800.0 | 1.8019999714624646e-08 |                0.0 |   1.0 |   2.0 |
          16.0 |              3.0 |           120000.0 |  4.438999894659096e-13 |                0.0 |   1.0 |   3.0 |
          16.0 |              3.0 |      8831.81640625 | 3.0700000376061853e-13 |                0.0 |   1.0 |   4.0 |
          16.0 |              3.0 | 1704.3929443359375 | 1.1800000213058048e-11 |                0.0 |   1.0 |   6.0 |
          16.0 |              3.0 | 1190.2030029296875 |   0.025800000876188278 |                0.0 |   1.0 |   7.0 |
          16.0 |              3.0 | 1012.4949951171875 |    0.04410000145435333 |                0.0 |   1.0 |  11.0 |
          16.0 |              3.0 |   730.760009765625 |   0.003467000089585781 |                0.0 |   1.0 |  17.0 |
          16.0 |              3.0 |  724.2880249023438 |     0.3779999911785126 |                0.0 |   1.0 |  18.0 |
          16.0 |              3.0 |  698.7269897460938 |     0.8500000238418579 |                0.0 |   1.0 |  20.0 |
          16.0 |              3.0 |   681.489013671875 |    0.16599999368190765 |                0.0 |   1.0 |  23.0 |
          16.0 |              3.0 |    677.72900390625 |     1.4299999475479126 |                0.0 |   1.0 |  25.0 |
          16.0 |              3.0 |  673.8590087890625 |   0.007400000002235174 |                0.0 |   1.0 |  28.0 |
          16.0 |              3.0 |  609.2319946289062 | 0.00021300000662449747 |                0.0 |   1.0 |  31.0 |
          16.0 |              3.0 |     484.1669921875 |     0.0407399982213974 |                0.0 |   1.0 |  51.0 |
          16.0 |              3.0 |  480.5270080566406 |   0.017869999632239342 |                0.0 |   1.0 |  56.0 |
          16.0 |              3.0 |  476.3550109863281 |   0.022910000756382942 |                0.0 |   1.0 |  59.0 |
          16.0 |              3.0 |  426.2349853515625 |   0.007317999843508005 |                0.0 |   1.0 |  86.0 |
          16.0 |              3.0 |  424.9989929199219 |   0.002041999949142337 |                0.0 |   1.0 |  88.0 |
          16.0 |              3.0 |  422.4800109863281 |    0.01104000024497509 |                0.0 |   1.0 |  90.0 |
          16.0 |              3.0 |  420.5220031738281 |  1.809999957913533e-05 |                0.0 |   1.0 |  93.0 |
          16.0 |              3.0 |  408.3489990234375 | 1.6670000491103565e-07 |                0.0 |   1.0 | 118.0 |
          16.0 |              3.0 |    402.97900390625 | 0.00016900000628083944 |                0.0 |   1.0 | 120.0 |
          16.0 |              3.0 |  399.8689880371094 |  0.0016570000443607569 |                0.0 |   1.0 | 124.0 |
          16.0 |              3.0 |  399.3479919433594 |   0.002518000081181526 |                0.0 |   1.0 | 125.0 |
          16.0 |              3.0 |  398.5780029296875 |   0.003378999885171652 |                0.0 |   1.0 | 129.0 |
