 Atomic Number | Ionization State |  Wavelength (Ang.) |               g_i*f_ik |        E_i(cm^-1) |     i |     j |
          16.0 |              4.0 |           105100.0 | 5.1280000690212546e-08 |               0.0 |   1.0 |   2.0 |
          16.0 |              4.0 | 1404.8079833984375 |  3.400000059627928e-05 |               0.0 |   1.0 |   3.0 |
          16.0 |              4.0 |    1398.0400390625 | 1.4299999975264654e-06 |               0.0 |   1.0 |   4.0 |
          16.0 |              4.0 | 1062.6639404296875 |    0.10000000149011612 |               0.0 |   1.0 |   6.0 |
          16.0 |              4.0 |   809.656005859375 |    0.23600000143051147 |               0.0 |   1.0 |   8.0 |
          16.0 |              4.0 |  748.3930053710938 |     0.9179999828338623 |               0.0 |   1.0 |   9.0 |
          16.0 |              4.0 |  744.9039916992188 |    0.49799999594688416 |               0.0 |   1.0 |  10.0 |
          16.0 |              4.0 |  657.3189697265625 |      2.259999990463257 |               0.0 |   1.0 |  11.0 |
          16.0 |              4.0 |  551.1209716796875 |    0.18400000035762787 |               0.0 |   1.0 |  13.0 |
          16.0 |              4.0 |  540.3790283203125 |  3.904000095644733e-06 |               0.0 |   1.0 |  14.0 |
          16.0 |              4.0 |  540.1079711914062 | 1.9286001133878017e-06 |               0.0 |   1.0 |  15.0 |
          16.0 |              4.0 |    509.02099609375 |  1.476000051070514e-07 |               0.0 |   1.0 |  16.0 |
          16.0 |              4.0 | 491.53900146484375 |  9.156000263521591e-11 |               0.0 |   1.0 |  17.0 |
          16.0 |              4.0 | 391.54901123046875 |  0.0005754000158049166 |               0.0 |   1.0 |  36.0 |
          16.0 |              4.0 |  368.9750061035156 |      0.031980000436306 |               0.0 |   1.0 |  46.0 |
          16.0 |              4.0 | 341.79901123046875 |    0.01854800060391426 |               0.0 |   1.0 |  56.0 |
          16.0 |              4.0 |  341.4209899902344 |   0.009283999912440777 |               0.0 |   1.0 |  57.0 |
          16.0 |              4.0 |  332.1050109863281 |   0.038759998977184296 |               0.0 |   1.0 |  66.0 |
          16.0 |              4.0 |  329.6650085449219 |  0.0030219999607652426 |               0.0 |   1.0 |  68.0 |
          16.0 |              4.0 |            323.875 |  6.392000068444759e-05 |               0.0 |   1.0 |  71.0 |
          16.0 |              4.0 |  321.0270080566406 |   0.017782000824809074 |               0.0 |   1.0 |  78.0 |
          16.0 |              4.0 | 311.39300537109375 | 3.1599999061882045e-08 |               0.0 |   1.0 |  85.0 |
          16.0 |              4.0 |  305.8689880371094 |   0.010863999836146832 |               0.0 |   1.0 |  88.0 |
          16.0 |              4.0 | 300.33099365234375 |   0.006827999837696552 |               0.0 |   1.0 |  93.0 |
          16.0 |              4.0 |  296.9339904785156 | 2.9920000088168308e-05 |               0.0 |   1.0 | 100.0 |
          16.0 |              4.0 |  295.0870056152344 |   0.017812000587582588 |               0.0 |   1.0 | 107.0 |
          16.0 |              4.0 | 294.27899169921875 |  0.0038799999747425318 |               0.0 |   1.0 | 109.0 |
          16.0 |              4.0 | 294.11700439453125 |  0.0019407999934628606 |               0.0 |   1.0 | 110.0 |
          16.0 |              4.0 |  290.9110107421875 |  0.0005998000269755721 |               0.0 |   1.0 | 116.0 |
          16.0 |              4.0 |  290.8450012207031 |   0.004135999828577042 |               0.0 |   1.0 | 117.0 |
          16.0 |              4.0 |  288.9800109863281 |  0.0004298000130802393 |               0.0 |   1.0 | 127.0 |
          16.0 |              4.0 |  284.2330017089844 |   0.000979800010100007 |               0.0 |   1.0 | 134.0 |
          16.0 |              4.0 |  282.7950134277344 |  0.0019662000704556704 |               0.0 |   1.0 | 143.0 |
          16.0 |              4.0 |  281.6180114746094 |  0.0003431999939493835 |               0.0 |   1.0 | 146.0 |
          16.0 |              4.0 |  279.6889953613281 |  0.0006964000058360398 |               0.0 |   1.0 | 153.0 |
          16.0 |              4.0 |  279.3210144042969 |  0.0012963999761268497 |               0.0 |   1.0 | 154.0 |
