 Atomic Number | Ionization State | Wavelength (Ang.) |  g_i*f_ik | E_i(cm^-1) |     i |     j |
          16.0 |             13.0 |           491.463 | 0.0001206 |        0.0 |   1.0 |   3.0 |
          16.0 |             13.0 |           469.083 | 7.333e-11 |        0.0 |   1.0 |   4.0 |
          16.0 |             13.0 |           10301.0 | 9.795e-07 |   203474.0 |   3.0 |   4.0 |
          16.0 |             13.0 |          7142.347 | 4.669e-12 |   199181.0 |   2.0 |   4.0 |
          16.0 |             13.0 |           256.685 |    0.2303 |        0.0 |   1.0 |   5.0 |
          16.0 |             13.0 |           748.201 | 0.0001247 |   389583.0 |   5.0 |   6.0 |
          16.0 |             13.0 |           312.732 |   0.08673 |   203474.0 |   3.0 |   6.0 |
          16.0 |             13.0 |           718.324 | 3.513e-05 |   389583.0 |   5.0 |   7.0 |
          16.0 |             13.0 |           307.388 |   0.06618 |   203474.0 |   3.0 |   7.0 |
          16.0 |             13.0 |           303.384 |   0.08964 |   199181.0 |   2.0 |   7.0 |
          16.0 |             13.0 |           316.843 |    0.1067 |   213182.0 |   4.0 |   7.0 |
          16.0 |             13.0 |           679.011 |  0.002353 |   389583.0 |   5.0 |   8.0 |
          16.0 |             13.0 |           299.956 |    0.1136 |   203474.0 |   3.0 |   8.0 |
          16.0 |             13.0 |           308.953 |    0.3238 |   213182.0 |   4.0 |   8.0 |
          16.0 |             13.0 |           500.335 |     0.257 |   389583.0 |   5.0 |   9.0 |
          16.0 |             13.0 |           259.084 | 0.0004302 |   203474.0 |   3.0 |   9.0 |
          16.0 |             13.0 |           265.769 |   0.00657 |   213182.0 |   4.0 |   9.0 |
          16.0 |             13.0 |           294.857 |    0.1615 |   389583.0 |   5.0 |  10.0 |
          16.0 |             13.0 |             188.1 | 4.644e-05 |   203474.0 |   3.0 |  10.0 |
          16.0 |             13.0 |            38.141 | 0.0001226 |   389583.0 |   5.0 |  11.0 |
          16.0 |             13.0 |            35.613 |   0.09099 |   203474.0 |   3.0 |  11.0 |
          16.0 |             13.0 |            35.558 |   0.03016 |   199181.0 |   2.0 |  11.0 |
          16.0 |             13.0 |            35.736 |    0.1533 |   213182.0 |   4.0 |  11.0 |
          16.0 |             13.0 |            37.725 |   0.03228 |   389583.0 |   5.0 |  12.0 |
          16.0 |             13.0 |            40.827 |   2.8e-06 |   589449.0 |   9.0 |  12.0 |
          16.0 |             13.0 |            35.171 | 1.165e-05 |   203474.0 |   3.0 |  12.0 |
          16.0 |             13.0 |          1110.124 |    0.0303 |  3011460.0 |  11.0 |  13.0 |
          16.0 |             13.0 |            36.874 | 4.515e-05 |   389583.0 |   5.0 |  13.0 |
          16.0 |             13.0 |            32.242 |    0.5214 |        0.0 |   1.0 |  13.0 |
          16.0 |             13.0 |            39.807 |   0.03128 |   589449.0 |   9.0 |  13.0 |
          16.0 |             13.0 |            42.285 |  0.001526 |   735720.0 |  10.0 |  13.0 |
          16.0 |             13.0 |            38.869 | 0.0001932 |   528796.0 |   7.0 |  13.0 |
          16.0 |             13.0 |            38.785 | 0.0001644 |   523237.0 |   6.0 |  13.0 |
