 Atomic Number | Ionization State | Wavelength (Ang.) | g_i*f_ik | E_i(cm^-1) |    i |    j |
          16.0 |             16.0 |            4.7326 |      0.0 |        0.0 |  1.0 |  2.0 |
          16.0 |             16.0 |            4.7328 |   0.2772 |        0.0 |  1.0 |  3.0 |
          16.0 |             16.0 |            4.7274 |   0.5552 |        0.0 |  1.0 |  4.0 |
          16.0 |             16.0 |           25.5011 |  0.02718 | 21129300.0 |  3.0 |  5.0 |
          16.0 |             16.0 |           25.6594 |  0.05436 | 21153494.0 |  4.0 |  5.0 |
          16.0 |             16.0 |            3.9919 |  0.05268 |        0.0 |  1.0 |  6.0 |
          16.0 |             16.0 |           25.5082 |   0.2896 | 21130146.0 |  2.0 |  6.0 |
          16.0 |             16.0 |            3.9908 |   0.1055 |        0.0 |  1.0 |  7.0 |
          16.0 |             16.0 |           25.4617 |   0.5802 | 21130146.0 |  2.0 |  7.0 |
          16.0 |             16.0 |           25.4563 |    1.392 | 21129300.0 |  3.0 |  8.0 |
          16.0 |             16.0 |            25.614 |   0.2783 | 21153494.0 |  4.0 |  8.0 |
          16.0 |             16.0 |           25.5984 |    2.505 | 21153494.0 |  4.0 |  9.0 |
          16.0 |             16.0 |            18.894 |  0.00609 | 21129300.0 |  3.0 | 10.0 |
          16.0 |             16.0 |           18.9808 |  0.01218 | 21153494.0 |  4.0 | 10.0 |
          16.0 |             16.0 |            72.912 |   0.0645 | 25050448.0 |  6.0 | 10.0 |
          16.0 |             16.0 |            73.295 |    0.129 | 25057620.0 |  7.0 | 10.0 |
          16.0 |             16.0 |            3.7847 |  0.01931 |        0.0 |  1.0 | 11.0 |
          16.0 |             16.0 |           18.8975 |  0.06846 | 21130146.0 |  2.0 | 11.0 |
          16.0 |             16.0 |            72.931 |   0.3228 | 25050704.0 |  5.0 | 11.0 |
          16.0 |             16.0 |              73.3 |  0.03663 | 25057608.0 |  8.0 | 11.0 |
          16.0 |             16.0 |            3.7843 |  0.03867 |        0.0 |  1.0 | 12.0 |
          16.0 |             16.0 |           18.8867 |   0.1371 | 21130146.0 |  2.0 | 12.0 |
          16.0 |             16.0 |             72.77 |   0.6466 | 25050704.0 |  5.0 | 12.0 |
          16.0 |             16.0 |            73.138 | 0.007328 | 25057608.0 |  8.0 | 12.0 |
          16.0 |             16.0 |            73.265 |  0.06594 | 25059982.0 |  9.0 | 12.0 |
          16.0 |             16.0 |           18.8837 |   0.2436 | 21129300.0 |  3.0 | 13.0 |
          16.0 |             16.0 |           18.9703 |  0.04872 | 21153494.0 |  4.0 | 13.0 |
          16.0 |             16.0 |            72.757 |    1.237 | 25050448.0 |  6.0 | 13.0 |
          16.0 |             16.0 |            73.139 |   0.2473 | 25057620.0 |  7.0 | 13.0 |
          16.0 |             16.0 |           18.9667 |   0.4385 | 21153494.0 |  4.0 | 14.0 |
          16.0 |             16.0 |            73.085 |    2.226 | 25057620.0 |  7.0 | 14.0 |
          16.0 |             16.0 |            73.212 |   0.2909 | 25059982.0 |  9.0 | 15.0 |
          16.0 |             16.0 |            73.185 |    5.817 | 25059982.0 |  9.0 | 16.0 |
          16.0 |             16.0 |            16.872 | 0.002426 | 21129300.0 |  3.0 | 17.0 |
          16.0 |             16.0 |           16.9412 | 0.004852 | 21153494.0 |  4.0 | 17.0 |
          16.0 |             16.0 |           49.8549 |  0.01486 | 25050448.0 |  6.0 | 17.0 |
          16.0 |             16.0 |            50.034 |  0.02971 | 25057620.0 |  7.0 | 17.0 |
          16.0 |             16.0 |           157.628 |   0.1058 | 26421866.0 | 11.0 | 17.0 |
          16.0 |             16.0 |           158.383 |   0.2116 | 26424890.0 | 12.0 | 17.0 |
          16.0 |             16.0 |             3.696 | 0.009284 |        0.0 |  1.0 | 18.0 |
          16.0 |             16.0 |           16.8746 |  0.02793 | 21130146.0 |  2.0 | 18.0 |
          16.0 |             16.0 |           49.8626 |  0.08059 | 25050704.0 |  5.0 | 18.0 |
