 Atomic Number | Ionization State |  Wavelength (Ang.) |               g_i*f_ik |         E_i(cm^-1) |     i |     j |
          16.0 |              1.0 |           252500.0 | 4.0139997992127974e-08 |                0.0 |   1.0 |   2.0 |
          16.0 |              1.0 |           174300.0 |  3.212000164540957e-13 |                0.0 |   1.0 |   3.0 |
          16.0 |              1.0 |   10824.1396484375 |  1.872999977337031e-09 |                0.0 |   1.0 |   4.0 |
          16.0 |              1.0 |     4508.576171875 |  1.483499954824108e-11 |                0.0 |   1.0 |   5.0 |
          16.0 |              1.0 | 1900.2869873046875 | 0.00019200000679120421 |                0.0 |   1.0 |   6.0 |
          16.0 |              1.0 |   1807.31103515625 |    0.48000001907348633 |                0.0 |   1.0 |   7.0 |
          16.0 |              1.0 |  1474.571044921875 |   0.005249999929219484 |                0.0 |   1.0 |  14.0 |
          16.0 |              1.0 | 1474.3790283203125 |    0.07950000464916229 |                0.0 |   1.0 |  15.0 |
          16.0 |              1.0 | 1473.9940185546875 |     0.4475000202655792 |                0.0 |   1.0 |  16.0 |
          16.0 |              1.0 | 1473.0679931640625 | 0.00026790000265464187 |                0.0 |   1.0 |  19.0 |
          16.0 |              1.0 |   1473.01904296875 |    0.01270500011742115 |                0.0 |   1.0 |  20.0 |
          16.0 |              1.0 |  1472.970947265625 |    0.08500000834465027 |                0.0 |   1.0 |  21.0 |
          16.0 |              1.0 | 1444.2960205078125 |   0.004050000105053186 |                0.0 |   1.0 |  22.0 |
          16.0 |              1.0 |  1425.218994140625 |   0.009650000371038914 |                0.0 |   1.0 |  23.0 |
          16.0 |              1.0 |   1425.18798828125 |     0.1445000022649765 |                0.0 |   1.0 |  24.0 |
          16.0 |              1.0 |  1425.030029296875 |     0.8050000071525574 |                0.0 |   1.0 |  25.0 |
          16.0 |              1.0 | 1414.3709716796875 | 2.0184999812045135e-05 |                0.0 |   1.0 |  26.0 |
          16.0 |              1.0 | 1401.5140380859375 |    0.06599999964237213 |                0.0 |   1.0 |  27.0 |
          16.0 |              1.0 |   1388.43603515625 |  0.0007999999797903001 |                0.0 |   1.0 |  28.0 |
          16.0 |              1.0 |  1381.552978515625 |  0.0004650000191759318 |                0.0 |   1.0 |  29.0 |
          16.0 |              1.0 |    1333.7939453125 | 4.7204997599692433e-07 |                0.0 |   1.0 |  38.0 |
          16.0 |              1.0 | 1333.7750244140625 |  8.770000022195745e-06 |                0.0 |   1.0 |  39.0 |
          16.0 |              1.0 |  1333.759033203125 |   8.27999974717386e-06 |                0.0 |   1.0 |  40.0 |
          16.0 |              1.0 | 1316.6219482421875 |  0.0018449999624863267 |                0.0 |   1.0 |  42.0 |
          16.0 |              1.0 |  1316.614990234375 |   0.027300000190734863 |                0.0 |   1.0 |  43.0 |
          16.0 |              1.0 |      1316.54296875 |    0.14350000023841858 |                0.0 |   1.0 |  44.0 |
          16.0 |              1.0 |  1307.803955078125 | 1.1560000530153047e-05 |                0.0 |   1.0 |  45.0 |
          16.0 |              1.0 | 1303.4300537109375 |   0.022549999877810478 |                0.0 |   1.0 |  54.0 |
          16.0 |              1.0 | 1296.1739501953125 |    0.10999999940395355 |                0.0 |   1.0 |  56.0 |
          16.0 |              1.0 | 1295.6529541015625 |     0.4350000023841858 |                0.0 |   1.0 |  57.0 |
          16.0 |              1.0 | 1277.6199951171875 | 2.2545000888385403e-07 |                0.0 |   1.0 |  69.0 |
          16.0 |              1.0 |  1277.613037109375 |  7.675000233575702e-06 |                0.0 |   1.0 |  70.0 |
          16.0 |              1.0 | 1277.3280029296875 |  0.0002192999963881448 |                0.0 |   1.0 |  73.0 |
          16.0 |              1.0 | 1270.7869873046875 |   0.008100000210106373 |                0.0 |   1.0 |  78.0 |
          16.0 |              1.0 |  1270.780029296875 |   0.043049998581409454 |                0.0 |   1.0 |  79.0 |
          16.0 |              1.0 |   1270.76904296875 |  0.0005499999970197678 |                0.0 |   1.0 |  80.0 |
          16.0 |              1.0 | 1264.8929443359375 | 1.3059999218967278e-05 |                0.0 |   1.0 |  89.0 |
          16.0 |              1.0 | 1262.8599853515625 |   0.010600000619888306 |                0.0 |   1.0 |  98.0 |
          16.0 |              1.0 | 1250.1199951171875 |   3.50750013922152e-07 |                0.0 |   1.0 | 106.0 |
          16.0 |              1.0 | 1250.1180419921875 |  7.415000027322094e-07 |                0.0 |   1.0 | 107.0 |
          16.0 |              1.0 |  1250.116943359375 |  6.700000199089118e-07 |                0.0 |   1.0 | 108.0 |
          16.0 |              1.0 | 1247.1600341796875 |    0.02215000055730343 |                0.0 |   1.0 | 113.0 |
          16.0 |              1.0 |  1247.134033203125 |  0.0032850001007318497 |                0.0 |   1.0 | 114.0 |
          16.0 |              1.0 | 1247.1070556640625 | 0.00018799999088514596 |                0.0 |   1.0 | 115.0 |
