 Atomic Number | Ionization State |  Wavelength (Ang.) |               g_i*f_ik |       E_i(cm^-1) |     i |     j |
          16.0 |              2.0 |     6732.673828125 |  3.853600164666071e-12 |              0.0 |   1.0 |   2.0 |
          16.0 |              2.0 |     6718.294921875 |  8.196000302052031e-12 |              0.0 |   1.0 |   3.0 |
          16.0 |              2.0 |             4077.5 |  3.848399932060431e-10 |              0.0 |   1.0 |   4.0 |
          16.0 |              2.0 |    4069.7490234375 |  1.907199953521399e-09 |              0.0 |   1.0 |   5.0 |
          16.0 |              2.0 |   1259.51904296875 |    0.07280000299215317 |              0.0 |   1.0 |   6.0 |
          16.0 |              2.0 |   1253.81103515625 |    0.04839999973773956 |              0.0 |   1.0 |   7.0 |
          16.0 |              2.0 |     1250.583984375 |   0.024080000817775726 |              0.0 |   1.0 |   8.0 |
          16.0 |              2.0 | 1021.5469970703125 | 3.2360001114284387e-06 |              0.0 |   1.0 |   9.0 |
          16.0 |              2.0 | 1021.2540283203125 |  3.283999831182882e-05 |              0.0 |   1.0 |  10.0 |
          16.0 |              2.0 |    946.97802734375 |   2.27999998969608e-06 |              0.0 |   1.0 |  11.0 |
          16.0 |              2.0 |  943.0029907226562 |  2.524000137782423e-07 |              0.0 |   1.0 |  12.0 |
          16.0 |              2.0 |  912.7360229492188 |     0.2612000107765198 |              0.0 |   1.0 |  13.0 |
          16.0 |              2.0 |  910.4849853515625 |      0.527999997138977 |              0.0 |   1.0 |  14.0 |
          16.0 |              2.0 |  907.6300048828125 | 3.1039999726090173e-07 |              0.0 |   1.0 |  15.0 |
          16.0 |              2.0 |     906.8759765625 |     0.8040000200271606 |              0.0 |   1.0 |  16.0 |
          16.0 |              2.0 |  906.5079956054688 | 0.00012480000441428274 |              0.0 |   1.0 |  17.0 |
          16.0 |              2.0 |  885.4450073242188 | 0.00019920000340789557 |              0.0 |   1.0 |  20.0 |
          16.0 |              2.0 |  881.3560180664062 |  0.0007200000109151006 |              0.0 |   1.0 |  21.0 |
          16.0 |              2.0 |  875.9459838867188 | 4.8800000513438135e-05 |              0.0 |   1.0 |  22.0 |
          16.0 |              2.0 |  875.6530151367188 | 0.00031120001222006977 |              0.0 |   1.0 |  23.0 |
          16.0 |              2.0 |  875.4190063476562 |  0.0005920000257901847 |              0.0 |   1.0 |  24.0 |
          16.0 |              2.0 |  871.0469970703125 | 2.5319999622297473e-05 |              0.0 |   1.0 |  26.0 |
          16.0 |              2.0 |  834.8380126953125 | 1.4280000186772668e-06 |              0.0 |   1.0 |  28.0 |
          16.0 |              2.0 |  822.8510131835938 | 0.00010040000051958486 |              0.0 |   1.0 |  29.0 |
          16.0 |              2.0 |  822.8419799804688 |  0.0008399999933317304 |              0.0 |   1.0 |  30.0 |
          16.0 |              2.0 |  782.3189697265625 | 1.6387999721700908e-06 |              0.0 |   1.0 |  34.0 |
          16.0 |              2.0 |  781.3939819335938 | 3.2732000363466796e-06 |              0.0 |   1.0 |  35.0 |
          16.0 |              2.0 |  779.8289794921875 | 4.9360000957676675e-06 |              0.0 |   1.0 |  36.0 |
          16.0 |              2.0 |  777.6099853515625 | 6.6799998421629425e-06 |              0.0 |   1.0 |  37.0 |
