 Atomic Number | Ionization State |  Wavelength (Ang.) |               g_i*f_ik |    E_i(cm^-1) |     i |     j |
          16.0 |              5.0 |  1199.134033203125 | 0.00010599999950500205 |           0.0 |   1.0 |   3.0 |
          16.0 |              5.0 |  1188.281005859375 |  7.218999703573203e-11 |           0.0 |   1.0 |   4.0 |
          16.0 |              5.0 |   786.468017578125 |     1.3600000143051147 |           0.0 |   1.0 |   5.0 |
          16.0 |              5.0 |  516.1580200195312 |  6.809999831602909e-06 |           0.0 |   1.0 |   6.0 |
          16.0 |              5.0 | 499.07501220703125 | 1.8600000012414242e-11 |           0.0 |   1.0 |   8.0 |
          16.0 |              5.0 |  497.1510009765625 |  3.798000136612245e-08 |           0.0 |   1.0 |   9.0 |
          16.0 |              5.0 | 425.62799072265625 | 1.3000000381735433e-12 |           0.0 |   1.0 |  11.0 |
          16.0 |              5.0 |  369.4119873046875 | 3.2219999411609024e-05 |           0.0 |   1.0 |  14.0 |
          16.0 |              5.0 | 304.45599365234375 | 2.3279999455949607e-11 |           0.0 |   1.0 |  20.0 |
          16.0 |              5.0 |  286.4010009765625 |    0.02250000089406967 |           0.0 |   1.0 |  28.0 |
          16.0 |              5.0 |  286.0950012207031 |     0.0892999991774559 |           0.0 |   1.0 |  30.0 |
          16.0 |              5.0 |   262.468994140625 |  0.0021860001143068075 |           0.0 |   1.0 |  32.0 |
          16.0 |              5.0 |  235.5570068359375 |    0.00787699967622757 |           0.0 |   1.0 |  44.0 |
          16.0 |              5.0 | 224.46800231933594 |  7.704999832602866e-11 |           0.0 |   1.0 |  49.0 |
          16.0 |              5.0 | 223.25100708007812 |    0.03420000150799751 |           0.0 |   1.0 |  50.0 |
          16.0 |              5.0 | 204.04600524902344 | 4.3380000980253186e-11 |           0.0 |   1.0 |  80.0 |
          16.0 |              5.0 | 202.96099853515625 |    0.00798999983817339 |           0.0 |   1.0 |  82.0 |
          16.0 |              5.0 | 195.76300048828125 | 0.00039870000910013914 |           0.0 |   1.0 |  98.0 |
          16.0 |              5.0 | 192.55499267578125 |   0.004999999888241291 |           0.0 |   1.0 | 104.0 |
          16.0 |              5.0 | 192.09300231933594 | 2.7020000820110468e-11 |           0.0 |   1.0 | 106.0 |
          16.0 |              5.0 |  187.0240020751953 |   0.004889999981969595 |           0.0 |   1.0 | 122.0 |
          16.0 |              5.0 |  185.4429931640625 | 0.00032479999936185777 |           0.0 |   1.0 | 125.0 |
          16.0 |              5.0 | 182.69900512695312 |   0.004466999787837267 |           0.0 |   1.0 | 137.0 |
          16.0 |              5.0 | 180.22300720214844 |   0.003438000101596117 |           0.0 |   1.0 | 154.0 |
          16.0 |              5.0 |           270600.0 | 2.8100000548647586e-08 |       83024.0 |   2.0 |   3.0 |
          16.0 |              5.0 |  2266.201904296875 |  5.124999868932889e-10 |       83024.0 |   2.0 |   5.0 |
          16.0 |              5.0 |   852.176025390625 |     0.4569999873638153 |       83024.0 |   2.0 |   8.0 |
          16.0 |              5.0 |  658.2520141601562 |     0.6930000185966492 |       83024.0 |   2.0 |  10.0 |
          16.0 |              5.0 |  437.5010070800781 |    0.10499999672174454 |       83024.0 |   2.0 |  15.0 |
          16.0 |              5.0 |  416.4779968261719 | 1.1740000445570331e-05 |       83024.0 |   2.0 |  17.0 |
          16.0 |              5.0 |   407.447998046875 | 1.0290000318491366e-07 |       83024.0 |   2.0 |  20.0 |
          16.0 |              5.0 | 381.22198486328125 |  5.414000042947009e-06 |       83024.0 |   2.0 |  21.0 |
          16.0 |              5.0 | 377.37799072265625 |  4.644000000553206e-06 |       83024.0 |   2.0 |  25.0 |
          16.0 |              5.0 | 319.48699951171875 |   0.034299999475479126 |       83024.0 |   2.0 |  33.0 |
          16.0 |              5.0 |  289.5069885253906 |   0.018039999529719353 |       83024.0 |   2.0 |  45.0 |
          16.0 |              5.0 |  270.9590148925781 |    0.03942999988794327 |       83024.0 |   2.0 |  52.0 |
          16.0 |              5.0 |  266.7449951171875 |   0.012849999591708183 |       83024.0 |   2.0 |  56.0 |
          16.0 |              5.0 |   265.343994140625 |   0.003226999891921878 |       83024.0 |   2.0 |  58.0 |
          16.0 |              5.0 |  259.7239990234375 |   0.007449000142514706 |       83024.0 |   2.0 |  60.0 |
          16.0 |              5.0 | 249.60699462890625 |   0.005905000027269125 |       83024.0 |   2.0 |  75.0 |
          16.0 |              5.0 | 245.51499938964844 | 2.0260000383132137e-05 |       83024.0 |   2.0 |  81.0 |
          16.0 |              5.0 | 237.37600708007812 |   0.010649999603629112 |       83024.0 |   2.0 |  87.0 |
          16.0 |              5.0 | 232.06700134277344 |  0.0032709999941289425 |       83024.0 |   2.0 | 100.0 |
          16.0 |              5.0 |  228.6060028076172 |  0.0006756000220775604 |       83024.0 |   2.0 | 105.0 |
          16.0 |              5.0 | 225.50100708007812 |   0.007031999994069338 |       83024.0 |   2.0 | 110.0 |
          16.0 |              5.0 | 222.47999572753906 |   0.002019000006839633 |       83024.0 |   2.0 | 119.0 |
          16.0 |              5.0 | 216.61000061035156 |  0.0014199999859556556 |       83024.0 |   2.0 | 134.0 |
          16.0 |              5.0 |  213.3249969482422 |  0.0027699999045580626 |       83024.0 |   2.0 | 147.0 |
          16.0 |              5.0 |  212.8260040283203 |  0.0015950000379234552 |       83024.0 |   2.0 | 149.0 |
          16.0 |              5.0 | 212.79100036621094 |   0.005572999827563763 |       83024.0 |   2.0 | 150.0 |
          16.0 |              5.0 |  212.0030059814453 |  0.0006868999917060137 |       83024.0 |   2.0 | 152.0 |
          16.0 |              5.0 |  210.8990020751953 |  0.0010430000256747007 |       83024.0 |   2.0 | 156.0 |
          16.0 |              5.0 |  193.5189971923828 |  0.0029039999935775995 |       83024.0 |   2.0 | 171.0 |
          16.0 |              5.0 |  184.0449981689453 |  0.0016959999920800328 |       83024.0 |   2.0 | 179.0 |
          16.0 |              5.0 | 178.61500549316406 |  0.0010860000038519502 |       83024.0 |   2.0 | 189.0 |
          16.0 |              5.0 |   175.447998046875 | 0.00022289999469649047 |       83024.0 |   2.0 | 198.0 |
          16.0 |              5.0 |  175.0279998779297 |  0.0004945999826304615 |       83024.0 |   2.0 | 200.0 |
          16.0 |              5.0 | 172.81100463867188 |  0.0005201000021770597 |       83024.0 |   2.0 | 211.0 |
          16.0 |              5.0 |           131300.0 |  7.701000015458703e-08 |       83393.5 |   3.0 |   4.0 |
          16.0 |              5.0 |     2285.337890625 |  4.121999963579981e-10 |       83393.5 |   3.0 |   5.0 |
          16.0 |              5.0 |  906.2440185546875 |   0.003389999968931079 |       83393.5 |   3.0 |   6.0 |
          16.0 |              5.0 |  857.8259887695312 |     0.4529999792575836 |       83393.5 |   3.0 |   7.0 |
          16.0 |              5.0 |  854.8679809570312 |    0.34200000762939453 |       83393.5 |   3.0 |   8.0 |
          16.0 |              5.0 |   849.239013671875 |     0.5699999928474426 |       83393.5 |   3.0 |   9.0 |
          16.0 |              5.0 |  659.8569946289062 |     0.5189999938011169 |       83393.5 |   3.0 |  10.0 |
          16.0 |              5.0 |     659.8330078125 |      1.556999921798706 |       83393.5 |   3.0 |  11.0 |
          16.0 |              5.0 |     658.0830078125 | 0.00014849999570287764 |       83393.5 |   3.0 |  13.0 |
          16.0 |              5.0 |  533.8829956054688 |  0.0005370000144466758 |       83393.5 |   3.0 |  14.0 |
          16.0 |              5.0 |  438.2090148925781 |     0.3179999887943268 |       83393.5 |   3.0 |  15.0 |
          16.0 |              5.0 |  417.1199951171875 |  1.148999945144169e-05 |       83393.5 |   3.0 |  17.0 |
          16.0 |              5.0 |  416.3999938964844 |   2.36550004046876e-05 |       83393.5 |   3.0 |  18.0 |
          16.0 |              5.0 |    408.06201171875 | 1.6476001007958985e-08 |       83393.5 |   3.0 |  20.0 |
          16.0 |              5.0 |   381.760009765625 |    9.5369996415684e-06 |       83393.5 |   3.0 |  21.0 |
          16.0 |              5.0 |  381.2149963378906 |  4.548000106296968e-06 |       83393.5 |   3.0 |  22.0 |
          16.0 |              5.0 |  378.1470031738281 |  6.945000222913222e-06 |       83393.5 |   3.0 |  24.0 |
          16.0 |              5.0 |  377.9049987792969 |  7.181999990280019e-07 |       83393.5 |   3.0 |  25.0 |
          16.0 |              5.0 | 377.73199462890625 |  8.490000254823826e-06 |       83393.5 |   3.0 |  26.0 |
          16.0 |              5.0 | 352.77301025390625 |  7.038000404691047e-09 |       83393.5 |   3.0 |  31.0 |
          16.0 |              5.0 |   319.864990234375 |    0.02612999826669693 |       83393.5 |   3.0 |  33.0 |
          16.0 |              5.0 | 319.85101318359375 |    0.07770000398159027 |       83393.5 |   3.0 |  34.0 |
          16.0 |              5.0 |  289.8169860839844 |    0.05406000092625618 |       83393.5 |   3.0 |  45.0 |
          16.0 |              5.0 |  271.2300109863281 |   0.029541000723838806 |       83393.5 |   3.0 |  52.0 |
          16.0 |              5.0 |  270.9639892578125 |     0.0887100026011467 |       83393.5 |   3.0 |  53.0 |
          16.0 |              5.0 | 267.18499755859375 |   0.012827999889850616 |       83393.5 |   3.0 |  55.0 |
          16.0 |              5.0 | 267.00799560546875 |   0.009630000218749046 |       83393.5 |   3.0 |  56.0 |
          16.0 |              5.0 | 266.63299560546875 |   0.016070999205112457 |       83393.5 |   3.0 |  57.0 |
          16.0 |              5.0 |    265.60400390625 |   0.009669000282883644 |       83393.5 |   3.0 |  58.0 |
          16.0 |              5.0 |  259.9729919433594 |   0.005579999648034573 |       83393.5 |   3.0 |  60.0 |
          16.0 |              5.0 |  259.9540100097656 |   0.016745999455451965 |       83393.5 |   3.0 |  61.0 |
          16.0 |              5.0 | 249.83799743652344 |    0.01770000159740448 |       83393.5 |   3.0 |  75.0 |
          16.0 |              5.0 | 245.73800659179688 | 6.0780002968385816e-05 |       83393.5 |   3.0 |  81.0 |
          16.0 |              5.0 | 237.58399963378906 |   0.007976999506354332 |       83393.5 |   3.0 |  87.0 |
          16.0 |              5.0 | 237.57899475097656 |   0.023933999240398407 |       83393.5 |   3.0 |  88.0 |
