 Atomic Number | Ionization State |  Wavelength (Ang.) |               g_i*f_ik |     E_i(cm^-1) |    i |    j |
          16.0 |              6.0 |  944.5230102539062 |     0.4300000071525574 |            0.0 |  1.0 |  2.0 |
          16.0 |              6.0 |  933.3779907226562 |      0.871999979019165 |            0.0 |  1.0 |  3.0 |
          16.0 |              6.0 |     404.1669921875 | 1.2929999684274662e-05 |            0.0 |  1.0 |  4.0 |
          16.0 |              6.0 |   404.114013671875 | 1.9389999579288997e-05 |            0.0 |  1.0 |  5.0 |
          16.0 |              6.0 |    249.27099609375 |    0.05700000002980232 |            0.0 |  1.0 |  7.0 |
          16.0 |              6.0 | 248.98699951171875 |     0.1096000000834465 |            0.0 |  1.0 |  8.0 |
          16.0 |              6.0 | 191.55999755859375 |   0.021800000220537186 |            0.0 |  1.0 | 14.0 |
          16.0 |              6.0 |    191.47900390625 |   0.042399998754262924 |            0.0 |  1.0 | 15.0 |
          16.0 |              6.0 | 171.36500549316406 |   0.010759999975562096 |            0.0 |  1.0 | 22.0 |
          16.0 |              6.0 |  171.3280029296875 |   0.020999999716877937 |            0.0 |  1.0 | 23.0 |
          16.0 |              6.0 | 161.51400756835938 |   0.006140000186860561 |            0.0 |  1.0 | 30.0 |
          16.0 |              6.0 | 161.49400329589844 |   0.011979999952018261 |            0.0 |  1.0 | 31.0 |
          16.0 |              6.0 | 155.86500549316406 |  0.0036899999249726534 |            0.0 |  1.0 | 38.0 |
          16.0 |              6.0 | 155.85299682617188 |   0.007379999849945307 |            0.0 |  1.0 | 39.0 |
          16.0 |              6.0 |  152.2899932861328 |   0.002580000087618828 |            0.0 |  1.0 | 46.0 |
          16.0 |              6.0 | 152.28199768066406 |   0.005040000192821026 |            0.0 |  1.0 | 47.0 |
          16.0 |              6.0 |  149.8679962158203 |   0.005241999868303537 |            0.0 |  1.0 | 54.0 |
          16.0 |              6.0 | 147.59100341796875 |  0.0037159998901188374 |            0.0 |  1.0 | 59.0 |
          16.0 |              6.0 | 146.46400451660156 |   0.002773999935016036 |            0.0 |  1.0 | 60.0 |
          16.0 |              6.0 |  145.5989990234375 |   0.002131999935954809 |            0.0 |  1.0 | 61.0 |
          16.0 |              6.0 | 144.91900634765625 |  0.0016749999485909939 |            0.0 |  1.0 | 62.0 |
          16.0 |              6.0 | 144.37600708007812 |  0.0013415999710559845 |            0.0 |  1.0 | 63.0 |
          16.0 |              6.0 |  143.9340057373047 |  0.0010920000495389104 |            0.0 |  1.0 | 64.0 |
          16.0 |              6.0 | 143.57000732421875 |   0.000901399995200336 |            0.0 |  1.0 | 65.0 |
          16.0 |              6.0 | 143.26600646972656 |  0.0007529999711550772 |            0.0 |  1.0 | 66.0 |
          16.0 |              6.0 | 143.00999450683594 |  0.0006358000100590289 |            0.0 |  1.0 | 67.0 |
          16.0 |              6.0 | 142.79200744628906 |   0.000541799992788583 |            0.0 |  1.0 | 68.0 |
          16.0 |              6.0 | 142.60499572753906 |  0.0004655999946407974 |            0.0 |  1.0 | 69.0 |
          16.0 |              6.0 | 142.44400024414062 | 0.00040320001426152885 |            0.0 |  1.0 | 70.0 |
          16.0 |              6.0 | 142.30299377441406 |  0.0003513999981805682 |            0.0 |  1.0 | 71.0 |
          16.0 |              6.0 | 142.17999267578125 | 0.00030839999089948833 |            0.0 |  1.0 | 72.0 |
          16.0 |              6.0 |  142.0709991455078 | 0.00027200000477023423 |            0.0 |  1.0 | 73.0 |
          16.0 |              6.0 | 141.97500610351562 | 0.00024120000307448208 |            0.0 |  1.0 | 74.0 |
          16.0 |              6.0 | 141.88900756835938 |  0.0002148000057786703 |            0.0 |  1.0 | 75.0 |
          16.0 |              6.0 | 141.81300354003906 | 0.00019217999943066388 |            0.0 |  1.0 | 76.0 |
          16.0 |              6.0 | 141.74400329589844 | 0.00017266000213567168 |            0.0 |  1.0 | 77.0 |
          16.0 |              6.0 |  141.6820068359375 | 0.00015570000687148422 |            0.0 |  1.0 | 78.0 |
          16.0 |              6.0 |      79107.6640625 |  6.829999676938314e-08 | 105873.6015625 |  2.0 |  3.0 |
          16.0 |              6.0 |   706.469970703125 |     1.2619999647140503 | 105873.6015625 |  2.0 |  4.0 |
          16.0 |              6.0 |  706.3070068359375 |  1.243000008477324e-10 | 105873.6015625 |  2.0 |  5.0 |
          16.0 |              6.0 |  388.9309997558594 |    0.19939999282360077 | 105873.6015625 |  2.0 |  6.0 |
          16.0 |              6.0 |  338.6440124511719 | 3.2639999644062945e-12 | 105873.6015625 |  2.0 |  7.0 |
          16.0 |              6.0 |  338.1189880371094 | 1.0558000212768093e-05 | 105873.6015625 |  2.0 |  8.0 |
          16.0 |              6.0 |  289.0820007324219 |    0.12860000133514404 | 105873.6015625 |  2.0 |  9.0 |
          16.0 |              6.0 |  289.0669860839844 |  6.689999942910418e-11 | 105873.6015625 |  2.0 | 10.0 |
          16.0 |              6.0 | 251.11199951171875 |    0.03480000048875809 | 105873.6015625 |  2.0 | 13.0 |
          16.0 |              6.0 | 227.18299865722656 |     0.0697999969124794 | 105873.6015625 |  2.0 | 16.0 |
          16.0 |              6.0 | 213.73699951171875 |   0.013120000250637531 | 105873.6015625 |  2.0 | 21.0 |
          16.0 |              6.0 |  203.6750030517578 |    0.03840000182390213 | 105873.6015625 |  2.0 | 24.0 |
          16.0 |              6.0 | 197.11199951171875 |   0.006579999811947346 | 105873.6015625 |  2.0 | 29.0 |
          16.0 |              6.0 | 191.78599548339844 |    0.02319999970495701 | 105873.6015625 |  2.0 | 33.0 |
          16.0 |              6.0 |  188.0279998779297 |  0.0038399999029934406 | 105873.6015625 |  2.0 | 37.0 |
          16.0 |              6.0 |   184.822998046875 |   0.014999999664723873 | 105873.6015625 |  2.0 | 40.0 |
          16.0 |              6.0 | 182.43800354003906 |  0.0024419999681413174 | 105873.6015625 |  2.0 | 45.0 |
          16.0 |              6.0 | 180.35299682617188 |   0.010300000198185444 | 105873.6015625 |  2.0 | 48.0 |
          16.0 |              6.0 | 178.74200439453125 |  0.0016663999995216727 | 105873.6015625 |  2.0 | 53.0 |
          16.0 |              6.0 |  177.3040008544922 |   0.007544000167399645 | 105873.6015625 |  2.0 | 55.0 |
          16.0 |              6.0 |  174.9250030517578 |   0.006401999853551388 | 105873.6015625 |  2.0 | 59.0 |
          16.0 |              6.0 |   173.343994140625 |   0.004765999969094992 | 105873.6015625 |  2.0 | 60.0 |
          16.0 |              6.0 | 172.13299560546875 |   0.003650000086054206 | 105873.6015625 |  2.0 | 61.0 |
          16.0 |              6.0 |  171.1840057373047 |  0.0028639999218285084 | 105873.6015625 |  2.0 | 62.0 |
          16.0 |              6.0 | 170.42599487304688 |  0.0022899999748915434 | 105873.6015625 |  2.0 | 63.0 |
          16.0 |              6.0 | 169.81100463867188 |  0.0018609999679028988 | 105873.6015625 |  2.0 | 64.0 |
          16.0 |              6.0 | 169.30499267578125 |  0.0015344000421464443 | 105873.6015625 |  2.0 | 65.0 |
          16.0 |              6.0 |  168.8820037841797 |  0.0012805999722331762 | 105873.6015625 |  2.0 | 66.0 |
          16.0 |              6.0 | 168.52699279785156 |  0.0010803999612107873 | 105873.6015625 |  2.0 | 67.0 |
          16.0 |              6.0 |  168.2239990234375 |  0.0009200000204145908 | 105873.6015625 |  2.0 | 68.0 |
          16.0 |              6.0 | 167.96499633789062 |  0.0007902000215835869 | 105873.6015625 |  2.0 | 69.0 |
          16.0 |              6.0 | 167.74000549316406 |  0.0006838000263087451 | 105873.6015625 |  2.0 | 70.0 |
          16.0 |              6.0 |  167.5449981689453 |  0.0005959999980404973 | 105873.6015625 |  2.0 | 71.0 |
          16.0 |              6.0 | 167.37399291992188 |  0.0005224000196903944 | 105873.6015625 |  2.0 | 72.0 |
          16.0 |              6.0 |  167.2239990234375 | 0.00046079998719505966 | 105873.6015625 |  2.0 | 73.0 |
          16.0 |              6.0 | 167.09100341796875 | 0.00040839999564923346 | 105873.6015625 |  2.0 | 74.0 |
          16.0 |              6.0 |  166.9720001220703 | 0.00036380000528879464 | 105873.6015625 |  2.0 | 75.0 |
          16.0 |              6.0 | 166.86599731445312 |  0.0003254000039305538 | 105873.6015625 |  2.0 | 76.0 |
          16.0 |              6.0 |    166.77099609375 |   0.000292200013063848 | 105873.6015625 |  2.0 | 77.0 |
          16.0 |              6.0 | 166.68600463867188 | 0.00026339999749325216 | 105873.6015625 |  2.0 | 78.0 |
          16.0 |              6.0 |  712.8359985351562 |    0.25119999051094055 |  107137.703125 |  3.0 |  4.0 |
          16.0 |              6.0 |  712.6699829101562 |      2.259999990463257 |  107137.703125 |  3.0 |  5.0 |
          16.0 |              6.0 | 390.85198974609375 |    0.40400001406669617 |  107137.703125 |  3.0 |  6.0 |
          16.0 |              6.0 |  340.1000061035156 | 1.0544000360823702e-05 |  107137.703125 |  3.0 |  7.0 |
          16.0 |              6.0 |  339.5710144042969 | 1.0511999789741822e-05 |  107137.703125 |  3.0 |  8.0 |
          16.0 |              6.0 |  290.1419982910156 |   0.026559999212622643 |  107137.703125 |  3.0 |  9.0 |
          16.0 |              6.0 | 290.12701416015625 |    0.23880000412464142 |  107137.703125 |  3.0 | 10.0 |
          16.0 |              6.0 | 251.91200256347656 |    0.07000000029802322 |  107137.703125 |  3.0 | 13.0 |
          16.0 |              6.0 | 227.83700561523438 |   0.014240000396966934 |  107137.703125 |  3.0 | 16.0 |
          16.0 |              6.0 | 227.83099365234375 |    0.12839999794960022 |  107137.703125 |  3.0 | 17.0 |
          16.0 |              6.0 |  214.3159942626953 |   0.026480000466108322 |  107137.703125 |  3.0 | 21.0 |
          16.0 |              6.0 |  204.1999969482422 |   0.007799999788403511 |  107137.703125 |  3.0 | 24.0 |
