 Atomic Number | Ionization State |  Wavelength (Ang.) |              g_i*f_ik | E_i(cm^-1) |     i |     j |
          16.0 |              7.0 | 47.097999572753906 |    0.1361444741487503 |        0.0 | 333.0 | 666.0 |
          16.0 |              7.0 |  47.30699920654297 |   0.10495425015687943 |        0.0 | 333.0 | 666.0 |
          16.0 |              7.0 |  48.64699935913086 |   0.20796968042850494 |        0.0 | 333.0 | 666.0 |
          16.0 |              7.0 | 48.874000549316406 |   0.08203516155481339 |        0.0 | 333.0 | 666.0 |
          16.0 |              7.0 | 50.027000427246094 |  0.011994993314146996 |        0.0 | 333.0 | 666.0 |
          16.0 |              7.0 |  51.80699920654297 |    0.6223002672195435 |        0.0 | 333.0 | 666.0 |
          16.0 |              7.0 |  52.09700012207031 |   0.12189896404743195 |        0.0 | 333.0 | 666.0 |
          16.0 |              7.0 |  52.33399963378906 |  0.002999162534251809 |        0.0 | 333.0 | 666.0 |
          16.0 |              7.0 | 54.652000427246094 |  0.025003453716635704 |        0.0 | 333.0 | 666.0 |
          16.0 |              7.0 |  54.93800354003906 |   0.02041737735271454 |        0.0 | 333.0 | 666.0 |
          16.0 |              7.0 |   60.1609992980957 |    1.5310875177383423 |        0.0 | 333.0 | 666.0 |
          16.0 |              7.0 |  60.80400085449219 |   0.10303861647844315 |        0.0 | 333.0 | 666.0 |
          16.0 |              7.0 |   61.5469970703125 | 0.0036982824094593525 |        0.0 | 333.0 | 666.0 |
          16.0 |              7.0 |  72.02899932861328 |   0.19588446617126465 |        0.0 | 333.0 | 666.0 |
          16.0 |              7.0 |  72.66300201416016 |   0.04560369625687599 |        0.0 | 333.0 | 666.0 |
          16.0 |              7.0 |  330.1449890136719 |    1.3995872735977173 |  1624773.0 | 333.0 | 666.0 |
          16.0 |              7.0 |  330.3039855957031 |    0.7177942991256714 |  1624773.0 | 333.0 | 666.0 |
          16.0 |              7.0 |    331.64501953125 |     2.786121129989624 |  1627260.0 | 333.0 | 666.0 |
          16.0 |              7.0 | 333.73699951171875 |    0.7620790004730225 |  1630083.0 | 333.0 | 666.0 |
          16.0 |              7.0 |  335.9049987792969 |    0.7211074829101562 |  1631989.0 | 333.0 | 666.0 |
          16.0 |              7.0 |  337.2140197753906 |     4.645152568817139 |  1631989.0 | 333.0 | 666.0 |
          16.0 |              7.0 | 339.70001220703125 |     3.243396043777466 |  1644674.0 | 333.0 | 666.0 |
          16.0 |              7.0 | 341.09002685546875 |     4.988844871520996 |  1645921.0 | 333.0 | 666.0 |
          16.0 |              7.0 |  342.0260009765625 |     3.349654197692871 |  1646576.0 | 333.0 | 666.0 |
          16.0 |              7.0 |   342.697998046875 |     4.197589874267578 |  1637915.0 | 333.0 | 666.0 |
          16.0 |              7.0 |  344.0370178222656 |    0.6966264843940735 |  1637915.0 | 333.0 | 666.0 |
          16.0 |              7.0 | 350.87298583984375 |    0.6501296758651733 |  1644674.0 | 333.0 | 666.0 |
          16.0 |              7.0 |  351.6109924316406 |     1.191241979598999 |  1644599.0 | 333.0 | 666.0 |
          16.0 |              7.0 | 352.30999755859375 |    0.4275628924369812 |  1645921.0 | 333.0 | 666.0 |
          16.0 |              7.0 |  354.3349914550781 |    0.4083193838596344 |  1646576.0 | 333.0 | 666.0 |
          16.0 |              7.0 | 361.14898681640625 |    1.3772094249725342 |  1662194.0 | 333.0 | 666.0 |
          16.0 |              7.0 |    374.72998046875 |     0.839460015296936 |  1662194.0 | 333.0 | 666.0 |
          16.0 |              7.0 |  376.6000061035156 |    0.5546256899833679 |  1662194.0 | 333.0 | 666.0 |
          16.0 |              7.0 |  601.1600341796875 |    0.2654605805873871 |  1495849.0 | 333.0 | 666.0 |
          16.0 |              7.0 |  608.3900146484375 |    0.2766941487789154 |  1388339.0 | 333.0 | 666.0 |
          16.0 |              7.0 |  617.6199951171875 |   0.19678863883018494 |  1500286.0 | 333.0 | 666.0 |
          16.0 |              7.0 |   623.489990234375 |    0.7227697968482971 |  1466883.0 | 333.0 | 666.0 |
          16.0 |              7.0 |  633.3499755859375 |    0.5495408773422241 |  1466883.0 | 333.0 | 666.0 |
          16.0 |              7.0 |              638.0 |   0.20183664560317993 |  1466883.0 | 333.0 | 666.0 |
          16.0 |              7.0 |  638.6600341796875 |    0.3507518768310547 |  1488019.0 | 333.0 | 666.0 |
          16.0 |              7.0 |  646.2100219726562 |    0.3303695321083069 |  1483165.0 | 333.0 | 666.0 |
          16.0 |              7.0 |              649.0 |   0.20558907091617584 |  1492496.0 | 333.0 | 666.0 |
          16.0 |              7.0 |  662.6500244140625 |   0.43954160809516907 |  1484428.0 | 333.0 | 666.0 |
          16.0 |              7.0 |  671.9299926757812 |     1.238796591758728 |  1495849.0 | 333.0 | 666.0 |
          16.0 |              7.0 |    677.68994140625 |    1.7947336435317993 |  1484428.0 | 333.0 | 666.0 |
          16.0 |              7.0 |  678.7999877929688 |    1.0471285581588745 |  1488019.0 | 333.0 | 666.0 |
          16.0 |              7.0 |  680.6500244140625 |     2.673006296157837 |  1483165.0 | 333.0 | 666.0 |
          16.0 |              7.0 |  680.9500122070312 |    1.9678863286972046 |  1499068.0 | 333.0 | 666.0 |
          16.0 |              7.0 |  683.5900268554688 |     1.135010838508606 |  1500286.0 | 333.0 | 666.0 |
          16.0 |              7.0 |   685.070068359375 |   0.42072662711143494 |  1498631.0 | 333.0 | 666.0 |
          16.0 |              7.0 |  686.8499755859375 |   0.21978598833084106 |  1499068.0 | 333.0 | 666.0 |
          16.0 |              7.0 |  687.6699829101562 |    1.7139573097229004 |  1492496.0 | 333.0 | 666.0 |
          16.0 |              7.0 |  693.9800415039062 |   0.03118889220058918 |  1483165.0 | 333.0 | 666.0 |
          16.0 |              7.0 |     742.0400390625 |     0.406443327665329 |  1492496.0 | 333.0 | 666.0 |
          16.0 |              7.0 |  785.6400146484375 |   0.11246049404144287 |  1371784.0 | 333.0 | 666.0 |
          16.0 |              7.0 |              793.0 |   0.06622164696455002 |  1498631.0 | 333.0 | 666.0 |
          16.0 |              7.0 |  816.8099975585938 |   0.18281003832817078 |  1376207.0 | 333.0 | 666.0 |
          16.0 |              7.0 |  828.4300537109375 |    0.5152286887168884 |  1371784.0 | 333.0 | 666.0 |
          16.0 |              7.0 |  844.0499877929688 |    0.2089296132326126 |  1381805.0 | 333.0 | 666.0 |
          16.0 |              7.0 |   859.929931640625 |   0.28248798847198486 |  1376207.0 | 333.0 | 666.0 |
          16.0 |              7.0 |  876.8299560546875 |    0.2312064915895462 |  1381805.0 | 333.0 | 666.0 |
          16.0 |              7.0 |   887.739990234375 |   0.37931498885154724 |  1371784.0 | 333.0 | 666.0 |
          16.0 |              7.0 |   893.239990234375 |    0.2546830475330353 |  1388339.0 | 333.0 | 666.0 |
          16.0 |              7.0 |  894.3499755859375 |    0.3926449418067932 |  1376207.0 | 333.0 | 666.0 |
          16.0 |              7.0 |  897.8199462890625 |    1.3152248859405518 |  1371784.0 | 333.0 | 666.0 |
          16.0 |              7.0 |  903.1300048828125 |    0.7379042506217957 |  1388339.0 | 333.0 | 666.0 |
          16.0 |              7.0 |  913.3499755859375 |   0.37931498885154724 |  1552707.0 | 333.0 | 666.0 |
          16.0 |              7.0 |  924.0599975585938 |    0.5457578301429749 |  1376207.0 | 333.0 | 666.0 |
          16.0 |              7.0 |   930.199951171875 |    0.2877398431301117 |  1388339.0 | 333.0 | 666.0 |
          16.0 |              7.0 |  960.0499877929688 |   0.19906733930110931 |  1388339.0 | 333.0 | 666.0 |
          16.0 |              7.0 | 1051.5699462890625 |   0.31260794401168823 |  1371784.0 | 333.0 | 666.0 |
          16.0 |              7.0 |  1102.699951171875 |   0.09817478805780411 |  1376207.0 | 333.0 | 666.0 |
%NIST
