 Atomic Number | Ionization State | Wavelength (Ang.) | g_i*f_ik | E_i(cm^-1) |     i |     j |
          16.0 |             14.0 |             445.7 |   0.0595 |        0.0 |   1.0 |   2.0 |
          16.0 |             14.0 |            417.66 |    0.127 |        0.0 |   1.0 |   3.0 |
          16.0 |             14.0 |           33.3808 |   0.0404 |        0.0 |   2.0 |   4.0 |
          16.0 |             14.0 |           33.5495 |   0.0804 |        0.0 |   3.0 |   4.0 |
          16.0 |             14.0 |            30.469 |    0.233 |        0.0 |   1.0 |   5.0 |
          16.0 |             14.0 |          1614.987 |      0.1 |        0.0 |   4.0 |   5.0 |
          16.0 |             14.0 |            30.427 |    0.466 |        0.0 |   1.0 |   6.0 |
          16.0 |             14.0 |          1504.891 |    0.215 |        0.0 |   4.0 |   6.0 |
          16.0 |             14.0 |            32.416 |     1.35 |        0.0 |   2.0 |   7.0 |
          16.0 |             14.0 |           32.5751 |    0.269 |        0.0 |   3.0 |   7.0 |
          16.0 |             14.0 |             32.56 |     2.42 |        0.0 |   3.0 |   8.0 |
          16.0 |             14.0 |            24.418 |  0.00859 |        0.0 |   2.0 |   9.0 |
          16.0 |             14.0 |           24.5082 |   0.0171 |        0.0 |   3.0 |   9.0 |
          16.0 |             14.0 |            96.369 |   0.0923 |        0.0 |   5.0 |   9.0 |
          16.0 |             14.0 |            96.791 |    0.184 |        0.0 |   6.0 |   9.0 |
          16.0 |             14.0 |           23.0151 |   0.0596 |        0.0 |   1.0 |  10.0 |
          16.0 |             14.0 |            88.898 |    0.252 |        0.0 |   4.0 |  10.0 |
          16.0 |             14.0 |            96.551 |   0.0446 |        0.0 |   7.0 |  10.0 |
          16.0 |             14.0 |           23.0051 |    0.119 |        0.0 |   1.0 |  11.0 |
          16.0 |             14.0 |             88.75 |    0.506 |        0.0 |   4.0 |  11.0 |
          16.0 |             14.0 |            96.376 |  0.00894 |        0.0 |   7.0 |  11.0 |
          16.0 |             14.0 |            96.508 |   0.0804 |        0.0 |   8.0 |  11.0 |
          16.0 |             14.0 |           24.2002 |    0.246 |        0.0 |   2.0 |  12.0 |
          16.0 |             14.0 |           24.2887 |    0.049 |        0.0 |   3.0 |  12.0 |
          16.0 |             14.0 |            93.062 |     1.17 |        0.0 |   5.0 |  12.0 |
          16.0 |             14.0 |            93.456 |    0.233 |        0.0 |   6.0 |  12.0 |
          16.0 |             14.0 |           24.2849 |    0.441 |        0.0 |   3.0 |  13.0 |
          16.0 |             14.0 |              93.4 |      2.1 |        0.0 |   6.0 |  13.0 |
          16.0 |             14.0 |            95.386 |     4.06 |        0.0 |   7.0 |  14.0 |
          16.0 |             14.0 |            95.516 |     0.29 |        0.0 |   8.0 |  14.0 |
          16.0 |             14.0 |            95.488 |      5.8 |        0.0 |   8.0 |  15.0 |
          16.0 |             14.0 |           21.7477 |  0.00341 |        0.0 |   2.0 |  16.0 |
          16.0 |             14.0 |           21.8192 |   0.0068 |        0.0 |   3.0 |  16.0 |
          16.0 |             14.0 |            64.913 |   0.0201 |        0.0 |   5.0 |  16.0 |
          16.0 |             14.0 |            65.104 |   0.0401 |        0.0 |   6.0 |  16.0 |
          16.0 |             14.0 |           209.393 |    0.149 |        0.0 |  10.0 |  16.0 |
          16.0 |             14.0 |           210.221 |    0.296 |        0.0 |  11.0 |  16.0 |
          16.0 |             14.0 |           20.6815 |   0.0249 |        0.0 |   1.0 |  17.0 |
          16.0 |             14.0 |            61.914 |   0.0685 |        0.0 |   4.0 |  17.0 |
          16.0 |             14.0 |            65.532 |  0.00886 |        0.0 |   7.0 |  17.0 |
          16.0 |             14.0 |           193.969 |    0.279 |        0.0 |   9.0 |  17.0 |
          16.0 |             14.0 |           208.912 |    0.111 |        0.0 |  12.0 |  17.0 |
          16.0 |             14.0 |           20.6766 |   0.0498 |        0.0 |   1.0 |  18.0 |
          16.0 |             14.0 |             61.87 |    0.137 |        0.0 |   4.0 |  18.0 |
          16.0 |             14.0 |            65.483 |  0.00177 |        0.0 |   7.0 |  18.0 |
          16.0 |             14.0 |            65.544 |   0.0159 |        0.0 |   8.0 |  18.0 |
          16.0 |             14.0 |           193.544 |    0.559 |        0.0 |   9.0 |  18.0 |
          16.0 |             14.0 |           208.419 |   0.0222 |        0.0 |  12.0 |  18.0 |
          16.0 |             14.0 |           208.694 |    0.199 |        0.0 |  13.0 |  18.0 |
          16.0 |             14.0 |           21.6602 |   0.0908 |        0.0 |   2.0 |  19.0 |
          16.0 |             14.0 |           21.7311 |   0.0181 |        0.0 |   3.0 |  19.0 |
          16.0 |             14.0 |             64.14 |    0.273 |        0.0 |   5.0 |  19.0 |
          16.0 |             14.0 |            64.326 |   0.0545 |        0.0 |   6.0 |  19.0 |
          16.0 |             14.0 |           201.556 |     1.14 |        0.0 |  10.0 |  19.0 |
          16.0 |             14.0 |           202.323 |    0.226 |        0.0 |  11.0 |  19.0 |
          16.0 |             14.0 |            206.83 |   0.0507 |        0.0 |  14.0 |  19.0 |
          16.0 |             14.0 |           21.7297 |    0.163 |        0.0 |   3.0 |  20.0 |
          16.0 |             14.0 |            64.314 |    0.491 |        0.0 |   6.0 |  20.0 |
          16.0 |             14.0 |             202.2 |     2.04 |        0.0 |  11.0 |  20.0 |
          16.0 |             14.0 |           206.701 |  0.00362 |        0.0 |  14.0 |  20.0 |
          16.0 |             14.0 |            65.254 |    0.627 |        0.0 |   7.0 |  21.0 |
          16.0 |             14.0 |            65.315 |   0.0447 |        0.0 |   8.0 |  21.0 |
          16.0 |             14.0 |           206.118 |     3.55 |        0.0 |  12.0 |  21.0 |
          16.0 |             14.0 |            206.39 |    0.253 |        0.0 |  13.0 |  21.0 |
          16.0 |             14.0 |            65.308 |    0.895 |        0.0 |   8.0 |  22.0 |
          16.0 |             14.0 |           206.326 |     5.06 |        0.0 |  13.0 |  22.0 |
          16.0 |             14.0 |           206.477 |     8.07 |        0.0 |  14.0 |  23.0 |
          16.0 |             14.0 |           206.606 |    0.299 |        0.0 |  15.0 |  23.0 |
          16.0 |             14.0 |           206.562 |     10.5 |        0.0 |  15.0 |  24.0 |
          16.0 |             14.0 |           20.5369 |  0.00176 |        0.0 |   2.0 |  25.0 |
          16.0 |             14.0 |           20.6006 |  0.00351 |        0.0 |   3.0 |  25.0 |
          16.0 |             14.0 |            55.199 |  0.00814 |        0.0 |   5.0 |  25.0 |
          16.0 |             14.0 |            55.337 |   0.0162 |        0.0 |   6.0 |  25.0 |
          16.0 |             14.0 |            133.57 |   0.0327 |        0.0 |  10.0 |  25.0 |
          16.0 |             14.0 |           133.905 |   0.0652 |        0.0 |  11.0 |  25.0 |
          16.0 |             14.0 |           386.981 |    0.207 |        0.0 |  17.0 |  25.0 |
          16.0 |             14.0 |           388.684 |    0.412 |        0.0 |  18.0 |  25.0 |
          16.0 |             14.0 |            19.604 |    0.013 |        0.0 |   1.0 |  26.0 |
          16.0 |             14.0 |            53.166 |   0.0299 |        0.0 |   4.0 |  26.0 |
          16.0 |             14.0 |            55.812 |  0.00339 |        0.0 |   7.0 |  26.0 |
          16.0 |             14.0 |            127.99 |   0.0769 |        0.0 |   9.0 |  26.0 |
          16.0 |             14.0 |            134.33 |   0.0228 |        0.0 |  12.0 |  26.0 |
          16.0 |             14.0 |           359.119 |    0.308 |        0.0 |  16.0 |  26.0 |
          16.0 |             14.0 |           384.778 |    0.188 |        0.0 |  19.0 |  26.0 |
          16.0 |             14.0 |           19.6015 |   0.0259 |        0.0 |   1.0 |  27.0 |
          16.0 |             14.0 |            53.147 |   0.0598 |        0.0 |   4.0 |  27.0 |
          16.0 |             14.0 |            55.791 | 0.000679 |        0.0 |   7.0 |  27.0 |
          16.0 |             14.0 |            55.835 |   0.0061 |        0.0 |   8.0 |  27.0 |
          16.0 |             14.0 |           127.883 |    0.154 |        0.0 |   9.0 |  27.0 |
          16.0 |             14.0 |           134.212 |  0.00457 |        0.0 |  12.0 |  27.0 |
          16.0 |             14.0 |           134.326 |   0.0411 |        0.0 |  13.0 |  27.0 |
          16.0 |             14.0 |           358.278 |    0.618 |        0.0 |  16.0 |  27.0 |
          16.0 |             14.0 |           383.812 |   0.0378 |        0.0 |  19.0 |  27.0 |
          16.0 |             14.0 |           384.259 |     0.34 |        0.0 |  20.0 |  27.0 |
          16.0 |             14.0 |           20.4915 |   0.0447 |        0.0 |   2.0 |  28.0 |
          16.0 |             14.0 |           20.5549 |  0.00891 |        0.0 |   3.0 |  28.0 |
          16.0 |             14.0 |            54.872 |    0.112 |        0.0 |   5.0 |  28.0 |
          16.0 |             14.0 |            55.009 |   0.0223 |        0.0 |   6.0 |  28.0 |
          16.0 |             14.0 |           131.673 |    0.287 |        0.0 |  10.0 |  28.0 |
          16.0 |             14.0 |           131.999 |   0.0573 |        0.0 |  11.0 |  28.0 |
          16.0 |             14.0 |           133.903 |  0.00904 |        0.0 |  14.0 |  28.0 |
          16.0 |             14.0 |            371.48 |     1.15 |        0.0 |  17.0 |  28.0 |
          16.0 |             14.0 |           373.049 |     0.23 |        0.0 |  18.0 |  28.0 |
          16.0 |             14.0 |           380.644 |    0.133 |        0.0 |  21.0 |  28.0 |
          16.0 |             14.0 |           20.5541 |   0.0802 |        0.0 |   3.0 |  29.0 |
          16.0 |             14.0 |            55.003 |    0.201 |        0.0 |   6.0 |  29.0 |
          16.0 |             14.0 |           131.964 |    0.516 |        0.0 |  11.0 |  29.0 |
          16.0 |             14.0 |           133.867 | 0.000646 |        0.0 |  14.0 |  29.0 |
          16.0 |             14.0 |           133.921 |   0.0129 |        0.0 |  15.0 |  29.0 |
          16.0 |             14.0 |           372.769 |     2.07 |        0.0 |  18.0 |  29.0 |
          16.0 |             14.0 |           380.354 |  0.00949 |        0.0 |  21.0 |  29.0 |
          16.0 |             14.0 |            380.57 |     0.19 |        0.0 |  22.0 |  29.0 |
          16.0 |             14.0 |            55.694 |    0.216 |        0.0 |   7.0 |  30.0 |
          16.0 |             14.0 |            55.738 |   0.0154 |        0.0 |   8.0 |  30.0 |
          16.0 |             14.0 |           133.652 |    0.744 |        0.0 |  12.0 |  30.0 |
