 Atomic Number | Ionization State | Wavelength (Ang.) |  g_i*f_ik | E_i(cm^-1) |     i |     j |
          16.0 |             15.0 |            5.1015 | 1.543e-08 |        0.0 |   1.0 |   2.0 |
          16.0 |             15.0 |          756.3152 |    0.0156 |        0.0 |   2.0 |   3.0 |
          16.0 |             15.0 |            5.0667 |   0.00602 |        0.0 |   1.0 |   4.0 |
          16.0 |             15.0 |          742.4787 |    0.0473 |        0.0 |   2.0 |   4.0 |
          16.0 |             15.0 |         11526.049 |  2.48e-05 |        0.0 |   4.0 |   5.0 |
          16.0 |             15.0 |            5.0631 |       0.0 |        0.0 |   1.0 |   6.0 |
          16.0 |             15.0 |          673.4007 |    0.0876 |        0.0 |   2.0 |   6.0 |
          16.0 |             15.0 |            5.0387 |     0.762 |        0.0 |   1.0 |   7.0 |
          16.0 |             15.0 |           28.9115 |    0.0162 |        0.0 |   3.0 |   8.0 |
          16.0 |             15.0 |           28.9321 |    0.0481 |        0.0 |   4.0 |   8.0 |
          16.0 |             15.0 |           29.0482 |    0.0805 |        0.0 |   6.0 |   8.0 |
          16.0 |             15.0 |           29.8797 |  0.000368 |        0.0 |   7.0 |   8.0 |
          16.0 |             15.0 |           27.5675 |     0.128 |        0.0 |   2.0 |   9.0 |
          16.0 |             15.0 |           28.7442 |      3.41 |        0.0 |   6.0 |   9.0 |
          16.0 |             15.0 |            4.3047 |   0.00132 |        0.0 |   1.0 |  10.0 |
          16.0 |             15.0 |             27.56 |      0.38 |        0.0 |   2.0 |  10.0 |
          16.0 |             15.0 |           28.6937 |   0.00337 |        0.0 |   5.0 |  10.0 |
          16.0 |             15.0 |           28.7361 |      7.61 |        0.0 |   6.0 |  10.0 |
          16.0 |             15.0 |           28.6181 |  0.000418 |        0.0 |   4.0 |  11.0 |
          16.0 |             15.0 |           29.5449 |    0.0513 |        0.0 |   7.0 |  11.0 |
          16.0 |             15.0 |           27.5306 |      0.64 |        0.0 |   2.0 |  12.0 |
          16.0 |             15.0 |           28.5907 |      7.74 |        0.0 |   4.0 |  12.0 |
          16.0 |             15.0 |           27.3785 |      23.3 |        0.0 |   2.0 |  13.0 |
          16.0 |             15.0 |           28.4068 |     0.679 |        0.0 |   3.0 |  13.0 |
          16.0 |             15.0 |           28.4267 |     0.505 |        0.0 |   4.0 |  13.0 |
          16.0 |             15.0 |           28.5388 |    0.0338 |        0.0 |   6.0 |  13.0 |
          16.0 |             15.0 |            29.341 |   0.00388 |        0.0 |   7.0 |  13.0 |
          16.0 |             15.0 |            4.3002 |      3.38 |        0.0 |   1.0 |  14.0 |
          16.0 |             15.0 |           27.3782 |      31.9 |        0.0 |   2.0 |  14.0 |
          16.0 |             15.0 |           28.4264 |      1.37 |        0.0 |   4.0 |  14.0 |
          16.0 |             15.0 |           28.5385 |     0.416 |        0.0 |   6.0 |  14.0 |
          16.0 |             15.0 |           29.3407 |     0.262 |        0.0 |   7.0 |  14.0 |
          16.0 |             15.0 |           27.3668 |      54.5 |        0.0 |   2.0 |  15.0 |
          16.0 |             15.0 |           28.5261 |      2.84 |        0.0 |   6.0 |  15.0 |
          16.0 |             15.0 |            4.2997 |      15.5 |        0.0 |   1.0 |  16.0 |
          16.0 |             15.0 |           28.4058 |     0.162 |        0.0 |   4.0 |  16.0 |
          16.0 |             15.0 |            28.476 |      30.9 |        0.0 |   5.0 |  16.0 |
          16.0 |             15.0 |           28.5177 |    0.0908 |        0.0 |   6.0 |  16.0 |
          16.0 |             15.0 |           29.3188 |      1.83 |        0.0 |   7.0 |  16.0 |
          16.0 |             15.0 |            4.2991 |     0.155 |        0.0 |   1.0 |  17.0 |
          16.0 |             15.0 |            27.335 |   0.00325 |        0.0 |   2.0 |  17.0 |
          16.0 |             15.0 |           28.4499 |     0.401 |        0.0 |   5.0 |  17.0 |
          16.0 |             15.0 |           21.2912 |   0.00329 |        0.0 |   3.0 |  18.0 |
          16.0 |             15.0 |           21.3024 |   0.00979 |        0.0 |   4.0 |  18.0 |
          16.0 |             15.0 |           21.3653 |    0.0164 |        0.0 |   6.0 |  18.0 |
          16.0 |             15.0 |           21.8117 |  7.56e-05 |        0.0 |   7.0 |  18.0 |
          16.0 |             15.0 |           83.2272 |    0.0386 |        0.0 |   9.0 |  18.0 |
          16.0 |             15.0 |           83.2952 |     0.115 |        0.0 |  10.0 |  18.0 |
          16.0 |             15.0 |           83.5651 |     0.192 |        0.0 |  12.0 |  18.0 |
          16.0 |             15.0 |           85.4201 |  0.000945 |        0.0 |  17.0 |  18.0 |
          16.0 |             15.0 |           20.6439 |    0.0309 |        0.0 |   2.0 |  19.0 |
          16.0 |             15.0 |           21.2967 |      0.77 |        0.0 |   6.0 |  19.0 |
          16.0 |             15.0 |           79.8085 |     0.141 |        0.0 |   8.0 |  19.0 |
          16.0 |             15.0 |           83.9242 |    0.0213 |        0.0 |  13.0 |  19.0 |
          16.0 |             15.0 |            4.0906 |  0.000523 |        0.0 |   1.0 |  20.0 |
          16.0 |             15.0 |           20.6421 |    0.0919 |        0.0 |   2.0 |  20.0 |
          16.0 |             15.0 |           21.2716 |  0.000893 |        0.0 |   5.0 |  20.0 |
          16.0 |             15.0 |           21.2949 |      1.72 |        0.0 |   6.0 |  20.0 |
          16.0 |             15.0 |           79.7825 |     0.419 |        0.0 |   8.0 |  20.0 |
          16.0 |             15.0 |           82.2718 |    0.0039 |        0.0 |  11.0 |  20.0 |
          16.0 |             15.0 |           83.8955 |    0.0158 |        0.0 |  13.0 |  20.0 |
          16.0 |             15.0 |           83.8979 |    0.0427 |        0.0 |  14.0 |  20.0 |
          16.0 |             15.0 |           84.0778 |   0.00524 |        0.0 |  16.0 |  20.0 |
          16.0 |             15.0 |            21.233 |  9.76e-05 |        0.0 |   4.0 |  21.0 |
          16.0 |             15.0 |            21.739 |    0.0121 |        0.0 |   7.0 |  21.0 |
          16.0 |             15.0 |           82.2444 |  0.000999 |        0.0 |  10.0 |  21.0 |
          16.0 |             15.0 |           84.3154 |     0.115 |        0.0 |  17.0 |  21.0 |
          16.0 |             15.0 |           20.6352 |     0.155 |        0.0 |   2.0 |  22.0 |
          16.0 |             15.0 |            79.679 |     0.705 |        0.0 |   8.0 |  22.0 |
          16.0 |             15.0 |            83.781 |   0.00107 |        0.0 |  13.0 |  22.0 |
          16.0 |             15.0 |           83.7834 |    0.0131 |        0.0 |  14.0 |  22.0 |
          16.0 |             15.0 |           83.8902 |    0.0894 |        0.0 |  15.0 |  22.0 |
          16.0 |             15.0 |           83.9628 |   0.00285 |        0.0 |  16.0 |  22.0 |
          16.0 |             15.0 |           21.1766 |     0.122 |        0.0 |   3.0 |  23.0 |
          16.0 |             15.0 |           21.1876 |    0.0908 |        0.0 |   4.0 |  23.0 |
          16.0 |             15.0 |           21.2498 |   0.00608 |        0.0 |   6.0 |  23.0 |
          16.0 |             15.0 |           21.6914 |  0.000704 |        0.0 |   7.0 |  23.0 |
          16.0 |             15.0 |           81.5025 |     0.591 |        0.0 |   9.0 |  23.0 |
          16.0 |             15.0 |           81.5677 |     0.439 |        0.0 |  10.0 |  23.0 |
          16.0 |             15.0 |           81.8265 |    0.0294 |        0.0 |  12.0 |  23.0 |
          16.0 |             15.0 |           83.6043 |   0.00363 |        0.0 |  17.0 |  23.0 |
          16.0 |             15.0 |            4.0889 |      1.34 |        0.0 |   1.0 |  24.0 |
          16.0 |             15.0 |           21.1875 |     0.254 |        0.0 |   4.0 |  24.0 |
          16.0 |             15.0 |           21.2497 |    0.0782 |        0.0 |   6.0 |  24.0 |
          16.0 |             15.0 |           21.6913 |    0.0339 |        0.0 |   7.0 |  24.0 |
          16.0 |             15.0 |           81.5662 |      1.23 |        0.0 |  10.0 |  24.0 |
          16.0 |             15.0 |            81.825 |     0.378 |        0.0 |  12.0 |  24.0 |
          16.0 |             15.0 |           83.6027 |     0.174 |        0.0 |  17.0 |  24.0 |
          16.0 |             15.0 |           21.2469 |     0.511 |        0.0 |   6.0 |  25.0 |
          16.0 |             15.0 |           81.7831 |      2.47 |        0.0 |  12.0 |  25.0 |
          16.0 |             15.0 |           21.1716 |      11.2 |        0.0 |   3.0 |  26.0 |
          16.0 |             15.0 |           21.1826 |      11.1 |        0.0 |   4.0 |  26.0 |
          16.0 |             15.0 |           83.1232 |      3.05 |        0.0 |  13.0 |  26.0 |
          16.0 |             15.0 |           83.1255 |     0.463 |        0.0 |  14.0 |  26.0 |
          16.0 |             15.0 |           83.2307 |    0.0161 |        0.0 |  15.0 |  26.0 |
          16.0 |             15.0 |           83.3021 |     0.101 |        0.0 |  16.0 |  26.0 |
          16.0 |             15.0 |           21.2448 |      6.43 |        0.0 |   6.0 |  27.0 |
          16.0 |             15.0 |           21.6861 |      12.1 |        0.0 |   7.0 |  27.0 |
          16.0 |             15.0 |           83.1252 |      4.35 |        0.0 |  14.0 |  27.0 |
          16.0 |             15.0 |           83.2304 |     0.327 |        0.0 |  15.0 |  27.0 |
          16.0 |             15.0 |           83.3018 |     0.407 |        0.0 |  16.0 |  27.0 |
