 Atomic Number | Ionization State | Wavelength (Ang.) |               g_i*f_ik |         E_i(cm^-1) |     i |     j |
          21.0 |              1.0 | 2113.515380859375 |   0.012882496230304241 |                0.0 | 333.0 | 666.0 |
          21.0 |              1.0 | 2117.320556640625 |     0.0537031814455986 |                0.0 | 333.0 | 666.0 |
          21.0 |              1.0 |         2121.0625 |    0.08128304779529572 | 168.33709716796875 | 333.0 | 666.0 |
          21.0 |              1.0 | 2262.991943359375 |   0.017782794311642647 |                0.0 | 333.0 | 666.0 |
          21.0 |              1.0 | 2267.295166015625 |    0.07413102686405182 |                0.0 | 333.0 | 666.0 |
          21.0 |              1.0 |  2271.64599609375 |     0.1412537395954132 | 168.33709716796875 | 333.0 | 666.0 |
          21.0 |              1.0 |    2281.537109375 |    0.13182567059993744 |                0.0 | 333.0 | 666.0 |
          21.0 |              1.0 |    2290.333984375 |   0.019498445093631744 | 168.33709716796875 | 333.0 | 666.0 |
          21.0 |              1.0 |    2312.001953125 |   0.019498445093631744 |                0.0 | 333.0 | 666.0 |
          21.0 |              1.0 |  2316.39892578125 |    0.08128304779529572 |                0.0 | 333.0 | 666.0 |
          21.0 |              1.0 | 2321.033935546875 |      0.117489755153656 | 168.33709716796875 | 333.0 | 666.0 |
          21.0 |              1.0 | 2325.467041015625 |   0.013182567432522774 | 168.33709716796875 | 333.0 | 666.0 |
          21.0 |              1.0 | 2328.901123046875 |    0.02238721214234829 |                0.0 | 333.0 | 666.0 |
          21.0 |              1.0 | 2335.386962890625 |   0.027542291209101677 |                0.0 | 333.0 | 666.0 |
          21.0 |              1.0 | 2335.881103515625 |   0.023442288860678673 | 168.33709716796875 | 333.0 | 666.0 |
          21.0 |              1.0 |  2337.52197265625 |   0.012022645212709904 |                0.0 | 333.0 | 666.0 |
          21.0 |              1.0 |    2346.751953125 |    0.04265795275568962 | 168.33709716796875 | 333.0 | 666.0 |
          21.0 |              1.0 |     2429.39453125 |   0.010964781045913696 |                0.0 | 333.0 | 666.0 |
          21.0 |              1.0 |    2429.931640625 |    0.10000000149011612 |                0.0 | 333.0 | 666.0 |
          21.0 |              1.0 |  2439.37060546875 |    0.11220184713602066 | 168.33709716796875 | 333.0 | 666.0 |
          21.0 |              1.0 |     2439.91015625 |   0.007762473076581955 | 168.33709716796875 | 333.0 | 666.0 |
          21.0 |              1.0 |  2463.41650390625 |   0.007585777901113033 |                0.0 | 333.0 | 666.0 |
          21.0 |              1.0 |  2469.14892578125 |   0.008912510238587856 |                0.0 | 333.0 | 666.0 |
          21.0 |              1.0 | 2473.675537109375 |   0.010715192183852196 | 168.33709716796875 | 333.0 | 666.0 |
          21.0 |              1.0 |  2693.57275390625 |    0.03467368334531784 |                0.0 | 333.0 | 666.0 |
          21.0 |              1.0 |   2696.4345703125 |   0.002630268456414342 |                0.0 | 333.0 | 666.0 |
          21.0 |              1.0 |  2699.81689453125 |   0.015848932787775993 |                0.0 | 333.0 | 666.0 |
          21.0 |              1.0 |      2707.5390625 |    0.13489629328250885 |                0.0 | 333.0 | 666.0 |
          21.0 |              1.0 | 2708.728271484375 |     0.0660693496465683 | 168.33709716796875 | 333.0 | 666.0 |
          21.0 |              1.0 |  2712.14208984375 |     0.2137961983680725 | 168.33709716796875 | 333.0 | 666.0 |
          21.0 |              1.0 |  2717.85791015625 |   0.015848932787775993 |                0.0 | 333.0 | 666.0 |
          21.0 |              1.0 |  2719.93505859375 |  0.0017378008924424648 | 168.33709716796875 | 333.0 | 666.0 |
          21.0 |              1.0 |  2725.40087890625 |   0.010471285320818424 | 168.33709716796875 | 333.0 | 666.0 |
          21.0 |              1.0 | 2727.287841796875 |   0.008128306828439236 |                0.0 | 333.0 | 666.0 |
          21.0 |              1.0 |  2735.09619140625 |   0.008128306828439236 | 168.33709716796875 | 333.0 | 666.0 |
          21.0 |              1.0 | 2739.866943359375 |  0.0038018932100385427 | 168.33709716796875 | 333.0 | 666.0 |
          21.0 |              1.0 |  2966.74072265625 |    0.05888436362147331 |                0.0 | 333.0 | 666.0 |
          21.0 |              1.0 |  2974.87353515625 |     0.2951209545135498 |                0.0 | 333.0 | 666.0 |
          21.0 |              1.0 |  2981.62939453125 |    0.43651580810546875 | 168.33709716796875 | 333.0 | 666.0 |
          21.0 |              1.0 | 2989.845947265625 |    0.03715352714061737 | 168.33709716796875 | 333.0 | 666.0 |
          21.0 |              1.0 | 3016.247802734375 |     0.6456542611122131 |                0.0 | 333.0 | 666.0 |
          21.0 |              1.0 | 3020.237060546875 |     0.9549925923347473 | 168.33709716796875 | 333.0 | 666.0 |
          21.0 |              1.0 |   3031.6396484375 |    0.08317636698484421 | 168.33709716796875 | 333.0 | 666.0 |
          21.0 |              1.0 | 3040.657958984375 |   0.005888436455279589 | 168.33709716796875 | 333.0 | 666.0 |
          21.0 |              1.0 |  3061.91845703125 |   0.004897788632661104 |                0.0 | 333.0 | 666.0 |
          21.0 |              1.0 | 3069.074951171875 |   0.006309572607278824 | 168.33709716796875 | 333.0 | 666.0 |
          21.0 |              1.0 |  3074.23193359375 |   0.006309572607278824 | 168.33709716796875 | 333.0 | 666.0 |
          21.0 |              1.0 | 3256.614990234375 |    0.20417378842830658 |                0.0 | 333.0 | 666.0 |
          21.0 |              1.0 | 3270.840087890625 |     1.0046157836914062 |                0.0 | 333.0 | 666.0 |
          21.0 |              1.0 |    3274.572265625 |     1.8071740865707397 | 168.33709716796875 | 333.0 | 666.0 |
          21.0 |              1.0 | 3908.591064453125 |     2.2803421020507812 |                0.0 | 333.0 | 666.0 |
          21.0 |              1.0 |    3912.919921875 |     3.2885165214538574 | 168.33709716796875 | 333.0 | 666.0 |
          21.0 |              1.0 |   3934.4892578125 |     0.2238721251487732 | 168.33709716796875 | 333.0 | 666.0 |
          21.0 |              1.0 |  3997.73095703125 |    0.23988328874111176 |                0.0 | 333.0 | 666.0 |
          21.0 |              1.0 |  4018.89697265625 |   0.015848932787775993 |   15672.5595703125 | 333.0 | 666.0 |
          21.0 |              1.0 | 4021.523193359375 |     1.5812480449676514 |                0.0 | 333.0 | 666.0 |
          21.0 |              1.0 |  4024.35205078125 |    0.28840312361717224 |   15672.5595703125 | 333.0 | 666.0 |
          21.0 |              1.0 |  4024.81494140625 |      2.404362916946411 | 168.33709716796875 | 333.0 | 666.0 |
          21.0 |              1.0 | 4032.514892578125 |     0.4265795052051544 |    15756.529296875 | 333.0 | 666.0 |
          21.0 |              1.0 |   4037.9990234375 |    0.07762470841407776 |    15756.529296875 | 333.0 | 666.0 |
          21.0 |              1.0 | 4044.945068359375 |     0.6165950298309326 |   15881.7080078125 | 333.0 | 666.0 |
          21.0 |              1.0 | 4048.940185546875 |    0.15135613083839417 | 168.33709716796875 | 333.0 | 666.0 |
          21.0 |              1.0 | 4052.970947265625 |     0.1148153617978096 |   15881.7080078125 | 333.0 | 666.0 |
          21.0 |              1.0 |  4055.68896484375 |     0.2187761515378952 |                0.0 | 333.0 | 666.0 |
          21.0 |              1.0 | 4068.149169921875 |     0.3801894187927246 |   16022.7216796875 | 333.0 | 666.0 |
          21.0 |              1.0 |        4068.78125 |    0.08128304779529572 |    16026.552734375 | 333.0 | 666.0 |
          21.0 |              1.0 | 4076.113037109375 |     0.5533500909805298 |   16021.7783203125 | 333.0 | 666.0 |
          21.0 |              1.0 |   4079.7158203125 |     0.4265795052051544 |   16009.7431640625 | 333.0 | 666.0 |
          21.0 |              1.0 | 4081.718994140625 |     0.0660693496465683 |   16021.7783203125 | 333.0 | 666.0 |
          21.0 |              1.0 |   4083.5400390625 |    0.27289777994155884 | 168.33709716796875 | 333.0 | 666.0 |
          21.0 |              1.0 |  4087.81787109375 |      0.743019163608551 |   16141.0009765625 | 333.0 | 666.0 |
          21.0 |              1.0 |   4088.6279296875 |    0.16982437670230865 |   16096.8837890625 | 333.0 | 666.0 |
          21.0 |              1.0 |  4094.27392578125 |    0.12302687019109726 |   16096.8837890625 | 333.0 | 666.0 |
          21.0 |              1.0 |  4096.01708984375 |     0.2187761515378952 |   16141.0009765625 | 333.0 | 666.0 |
          21.0 |              1.0 |  4099.51708984375 |    0.17378008365631104 |    16210.814453125 | 333.0 | 666.0 |
          21.0 |              1.0 |  4134.14990234375 |     1.8281002044677734 |   15672.5595703125 | 333.0 | 666.0 |
          21.0 |              1.0 |  4141.43994140625 |      2.404362916946411 |    15756.529296875 | 333.0 | 666.0 |
          21.0 |              1.0 |   4148.5478515625 |     0.2691534757614136 |    15756.529296875 | 333.0 | 666.0 |
          21.0 |              1.0 |  4163.02001953125 |    0.37153521180152893 |   15881.7080078125 | 333.0 | 666.0 |
          21.0 |              1.0 |   4172.7099609375 |     0.1412537395954132 |    15756.529296875 | 333.0 | 666.0 |
          21.0 |              1.0 |  4187.60107421875 |    0.17782793939113617 |   16022.7216796875 | 333.0 | 666.0 |
          21.0 |              1.0 |     4188.78515625 |    0.20417378842830658 |   15881.7080078125 | 333.0 | 666.0 |
          21.0 |              1.0 |   4194.7099609375 |    0.09549926221370697 |   16021.7783203125 | 333.0 | 666.0 |
          21.0 |              1.0 |       4205.703125 |    0.07413102686405182 |   16022.7216796875 | 333.0 | 666.0 |
          21.0 |              1.0 |  4206.38232421875 |    0.23988328874111176 |    16026.552734375 | 333.0 | 666.0 |
          21.0 |              1.0 |   4213.5048828125 |    0.25118863582611084 |   16021.7783203125 | 333.0 | 666.0 |
          21.0 |              1.0 |     4213.66796875 |    0.13803842663764954 |   16022.7216796875 | 333.0 | 666.0 |
          21.0 |              1.0 |  4217.27099609375 |    0.25118863582611084 |   16009.7431640625 | 333.0 | 666.0 |
          21.0 |              1.0 |   4219.4130859375 |    0.23988328874111176 |   16021.7783203125 | 333.0 | 666.0 |
          21.0 |              1.0 |  4226.72998046875 |    0.20417378842830658 |   16141.0009765625 | 333.0 | 666.0 |
          21.0 |              1.0 |   4226.8818359375 |    0.12302687019109726 |   16096.8837890625 | 333.0 | 666.0 |
          21.0 |              1.0 |       4232.828125 |     0.1412537395954132 |   16096.8837890625 | 333.0 | 666.0 |
          21.0 |              1.0 |    4234.783203125 |     0.6456542611122131 |   16141.0009765625 | 333.0 | 666.0 |
          21.0 |              1.0 |     4239.24609375 |     1.5310875177383423 |    16210.814453125 | 333.0 | 666.0 |
          21.0 |              1.0 |     4240.74609375 |    0.24547088146209717 |   16141.0009765625 | 333.0 | 666.0 |
          21.0 |              1.0 |    4247.333984375 |    0.18620871007442474 |    16210.814453125 | 333.0 | 666.0 |
          21.0 |              1.0 |  4512.63720703125 |    0.01348962914198637 |    14926.060546875 | 333.0 | 666.0 |
          21.0 |              1.0 |   4543.8251953125 |    0.15848931670188904 |    14926.060546875 | 333.0 | 666.0 |
          21.0 |              1.0 |            4546.0 |    0.24547088146209717 |     15041.90234375 | 333.0 | 666.0 |
          21.0 |              1.0 |   4708.2548828125 |     0.5623413324356079 |      18515.6640625 | 333.0 | 666.0 |
          21.0 |              1.0 |    4710.630859375 |     1.0715192556381226 |     18571.38671875 | 333.0 | 666.0 |
          21.0 |              1.0 |      4713.0390625 |    0.23988328874111176 |     18504.05859375 | 333.0 | 666.0 |
          21.0 |              1.0 |   4715.6220703125 |    0.28840312361717224 |      18515.6640625 | 333.0 | 666.0 |
          21.0 |              1.0 |   4718.3427734375 |   0.014791082590818405 |   11557.6552734375 | 333.0 | 666.0 |
          21.0 |              1.0 |   4720.6279296875 |     0.2089296132326126 |     18571.38671875 | 333.0 | 666.0 |
          21.0 |              1.0 |    4722.130859375 |   0.023988328874111176 |      11519.9609375 | 333.0 | 666.0 |
          21.0 |              1.0 |   4730.0888671875 |    0.30902954936027527 |   11610.2353515625 | 333.0 | 666.0 |
          21.0 |              1.0 |  4730.53173828125 |     0.2951209545135498 |      11519.9609375 | 333.0 | 666.0 |
          21.0 |              1.0 |  4735.43310546875 |     0.7396053075790405 |      11519.9609375 | 333.0 | 666.0 |
          21.0 |              1.0 |   4738.9716796875 |      1.185768723487854 |   11557.6552734375 | 333.0 | 666.0 |
          21.0 |              1.0 |    4742.349609375 |     1.8407719135284424 |   11610.2353515625 | 333.0 | 666.0 |
          21.0 |              1.0 |  4745.14794921875 |     2.6485002040863037 |         11677.3125 | 333.0 | 666.0 |
          21.0 |              1.0 |    4754.494140625 |   0.021978599950671196 |                0.0 | 333.0 | 666.0 |
          21.0 |              1.0 |  4780.68994140625 |   0.024378105998039246 | 168.33709716796875 | 333.0 | 666.0 |
          21.0 |              1.0 |  4792.85888671875 |   0.004073801916092634 | 168.33709716796875 | 333.0 | 666.0 |
          21.0 |              1.0 |  4975.05322265625 |     0.6237348318099976 |    17025.126953125 | 333.0 | 666.0 |
          21.0 |              1.0 |           4981.75 |     0.8336811661720276 |     17012.75390625 | 333.0 | 666.0 |
          21.0 |              1.0 |  4984.81591796875 |     0.3801894187927246 |    17025.126953125 | 333.0 | 666.0 |
          21.0 |              1.0 |   4993.2998046875 |     0.8511380553245544 |     17012.75390625 | 333.0 | 666.0 |
          21.0 |              1.0 |  4996.39013671875 |    0.13182567059993744 |    17025.126953125 | 333.0 | 666.0 |
          21.0 |              1.0 |  5019.80810546875 |     0.3162277638912201 |     17012.75390625 | 333.0 | 666.0 |
          21.0 |              1.0 |   5022.9208984375 |     0.3467368483543396 |    17025.126953125 | 333.0 | 666.0 |
          21.0 |              1.0 |  5054.48486328125 |    0.03235936537384987 |    17255.076171875 | 333.0 | 666.0 |
          21.0 |              1.0 |  5055.89794921875 |   0.018197007477283478 |    17307.068359375 | 333.0 | 666.0 |
          21.0 |              1.0 |  5065.71826171875 |    0.28054338693618774 |   11610.2353515625 | 333.0 | 666.0 |
          21.0 |              1.0 |   5067.7958984375 |    0.08317636698484421 |    17307.068359375 | 333.0 | 666.0 |
          21.0 |              1.0 |    5071.580078125 |     0.3580964207649231 |   11557.6552734375 | 333.0 | 666.0 |
