 Atomic Number | Ionization State |  Wavelength (Ang.) |              g_i*f_ik | E_i(cm^-1) |   i |   j |
          21.0 |             14.0 |              22.56 |  0.021978598727848252 |        0.0 | 1.0 | 2.0 |
          21.0 |             14.0 |              22.72 |    0.8016780633876791 |    31174.0 | 1.0 | 2.0 |
          21.0 |             14.0 |             22.753 |    0.7079457843841379 |        0.0 | 1.0 | 2.0 |
          21.0 |             14.0 | 22.753999999999998 |     0.831763771102671 |    35351.0 | 1.0 | 2.0 |
          21.0 |             14.0 |              22.79 |    0.2570395782768864 |    31174.0 | 1.0 | 2.0 |
          21.0 |             14.0 | 22.810000000000002 |    0.4897788193684462 |    35351.0 | 1.0 | 2.0 |
          21.0 |             14.0 |             22.839 |    1.4125375446227544 |        0.0 | 1.0 | 2.0 |
          21.0 |             14.0 | 22.894000000000002 |    0.0849180475036314 |        0.0 | 1.0 | 2.0 |
          21.0 |             14.0 | 22.968000000000004 |    3.3884415613920256 |        0.0 | 1.0 | 2.0 |
          21.0 |             14.0 |             23.005 |   0.08810488730080142 |    31174.0 | 1.0 | 2.0 |
          21.0 |             14.0 |             23.057 |    0.6760829753919817 |    31174.0 | 1.0 | 2.0 |
          21.0 |             14.0 |             23.081 |   0.28840315031266056 |    35351.0 | 1.0 | 2.0 |
          21.0 |             14.0 |             23.142 |   0.04581418867145335 |    97793.0 | 1.0 | 2.0 |
          21.0 |             14.0 |             23.272 |    1.9498445997580451 |    97793.0 | 1.0 | 2.0 |
          21.0 |             14.0 |             23.363 |   0.15452544395384138 |    97793.0 | 1.0 | 2.0 |
          21.0 |             14.0 | 23.494999999999997 |   0.03475361614432058 |    97793.0 | 1.0 | 2.0 |
          21.0 |             14.0 |             23.536 |     1.318256738556407 |        0.0 | 1.0 | 2.0 |
          21.0 |             14.0 | 23.557000000000002 |   0.27478941531023965 |        0.0 | 1.0 | 2.0 |
          21.0 |             14.0 | 23.610000000000003 |  0.022080047330189003 |   195985.0 | 1.0 | 2.0 |
          21.0 |             14.0 |              23.68 |  0.024945947269429548 |   195985.0 | 1.0 | 2.0 |
          21.0 |             14.0 | 23.727999999999998 |    0.5011872336272722 |    31174.0 | 1.0 | 2.0 |
          21.0 |             14.0 |              24.97 |   0.05610479760324706 |        0.0 | 1.0 | 2.0 |
          21.0 |             14.0 |             25.167 |   0.09977000638225536 |    31174.0 | 1.0 | 2.0 |
          21.0 |             14.0 |              25.28 |  0.023933157564053877 |        0.0 | 1.0 | 2.0 |
          21.0 |             14.0 | 25.392000000000003 |   0.28444611074479154 |        0.0 | 1.0 | 2.0 |
          21.0 |             14.0 |             25.402 |    0.1538154640303035 |    97793.0 | 1.0 | 2.0 |
          21.0 |             14.0 |              25.44 |    0.1309181922999407 |        0.0 | 1.0 | 2.0 |
          21.0 |             14.0 | 25.480999999999998 |   0.02773320104651841 |    31174.0 | 1.0 | 2.0 |
          21.0 |             14.0 |             25.596 |   0.08356030182312478 |    97793.0 | 1.0 | 2.0 |
          21.0 |             14.0 |             25.644 |   0.07888601176185545 |    31174.0 | 1.0 | 2.0 |
          21.0 |             14.0 | 25.653000000000002 |   0.08279421637123341 |    31174.0 | 1.0 | 2.0 |
          21.0 |             14.0 |              25.68 |  0.038547835766577186 |    35351.0 | 1.0 | 2.0 |
          21.0 |             14.0 |             25.921 |   0.47315125896148047 |    97793.0 | 1.0 | 2.0 |
          21.0 |             14.0 |             25.985 |    0.2703958364108844 |        0.0 | 1.0 | 2.0 |
          21.0 |             14.0 | 26.055999999999997 |   0.15885467485977786 |   195985.0 | 1.0 | 2.0 |
          21.0 |             14.0 |             26.197 |   0.12274392311584072 |    31174.0 | 1.0 | 2.0 |
          21.0 |             14.0 | 26.223999999999997 |   0.04954501908047903 |    35351.0 | 1.0 | 2.0 |
          21.0 |             14.0 | 109.52799999999999 |  0.020417379446695295 |        0.0 | 1.0 | 2.0 |
          21.0 |             14.0 | 113.40199999999999 | 0.0008709635899560805 |    31174.0 | 1.0 | 2.0 |
          21.0 |             14.0 | 113.92699999999999 |  0.001995262314968879 |    35351.0 | 1.0 | 2.0 |
          21.0 |             14.0 |            116.662 |  0.003630780547701014 |   689445.0 | 1.0 | 2.0 |
          21.0 |             14.0 | 122.67099999999999 |      0.72443596007499 |    97793.0 | 1.0 | 2.0 |
          21.0 |             14.0 |            139.469 |   0.06760829753919818 |   195985.0 | 1.0 | 2.0 |
          21.0 |             14.0 |            145.047 |    0.1606941253012877 |        0.0 | 1.0 | 2.0 |
          21.0 |             14.0 |            148.498 |   0.12274392311584072 |    31174.0 | 1.0 | 2.0 |
          21.0 |             14.0 |             150.49 |    0.4415704473533125 |        0.0 | 1.0 | 2.0 |
          21.0 |             14.0 |             151.91 |   0.08912509381337455 |    31174.0 | 1.0 | 2.0 |
          21.0 |             14.0 |             152.88 |   0.11350108156723152 |    35351.0 | 1.0 | 2.0 |
          21.0 |             14.0 |             157.82 |   0.41114972110452225 |   912990.0 | 1.0 | 2.0 |
          21.0 |             14.0 |            157.904 |   0.14454397707459277 |    31174.0 | 1.0 | 2.0 |
          21.0 |             14.0 | 176.45499999999998 |  0.014454397707459272 |    97793.0 | 1.0 | 2.0 |
          21.0 |             14.0 |            202.651 |  0.003311311214825911 |   195985.0 | 1.0 | 2.0 |
%NIST
